Depth,Giesecke et al. 2014 (MADCAP) Calibrated radiocarbon years BP,Radiocarbon years BP,Abies,Acer,Alisma,Allium,Alnus,Amaranthaceae,Anemone,Apiaceae,Aquilegia-type,Arbutus,Arctium/Jurinea,Armeria/Limonium,Artemisia herba-alba-type,Artemisia vulgaris-type,Asphodelus albus-type,Aspleniumspore,Asteroideae,Berberis,Betula,Botrychiumspore,Brassica-type,Bunium-type,Bupleurum-type,Butomus umbellatus,Calligonum,Caltha,Campanula-type,Capsella-type,Carduus-type,Carpinus betulus,Caryophyllaceae,Castanea,Celtis,Centaurea,Centaurea cyanus-type,Centaurea jacea-type,Centaurea solstitialis-type,Cheilanthesspore,Cichorioideae,Cirsium/Gundelia,Cistus,Cladium mariscus,Clematis-type,Convolvulus,Cornus,Corylus,Cotinus coggygria,Crassulaceae,Crataegus-type,Cuscuta,Cyperaceae,Daphne,Delphinium-type,Dipsacoideae,Dryopteris-typespore,Ephedra distachya-type,Ephedra fragilis-type,Equisetumspore,Ericaceae,Euphorbia,Fabaceae,Fagopyrum,Fagus,Filago-type,Filipendula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Genista-type,Gentianaceae,Geranium,Halothamnus-type,Hedera,Helianthemum,Heliotropium-type,Helleborus,Hippuris,Humulus/Cannabis,Hymenophyllumspore,Hypericum perforatum-type,Ilex,Isoëtesspore,Juglans,Juniperus,Knautia,Lamiaceae,Liliaceae,Lomelosia rotata-type,Loranthus,Lotus-type,Lycopodiumspore,Lysimachia,Lythrum,Malabaila,Matricaria-type,Matthiola,Mercurialis annua,Myriophyllum spicatum/M. verticillatum,Myrtus,Nepeta-type,Nigella,Noaea-type,Nymphaea,Olea,Oleaceae,Oleaceae/Brassicaceae,Onosma-type,Ophioglossumspore,Ornithogalum,Osmunda regalisspore,Ostrya/Carpinus orientalis,Paliurus,Papaver,Phillyrea,Phlomis,Picea,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Plantago media-type,Plantago ovata-type,Plantago undiff.,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Primulaceae,Prunus-type,Pteridiumspore,Pterisspore,Quercus cerris-type,Quercus coccifera-type,Ranunculaceae,Ranunculus asiaticus-type,Ranunculus repens-type,Ranunculus sceleratus-type,Ranunculus sect. Batrachium-type,Rhamnaceae,Rhinanthus-type,Rhus,Rosaceae,Rumex acetosa-type,Rumex hydrolapathum,Salix,Sambucus nigra-type,Sanguisorba officinalis,Sanguisorba-type,Sanicula-type,Scilla-type,Scrophularia/Verbascum,Senecio-type,Solanum dulcamara,Sparganium-type,Spartium,Spergula,Spergularia-type,Sphagnumspore,Stachys-type,Symphytum-type,Tamarix,Teucrium,Thalictrum,Theligonum,Thelypteris palustrisspore,Thymus/Mentha,Tilia,Trachomitum,Trifolium-type,Turgenia-type,Typha latifolia,Ulmus,Unknown/spore,Unknown (trilete)spore,Urtica,Valeriana,Valerianella,Viburnum-type,Vicia-type,Vitis,Xanthium,Zea mays
90,77/-98/-283,--/-50/--,8,,,,1,9,,,,,,,7,3,,,1,1,1,,20,1,,,,,3,,2,,,,,,,,13,,11,1,1,,,,,,,,,,10,,,,10,,,,11,,2,,,1,,,,,,,,,,,,,,,,,,1,1,15,,,2,,,,,,,,2,,1,,1,,,2,,38,1,24,,,,4,2,,,9,,,25,23,,2,1,1,,,,31,61,5,7,1,1,,,,,10,,72,89,1,,,1,,,1,,,3,,1,,,4,,,3,1,1,1,,,,,,,,,1,,,,,,,,1,1,36,6,,,,,,2,2,
110,220/63/-98,--/85/--,17,,,,17,6,,2,,,,,6,2,,,2,,,,6,,,,,,,4,1,,1,,,,,,3,,2,,,,,,,,,,,,24,,2,,7,,2,,12,,2,,,,,,,,,,,,3,,,,,,,,,4,1,6,,,1,,1,1,,,,,5,,,,,,,,,30,,,,4,,1,13,,,2,,,46,17,,7,,,2,,2,62,73,2,5,1,,1,,,,16,1,217,148,,1,,2,,,2,,,,1,1,,,3,,,4,1,,1,,,,,,,,,,1,,2,,,,,,4,21,,,,,,,9,,1
130,367/224/82,--/254/--,2,,,,10,16,,3,,,,,11,3,,,8,2,,,8,,1,,,,,4,,,1,1,,,,,11,,81,,,,,,,1,,,,,26,,1,,5,,1,,12,1,3,,,1,2,3,1,6,1,1,,,,,1,,,2,,,,3,,2,,,,,,,6,,,1,8,,1,,,,,,,12,,,,,1,,13,,,7,2,,19,20,,8,,3,,,,45,93,9,22,2,,,,,,8,,184,88,,,,3,,,,,2,2,,3,,,3,,1,2,3,,2,,,,,,,,,2,1,,,,,,,,4,39,10,,,2,,2,8,,
170,672/551/431,--/592/--,4,,,,4,3,,1,,,,,6,,3,,4,,1,,2,,,,1,,,3,,,3,,,,,,5,,9,1,1,,,,,1,,,,,14,,,,2,,3,,3,,,,,,,1,1,1,,,,,,1,,,,3,1,,,4,1,3,,,,,,,,,,,3,,1,,,,,2,,3,,2,,1,,1,17,,,4,,1,35,16,,8,,2,,,,36,113,4,5,,,,,,,31,,220,51,,,,,,,,,,5,,1,,,,1,,,1,,1,,,,,,,,,1,,1,1,,,,,1,5,9,,,1,,,,4,,
200,910/804/687,--/846/--,2,,,,3,8,,4,,,,,12,1,1,,3,,2,,8,,,2,,1,,,,,2,,,,,,3,,12,,,,,,,1,,,,,13,,,,7,,1,,8,,2,,1,1,,5,,1,,,,,,1,,,,2,,1,,4,2,2,,,,,1,,,1,,,4,,2,1,,,,2,,14,,,,,,,15,1,,2,,,26,21,,13,,2,3,1,,40,135,10,1,2,,,,,,28,,309,50,1,,,3,,,,,,3,1,,,,4,,,3,1,,5,,,,,1,,,,1,,,1,,,1,,1,6,24,,,,,,,15,,
220,1081/978/863,--/1015/--,3,1,,,,7,,2,1,,,,4,,2,1,1,,2,,1,,,,,,,1,,,1,,,,,,1,,3,,,,,1,,2,1,,,,9,,,,2,,2,,2,,,,1,,,,,1,,,,,1,,,,,,,,,3,1,3,,,1,,1,,,,,,3,,,,,,,3,,2,,1,,,,,15,,,4,,,14,8,,2,3,,,,,26,34,,1,4,,,,1,,19,,318,58,1,,,2,,,,,,1,,,,,2,,,,1,,4,,,1,,,,,,,,,,,,,,,3,19,,,,,,,8,,
230,1171/1067/953,--/1100/--,4,,,1,4,15,,,,,,,11,,1,2,1,,1,,4,,,,,,,5,,4,2,,,,,,,,9,,,,,,,,1,,,,18,,1,1,4,,3,,17,,,,1,,,2,,,,,,,,,,,,1,,,,1,2,2,,,4,,2,,,,,,1,,1,,,,,1,,11,,1,,1,1,1,45,,,1,,,29,22,,2,,3,,,1,20,104,2,6,,,,,,,32,1,435,69,,,,1,,,,1,1,,,,,,1,,,1,,,5,,,,,1,,2,,,,,1,,,,,,5,17,,1,,,,,13,,
250,1356/1250/1137,--/1280/--,3,,1,,1,10,,2,,,,,4,1,1,,,,,,9,,,,,,,6,,3,2,1,,,,,5,,6,,,1,,,,3,,,,,9,,1,,8,1,2,,8,,1,,1,,,,,3,,,,,,,,,,,,1,,7,1,5,,,,,,,,,,,1,,1,1,,,,2,,13,,,,2,1,,33,,,2,,,15,17,1,7,,3,,,,37,74,,,,,,,,,32,,545,83,,,,1,,,,,,1,,,1,,2,,,3,5,,2,,,,,,,2,,1,,,,,,,,,3,10,,,,,,1,7,,
260,1451/1344/1230,--/1370/--,2,,,,5,27,,1,,,,1,8,2,,,11,,,,15,,,,,,,5,,,6,,,,,,7,,33,,5,,,,,1,,,1,,34,1,,,8,,,1,11,,5,,,1,,,1,2,1,,,,1,,1,1,,,1,,,2,3,4,,,1,1,,,,,,,6,,3,,,,,11,,16,13,,,1,,5,18,,,11,1,,9,30,,8,1,1,3,,4,16,120,7,2,2,,,,,,60,,267,101,,,,1,1,,1,,1,3,1,7,,,2,,,,,,10,,,,,3,,,,,,,2,,,,,,1,32,,1,,,,,8,,
280,1650/1541/1428,--/1550/--,2,,,,2,11,,1,,,,,6,,,4,1,,,,12,,,,,,,,,,1,,,,,,3,,7,,,,1,,,,,,,,21,,,,2,,1,,13,,,,,,,,3,,,,,,1,,1,,,,,,,4,1,1,,,2,,,,1,,,,1,1,,,,,,1,,15,5,,,,,,16,,,7,1,,9,22,1,2,,2,,,,9,87,5,1,1,,,,,,49,,257,55,,,,,,,,,2,1,,2,,,1,,,,1,,3,,,,,1,,,,,,,1,,,,,1,3,22,1,,,,,1,14,,
