Depth,Sample age (C14 BP),Sample age (cal BP),Lycopodium spikecounted,Lycopodium tabletsquantity added,Lycopodium tabletsconcentration,Acer,Amaranthaceae,Arbutus,Artemisia,Asteraceae,Berberis,Betula,Buxus,Caryophyllaceae,Centaurea,Cistaceae,Corylus,Cyperaceae,Ephedra,Ericaceae,Fraxinus,Fungispore,Genista-type,Ilex,Indeterminable (unknown)/spore,Juglans,Juniperus,Lamiaceae,Myriophyllum,Olea,Phillyrea,Pinus,Pinus pinaster,Pistacia,Plantago,Poaceae,Polygonum aviculare-type,Potamogeton,Pseudoschizaeapalynomorph,Pteridium aquilinumspore,Quercus (deciduous),Quercus (evergreen),Rhamnus,Ricciaspore,Salix,Spermatophyta undiff. (trees/shrubs),Taxus,Thymelaeaceae,Typha,Ulmus,Zygnemataceaefilament/cell
1,--/1350/--,--/1182/--,139,2,12542,,14,2,32,13,3,,,5,3,11,,70,1,,,86,7,,14,4,36,17,,1,,65,5,,12,32,8,,79,2,3,5,9,22,,19,,,,,3
5,--/1385.2/--,--/1245.9/--,138,2,12542,1,9,1,28,21,3,,,1,,10,,49,1,,,59,5,,10,7,29,15,,2,,98,3,,14,22,2,,64,,4,7,7,28,,15,,,,,3
13,--/1455.6/--,--/1371.3/--,160,2,12542,,10,,31,15,3,,,,,15,,40,3,,,81,,,4,4,27,15,,,,180,4,,15,33,,,27,,6,19,,23,,3,,,4,3,8
15,--/1480.185/--,--/1403.5/--,152,2,12542,,6,,7,8,,,,2,1,8,1,15,4,,,36,,,8,3,8,5,,,,301,12,,7,15,,,17,,14,26,5,4,,5,,,,2,35
23,--/1587.839/--,--/1539.8/--,150,2,12542,1,8,1,21,5,,1,,,,3,2,14,3,,5,18,,1,4,,26,11,,,,347,7,,,38,,,20,,9,27,,2,,,,,4,,69
22,--/1574.383/--,--/1523/--,150,2,12542,,12,,11,5,,1,,,,10,,19,4,,,15,2,,10,1,14,3,,,,292,3,,4,33,,,11,,14,28,,,2,2,,,3,1,38
29,--/1668.58/--,--/1642.4/--,147,2,12542,,,2,13,5,,,,,,2,,9,9,,5,30,,,10,,9,8,,2,2,333,15,,,32,,,11,,9,21,,,2,,,,4,,33
32,--/1708.951/--,--/1694.1/--,151,2,12542,1,6,1,13,9,,2,,,,3,1,16,3,,,15,,,9,,11,3,,,,350,8,,4,21,,5,,,12,27,,2,2,,,,8,,43
31,--/1695.494/--,--/1677/--,151,2,12542,,6,1,4,4,,,,,,7,,12,4,,,31,1,,7,,13,9,,,,360,17,1,3,40,,4,6,,12,16,,3,,1,,,4,,55
39,--/1803.148/--,--/1813.9/--,161,2,12542,,4,1,17,3,,3,,,,4,1,13,2,,2,11,,,7,4,10,3,,1,,323,11,1,,35,,4,12,,5,27,,,2,,,,6,1,38
45,--/1883.889/--,--/1915.6/--,150,2,12542,1,5,,12,5,,,,,,5,2,21,2,,2,23,,,7,,14,6,,,,328,5,,5,25,,,20,,13,21,,,,,,,5,,58
48,--/1924.259/--,--/1969/--,163,2,12542,1,4,,14,3,1,,,,,4,,30,1,,,24,,,8,,15,5,3,,1,380,13,,,22,,3,21,,13,26,,,1,1,,,4,,44
56,--/2031.914/--,--/2107.4/--,150,2,12542,,11,,19,3,,3,,,,9,,15,1,,2,11,,,3,,10,5,,,1,339,4,,5,27,,3,4,,9,21,,2,4,,,,5,2,46
