labID,C14 age,C14 error,sample,cc
UGAMS 44358,130,20,ASOM 18 WP144-4,1
UGAMS 37185,110,20,ASOM 18 WP 108-1b,1
UGAMS 37187,140,20,ASOM 18 WP 107-2b,1
UGAMS 44357,100,20,ASOM 18 WP142-B,1
UGAMS 32588,160,25,WP45-2,1
UGAMS 44360,340,20,ASOM 18 WP153-2,1
UGAMS 42501,510,20,ASOM 18 WP155-2B,1
UGAMS 29897,710,25,38-3a 4-6,1
UGAMS 42500,800,20,ASOM 18 WP146,1
UGAMS 29898,970,25,WP50-2 0.5-2,1
UGAMS 44353,1540,20,ASOM 18 WP155-2C,1
UGAMS 29900,1570,25,WP38-2 B,1
UGAMS 44355,1580,20,ASOM 18 WP147-1,1
UGAMS 29896,1640,25,WP50-3a 7-9,1
UGAMS 42505,1680,20,ASOM 18 WP138,1
UGAMS 42507,1690,20,WP151,1
UGAMS 42506,1740,20,ASOM 18 WP145-4,1
UGAMS 44361,1760,20,ASOM 18 WP111-2E,1
UGAMS 44359,2820,20,ASOM 18 WP155-D,1
UGAMS 37186,2940,20,ASOM 18 WP103-2c,1
UGAMS 42503,3030,20,ASOM 18 WP149-2,1
UGAMS 44362,3690,20,155-F,1
