"sampleid","geochrontype","agetype","depth","thickness","age","errorolder","erroryounger","infinite","delta13c","labnumber","materialdated","notes"
518917,Carbon-14,Radiocarbon years BP,103,4,1275,25,25,false,,KIA23706,pollen,1.1 C(mg)
518926,Carbon-14,Radiocarbon years BP,602.5,9,4080,35,35,false,,KIA24518,pollen,0.8 C(mg)
518919,Carbon-14,Radiocarbon years BP,152,4,1535,45,45,false,,KIA23707,pollen,0.5 C(mg)
518918,Carbon-14,Radiocarbon years BP,252.5,5,2045,45,45,false,,KIA23708,pollen,0.6 C(mg)
518928,Carbon-14,Radiocarbon years BP,687.5,5,5090,45,45,false,,KIA23969,pollen,0.7 C(mg)
518920,Carbon-14,Radiocarbon years BP,302.5,5,3430,55,55,false,,KIA23709,pollen,0.5 C(mg), Too old
518927,Carbon-14,Radiocarbon years BP,649.5,5,4910,40,40,false,,KIA19793,pollen,1 C(mg)
518921,Carbon-14,Radiocarbon years BP,356,4,2710,25,25,false,,KIA24517,pollen,1.1 C(mg)
518922,Carbon-14,Radiocarbon years BP,402.5,5,2780,40,40,false,,KIA23968,pollen,0.6 C(mg)
518923,Carbon-14,Radiocarbon years BP,452,8,3055,30,30,false,,KIA24521,pollen,1 C(mg)
518924,Carbon-14,Radiocarbon years BP,502.5,9,3600,25,25,false,,KIA24520,pollen,2.1 C(mg), Too old
518925,Carbon-14,Radiocarbon years BP,552.5,9,3370,50,50,false,,KIA24519,pollen,0.6 C(mg)
518916,Carbon-14,Radiocarbon years BP,52.5,5,715,25,25,false,,KIA23705,pollen,0.8 C(mg)
