Depth,Calendar years BP,Eucalyptus spikecounted,Eucalyptus tabletsconcentration,Eucalyptus tabletsquantity added,Sample quantityvolume,Abies,Acer,Alchemilla,Alnus,Amaranthaceae,Androsace,Anthemis-type,Apiaceae undiff.,Armeria,Artemisia,Betula,Brassicaceae,Bupleurum-type,Caryophyllaceae,Centaurea montana-type,Centaurea solstitialis-type,Chrysosplenium,Cichorioideae,Cirsium,Cistus,Corylus,Cupressaceae-type,Cyperaceae,Ephedra distachya,Ephedra fragilis-type,Epilobium,Equisetumspore,Fagus,Filipendula,Galium-type,Helianthemum,Helleborus-type,Hippophaë,Indeterminable/spore,Lonicera,Lotus,Mentha-type,Mercurialis,Myriophyllum,Ostrya,Papaveraceae,Pedicularis,Phillyrea,Picea,Pinus,Plantago,Poaceae,Polypodiophyta (monolete)spore,Polypodiophyta undiff.spore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Primulaceae undiff.,Quercus ilex,Quercus undiff.,Ranunculus,Resedaceae,Rhamnaceae,Rosaceae undiff.,Rumex,Salix,Sanguisorba officinalis,Saxifragaceae undiff.,Scilla-type,Scrophulariaceae,Solidago-type,Sorbus,Stachys-type,Thalictrum,Tilia,Trifolium-type,Typha angustifolia,Ulmaceae,Urtica-type,Valeriana,Veronica-type,Viola palustris-type
18.2,--/19255.4/--,1084,45500,1,1.5,,,,1,57,6,11,,,336,2,19,,4,,,,13,4,,,19,6,1,,,,,2,10,10,15,4,27,,,1,,,,,,1,,172,4,181,,1,,,1,2,,,2,,,,1,2,1,,,,,8,,,9,,,,1,,,2,
18.4,--/19258.2/--,560,45500,1,1.5,,,,,21,,8,7,,192,4,9,,6,,,,14,3,,,14,3,4,1,,,3,,3,6,5,2,30,,,1,,,,,,,,81,3,136,,,,1,1,,,,2,2,,,1,,,,,,,7,,,2,,,,,,,3,1
18.6,--/19261/--,855,45500,1,1.4,,,,,56,3,12,3,,263,2,13,,8,,,,9,6,,1,8,6,1,,,,,,5,9,8,2,28,1,,,,,,,,,,101,6,171,,,,,2,2,,,6,,,,1,4,,,,,,5,,,5,,,,,,,1,
18.8,--/19263.8/--,270,45500,1,1.6,1,,,,46,7,7,2,,154,2,7,,19,,,1,16,11,,,3,6,1,3,,,4,,1,19,8,3,26,,,,,,,,,,,147,5,163,,,,,1,,,,5,,,1,,2,,,,,2,12,,,1,1,,1,,,,,
19,--/19266.6/--,935,45500,1,1,,1,,1,63,9,9,,,276,3,13,,12,,,1,9,5,,,9,9,2,,,,2,,6,10,12,2,14,,,1,,,,,,,,131,4,228,,1,1,,,1,,,2,,,,2,3,1,1,,,,9,,,10,,,,,2,,3,
19.2,--/19269.4/--,215,45500,1,1.2,,,,,28,5,4,3,,129,1,3,,12,,,2,10,6,,,5,,,2,,,,,2,4,9,,27,,,,2,,,,,,,100,2,109,,1,,,,,,,3,,1,,1,1,1,,,1,,5,,3,4,,,,,,,1,
19.4,--/19272.2/--,829,45500,1,1.6,,,1,1,60,13,12,3,,355,2,9,,10,,,,10,9,,,14,7,1,2,,,,,3,17,12,3,34,,,1,1,,,,,,,106,5,166,,,,,2,1,,,3,2,,,3,2,,,1,,,13,,,7,,,,,,,3,
19.6,--/19275/--,127,45500,1,1.8,,,,1,72,15,7,3,,116,3,10,,17,,1,1,9,4,,1,2,2,2,1,1,,1,,1,11,5,,22,,,2,,,,1,,,,198,3,146,,1,,,,,,,2,,,,2,1,,,,,,5,,1,10,,,,,,,3,
19.8,--/19277.8/--,461,45500,1,1.6,,,,,49,18,6,3,,221,2,4,,9,,2,,12,10,,,5,3,2,,,,,,3,7,9,1,23,,,,,,,,,,,73,2,116,,,,,,,,,,2,,,,1,,,,1,,7,,,5,,,,,1,,2,
20,--/19280.6/--,136,45500,1,1.6,,,,1,40,2,2,3,,86,3,4,,10,,2,1,3,8,,,,2,,1,,,1,,4,6,7,,13,,,,,,,,,,,88,3,80,,1,,2,,,,,,,,,,,1,,,,,3,,,6,,,,,,,,
36.6,--/19282.6/--,642,45500,1,1.7,2,,,,28,1,7,6,,179,5,2,,8,,,,2,3,,,61,18,1,1,,,,,6,23,,4,6,,,1,1,,,,1,,3,141,17,322,,,,,2,,,,1,6,,,3,6,1,,,,,3,,,7,,,,1,1,,,
36.8,--/19283.8/--,497,45500,1,2.4,1,,,,42,2,14,10,,249,7,4,1,12,,4,,7,3,,,107,28,1,1,,,6,4,13,24,5,8,2,,,2,2,1,,,,,,200,20,526,1,,,,1,1,,1,7,4,,1,4,13,,,,,,3,,,3,,1,3,2,,,,
37,--/19285/--,266,45500,1,1.8,,1,,1,25,2,7,9,1,163,2,2,,9,,2,4,2,2,,,103,13,2,,,3,3,1,8,13,,9,9,,2,,1,,,,,1,,97,13,252,,,3,,1,1,1,,7,4,,,,1,,,,1,,2,,,4,,,,1,,,,
37.2,--/19286.2/--,447,96000,1,1.8,,,,1,27,,11,11,,168,4,3,,2,,1,,7,,,,101,30,1,1,,2,1,1,9,12,1,6,8,,,,2,,,,,,,184,18,389,,,,,,,,,1,1,,,1,3,,,,,,3,,,5,,,1,,,,,
37.4,--/19287.4/--,170,45500,1,2,1,,,,28,2,9,4,,142,2,5,2,11,,,2,1,4,,,83,23,6,1,,6,2,2,4,30,2,8,13,,,2,1,,1,,,,,205,14,280,,,,,,,,,1,3,,,,8,1,,,1,,,,,5,,,1,,,,,
37.6,--/19288.6/--,360,45500,1,1.8,1,1,,2,31,4,14,12,,230,3,4,,6,1,1,2,8,5,1,1,105,21,4,2,,2,6,,7,33,3,4,11,1,,,2,,,,,,,184,18,393,,,,,2,,,,7,6,,,1,1,1,,1,,1,10,1,,1,,,,,,1,,
