Biogeographic area,Country,Site,Site_name_machine_readable,Archive type,Latitude,Longitude,Altitude,Database,Pollen,Published,Data received (from authors),Link to database,dataset_id,Dated,Recalibrated,Period,African Humid Period,Minimum mean cal BP,Maximum mean cal BP,Observations,"Concentration (Lycopodium, Eucalyptus, Spikes)",Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8,Reference 9,Reference 10,Reference 11,Reference 12,Reference 13,Reference 14,Reference 15,Reference 16
Arabian Peninsula,Oman,098-10,098-10_Oman,Terrestrial core,22.2425,59.77333333,126.8874359,APD,Modern,Yes,NA,https://africanpollendatabase.ipsl.fr/#/dataset/modern/37622a43-d366-4328-81e8-d17a498a6085,NA,Modern,Modern,Modern,NA,NA,NA,NA,NA,"Lézine, A.M. et al 2010 Climate change and human occupation in the Southern Arabian lowlands during the last deglaciation and the Holocene. Global and Planetary Change. https://doi.org/10.1016%2Fj.gloplacha.2010.01.016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arabian Peninsula,Oman,098-11,098-11_Oman,Terrestrial core,22.50305556,59.71555556,142.79776,APD,Modern,Yes,NA,https://africanpollendatabase.ipsl.fr/#/dataset/modern/37622a43-d366-4328-81e8-d17a498a6085,NA,Modern,Modern,Modern,NA,NA,NA,NA,NA,"Lézine, A.M. et al 2010 Climate change and human occupation in the Southern Arabian lowlands during the last deglaciation and the Holocene. Global and Planetary Change. https://doi.org/10.1016%2Fj.gloplacha.2010.01.016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arabian Peninsula,Oman,098-17,098-17_Oman,Terrestrial core,22.49416667,59.72555556,135.0480042,APD,Modern,Yes,NA,https://africanpollendatabase.ipsl.fr/#/dataset/modern/37622a43-d366-4328-81e8-d17a498a6085,NA,Modern,Modern,Modern,NA,NA,NA,NA,NA,"Lézine, A.M. et al 2010 Climate change and human occupation in the Southern Arabian lowlands during the last deglaciation and the Holocene. Global and Planetary Change. https://doi.org/10.1016%2Fj.gloplacha.2010.01.016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arabian Peninsula,Oman,098-18,098-18_Oman,Terrestrial core,22.49416667,59.72555556,135.0480042,APD,Modern,Yes,NA,https://africanpollendatabase.ipsl.fr/#/dataset/modern/37622a43-d366-4328-81e8-d17a498a6085,NA,Modern,Modern,Modern,NA,NA,NA,NA,NA,"Lézine, A.M. et al 2010 Climate change and human occupation in the Southern Arabian lowlands during the last deglaciation and the Holocene. Global and Planetary Change. https://doi.org/10.1016%2Fj.gloplacha.2010.01.016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arabian Peninsula,Oman,098-24,098-24_Oman,Terrestrial core,22.49222222,59.73916667,135.0480042,APD,Modern,Yes,NA,https://africanpollendatabase.ipsl.fr/#/dataset/modern/37622a43-d366-4328-81e8-d17a498a6085,NA,Modern,Modern,Modern,NA,NA,NA,NA,NA,"Lézine, A.M. et al 2010 Climate change and human occupation in the Southern Arabian lowlands during the last deglaciation and the Holocene. Global and Planetary Change. https://doi.org/10.1016%2Fj.gloplacha.2010.01.016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arabian Peninsula,Oman,098-25_Oman,098-25_Oman,Terrestrial core,22.49111111,59.7375,135.0480042,APD,Modern,Yes,NA,https://africanpollendatabase.ipsl.fr/#/dataset/modern/37622a43-d366-4328-81e8-d17a498a6085,NA,Modern,Modern,Modern,NA,NA,NA,NA,NA,"Lézine, A.M. et al 2010 Climate change and human occupation in the Southern Arabian lowlands during the last deglaciation and the Holocene. Global and Planetary Change. https://doi.org/10.1016%2Fj.gloplacha.2010.01.016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arabian Peninsula,Oman,098-26_Oman,098-26_Oman,Terrestrial core,22.49111111,59.7375,135.0480042,APD,Modern,Yes,NA,https://africanpollendatabase.ipsl.fr/#/dataset/modern/37622a43-d366-4328-81e8-d17a498a6085,NA,Modern,Modern,Modern,NA,NA,NA,NA,NA,"Lézine, A.M. et al 2010 Climate change and human occupation in the Southern Arabian lowlands during the last deglaciation and the Holocene. Global and Planetary Change. https://doi.org/10.1016%2Fj.gloplacha.2010.01.016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arabian Peninsula,Oman,098-27_Oman,098-27_Oman,Terrestrial core,22.49111111,59.7375,135.0480042,APD,Modern,Yes,NA,https://africanpollendatabase.ipsl.fr/#/dataset/modern/37622a43-d366-4328-81e8-d17a498a6085,NA,Modern,Modern,Modern,NA,NA,NA,NA,NA,"Lézine, A.M. et al 2010 Climate change and human occupation in the Southern Arabian lowlands during the last deglaciation and the Holocene. Global and Planetary Change. https://doi.org/10.1016%2Fj.gloplacha.2010.01.016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arabian Peninsula,Oman,098-2b,098-2b_Oman,Terrestrial core,22,58.92027778,397.4719849,APD,Modern,Yes,NA,https://africanpollendatabase.ipsl.fr/#/dataset/modern/37622a43-d366-4328-81e8-d17a498a6085,NA,Modern,Modern,Modern,NA,NA,NA,NA,NA,"Lézine, A.M. et al 2010 Climate change and human occupation in the Southern Arabian lowlands during the last deglaciation and the Holocene. Global and Planetary Change. https://doi.org/10.1016%2Fj.gloplacha.2010.01.016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arabian Peninsula,Oman,098-35,098-35_Oman,Terrestrial core,22.48638889,59.745,135.0480042,APD,Modern,Yes,NA,https://africanpollendatabase.ipsl.fr/#/dataset/modern/37622a43-d366-4328-81e8-d17a498a6085,NA,Modern,Modern,Modern,NA,NA,NA,NA,NA,"Lézine, A.M. et al 2010 Climate change and human occupation in the Southern Arabian lowlands during the last deglaciation and the Holocene. Global and Planetary Change. https://doi.org/10.1016%2Fj.gloplacha.2010.01.016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
