Depth,Sample age (C14 BP),Sample age (cal BP),Alnus,Amaranthaceae,Apiaceae,Armeria,Artemisia,Asteroideae,Betula,Brassicaceae,Buxus,Campanulaceae,Cannabaceae,Caryophyllaceae,Centaurea,Chamaerops,Cichorioideae,Cistaceae,Coriaria,Corylus,Cyperaceae,Echium,Ephedra distachya-type,Ephedra fragilis-type,Erica,Euphorbia,Fabaceae,Fraxinus,Hedera,Hypecoum,Lamiaceae,Liliaceae,Lygeum,Myriophyllum,Olea/Phillyrea,Persicaria maculosa-type,Pinus,Pistacia,Plantago,Poaceae,Poaceae (Cerealia-type),Polygala,Polypodiaceae,Quercus (deciduous),Quercus (evergreen),Rhamnus,Rumex,Ruppia,Salix,Sambucus,Sanguisorba minor-type,Scabiosa,Tamarix,Thymelaea,Tilia,Typha/Sparganium,Vitis,cf. Juniperus
80,--/697.3871/--,--/758/--,1,810,,,140,20,,1,,,,,,,60,10,,5,400,,,5,,,,,,,,,,,10,,220,,5,220,,,,,80,,,,,,,,5,,,60,,5
120,--/1046.081/--,--/1132/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,--/1569.121/--,--/1687/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,--/2092.162/--,--/2240/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,--/2615.202/--,--/2784/--,0,480,0,1,76,3,0,0,0,0,1,0,2,0,3,1,0,2,152,0,0,4,14,0,2,0,0,0,0,0,0,0,1,0,130,0,1,120,6,0,1,1,57,0,0,0,0,0,0,0,4,0,0,374,0,11
355,--/3094.656/--,--/3277/--,0,33,1,0,36,6,0,0,0,0,0,0,0,0,6,5,0,0,39,0,0,5,7,0,2,0,0,0,0,0,0,0,8,0,129,0,2,111,0,0,2,6,195,0,0,0,0,0,0,0,16,1,0,39,0,15
410,--/3574.109/--,--/3761/--,0,13,0,0,1,2,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,6,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
500,--/3781.826/--,--/4038/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,--/3909.224/--,--/4201/--,0,13,1,0,10,3,1,1,0,0,0,0,0,0,0,6,1,0,9,0,0,6,1,1,0,0,0,0,0,0,0,0,6,0,165,0,2,24,0,0,0,6,39,1,0,0,0,0,0,0,5,0,0,2,1,2
680,--/4062.222/--,--/4378/--,0,7,1,0,10,3,2,2,0,0,0,0,0,0,1,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,160,2,1,28,0,0,1,1,24,0,0,3,0,0,0,0,1,0,0,1,2,1
1060,--/4843.333/--,--/5400/--,3,47,5,0,18,3,2,4,0,0,0,0,0,0,1,3,0,3,3,0,0,2,2,0,0,0,0,0,1,0,1,0,16,0,99,3,2,21,0,0,0,5,122,0,0,0,0,0,0,0,0,0,0,1,2,1
1370,--/6145.556/--,--/6850/--,2,151,5,0,27,4,2,4,0,0,0,0,0,0,7,4,0,1,21,1,10,4,1,0,0,1,0,0,0,0,1,0,38,0,230,11,1,54,1,0,0,20,143,0,1,0,0,0,0,0,4,0,0,47,0,10
1600,--/7423.333/--,--/8252/--,0,71,3,0,7,0,1,1,3,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,0,110,3,0,27,0,0,0,14,106,0,0,0,0,1,0,0,2,0,0,4,0,4
2060,--/9978.889/--,--/10914/--,0,29,4,0,52,7,2,2,0,0,0,0,2,0,11,1,0,2,24,0,11,2,1,0,0,0,0,0,0,1,0,0,2,0,79,4,1,61,2,1,0,12,132,0,0,0,0,0,0,0,4,0,0,5,0,7
30,--/261.5202/--,--/287/--,,756,,,18,18,,6,,,,,,,18,4,,,24,,,,6,,,,,,,,,,6,,192,,,48,,,,,4,,1,,,,,,,,,,,
130,--/1133.254/--,--/1226/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,--/1743.468/--,--/1872/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,--/2266.508/--,--/2424/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,--/2789.549/--,--/2963/--,0,39,1,0,72,1,1,0,0,0,0,0,0,0,1,9,0,1,17,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,58,1,1,81,0,0,0,3,64,1,0,0,3,0,0,0,12,0,0,504,0,2
370,--/3225.416/--,--/3412/--,2,5,4,0,18,0,1,1,0,0,0,0,0,0,2,4,0,0,18,0,0,2,9,0,0,0,0,0,0,0,0,0,1,0,52,1,3,23,1,0,1,15,111,1,0,0,0,0,0,0,18,0,0,15,0,9
440,--/3696.895/--,--/3904/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
