Depth,Sample age (C14 BP),Sample age (cal BP),Alnus,Amaranthaceae,Apiaceae,Armeria,Artemisia,Asteroideae,Betula,Brassicaceae,Buxus,Campanulaceae,Cannabaceae,Caryophyllaceae,Centaurea,Chamaerops,Cichorioideae,Cistaceae,Coriaria,Corylus,Cyperaceae,Echium,Ephedra distachya-type,Ephedra fragilis-type,Erica,Euphorbia,Fabaceae,Fraxinus,Hedera,Hypecoum,Lamiaceae,Liliaceae,Lygeum,Myriophyllum,Olea/Phillyrea,Persicaria maculosa-type,Pinus,Pistacia,Plantago,Poaceae,Poaceae (Cerealia-type),Polygala,Polypodiaceae,Quercus (deciduous),Quercus (evergreen),Rhamnus,Rumex,Ruppia,Salix,Sambucus,Sanguisorba minor-type,Scabiosa,Tamarix,Thymelaea,Tilia,Typha/Sparganium,Vitis,cf. Juniperus
530,--/3824.292/--,--/4098/--,0,27,1,0,24,6,1,0,0,0,0,0,0,0,11,9,0,0,16,0,0,8,3,0,3,0,0,0,0,0,0,0,4,0,61,0,0,48,0,0,0,3,59,0,0,0,0,0,0,0,4,0,0,4,0,0
620,--/3951.689/--,--/4239/--,0,5,2,0,4,1,1,0,0,0,0,0,0,0,1,4,0,1,5,0,0,2,3,0,0,0,0,0,0,0,0,0,3,0,185,0,2,20,0,0,0,2,35,0,0,0,0,0,0,0,3,0,0,3,1,6
740,--/4185.556/--,--/4553/--,2,11,0,0,14,1,0,6,0,0,0,0,0,0,2,10,0,2,8,0,1,2,3,0,0,0,0,0,0,0,0,0,6,0,355,0,0,10,0,0,1,2,82,0,0,0,0,0,0,0,0,0,0,0,1,2
1140,--/5007.778/--,--/5588/--,0,157,2,0,18,1,1,0,0,0,0,0,0,0,4,3,0,1,5,0,3,3,3,0,0,0,0,0,0,0,0,0,10,0,96,1,2,16,0,0,0,2,84,0,2,0,0,0,1,0,1,0,0,4,1,8
1380,--/6201.111/--,--/6912/--,0,21,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,6,1,25,0,0,5,1,0,0,1,18,0,0,0,0,0,0,0,0,0,0,1,0,3
1700,--/7978.889/--,--/8847/--,0,89,1,0,17,1,0,1,2,0,0,0,1,0,1,1,0,3,7,0,2,4,2,0,1,0,0,0,1,0,0,0,24,0,46,1,2,34,0,0,0,14,110,0,2,0,0,0,0,0,1,0,0,4,0,6
2070,--/10034.44/--,--/10971/--,0,31,5,0,67,6,0,0,0,0,0,0,0,0,1,4,0,4,7,0,9,5,0,0,0,0,0,0,0,0,0,0,5,0,55,1,1,24,4,0,0,3,133,0,0,0,1,0,0,0,3,0,0,4,1,1
50,--/435.867/--,--/477/--,,48,,,40,12,,,,,,,,,20,,,,44,,,3,8,,,,,,,,,,4,,292,,4,36,8,,3,,8,,,,,,,,8,,,40,,4
140,--/1220.428/--,--/1319/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,--/1656.295/--,--/1780/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,--/2179.335/--,--/2332/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,--/2702.375/--,--/2873/--,1,50,1,0,24,3,0,0,0,0,0,0,1,0,2,2,0,0,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,50,0,1,14,0,0,2,0,23,0,0,0,0,0,0,0,0,0,0,53,0,3
360,--/3138.242/--,--/3322/--,3,19,0,0,26,9,1,0,0,1,0,0,0,0,22,14,0,1,20,0,0,4,12,0,1,0,0,0,0,0,0,0,10,0,221,0,4,62,0,0,2,6,68,0,0,0,0,0,0,0,2,1,0,22,0,14
420,--/3661.283/--,--/3846/--,0,4,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
520,--/3810.137/--,--/4078/--,0,28,0,0,21,13,1,2,0,0,0,0,0,0,10,1,0,1,21,0,2,8,8,0,0,0,0,0,0,0,0,0,11,0,75,1,1,27,0,0,0,2,30,0,0,2,0,0,0,0,4,0,0,18,0,1
615,--/3944.612/--,--/4233/--,0,6,0,0,4,3,0,2,0,0,0,0,0,0,0,8,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,118,1,1,15,0,0,0,2,24,1,0,1,0,0,0,0,0,0,0,2,0,1
700,--/4103.333/--,--/4437/--,0,9,0,0,3,4,0,2,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,117,0,0,19,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,1,0
1100,--/4925.556/--,--/5495/--,2,80,1,0,16,2,3,0,0,0,0,0,0,0,4,4,0,0,8,0,2,5,1,0,0,0,0,0,0,0,0,0,10,0,131,1,1,19,0,0,0,3,128,0,2,0,0,0,0,0,0,0,0,3,0,2
1410,--/6367.778/--,--/7097/--,0,61,2,0,18,1,2,4,1,0,0,0,0,0,10,6,0,3,10,0,8,5,4,0,0,0,0,0,0,0,1,0,9,0,99,1,1,16,0,0,1,15,79,0,0,0,0,0,0,1,1,0,0,2,1,5
1740,--/8201.111/--,--/9081/--,1,74,9,0,29,2,4,2,5,0,0,0,1,0,3,1,0,13,3,0,5,0,1,0,1,0,0,0,2,0,1,2,42,0,27,17,4,137,0,0,0,42,136,0,4,0,0,2,0,0,3,0,0,5,0,8
2100,--/10201.11/--,--/11143/--,0,62,1,0,24,7,3,0,0,0,1,0,0,0,3,6,0,4,27,0,5,3,0,0,0,0,0,0,1,0,2,2,3,0,31,0,0,55,0,0,0,25,87,0,1,0,0,0,0,0,3,0,0,3,0,9
70,--/610.2138/--,--/665/--,,180,,,240,45,,,,,,,,,95,25,,,125,,,,5,,,,,,,,,,6,,375,,15,135,5,,,5,50,,,,,,,,15,,,,,10
150,--/1307.601/--,--/1411/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,--/1830.641/--,--/1964/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,--/2353.682/--,--/2515/--,0,29,1,0,51,8,1,0,0,0,0,0,1,0,7,3,0,3,70,0,0,6,8,0,0,0,0,0,0,0,0,0,1,0,72,1,1,79,0,0,0,1,65,0,0,0,0,0,0,0,0,0,0,73,0,3
340,--/2963.896/--,--/3141/--,0,18,1,0,51,11,0,0,0,0,0,0,0,0,8,5,0,1,3,0,1,7,15,0,0,0,0,0,0,0,0,0,3,0,124,1,1,48,0,0,1,1,46,0,0,0,0,0,0,0,0,0,0,24,0,4
390,--/3399.762/--,--/3588/--,0,18,1,0,2,4,0,0,0,0,0,0,0,0,9,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,20,0,0,7,0,0,1,0,8,0,0,0,0,0,0,0,1,0,0,0,0,2
470,--/3739.361/--,--/3979/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,--/3895.069/--,--/4185/--,0,26,1,0,15,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,5,0,92,0,1,10,0,0,0,2,27,1,0,0,0,0,0,0,1,0,0,15,1,2
670,--/4041.667/--,--/4348/--,0,8,0,0,5,2,3,2,0,0,1,0,0,0,1,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,189,3,2,28,0,0,0,6,60,0,0,4,0,0,0,0,0,0,0,3,0,8
980,--/4678.889/--,--/5207/--,1,31,2,0,23,1,0,0,0,0,0,1,0,0,6,10,0,2,4,0,1,2,0,0,0,1,0,0,0,0,0,0,30,0,141,4,4,8,0,0,0,10,92,0,1,0,0,0,0,0,0,0,0,0,8,2
1340,--/5978.889/--,--/6665/--,2,96,4,0,15,4,2,1,0,0,0,0,0,0,2,2,0,1,8,0,0,5,1,0,1,0,0,0,1,0,1,0,19,0,67,0,1,15,0,0,1,7,75,0,1,0,0,0,0,0,0,0,0,10,0,2
1570,--/7256.667/--,--/8073/--,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,15,0,0,4,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,--/9423.333/--,--/10344/--,0,31,0,0,20,6,0,3,0,0,1,0,0,0,1,5,0,1,5,0,5,2,1,0,0,0,0,0,1,0,1,1,7,0,204,5,3,68,0,0,0,10,55,0,1,0,0,1,0,0,1,0,0,2,0,2
40,--/348.6936/--,--/383/--,,186,,,40,12,,,,,,,,,30,,,1,114,,,1,6,,,,,,,,,,,,228,,6,42,,,2,,18,,,,,,,,,,,18,,2
160,--/1394.774/--,--/1504/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,--/1917.815/--,--/2057/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,--/2528.029/--,--/2695/--,1,326,1,0,40,3,0,0,0,0,0,0,0,0,4,2,0,0,63,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,133,0,1,60,3,0,1,0,50,0,0,0,0,0,0,0,0,0,0,1467,0,3
350,--/3051.069/--,--/3232/--,0,29,5,0,16,28,0,10,0,0,0,0,0,0,32,3,0,1,24,0,0,13,2,0,1,0,0,0,0,0,0,0,1,0,110,1,3,59,0,0,0,7,108,5,0,1,0,0,0,0,5,0,0,20,0,15
400,--/3486.936/--,--/3676/--,0,14,0,0,1,3,0,1,0,0,0,0,0,0,5,5,0,0,2,0,0,0,2,0,1,0,0,0,5,0,0,0,0,0,7,2,0,7,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0,1,0,1
460,--/3725.206/--,--/3953/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,--/3880.913/--,--/4170/--,0,75,1,0,28,1,0,3,0,0,1,0,0,0,0,6,0,1,5,0,0,3,1,0,1,0,0,0,0,0,0,0,5,0,31,0,1,23,0,0,0,1,39,0,0,0,0,0,0,0,1,0,0,13,1,3
660,--/4021.111/--,--/4321/--,0,17,0,0,9,3,1,2,0,0,0,0,0,0,0,11,0,1,3,0,0,3,2,0,0,0,0,0,0,0,0,0,10,0,143,2,2,18,0,0,0,10,60,3,0,1,0,0,0,0,4,0,0,3,4,8
940,--/4596.667/--,--/5099/--,1,30,4,0,23,4,3,2,0,0,0,0,0,0,9,5,0,1,11,0,1,1,3,0,0,0,0,0,0,0,0,0,26,0,240,2,0,26,0,0,1,5,88,0,3,0,0,1,0,0,1,0,0,2,5,2
1330,--/5923.333/--,--/6603/--,5,142,0,0,12,3,3,0,0,0,0,0,0,0,4,7,0,1,5,0,5,4,6,0,1,0,0,0,0,0,0,0,17,0,122,8,1,20,0,0,0,19,149,0,1,0,0,0,1,0,2,0,0,6,0,16
1560,--/7201.111/--,--/8013/--,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,0,0,4,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1870,--/8923.333/--,--/9831/--,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
60,--/523.0404/--,--/572/--,,96,,,52,4,,,,,,,,,24,4,,,48,,,,8,,,,,,,,,,16,,216,,8,56,,,,,16,,2,1,,,,,,,,20,,4
170,--/1481.948/--,--/1595/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,--/2004.988/--,--/2149/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,--/2440.855/--,--/2606/--,0,17,0,0,11,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,18,0,1,50,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,190,0,0
330,--/2876.722/--,--/3052/--,2,60,1,0,85,11,0,1,0,1,0,0,0,0,7,20,0,1,10,0,0,7,15,0,2,0,0,0,0,0,0,0,5,0,66,1,0,85,0,0,3,2,86,1,0,0,0,0,0,0,15,0,0,30,0,3
380,--/3312.589/--,--/3499/--,0,39,2,0,39,13,0,0,0,0,0,0,0,0,14,4,0,9,33,0,0,3,4,0,0,0,0,0,0,0,0,0,6,0,125,5,1,99,0,0,1,6,60,0,0,0,0,0,0,0,9,0,0,12,0,9
450,--/3711.05/--,--/3929/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,--/3866.758/--,--/4155/--,4,97,2,0,33,4,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,1,8,0,1,0,0,0,0,0,0,0,7,0,47,0,1,30,0,0,0,6,30,0,0,1,0,0,0,0,0,0,0,4,0,10
650,--/4000.556/--,--/4292/--,0,7,1,0,7,1,0,2,0,0,0,0,0,0,0,11,0,1,16,0,0,5,0,0,1,0,0,0,1,0,0,0,9,0,223,1,5,56,0,0,2,13,132,0,0,1,0,0,0,0,9,0,0,6,3,10
780,--/4267.778/--,--/4664/--,1,21,2,0,27,3,0,7,0,0,0,0,0,0,1,1,0,2,10,0,3,5,6,1,0,0,0,0,0,0,0,0,21,0,282,4,3,15,0,0,0,16,143,0,8,0,0,0,0,0,2,1,0,3,0,1
1200,--/5201.111/--,--/5805/--,0,126,3,0,18,7,1,0,0,0,0,0,0,0,2,1,0,0,5,0,5,3,2,0,0,0,0,0,0,0,0,0,19,0,74,1,3,23,0,0,0,8,98,0,2,0,0,0,0,0,0,0,0,3,1,3
1450,--/6590/--,--/7344/--,2,39,4,0,20,5,3,2,0,0,0,0,0,0,6,12,0,2,10,0,7,9,2,0,0,0,0,0,0,0,3,0,7,0,86,0,1,21,0,1,1,9,110,0,1,0,0,0,0,0,0,0,0,2,0,5
1810,--/8590/--,--/9488/--,0,133,5,0,15,2,0,0,2,0,0,0,0,0,1,3,0,5,15,0,2,3,0,0,0,0,0,0,0,0,5,1,17,0,71,11,4,83,0,0,0,32,57,0,0,0,0,0,0,0,2,0,0,12,0,10
110,--/958.9073/--,--/1039/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,--/3753.516/--,--/3997/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,--/3937.534/--,--/4228/--,0,5,7,0,4,1,0,2,0,0,1,1,0,0,1,5,0,0,12,0,0,3,6,0,1,0,0,0,0,0,0,0,6,0,178,0,0,46,0,0,0,7,113,1,0,1,0,0,0,0,8,0,0,1,2,3
710,--/4123.889/--,--/4466/--,0,5,0,0,2,1,0,2,0,0,0,0,0,0,1,7,0,0,8,0,0,1,3,0,1,0,0,0,0,0,0,0,3,0,142,0,1,14,0,0,0,0,22,1,0,0,0,0,0,0,1,0,0,0,2,2
1180,--/5090/--,--/5681/--,2,158,2,0,14,1,3,0,0,0,0,0,0,0,2,3,0,2,3,0,2,2,1,0,0,0,0,0,0,0,0,0,20,0,62,1,0,14,0,0,0,15,129,0,0,0,0,0,0,0,2,0,0,8,0,8
1390,--/6256.667/--,--/6973/--,0,95,5,0,15,1,1,0,0,0,0,0,0,0,1,0,0,2,8,0,0,3,2,0,1,0,0,0,0,0,0,0,27,0,88,1,1,21,0,0,0,6,115,0,1,0,0,0,0,0,1,0,0,3,0,1
1780,--/8423.333/--,--/9315/--,0,93,3,0,5,1,3,1,1,0,0,0,0,0,0,4,0,4,1,0,2,0,1,0,0,0,0,0,0,0,0,2,10,0,24,8,1,83,0,0,0,29,84,0,1,0,0,0,0,0,2,0,1,7,0,4
105,--/915.3207/--,--/992/--,,942,,,39,3,,,,,,,,,15,4,,,36,,,2,3,,,,,,,,,,1,,102,,6,42,3,,,,24,,,,,,,,2,,,3,,
490,--/3767.671/--,--/4017/--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,--/3923.379/--,--/4216/--,1,18,3,0,4,3,0,4,0,0,0,0,0,0,3,2,0,0,7,0,0,8,2,0,1,0,0,1,0,0,0,0,3,0,75,0,1,24,0,0,0,2,70,0,0,0,0,0,0,0,3,0,0,3,1,2
690,--/4082.778/--,--/4407/--,0,13,2,0,3,0,3,2,0,0,0,0,0,0,3,3,0,2,3,0,2,4,0,0,0,0,0,0,1,0,0,0,4,0,188,0,4,18,0,0,0,2,36,2,0,0,0,0,0,0,5,0,0,5,1,3
1020,--/4761.111/--,--/5303/--,1,42,2,0,22,0,3,0,0,0,0,0,0,0,3,5,1,0,2,0,5,10,2,0,0,0,0,0,0,0,0,0,19,0,126,2,1,8,0,0,1,4,86,0,1,0,0,1,0,0,0,0,0,3,6,2
1350,--/6034.444/--,--/6727/--,0,23,1,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,4,0,25,0,1,5,1,0,0,3,9,0,0,0,0,0,0,0,0,0,0,2,0,3
1650,--/7701.111/--,--/8551/--,0,75,1,0,14,0,1,0,3,0,3,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,37,0,79,4,3,43,0,0,0,18,110,0,0,0,0,1,0,0,2,0,0,3,0,9
1990,--/9590/--,--/10516/--,0,30,1,0,46,8,2,0,0,0,0,0,0,0,2,15,0,3,14,0,11,1,5,0,1,0,0,0,3,0,2,0,2,1,241,1,2,52,2,0,1,14,82,0,1,0,0,0,0,0,1,0,0,4,0,6
90,--/784.5605/--,--/852/--,,365,,,105,30,,,,,,,,,45,5,,2,55,,,3,15,,,,,,1,1,,,,,205,,10,85,5,,,2,25,,,,,,,1,,,,15,,
550,--/3852.603/--,--/4138/--,0,39,2,1,33,5,1,0,0,0,0,0,1,1,21,2,0,0,7,0,1,4,7,0,0,0,0,0,0,0,0,0,4,0,92,0,1,30,0,0,0,1,51,0,0,0,0,0,0,0,9,1,0,11,0,1
640,--/3980/--,--/4264/--,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,199,4,2,13,0,0,0,4,28,1,0,1,0,0,0,0,1,0,0,0,0,1
820,--/4350/--,--/4772/--,0,56,2,0,46,4,0,1,0,0,0,0,0,0,5,12,0,1,11,0,4,5,2,0,0,0,0,0,0,0,0,0,18,0,242,0,6,12,0,0,0,12,142,0,1,0,0,0,0,0,1,0,0,3,2,6
1290,--/5701.111/--,--/6359/--,0,187,1,0,12,5,3,1,0,0,0,0,0,0,3,3,0,0,7,0,2,4,2,0,0,0,0,0,0,0,0,0,15,0,125,8,0,16,0,0,0,10,99,0,0,0,0,0,0,0,2,0,0,3,0,9
1520,--/6978.889/--,--/7772/--,2,112,1,0,8,1,0,0,1,0,0,1,0,0,1,1,0,0,8,0,2,2,1,0,0,0,0,0,0,0,0,0,9,0,162,1,2,17,0,0,0,10,51,0,0,0,0,0,0,0,0,0,0,2,0,5
1880,--/8978.889/--,--/9889/--,0,18,0,0,7,3,0,0,0,0,2,0,0,0,3,7,0,3,2,0,0,2,0,0,0,0,0,0,0,0,5,0,1,2,65,0,0,30,0,1,0,1,26,0,0,0,0,0,0,0,0,0,0,2,0,1
