sample_name,depth,age,thickness,14C age (yr BP),Method,materialdated,error,labnumber,depthcm
,,,10.0,770.0,14C,Organic matter,10.0,Gif 3889,45.0
,,,10.0,2520.0,14C,Organic matter,100.0,Gif 3890,145.0
,,,17.0,3430.0,14C,Organic matter,120.0,Gif 4109,191.0
,,,18.0,7490.0,14C,Organic matter,140.0,Gif 4108,241.0
,,,10.0,11500.0,14C,Organic matter,200.0,Gif 3981,295.0
