Depth,U-Th & POL BP,Abies,Acer,Amaranthaceae,Apiaceae,Artemisia,Asphodelus albus-type,Boraginaceae,Brassicaceae,Cardueae,Cichorioideae,Convolvulus arvensis-type,Crataegus monogyna-type,Cyperaceae,Cytisus-type,Ephedra distachya-type,Erica arborea-type,Glomus cf. G. fasciculatumspore,Juniperus-type,Lamiaceae,Liliaceae,Malva sylvestris-type,Olea europaea,Pinus sylvestris/P. nigra-type,Plantago lanceolata-type,Poaceae,Polygonum aviculare-type,Polypodiophyta (monolete)spore,Quercus ilex-type,Reseda lutea-type,Salix,Sordaria-typeascospore,Vitis
170,--/54612/--,6,,8,1,5,2,3,3,9,15,4,4,1,4,5,1,,3,,2,2,39,33,1,9,,3,36,3,,3,4
260,--/64590/--,1,1,4,,1,3,,2,,9,,2,,3,2,1,16,1,1,3,,16,50,,3,,1,13,,2,,
650,--/107827/--,,,5,,,,,,,12,,,,,2,,,2,2,,2,7,13,,,,2,5,,,,
850,--/130000/--,,,3,2,4,,2,2,3,6,3,,,3,5,,5,7,4,3,,28,27,3,5,2,7,19,3,,,
