,"Depth (cm) [undefined]","Sample age (cal yr AD/BC)) [undefined]","error [undefined]","thickness (cm) [undefined]","lab number [undefined]","Method [undefined]"
,7.0,1963.0,,,,137 Cs peak
,16.0,1918.0,,,,varve counts
