Depth,Giesecke et al. 2014 (MADCAP) Calibrated radiocarbon years BP,EPD  Calibrated radiocarbon years BP,Abies,Alisma,Alnus,Amaranthaceae,Anthoceros laevis-type spore,Apiaceae,Arctium/Jurinea,Armeria/Limonium,Artemisia,Asparagus-type,Asperula-type,Asphodelus,Asteroideae,Betula,Bistorta officinalis-type,Botrychium spore,Brassica-type,Brassicaceae,Bunium-type,Bupleurum-type,Butomus umbellatus,Caltha,Calystegia,Campanula-type,Capsella-type,Carpinus betulus,Carthamus,Carya,Caryophyllaceae,Castanea,Cedrus,Centaurea cyanus-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Cheilanthes spore,Cichorioideae,Cirsium/Gundelia,Cistus,Clematis-type,Convolvulus,Cornus,Corylus,Cotinus coggygria,Cousinia,Cyperaceae,Datisca,Dipsacus-type,Dryopteris-type spore,Echium-type,Ephedra distachya-type,Ephedra fragilis-type,Equisetum spore,Ericaceae,Euphorbia,Fabaceae,Fagus,Ferula-type,Filago-type,Filipendula,Fraxinus excelsior,Fraxinus ornus,Fumaria,Galium-type,Gentiana,Geranium,Gossypium,Gypsophila,Halothamnus-type,Helianthemum,Humulus/Cannabis,Hydrocotyle,Hypericum perforatum-type,Isoetes spore,Jasione-type,Juglans,Juniperus,Knautia,Lemna,Liliaceae,Liquidambar,Lomelosia rotata-type,Lycopodium spore,Lysimachia,Lythrum,Maianthemum,Malva,Matricaria-type,Matthiola,Melampyrum,Mercurialis annua,Mercurialis perennis,Myriophyllum spicatum/M. verticillatum,Myrtus,Nigella,Noaea-type,Nymphaea,Olea,Oleaceae,Onobrychis-type,Ophioglossum spore,Osmunda regalis spore,Ostrya/Carpinus orientalis,Oxalis,Papaver,Persicaria maculosa-type,Phillyrea,Pinus,Pistacia,Plantaginaceae,Plantago coronopus-type,Plantago lanceolata-type,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonaceae,Polygonum aviculare-type,Polypodium spore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Pteridium spore,Pteris spore,Pterocarya,Pterocephalus-type,Quercus,Quercus ilex-type,Ranunculaceae,Ranunculus asiaticus-type,Ranunculus repens-type,Ranunculus undiff.,Rhamnus,Rhinanthus-type,Rhus,Rosaceae,Rumex acetosa-type,Rumex hydrolapathum,Ruppia,Salix,Sambucus,Sanguisorba officinalis,Scabiosa columbaria-type,Scrophularia/Verbascum,Scrophulariaceae,Sisyrinchium,Solanum dulcamara,Sparganium-type,Sphagnum spore,Stachys-type,Tamarix,Taxus,Thalictrum,Thymus/Mentha,Tilia,Trifolium-type,Trollius,Turgenia-type,Typha latifolia,Ulmus,Unknown spore,Unknown spore,Urtica dioica-type,Urtica pilulifera-type,Valerianella,Viburnum-type,Vicia-type,Viscum,Vitis,Xanthium
5,467/2/-458,--/9/--,,,5,20,,1,,,7,,,,,,,,3,,,,,2,,,3,,1,,1,1,2,,,4,,6,,,1,,2,,,,128,,,2,,,,,3,,1,,,,,,,,,,,11,,,,2,1,1,3,,,1,,,1,4,,,,1,,1,5,,,,,7,3,,1,16,1,,,,,3,,,,,536,6,,,1,2,74,2,,1,1,,1,,1,3,,1,,65,,,,,2,3,,,,2,,,1,,,,1,,,,162,,1,,,1,,,,,,,3,1,,,,,,,,,1
10,470/30/-404,--/24/--,,,8,24,,4,,,11,,,,3,,,,,,,,,,,,1,,,,,,2,,,9,,16,,,,,1,,,,182,2,,1,,,,2,2,,2,,2,,,,,,,1,,1,,,1,2,1,1,1,,1,3,,,2,8,,,2,2,,,2,,,,,11,3,,,15,7,1,,,,,,1,1,,684,2,,,10,5,129,3,,,,,1,,2,3,,,,60,,,,,3,1,,,,,,,,,,,1,1,,,197,,1,,,1,1,,,,,,7,2,,,,,1,,,1,
20,475/87/-296,--/59/--,,,4,24,,,,,4,,,,1,,1,,1,,,,,,,,,,,,,,1,,,1,,16,,,,,,,,,158,1,,1,1,,,2,,,2,,,,,,,,,,,,,,,2,,1,1,,,3,,1,,2,,,2,,,,2,,,,,3,3,,1,10,6,2,,,,,,,,1,555,5,,,8,4,88,4,,,,,,,5,8,,,,66,,,,,,,1,,,3,,,,,,1,,1,,,170,,,,,,4,,7,,,,6,3,,,,,1,,,1,
30,481/144/-187,--/101/--,,,6,56,,4,,,10,,,,4,,,1,1,,,,,,,,,,,,,,1,,,9,,7,,,,,,,,,114,2,1,2,,,1,2,2,,1,,1,,,,,,,,1,,,,,,1,4,2,,,,,,,2,,,1,,,,,,,,,1,1,,,4,4,,,,,1,,,,2,331,1,,,4,3,118,3,,,,1,3,,,5,,,,59,,,,,,,,,1,,,,,1,,,,,,1,344,,,,,,,,,,,,4,,,,,,1,,,4,
40,487/201/-79,--/148/--,,,3,10,,2,,,4,,,,1,,,1,,,,,,,,,1,,,,,,2,,,7,,6,,,,,1,,,,131,3,,,,,1,,1,,1,,,,,,,,,,,,,,,,,2,,,,3,,,,5,,,1,,,,1,,,,,1,1,,1,1,5,2,,,,,,,,,228,2,,,6,1,53,1,,,,,2,,1,1,,,,28,,1,,,,2,,1,,1,,,,1,,,,,,2,215,,1,,,1,,,1,,,,4,,,,,,,,,4,
50,492/258/28,--/199/--,,,9,18,,3,,,5,,,,3,,,,1,,3,,,,,,2,,,,,1,1,,,2,,6,,,,,,,,,186,2,,,,,,2,1,,3,,1,,1,1,,,1,,,,,,,,,3,,,,2,,,,4,,,,,,,,,,,,2,2,,,5,6,,,,,,,,,1,129,4,,1,6,1,61,1,,1,,,1,,5,1,,1,,46,,,,,1,1,1,,,2,,,,,,,,,,1,295,,,,,,1,,1,,,,4,1,,,,,,,,4,2
60,497/314/136,--/253/--,,,6,11,,1,,,4,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,2,,,,,1,1,,,130,2,,,,,,,,1,4,,,,,,,,,,1,,,,,,1,3,,,,1,,,,3,,,,,,,2,,,,,,2,,1,,1,,,,,,,,,,231,2,,,6,2,62,2,,,,,,,4,2,,,,46,,,,,,2,,,,,,,1,,,,,,,,738,,,,,,,,,,,,1,,,,,,,,,5,
70,502/371/242,--/310/--,,,3,4,,1,,,4,,,,1,,,,1,,,,,,,,3,,,,2,,,,,1,,1,,,,,,,,,52,,,1,1,,,,1,,,,,,,1,1,,1,,,,,,,,1,2,,,,,,,,,,,1,,,,1,,,1,,,,,,,1,,,,,,,,,,102,1,,,,1,16,1,,,,,,,3,,,,,20,,,,,,1,,,,,,,3,,,,,,,,366,,,,,,,,,,,,3,,,,,,,,,4,
90,520/485/448,--/433/--,,,2,7,,3,,,6,,,,1,,,,,,,,,,,,,,,,,1,46,,,1,,1,,,,,1,,,,48,,,,,,,,2,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,1,26,1,,,,,1,,,,,165,2,,1,1,,35,2,,,,,,,,2,,,,35,,,,,,,,,,1,,,,,,,,,,1,167,,,,,,,,,,,,2,,,,,,,,,1,
105,631/606/580,--/531/--,,,3,9,,2,,,6,,,,4,,,,,,,,,,,,,,,,,,4,,,11,,,,,,,,,,,121,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,7,,,,,,,1,,,,,1,1,,,19,2,,,,,,,,,,202,2,,,3,,93,2,,,,,,,2,,,,,10,,,,,,,,,,,,,,,,,1,,,,209,1,,,,,,,,,,,2,,,1,,,,,,6,1
115,724/698/671,--/599/--,1,,26,11,,6,,1,12,,,,4,,,,,,,,,,,2,,,,,,,1,,,5,,26,,,,,,1,,,163,,,2,,,2,,10,,3,,,,,,,,1,,2,,,,,,,,,,,1,,,,11,,,,,,,2,,,,,23,,,,95,2,,,,,,,,,,474,,,,4,,270,,,,,,,,2,,,,,58,,1,,1,,,,,,,,,1,,,,1,,,,206,,,,,,,,,,,1,6,,,,,,,,,3,
130,864/836/807,--/704/--,,1,8,6,,1,,,3,,,,2,1,,2,1,,,,,,,,,,,,,,1,,,5,,11,,,,,,,,,53,1,,,,,,,1,,2,,1,,,,,,1,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,5,,,,28,,,,,,2,,,,,216,,,,1,,99,2,,,,1,,,1,,,,,29,1,3,,,2,,,,,,,,6,,,,,,,,41,,,,,,,,,,,,4,,,,,,,,,,
140,958/928/896,--/777/--,2,,11,32,,1,,,7,,,,2,1,1,1,,,,,,,,,,1,,,1,,12,,,3,,1,,,,,,,,,551,2,,1,,,1,,1,,1,,,,,,,,,,,,1,,,,,,2,,2,,,,,,,,,,,,3,,,,,2,,,,,2,,,,,1,,,,,158,,1,,,,54,11,,1,,,,,1,,,,,17,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,1,,,,,,,,,
