"Abies","Acacia t.","Acalypha","Acanthaceae undif.","Aeschynomene","Aizoaceae t.","Alchornea","Alternanthera t.","Anacardiaceae undiff.","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Bauhinia","Blepharis","Borreria t.","Boscia","Brassicaceae","Cadaba","Caesalpinia","Capparaceae undif.","Cassia","Casuarina","Ceiba","Celtis","Chrozophora","Chrysobalanus t.","Cichorieae","Cissampelos","Cleome","Cocculus","Combretaceae","Commelina","Commiphora","Cordia","Crossopteryx","Crudia","Cucurbitaceae undif.","Cyperaceae","Daniellia","Delonix","Dichrostachys","Diodia","Diospyros/Euclea t.","Dodonaea","Elaeis","Ephedra","Eucalyptus","Eugenia","Euphorbia t.","Faboideae Undif.","Fagara","Faidherbia albida","Fern","Ficus","Grewioideae","Heliotropium","Hygrophila","Hyphaene t.","Hypoestes t.","Indigofera","Jacquemontia t.","Jatropha/Croton","Justicia t.","Kohautia","Lamiaceae undif.","Lannea","Leucaena","Lotus t.","Maerua","Malva undif.","Mangifera","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Musci","Myrtaceae undif.","Nyctaginaceae","Nymphaea","Olea t.","Parkia","Paronychieae","Pedaliaceae undif.","Pentodon","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Piliostigma","Pinus undif.","Plantago","Poaceae","Polygonum t.","Portulacaceae t.","Prosopis t.","Psidium","Ricinus","Rumex t.","Salvadora","Sapotaceae undif.","Sesbania","Spergularia t.","Symphonia","Tamarindus","Tapinanthus","Tephrosia","Tribulus","Typha","Uapaca","Utricularia","Vigna","Waltheria","Ziziphus/Paliurus","Indeterminable","Sample name","Pollen sum","Total sum"
"0","0.247","0","0","0","0.082","0","0","0","0","0.082","0.082","1.481","0","0.247","0","0","0","0","0","0","1.235","0","0","0.823","0","0.165","0","0","0","0","1.152","0.082","0.165","0","0.165","0.082","0","1.481","0.082","0","0","0","0","0","0","0","0.494","0","0","0.494","0","0","0.082","0.082","0.082","0.412","0","14.321","0","0","0","0","0.165","0","0","0","0","0","0","0","0","1.481","1.317","0","0","0","0.082","0.165","0.082","0","0","0","0","0","0","0.329","0.247","0.082","0","72.099","0.082","0","0","0.082","0","0","0","0.082","0","0.165","0","0.082","0","0","0.082","0.082","0","0","0","0","0","2.245","0","1215","1247"
"0","0.232","0","0.155","0","0","0","0","0","0","0.155","0.077","0.155","0","0","0.232","0","0","0","0","0","0.542","0","0","0.155","0","0.077","0.077","0","0.155","0","4.57","0","0","0","0.077","0","0","2.866","0","0.077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.232","0","8.443","0","0","0","0","0.155","0","0.077","0","0","0","0","0","0","1.394","3.641","0","0","0","0.077","0","0","0","0","0","0","0","0","0.155","0.077","0.077","0","75.755","0","0","0","0","0","0","0","0.077","0","0.155","0","0","0","0","0.077","0.155","0","0","0","0","0","2.489","0","1291","1326"
"0","0.155","0","0","0","0","0","0","0","0","0","0.077","0.387","0","0.077","0.232","0","0","0","0","0.155","0.387","0","0","0.155","0","0","0","0","0.077","0.077","8.056","0","0","0","0.155","0.077","0","0.62","0","0","0","0","0","0","0","0","0","0","0","0.465","0","0.077","0","0","0.077","0.387","0","5.267","0","0","0.155","0","0.155","0","0","0","0","0.155","0.077","0","0","0.387","1.936","0","0.077","0","0","0.077","0","0","0","0","0","0","0","0.077","0.155","0","0","79.163","0","0","0.077","0","0","0","0.155","0.077","0","0.232","0","0","0","0","0.155","0","0","0","0","0.077","0","1.598","0","1291","1314"
"0","0.102","0","0","0","0","0","0","0","0","0","0","0.255","0","0.102","0.051","0.102","0.051","0","0","0.102","0.612","0","0","0","0","0","0.102","0","0","0","8.469","0","0.051","0","0","0","0","1.327","0","0","0","0.051","0","0","0","0","0","0","0","0.102","0","0.102","0","0","0.051","0.306","0","1.071","0","0","0","0","0.204","0","0.204","0","0","0","0","0","0","0.102","2.245","0.051","0","0","0","0.051","0","0","0","0","0","0.051","0","0.051","0.153","0","0","83.112","0.102","0.051","0","0","0","0","0","0.102","0","0.408","0","0","0","0","0.051","0","0","0","0.102","0","0","1.457","0","1960","1990"
"0.05","0.05","0","0","0","0.1","0","0","0","0.1","0.05","0","0.25","0","0","0.15","0","0.1","0.15","0","0.1","0.15","0","0","0.25","0.05","0","0","0.05","0.05","0","12.613","0","0","0","0.1","0","0","1.502","0.1","0","0","0","0","0","0","0","0.05","0.1","0.1","0.1","0","0","0","0","0.05","0.45","0","5.305","0","0.05","0.05","0","0.05","0.05","0","0","0","0","0.05","0","0","0.1","1.802","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0.05","0","75.375","0","0","0.05","0","0","0","0","0","0.05","0.05","0","0","0","0","0.05","0","0","0","0","0","0","0.991","0","1998","2018"
"0.045","0.136","0","0","0","0.181","0","0","0","0","0","0.091","0.227","0","0.136","0.091","0","0","0.091","0","0.181","0.589","0","0","0.091","0","0","0","0","0.136","0","11.282","0","0","0.045","0.317","0","0","3.126","0.091","0","0.045","0","0","0","0","0","0.091","0.091","0.272","0.136","0.045","0","0.091","0.091","0","0.045","0","7.431","0","0.045","0","0","0.317","0","0.091","0","0","0.045","0.136","0.045","0","0.227","3.262","0.091","0","0","0.045","0","0.091","0.045","0","0.045","0.045","0","0.045","0.136","0.091","0.045","0","69.687","0","0","0","0.045","0","0","0","0","0","0.045","0","0.091","0.045","0","0.136","0","0","0","0","0","0","1.428","0","2207","2241"
"0","0.588","0","0.235","0","0.118","0","0","0","0","0","0.118","0.588","0","0","0","0.118","0.118","0","0","0.353","1.059","0","0","0","0","0","0","0","0","0","4.118","0","0","0","0","0","0","2.235","0","0","0","0","0","0","0","0","0.706","0.353","0.118","0","0","0","0","0","0","0","0","11.529","0","0","0","0","0.235","0.118","0","0","0","0","0.118","0","0","0","0.824","0","0","0.235","0","0","0","0","0","0","0","0","0","0","0.118","0","0","75.294","0","0.118","0","0","0","0","0","0","0","0.353","0.118","0","0","0","0","0","0","0","0.118","0","0","2.746","0","850","874"
"0","0.179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.393","0","0","0.036","0","0","0","0","0.071","0","2.43","0","0","0","0","0","0","0.608","0","0","0","0","0","0","0","0","0.536","0","0","0","0","0","0","0","0","0","0","1.179","0","0","0","0","0.036","0","0","0","0","0","0","0","0","0","0.5","0","0","0.036","0","0.107","0","0","0","0","0","0","0","0.036","0","0.036","0","93.853","0","0","0.036","0","0","0","0","0","0","0.036","0","0","0","0","0","0","0","0","0","0","0","0.462","0","2798","2814"
"0.184","0.061","0","0","0.031","0.138","0","0","0","0","0.061","0.015","0","0","0","0","0","0","0","0","0","0.245","0","0","0.077","0","0","0.015","0","0.015","0","1.164","0","0","0","0","0","0","0.949","0","0","0","0","0","0","0","0","0.153","0","0.031","0","0","0","0","0","0","0","0","1.057","0","0","0","0.015","0","0","0.046","0","0","0","0","0.015","0","0.031","0.123","0","0","0.015","0","0","0.031","0","0","0","0","0","0","0","0","0","0","95.375","0","0","0.015","0","0","0.061","0","0","0","0.031","0","0","0","0","0.015","0.015","0","0","0.015","0","0.015","0.275","0","6530","6549"
"0","0.116","0.039","0","0","0.039","0","0","0","0","0","0.019","0","0","0","0","0","0","0","0","0","0.503","0.019","0","0.058","0","0","0.019","0","0.019","0","1.355","0","0","0","0","0","0","1.394","0","0","0","0","0","0","0.019","0","0.716","0.019","0","0","0","0","0","0","0","0","0","0.852","0","0","0","0","0.019","0","0","0","0","0.019","0","0","0","0.019","0.368","0","0","0","0.019","0","0","0","0","0","0","0.019","0","0.019","0.019","0","0","94.173","0","0","0","0","0","0","0.019","0","0.019","0.077","0","0","0","0","0.019","0","0","0","0","0","0","0.251","0","5166","5179"
