,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,223.5,7643.184,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,230.25,7760.066,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,245.0,8015.474,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,250.5,8110.71,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,255.0,8188.631,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,260.0,8275.211,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,265.5,8370.447,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,270.0,8448.368,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,275.0,8534.947,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,280.0,8621.526,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,286.0,8725.421,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,290.25,8799.013,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,295.5,8841.43,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,300.5,8874.13,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,306.5,8913.37,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,310.0,8936.26,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,314.5,8965.69,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,318.0,8988.58,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,324.25,9029.455,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,329.5,9063.79,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,339.0,9125.92,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,349.0,10001.12,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,355.5,10701.59,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,359.0,10978.2,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,365.0,11021.4,Calendar Chron,Lewden D.,2006-01-30,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
