labID,"	age","	error","	depth","	cc"
A-2267,5120,120,41,1
SMU-1024,4090,500,118,1
SMU-1022,6320,70,118,1
A-2786,7470,380,190,1
WSU-2599,6460,90,204,1
A-2871,6510,120,204,1
AA-102,5980,300,211,1
A-2265,6810,130,211,1
A-2868,6620,170,215,1
WSU-2614,7180,90,215,1
A-2257,7980,160,291,1
WSU-2610,7680,130,303,1
A-2866,8350,140,303,1
AA-104,7730,210,341,1
A-2874,8200,190,341,1
AA-252,7860,310,345,1
WSU-2603,9850,90,345,1
A-2837,10280,220,345,1
TO-415,9430,80,353,1
WSU-2601,9090,110,358,1
A-2872,9650,200,358,1
A-2253,9340,200,361,1
A-2252,10060,300,361,1
TO-414,8820,90,361,1
TO-413,8880,70,363,1
A-2250,9060,810,363,1
SMU-1223,9640,700,363,1
A-2251,9700,200,364,1
AA-460,8450,170,365,1
