,"depthcm [cm]","thickness [cm]","age [undefined]","ageup [years]","agelo [years]","rationale [undefined]"
,118.0,,6320.0,6390.0,6250.0,uncorrected radiocarbon date
,204.0,,6510.0,6630.0,6390.0,uncorrected radiocarbon date
,215.0,,6620.0,6790.0,6450.0,uncorrected radiocarbon date
,291.0,,7980.0,8140.0,7820.0,uncorrected radiocarbon date
,341.0,,8200.0,8390.0,8010.0,uncorrected radiocarbon date
,358.0,,9650.0,9850.0,9450.0,uncorrected radiocarbon date
,363.0,,9700.0,9900.0,9500.0,uncorrected radiocarbon date
