Depth,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,FossilvaRadiocarbon years BP,Abies,Acer,Alisma,Allium,Alnus,Amaranthaceae,Anagallis,Anchusa/Pulmonaria,Anemone,Apiaceae,Aquilegia-type,Arceuthobium oxycedri,Arctium/Jurinea,Artemisia herba-alba-type,Artemisia vulgaris-type,Asperula-type,Asphodelus,Aspleniumspore,Asteroideae,Betula,Brassica-type,Brassicaceae,Bunium-type,Buxus,Caltha,Campanula-type,Capsella-type,Carduus-type,Carpinus betulus,Carthamus,Caryophyllaceae,Castanea,Cedrus,Centaurea,Centaurea cyanus-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Cheilanthesspore,Cichorioideae,Cirsium/Gundelia,Cladium mariscus,Clematis-type,Convolvulus,Cornus mas,Corylus,Crocus,Cuscuta,Cyperaceae,Delphinium-type,Dipsacoideae,Dryopteris-typespore,Echinops,Echium-type,Ephedra distachya-type,Ephedra fragilis-type,Equisetumspore,Ericaceae,Erodium,Eryngium-type,Euphorbia,Fabaceae,Fagus,Filago-type,Filipendula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Gentiana,Geranium,Haplophyllum,Hedera,Helianthemum,Heliotropium-type,Humulus/Cannabis,Hydrocotyle,Hypericum hirtellum var. assyriacum-type,Hypericum perforatum-type,Isoëtesspore,Juglans,Juniperus,Liliaceae,Linum,Lomelosia rotata-type,Lotus-type,Lysimachia,Malabaila,Malva,Matricaria-type,Matthiola,Mercurialis annua,Monactinus simplexcolony,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Nigella,Noaea-type,Nymphaea,Olea,Oleaceae,Ophioglossumspore,Osmunda regalisspore,Ostrya/Carpinus orientalis,Paliurus,Papaver,Pediastrum duplexcolony,Persicaria amphibia,Persicaria maculosa-type,Phillyrea latifolia,Picea,Pimpinella-type,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Plantago media-type,Plantago undiff.,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Primulaceae,Prunella-type,Prunus-type,Pseudopediastrum boryanumcolony,Pseudopediastrum brevicornecolony,Pteridiumspore,Quercus cerris-type,Quercus coccifera-type,Quercus ilex-type,Ranunculaceae,Ranunculus acris,Ranunculus arvensis-type,Ranunculus asiaticus-type,Ranunculus sceleratus-type,Ranunculus sect. Batrachium-type,Rhamnaceae,Rhinanthus-type,Rhus,Rosaceae,Rumex acetosa-type,Rumex hydrolapathum,Salix,Salviniaspore,Sambucus nigra-type,Sanguisorba officinalis,Sanicula,Scorzonera-type,Scrophularia/Verbascum,Scrophulariaceae,Senecio-type,Solanum dulcamara,Solanum nigrum,Sparganium-type,Spergularia-type,Stachys-type,Symphytum-type,Tamarix,Taxus,Teucrium,Thalictrum,Theligonum,Thelypteris palustrisspore,Thymus/Mentha,Tilia,Tribulus terrestris,Trifolium-type,Turgenia-type,Typha latifolia,Ulmus,Unknown/spore,Urtica,Urtica pilulifera-type,Valeriana,Valerianella,Viburnum-type,Vicia-type,Vitis,Xanthium,Zea mays
30,263/62/-185,--/222/--,2,,,,2,24,,,,2,,,,55,,,,1,5,,2,,,1,1,,4,,1,,8,1,,,3,,4,,8,,,,,,5,,,15,,,3,,,,1,,2,,,1,1,19,,,,4,2,,,,,,,4,,,,,6,69,,,,,,,,5,,,,,,,,,6,1,1,,26,,1,,,,2,,,102,3,,9,,1,2,3,14,126,35,18,,,,,3,,,,,,19,52,13,,,,,,3,,,,,2,17,,2,,,,,,,,,,,6,,1,,,,,,,2,1,1,,,,2,2,19,3,,,,,,1,8,1
50,292/98/-179,--/277/--,2,,,,5,18,,,,2,,,,42,14,2,,,2,1,4,,1,5,,,2,,,,6,3,2,,,,3,,8,,,,,,12,,,37,,,,,,,1,,3,,,1,1,27,,,,6,1,,,,,,,2,,,,1,3,43,,,,,,,,5,,2,,,1,,,1,2,,,,41,,,,,,2,,,95,,,16,,,5,2,16,163,18,31,,,1,,1,,,,,,16,117,17,,,,,2,3,,,,,,11,,2,,,,,,3,,1,,1,7,,,,,,,,,,,,,,,,,37,,,,,1,,4,,
80,350/167/-56,--/359/--,1,,,1,6,27,,,,1,,,,82,7,2,,2,9,3,1,,,3,,,3,,6,,12,6,,,1,,6,,17,1,,,,,17,,1,35,,,5,,,,,4,4,,,,5,25,,,1,2,3,,,,,,,15,,,,,5,28,1,,1,,1,,,10,1,1,,,,,,,2,,,,60,1,,,,,,,,59,3,,28,,3,7,3,14,197,29,88,1,,2,1,9,,,,,,13,89,11,,2,1,,,3,,,1,,2,13,,4,,3,,,,2,,,1,,3,1,,,,,,2,,3,1,,,,2,2,3,27,1,,,,1,1,8,,
100,407/227/47,--/414/--,,,,,2,15,,,,1,1,1,,70,13,,,1,2,4,3,,1,3,,,,2,2,1,5,3,1,,,,11,,5,,,3,,,9,,,29,,,3,,,,,,2,,,1,3,16,,,,6,3,,2,,,1,,9,,,,,1,16,,,,,,,1,4,,2,,,,2,,,1,,2,,36,2,,,,1,,,,33,1,1,25,,1,1,3,8,135,16,66,,,,1,5,,,,,,24,57,9,,,,,,2,,,,,2,18,1,1,,,,1,2,,,,1,1,3,,,,1,,,2,,1,2,,,1,,,1,17,1,,,,,,7,,
120,481/301/148,--/469/--,,1,,,6,23,,,1,8,,,,55,2,,1,,10,1,,,,,,,6,,7,,6,2,,,1,1,6,,13,,,1,2,,3,1,,16,1,,3,,,1,,,1,,,,3,34,,,,12,2,,,,,3,,9,,,,,8,19,1,1,,,,,,4,,,,,,,,,2,,1,,44,,5,,,,,,,70,5,,20,,14,,,3,118,37,59,1,,,,5,,1,,,,19,56,8,,,1,,,2,,1,1,,1,20,,2,,2,,,,,,2,,,3,,,,,,,3,1,,3,,,,,1,,24,1,,,,,2,5,1,
140,569/391/254,--/523/--,2,,,,9,12,,,,1,,,,22,13,,,,4,,2,,,3,,,1,2,1,,5,2,,,,,3,,16,3,,1,,,6,,,16,,,2,,,,,,2,,,,1,19,,,2,6,3,1,,,,,1,19,,,,,7,10,,,,,,,,6,,,,,,,,,1,,1,,35,,,,,,1,,,138,3,3,23,,2,1,,7,103,38,45,1,,1,,5,,,,,,30,58,3,,,,,,1,,,,,,11,,2,,,,,,,,1,,,,,,,,,,1,,1,,1,1,,,1,2,15,,,,,1,,5,1,
160,672/502/371,--/578/--,6,,1,,20,8,,,,2,,,1,42,,,1,,7,,3,,,,,,6,1,3,,3,,,,,,4,,17,,,,,,8,,,15,,,2,,,,,1,2,,,,,39,,,,2,2,,1,,,,,23,,,,,6,5,,,,1,,1,,7,,1,,,,,,,3,,3,,35,,1,,,,,1,,176,2,,15,,2,4,1,5,122,25,38,,,1,2,5,,1,,1,,41,130,4,,,1,,,1,,,3,,1,14,1,1,,,,,,,,1,,,1,,,,,,,2,,,1,1,,,,,1,21,1,1,,,1,,1,,
180,799/635/506,--/633/--,1,,,,7,10,,,,,,,,17,7,,,,2,3,,,1,1,,1,4,,5,,5,,1,,,2,2,,8,,,,,,1,,,23,,,3,,,,,1,2,,,,1,32,,1,1,5,,,,,,,,6,,,1,,7,8,,,,,,,,4,,,,,2,,2,,1,,,,28,,1,,,,1,,,111,2,,10,,2,,,9,85,8,9,,,,,,,,,1,,19,244,4,,,,,,,,,1,,,4,,3,,,,,,,,,,,4,,,,,,,1,,,2,2,,3,,,,13,,,,,,,2,,
196,909/760/629,--/677/--,29,,,,4,2,,,,1,,,,3,1,,,,1,,,,,,,,,,8,,,,,,,,,1,6,,,,,,16,,,21,,,12,,,,,,4,,,,1,1,,,1,2,,,,,,2,,,,,,,,9,,,,,,,,1,1,,,,2,,,,,,1,,54,,,,,,,1,,344,3,,,,,,,,49,1,2,,,,,1,,,,,,16,294,,,,,,,,,,,,,3,,2,,1,,,,,,,,,3,,,,,4,,,,1,,4,,,,1,7,6,,,,,,,1,,
200,940/794/663,--/688/--,4,,,,14,8,,,,1,,,,17,6,,,,1,1,,,,,,,1,1,4,,,1,,,,1,6,,9,,,,1,,6,,,22,,,8,,,,,,1,,,,4,50,,,,6,1,,,1,,,,1,,,,,2,4,,,1,,,,,4,,,,,3,,,,2,,,,37,,,,1,,,,1,75,3,,2,,3,,2,2,120,18,4,,1,1,,1,,,,1,,17,183,8,,,,,,1,,,,,,3,,5,,,,,,1,,1,,,7,1,,,,1,,1,,,,1,,,,,3,8,2,,1,,,,,,
