Depth,Calendar years BP,Eucalyptus spikecounted,Eucalyptus tabletsconcentration,Eucalyptus tabletsquantity added,Sample quantityvolume,Abies,Acer,Alnus,Amaranthaceae,Androsace-type,Anthemis-type,Apiaceae undiff.,Armeria,Artemisia,Betula,Brassicaceae,Bupleurum-type,Cannabaceae,Carpinus betulus,Caryophyllaceae,Centaurea cf. C. cyanus-type,Centaurea solstitialis-type,Chrysosplenium-type,Cichorioideae,Cirsium,Cistus,Cornaceae,Cupressaceae-type,Cyperaceae,Dipsacoideae,Ephedra distachya,Ephedra fragilis-type,Epilobium,Equisetumspore,Ericaceae,Fabaceae undiff.,Fagus,Filipendula,Fraxinus,Galium-type,Geranium-type,Hedera,Helianthemum,Hippophaë,Indeterminable/spore,Larix,Liliaceae,Lonicera,Mentha-type,Mercurialis,Myriophyllum cf. M. verticillatum,Ostrya,Picea,Pinus,Plantago,Poaceae,Polypodiophyta (monolete)spore,Polypodiophyta undiff.spore,Potentilla,Primulaceae undiff.,Prunus spinosa,Pteridiumspore,Quercus (deciduous),Ranunculus,Rhamnaceae,Rosaceae undiff.,Rumex,Sambucus,Scrophulariaceae,Serratula-type,Solidago-type,Thalictrum,Tilia,Typha angustifolia,Typha latifolia,Ulmaceae,Unknown/spore,Urtica-type,Valeriana,Veronica-type,Vicia-type,Viscum
23.15,--/36657/--,156,42500,1,1.5,,,,14,1,1,4,,53,,7,,,,3,,2,,25,8,,,,,,1,1,,,,,,,,3,,,,,122,,,,,,,,,8,,57,,,,,,,2,,,,,,,,9,,,,,,,,,,,
29.15,--/36690.8/--,290,42500,1,1,8,1,33,26,,3,6,,113,7,4,,,1,6,,4,,20,7,,1,6,2,,3,,,,,,5,1,,19,,,1,1,162,,,,,,,,,23,8,156,,,,,,1,16,1,1,1,6,,1,,12,1,,,1,3,,,,1,1,
31.35,--/36703.2/--,88,42500,1,0.9,,,2,52,,4,7,1,111,1,5,,,,8,,1,,16,3,,,,,,2,,,,,,,1,1,9,3,,,,54,,,,,,,,,9,1,78,,1,,,,,2,,,,2,,,,23,,,,,,1,,,,1,
31.65,--/36704.9/--,98,42500,1,0.9,,,,27,,5,1,,63,1,6,,,,16,,2,,12,4,,,1,,,2,,,,,,,,,13,,,1,1,194,,,,,,1,,,8,2,119,,,,,,,2,,,,1,,,,9,1,,,,,,,,,,
33.35,--/36714.5/--,57,42500,1,0.9,,,,20,,,3,,36,1,2,,,,3,,,,11,2,,,,,,,1,,,,,,1,,2,,,,,46,,,,,,,1,,6,,49,,,,,,,3,,,,,,,,8,,,,,,,,,,,
36.35,--/36731.3/--,235,42500,1,0.8,3,,5,14,2,2,5,,48,2,3,,,,3,1,3,,29,3,,,,1,,1,1,,,,1,,,,9,,,1,,35,,,,,,,,1,14,2,103,,,,,,,1,1,,,3,,,,11,2,,,,,,,,,1,
39.85,--/36751/--,191,42500,1,1,1,,2,30,,6,,,40,1,6,,,,6,,,,24,6,,,,1,1,2,,,,,,,,,8,,,5,,94,,,,1,,,1,,18,4,178,,,,,,,1,,,,,,,1,21,5,,,,,,,,,1,
43.75,--/36773/--,111,42500,1,1,3,,,148,,1,8,,83,2,2,,,,2,,,,8,1,1,,1,1,,1,1,1,1,,,1,1,1,3,,1,5,3,26,,1,,,,,2,,25,5,97,1,,,,,,3,,,,1,,,,2,2,,,,1,1,,,,,
72.1,--/36774.1/--,178,42500,1,1,7,,9,140,1,22,23,,440,6,2,,,1,11,,6,,8,6,,,19,14,,6,4,,,,,5,4,,13,,,7,5,18,1,,,1,1,,,,57,25,368,,,1,,1,1,11,4,,5,5,1,3,,6,11,,,,,2,4,1,,1,
73.1,--/36779.5/--,387,42500,1,0.8,14,,7,60,,8,11,,265,1,2,,1,,6,,1,,4,,,,7,10,,2,1,,1,1,,5,1,,2,,,8,3,7,,,,,1,,2,,37,10,197,,,,,,,9,,,,3,,,,2,7,,1,,2,,,,,,
74.1,--/36784.8/--,391,42500,1,1,3,,8,72,,4,2,,238,3,8,1,,1,4,,,1,4,,,,5,9,,,,,3,,,1,1,,9,,,1,5,7,,,,,,,,,30,6,202,,,,1,,,3,3,,1,3,,,,4,7,,,,2,2,1,,,,
75.1,--/36790.2/--,161,42500,1,0.8,8,,5,91,,14,9,,216,2,4,,,,10,1,4,3,2,1,,,6,16,,3,,,,,1,2,1,,6,,,6,2,11,,1,1,,,,,1,44,4,194,,,,,,,14,1,,,11,1,1,,8,8,2,,,3,,,,2,,1
