Biogeographic area,Country ,Site ,Site_name_machine_readable,Dated,Recalibrated,Calibration R package,Radiocarbon dates,Depths,Material dated,Dating method (Conventional/AMS),Calibration curve,Period,Hiatus,post-bomb curve,Reservour effect,Accumulation rate (yr/cm),Section thickness (cm),Comments #1,Comment #2
Atlantic ocean,Turkey,"Gölhisar Gölü 2, Turkey (GOLHISH)",Golhisar_Golu_2_Turkey,Yes,Yes,rbacon,Yes,Yes,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,100,5,Radiocarbon dates from Giesecke et al. (2013). Vegetation History and Archaeobotany. Supplementary Information.,
Atlantic ocean,Greece,"Ioannina, Greece",Ioannina_Greece,Yes,Yes,rbacon,Yes,Yes,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,50,5,Radiocarbon dates from Giesecke et al. (2013). Vegetation History and Archaeobotany. Supplementary Information.,
Atlantic ocean,Greece,"Kopais, Greece",Kopais_Greece,Yes,Yes,rbacon,Yes,Yes,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,Radiocarbon dates from Giesecke et al. (2013). Vegetation History and Archaeobotany. Supplementary Information.,
Mediterranean,Spain,"Son Bou, Spain",Son_Bou_Spain,Yes,Yes,rbacon,Yes,Yes,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,Radiocarbon dates from Giesecke et al. (2013). Vegetation History and Archaeobotany. Supplementary Information.,
Mediterranean,Portugal,Beliche-Guadiana,Beliche-Guadiana_Portugal,Yes,Yes,rbacon,Yes,Yes,Shell & Wood,,1: IntCal20 Northern Hemisphere and 2: Marine17,,,,,2,5,,
Mediterranean,Italy,Gorgo Basso (GORGOBAS),Gorgo_Basso_1_Italy,Yes,Yes,rbacon,Yes,Yes,"periderm, bud scale, twigs, charcoal, seed, charred food",,1: IntCal20 Northern Hemisphere and 2: Marine18,,,,,10,5,,
Mediterranean,Greece,Katouna Fen,Katouna_Fen_Greece,Yes,Yes,rbacon,Yes,Yes,"charcoal, Carex seeds, peat, Ranunculus batrachyum seeds",,1: IntCal20 Northern Hemisphere and 2: Marine19,,,,,5,5,,
Sahel,Senegal,"Lake Guiers 2, Senegal (guiers2)",Lake_Guiers_2_Senegal,Yes,Yes,rbacon,Yes,Yes,Organic matter / marine shell,Conventional,1: IntCal20 Northern Hemisphere and 2: Marine20 ,,,,,10,5,,
Sahel,Mauritania,"Lake Rkiz, Mauritania",Lake_Rkiz_Mauritania,Yes,Yes,rbacon,Yes,Yes,bulk organic (95 cm) and shells,AMS,1: IntCal20 Northern Hemisphere and 2: Marine20 ,,,Yes -NH2,,20,5,,
Arabian Peninsula,Lebanon,"Aammiq, Lebanon",Aammiq_Lebanon,Yes,Yes,rbacon,Yes,Yes,"Argilla steatodes, turfa lignosa, limus detrituosus",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Morocco,"Aansser peat bog, Morocco",Aanasser_bog_Morocco,Yes,Yes,rbacon,Yes,Yes,bulk sediment,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,5,,
Mediterranean,Turkey,"Abant Gölü, Turkey",Abant_Golu_Turkey,Yes,Yes,rbacon,Yes,Yes,organic remains,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,10,,
Mediterranean,Tunisia,"Abiare, Tunisia",Abiare_Tunisia,Yes,Yes,rice,Yes,"Yes, 1 depth",,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Mediterranean,Greece,"Aghia Galini, Greece",Aghia_Galini_Greece,Yes,Yes,rice,Yes,"Yes, 1 depth",organic clay,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,1 depth no corresponding to pollen sequence,Set to closest depth
Mediterranean,Turkey,"Akgöl Adabag, Turkey",Akgol_Adabag_Turkey,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Arabian Peninsula,Israel,"Akko, Israel",Akko_Israel,Yes,Yes,rbacon,Yes,Yes,terrestrial samples,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,50,5,,
Mediterranean,Greece,"Akotivika 1, Greece (AKO14)",Akotivika_1_Greece,Yes,Yes,rice,Yes,"Yes, 1 depth",Peat,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Mediterranean,Greece,"Akotivika 2, Greece (AKO24)",Akotivika_2_Greece,Yes,Yes,rbacon,Yes,Yes,Wood and peat,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Greece,"Akotivika 4, Greece (AKO25)",Akotivika_4_Greece,Yes,Yes,rice,Yes,"Yes, 1 depth",Pear,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Arabian Peninsula,Oman,"Al Balid 1, Oman (AL BALID [1])",Al_Balid_1_Oman,Yes,Yes,rice,Yes,Yes,organic rich layers,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,The two C14 dates reported are the same,
Arabian Peninsula,Oman,"Al Balid 2, Oman (AL BALID [3])",Al_Balid_2_Oman,Yes,Yes,rbacon,Yes,Yes,organic rich layers,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Arabian Peninsula,Yemen,"al-Hawa, Yemen",Al_Hawa_Yemen,Yes,Yes,rbacon,Yes,Yes,"Bellamya, organic matter, melanoides, shell fragments",AMS and conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,5,,
Arabian Peninsula,Lebanon,"Al Jourd, Lebanon",Al_Jourd_Lebanon,Yes,Yes,rbacon,Yes,Yes,,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,50,5,,
Mediterranean,Spain,"Albufera Alcudia, Spain",Albufera_Alcudia_Spain,Yes,Yes,rbacon,Yes,Yes,,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Spain,"Algendar, Spain",Algendar_Spain,Yes,Yes,rbacon,Yes,Yes,organic sediment,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,2,10,,
Sahara,Sudan,"Amara West, Sudan",Amara_West_Sudan,Yes,Yes,rice,Yes,No,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Sahara,Algeria,"Amekni, Algeria",Amekni_Algeria,Yes,Yes,rice,Yes,"Yes, 1 depth",,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Sahel,Senegal,"Anambé, Senegal",Anambe_Senegal,Yes,Yes,rice,Yes,"Yes, 1 depth",wood,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Mediterranean,Spain,"Antas, Spain",Antas_Spain,Yes,Yes,rbacon,Yes,Yes,organic sediment,AMS and conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,2,20,,
Mediterranean,Spain,"Arroyo de las Cárcavas, Spain",Arroyo_Carcavas_Spain,Yes,Yes,rbacon,Yes,Yes,terrestrial plant macrofossils bulk sediment,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Spain,"Arroyo de Navalacarreta, Spain",Arroyo_Navalacarreta_Spain,Yes,Yes,rbacon,Yes,Yes,"terrestrial plant macrofossil, bulk sediment and charcoal",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,50,5,,
Mediterranean,Spain,"Arroyo de Valdeconejos, Spain",Arroyo_Valdeconejos_Spain,Yes,Yes,rbacon,Yes,Yes,"peat, bulk sediment and charcoal",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,Yes -NH2,,20,5,,
Mediterranean,Greece,"Asi Gonia 1, Greece (ASIG2)",Asi_Gonia_1_Greece,Yes,Yes,rbacon,Yes,Yes,,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,5,,
Mediterranean,Greece,"Asi Gonia 2, Greece (AG11)",Asi_Gonia_2_Greece,Yes,Yes,rbacon,Yes,Yes,"Bulk, wood, seeds, macro-remains, acorn, bark and charcoal",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,5,,
Mediterranean,Greece,"Asi Gonia 3, Greece (ASIG1)",Asi_Gonia_3_Greece,Yes,Yes,rbacon,Yes,Yes,,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,2,5,,
Mediterranean,Morocco,"Bab El Karn, Morocco",Bab_El_Karn_Morocco,Yes,Yes,rbacon,Yes,Yes,bulk sediment and wood,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Sub-sahara,Ethiopia,Badda bog,Badda_bog_Ethiopia,Yes,Yes,rbacon,Yes,Yes,bulk sediment,,1: IntCal20 Northern Hemisphere calibration curve,,,,,50,5,,
