,"Depth (cm) [cm]","Sample Age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,3.0,193.1861,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,8.0,439.9302,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,19.0,982.7675,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,28.0,1426.907,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,39.0,1969.744,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,44.0,2216.488,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,52.0,2611.279,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,61.0,3055.419,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,69.0,3450.209,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,80.0,3936.382,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,88.0,4180.067,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,99.0,4515.135,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,110.0,4850.202,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,121.0,5185.27,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,131.0,5489.876,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,141.0,5794.483,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,149.0,6038.168,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,161.0,6403.697,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,169.0,6647.382,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,181.0,7012.91,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,185.0,7134.753,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,210.0,7896.27,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,220.0,8200.876,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,230.0,8505.483,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,240.0,8810.09,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,250.0,9114.696,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,260.0,9419.304,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,270.0,9723.91,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,280.0,10028.52,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,290.0,10333.12,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,300.0,10637.73,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,310.0,10942.34,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,325.0,11399.25,Calendar Chron,Lézine A.M.,2005-10-28,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
