,"depthcm [cm]","thickness [cm]","age [undefined]","ageup [years]","agelo [years]","rationale [undefined]"
,174.0,1.0,4524.0,4566.0,4482.0,uncorrected radiocarbon date
,383.0,1.0,9940.0,10000.0,9880.0,uncorrected radiocarbon date
