Depth,Recalibrated dates BP median,Recalibrated dates BP midpoint,Recalibrated dates BP 94.5,Recalibrated dates BP 0.5
60,,,,
80,,,,
90,,,,
100,,,,
110,,,,
120,,,,
130,,,,
140,,,,
150,,,,
160,,,,
186,2678.7,2643.5,2850-2464,2445-2437
