,"Depth (cm) [cm]","Sample Age (cal BP) [cal yr BP]","archaeological layer [undefined]","layer thickness (cm) [undefined]"
,Depth (cm),Sample Age (cal yr BP),archaeological layer,layer thickness (cm)
,10.0,,5.0,20.0
,25.0,,4.0,10.0
,55.0,5293.0,3.0,50.0
,97.5,5579.0,2.0,35.0
,100.0,,1.0,
