,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","ageup [undefined]","agelo [undefined]","deptime [undefined]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,60.0,7400,,,,Calendar Chron,Lewden D.,2006-06-19,,
,70.0,7400,,,,Calendar Chron,Lewden D.,2006-06-19,,
