"depth","Sample ID","Median Calibrated Age (cal yr BP)","Abies","Abutilon t.","Acacia t.","Acalypha","Acanthaceae undif.","Aeschynomene","Aizoaceae t.","Alchemilla t.","All Total","Allophylus t.","Aloe","Amaranthaceae undif.","Animalia","Apiaceae undif.","Apocynaceae undif.","Asclepiadaceae undif.","Asteroideae undif.","Balanites","Barleria","Blepharis","Bosqueia","Boswellia","Brassicaceae","Capparaceae undif.","Capparis","Caryophyllaceae undif.","Cassia","Catha","Celosia type","Celtis","Centaurea","Cissus t.","Cleome","Cocculus","Combretaceae","Commelina","Commiphora","Convolvulaceae","Cucurbitaceae undif.","Cupressaceae","Cyperaceae","Delonix","Desmodium","Dodonaea","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagonia","Ficus","Flacourtia","Fungi","Grewioideae","Heliotropium","Hypericum undif.","Hyphaene t.","Impatiens","Indeterminable","Indigofera","Jacquemontia t.","Jatropha/Croton","Justicia t.","Klaineanthus","Kohautia","Lamiaceae undif.","Lannea","Lepisanthes","Lotus t.","Macaranga","Maerua","Maesa","Mallotus","Maytenus","Monoletes","Musanga","Nyctaginaceae","Olea t.","Ormocarpum t.","Pavonia","Phoenix t.","Phyllanthus maderaspatensis","Phyllanthus undif.","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Podocarpus","Polygala","Polygonum t.","Portulacaceae t.","Prosopis t.","Prunus t.","Psilotrichum t.","Quercus undif.","Resedaceae undiff.","Ricinus","Rutaceae undif.","Salvadora","Sapindaceae undif.","Scrophulariaceae undif.","Searsia","Solanum","Striga","Tamarindus","Tamarix","Tapinanthus","Tephrosia","Tetrorchidium","Trema","Tribulus","Triletes","Typha","Unknown","Ziziphus/Paliurus","Zygophyllum t.","charcoal","echinate","large echinate","poly","polyechinate","total spike","volume"
"WP48-1 B","WP48-1 B","   0","0","0","31","0","0","0","0","0","316","0","0","22","5","0","0","0","19","0","0","0","0","0","2","0","2","5","20","0","2","0","0","0","0","77","2","0","10","2","0","5","12","0","0","0","0","2","0","0","0","0","0","0","0","0","29","0","0","0","4153","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49","0","0","2","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","5","0","0","0","0","5","2","0","0","2","0","12","0","0","0","0","9666","45"
"WP 135-2","WP 135-2","   0","0","0","11","0","0","0","0","0","300","0","0","1","2","0","0","0","13","0","1","0","0","49","0","0","5","0","0","0","1","0","0","0","13","2","0","0","1","1","0","0","10","0","0","29","0","0","1","0","1","0","7","0","0","0","12","0","0","0","111","4","0","0","0","0","2","0","0","0","0","0","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","34","0","0","0","0","0","0","0","0","0","1","0","41","0","0","0","0","0","1","0","10","0","12","0","2","0","1","22","6","7","5","0","0","0","0","9666","45"
"WP 135-1","WP 135-1","   0","0","0","12","0","0","1","0","0","293","0","0","10","0","0","0","0","10","0","0","0","0","6","0","4","0","3","0","0","0","0","0","0","8","26","0","0","0","2","0","0","5","0","0","28","0","0","2","6","1","0","7","0","6","0","6","0","0","0","83","13","0","0","0","0","5","0","0","0","0","0","3","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","11","0","0","0","0","0","0","0","0","0","1","0","79","0","1","0","1","0","0","6","8","0","8","0","0","0","0","10","4","4","3","0","0","3","0","9666","45"
"WP 135-3","WP 135-3","   0","0","0","9","0","0","0","0","0","299","0","0","25","0","0","0","0","9","0","0","0","0","14","0","1","1","0","0","0","1","4","0","0","17","21","3","0","0","2","0","0","8","0","0","23","0","0","0","1","0","0","9","1","0","0","8","0","0","0","131","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","54","0","0","0","0","0","0","0","0","0","2","0","53","0","0","0","0","0","0","0","12","0","3","0","3","0","0","10","3","1","14","0","0","13","0","9666","45"
"ASOM 18 WP144-4","ASOM 18 WP144-4"," 107","0","0","17","0","2","0","3","0","359","0","0","31","17","2","0","0","5","0","1","1","0","2","4","4","51","0","0","0","0","0","0","0","0","67","0","0","0","0","0","0","27","0","0","0","1","0","6","0","0","0","1","0","0","0","5","0","0","1","426","0","0","0","0","0","68","0","0","0","0","0","10","0","0","7","0","0","0","0","0","0","0","0","0","0","0","3","19","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","324","10","0","0","1","9666","45"
"ASOM 18 WP 108-1b","ASOM 18 WP 108-1b"," 109","0","0","13","1","0","0","0","0","300","0","0","15","0","0","0","7","9","0","0","1","42","6","0","5","15","0","0","0","0","0","0","0","1","17","0","0","2","0","0","0","3","0","0","1","0","0","1","3","0","0","66","0","0","0","8","0","0","0","75","1","0","0","0","0","1","0","0","0","0","0","5","0","0","7","0","0","0","1","0","0","0","2","0","0","0","1","32","0","1","0","0","0","0","0","0","0","0","1","14","0","0","0","0","0","1","5","0","0","3","0","0","0","0","0","7","1","2","0","0","5","0","9666","45"
"ASOM 18 WP 107-2b","ASOM 18 WP 107-2b"," 114","0","0","1","0","0","0","0","0","44","0","0","1","30","0","0","0","2","0","0","0","0","3","0","0","0","0","2","0","0","0","0","0","3","3","0","1","0","0","0","0","3","0","0","0","0","0","0","1","0","0","6","0","1","0","1","0","0","0","138","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","7","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","2","0","0","1","0","9666","45"
"ASOM 18 WP142-B","ASOM 18 WP142-B"," 115","0","0","37","0","1","0","26","0","370","0","0","41","11","0","0","0","8","13","0","0","0","0","0","4","56","0","0","0","0","0","0","0","0","34","23","0","5","0","0","0","14","0","0","0","0","0","3","0","0","0","3","0","0","0","23","0","0","0","390","1","0","0","0","1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","34","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","118","7","0","0","0","9666","45"
"WP45-2","WP45-2"," 177","0","0","7","0","0","0","0","0","303","0","0","39","0","1","0","0","28","0","0","0","0","2","2","0","3","2","0","0","0","0","0","0","2","61","18","0","3","1","0","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","37","0","0","0","1004","0","0","0","0","0","3","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","3","0","0","0","0","2","1","2","2","0","2","19","0","0","0","0","9666","45"
"ASOM 18 WP153-2","ASOM 18 WP153-2"," 384","0","0","1","0","0","0","12","3","360","0","2","58","0","0","0","0","6","3","0","0","0","0","1","18","39","0","0","0","0","0","0","0","4","70","2","0","2","0","0","0","13","0","0","1","4","0","6","0","0","0","5","2","7","1","1","0","0","0","734","3","0","0","0","0","5","0","0","0","0","0","3","0","0","0","1","0","0","4","0","0","0","0","0","0","0","2","26","0","0","0","0","0","2","0","0","0","0","0","5","0","0","0","2","0","0","0","0","0","0","3","0","1","0","0","6","0","1167","4","0","0","1","9666","45"
"ASOM 18 WP155-2B","ASOM 18 WP155-2B"," 529","0","0","4","0","1","0","1","1","262","0","0","34","0","0","0","0","2","3","0","0","0","0","1","14","4","0","0","0","0","0","0","0","2","52","11","0","0","0","0","0","12","0","0","0","0","0","3","0","0","0","3","2","0","0","10","0","0","0","972","2","0","0","0","2","12","0","0","0","0","3","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","26","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","2","0","2857","2","0","0","2","9666","45"
"38-3a 4-6","38-3a 4-6"," 665","0","0","47","0","0","0","0","0","369","0","0","20","3","0","0","0","8","0","0","2","0","3","0","83","1","4","11","0","0","0","0","0","18","29","7","0","1","1","0","0","5","0","0","4","0","2","2","0","0","0","1","0","2","0","14","0","0","0","1029","0","0","0","0","2","30","2","0","0","0","0","8","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","48","0","0","1","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","4","0","26","0","0","0","0","9666","45"
"ASOM 18 WP146","ASOM 18 WP146"," 706","0","0","3","0","1","0","8","0","334","0","0","33","3","0","0","0","18","10","1","0","0","15","12","5","35","0","0","0","0","0","0","0","4","8","3","0","0","0","0","0","25","0","1","0","0","0","3","0","0","0","1","2","0","0","6","0","0","0","520","7","1","0","0","1","17","2","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46","0","1","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","8","0","2600","11","2","1","9","9666","45"
"WP50-2 0.5-2","WP50-2 0.5-2"," 853","0","0","15","0","0","0","0","0","368","0","0","97","10","0","0","0","14","0","0","0","0","6","6","0","15","0","1","0","3","0","1","0","5","29","2","0","8","3","0","1","14","0","0","0","0","0","0","0","0","0","0","0","1","0","7","0","0","0","179","0","0","0","0","0","100","1","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","2","0","3","0","0","0","0","2","2","0","0","0","2","0","0","0","0","1","9","0","0","0","0","9666","45"
"ASOM 18 WP155-2C","ASOM 18 WP155-2C","1403","0","0","6","1","0","0","0","2","328","0","0","38","0","0","0","0","0","0","0","0","0","2","1","11","7","0","0","0","0","0","0","0","0","108","14","0","1","0","0","0","8","0","0","0","0","0","5","0","0","0","11","1","1","2","6","0","0","0","1340","0","1","0","0","0","14","0","0","0","0","0","8","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","3","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","4","0","3200","4","0","0","0","9666","45"
"WP38-2 B","WP38-2 B","1461","0","0","20","0","0","0","0","0","318","0","0","6","8","0","0","0","0","0","0","0","0","0","19","0","5","5","3","0","3","0","0","0","0","81","3","0","36","3","0","0","71","0","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","9368","0","0","0","0","0","16","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","6","3","8","74","0","0","0","0","9666","45"
"ASOM 18 WP147-1","ASOM 18 WP147-1","1466","0","0","7","2","0","0","0","4","422","0","0","29","1","3","1","0","10","16","0","0","0","9","1","9","6","0","0","4","0","0","0","0","5","19","8","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","68","0","0","0","6","0","0","0","268","47","0","0","0","0","85","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","25","0","0","0","0","0","8","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","304","11","0","5","0","9666","45"
"WP50-3a 7-9","WP50-3a 7-9","1522","0","0","21","0","0","0","0","0","389","0","0","24","4","0","0","0","12","0","0","0","0","35","8","0","4","0","3","0","3","0","0","3","9","11","3","0","21","1","1","0","15","0","0","2","0","0","1","0","0","1","9","0","1","0","2","0","0","0","787","0","0","0","0","0","118","0","0","0","0","0","19","1","0","5","0","0","0","5","0","0","0","0","0","0","0","0","23","1","0","0","0","0","0","0","0","0","0","0","20","0","2","0","0","0","0","0","2","0","0","0","2","0","0","0","0","2","200","0","0","0","0","9666","45"
"ASOM 18 WP138","ASOM 18 WP138","1566","0","0","8","0","2","0","8","0","381","0","0","52","0","1","0","0","15","0","0","0","0","7","0","11","4","0","0","5","0","0","0","0","4","75","11","0","2","0","0","0","10","0","0","0","0","0","8","0","0","0","10","0","0","0","7","0","0","0","198","10","3","0","0","1","45","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","3","26","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","3","0","0","0","0","0","0","4","14","0","172","1","0","3","0","9666","45"
"WP151","WP151","1574","0","0","20","0","1","0","0","0","339","0","0","28","0","0","0","0","12","0","0","0","0","42","0","12","13","0","0","3","0","0","0","0","6","24","9","0","3","0","0","0","9","0","0","0","0","0","9","0","0","0","44","0","0","0","3","0","0","0","426","20","0","0","0","0","4","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","0","0","0","1","0","0","31","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","2","0","0","0","1","3","0","0","7","0","1037","1","0","0","0","9666","45"
"ASOM 18 WP145-4","ASOM 18 WP145-4","1638","0","0","9","0","7","0","1","0","364","1","0","46","17","1","0","0","10","6","1","0","0","58","1","10","22","0","0","1","0","0","0","0","0","13","6","0","2","0","0","0","15","0","0","0","1","0","1","0","0","0","7","0","0","0","6","0","0","0","557","2","1","0","0","0","42","2","0","0","0","0","12","0","0","5","0","0","0","7","0","0","0","0","0","0","0","0","39","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3","0","1746","19","1","2","0","9666","45"
"ASOM 18 WP111-2E","ASOM 18 WP111-2E","1651","0","0","17","0","4","0","0","0","352","0","0","21","0","0","0","0","8","1","0","0","0","3","0","7","0","0","0","0","0","0","0","0","1","89","7","0","0","0","0","0","6","0","1","0","1","1","8","0","0","0","66","0","0","0","6","0","0","0","622","2","1","0","0","0","4","0","0","0","0","0","1","0","0","11","3","0","0","0","0","0","0","0","0","0","0","2","35","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","1","1","0","0","1","6","0","0","10","0","940","5","0","0","0","9666","45"
"ASOM 18 WP155-D","ASOM 18 WP155-D","2920","0","0","8","0","0","0","0","0","264","0","0","35","1","0","0","0","3","0","0","0","0","2","0","5","8","0","0","0","0","0","0","0","1","81","9","0","1","0","0","0","9","0","0","0","0","0","1","0","0","0","13","4","2","0","6","0","0","0","844","0","0","0","0","0","12","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","1","0","0","1","0","0","9","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","2","0","969","2","0","0","0","9666","45"
