"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Coriaria","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Geraniaceae undif.","Hedera","Juglans","Lamiaceae undif.","Ligustrum","Lythrum","Malva undif.","Myriophyllum undif.","Nuphar","Olea t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Sparganium","Tamarix","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Vitis"
" 57","161","-46"," 50","  0","  0","102"," 17","  1"," 16","  0","  0","  0","  0","  0","  0","  0","123","  0","  0","  0","  0","  0","  5","  1","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0"," 15","  0","  8"," 15","  1","  0","  0","  0","  0"," 30","  0","  0","  0","  0","  0","  0","  0","  3","  3","  0","  0","  0","  0","  7","  0","  0"
"1013","1185"," 824"," 100","   0","   3","  53","  20","   3","  18","   0","   0","   0","   1","   2","   1","   3","  11","   0","   1","   0","   2","   0","  15","   0","  10","   0","   5","   0","   0","   0","   0","   0","   0","   1","   0","   0","  62","   3","   3","   0","  28","  46","   4","   0","   0","   0","   0","  15","   2","  11","   0","   0","   0","   0","   1","   4","   3","   0","   0","   0","   0","   4","   0","   0"
"1491","1728","1241"," 125","   0","   2","  25","  22","   3","  31","   0","   0","   0","   0","   1","   1","   7","   0","   0","   0","   0","   3","   0","  89","   0","   6","   0","   9","   0","   0","   0","   1","   0","   0","   0","   0","   0"," 147","   4","   1","   0","  50","  64","   5","   0","   0","   0","   0","   6","   6","   9","   0","   0","   0","   0","   0","  18","  10","   0","   0","   0","   0","   6","   0","   0"
"1970","2276","1654"," 150","   0","   5","  41","   6","   5","  56","   0","   0","   0","   0","   0","   2","   0","   8","   0","   0","   0","   4","   0","  24","   0","  11","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","  91","   0","   6","   0","   9","  35","  11","   0","   0","   0","   0","   8","   0","   7","   0","   0","   0","   0","   0","   0","   5","   2","   0","   0","   0","  14","   0","   0"
"2448","2824","2062"," 175","   0","   0","  53","  37","   1","  33","   1","   0","   0","   0","   0","   0","   3","   3","   2","   0","   0","   0","   0","  24","   1","  18","   0","   6","   0","   0","   0","   0","   1","   0","   0","   0","   0"," 118","   1","  13","   0","  27","  68","   3","   0","   0","   0","   0","   9","   0","  45","   0","   0","   1","   0","   0","  21","   6","   2","   0","   0","   0","   3","   0","   0"
"2926","3371","2467"," 200","   0","   0","  15","  51","   1","  65","   0","   0","   0","   0","   0","   3","   3","   6","   0","   0","   0","   5","   0"," 106","   0","  11","   0","   8","   0","   0","   0","   1","   0","   0","   0","   0","   0"," 108","   3","   7","   0","  31","  40","   4","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   1","   0","  29","  13","   1","   0","   0","   1","   6","   2","   0"
"3404","3918","2871"," 225","   0","   2","   5","  32","   8","  86","   0","   3","   0","   2","   0","   4","  44","   2","   0","   0","   0","   5","   0","  51","   5","   8","   0","   7","   3","   0","   0","   1","   0","   0","   0","   0","   0","  45","   0","  10","   0"," 169","  59","  20","   0","   0","   0","   0","   2","  15","  21","   0","   0","   1","   0","   0","  16","   8","   2","   0","   0","   0","  25","   1","   3"
"3883","4467","3277"," 250","   0","   2","   0","  19","  11"," 103","   1","   1","   0","   3","   0","   1","  34","   3","   0","   0","   0","   0","   0","  19","   9","   0","   0","   8","   0","   0","   0","   1","   0","   0","   0","   0","   0","   5","   0","   3","   0"," 133","  51","   8","   0","   1","   0","   0","   0","   4","   3","   0","   0","   2","   2","   0","  16","   4","   0","   0","   0","   0","  24","   0","   0"
"4361","5017","3682"," 275","   0","   0","   0","   7","   3","  67","   0","   1","   0","   0","   0","   4","   6","   2","   1","   0","   0","   0","   3","   5","   4","   2","   0","  23","   2","   0","   0","   3","   0","   0","   7","   0","   0","  25","   4","  15","   4"," 433","  36","  19","  11","   0","   0","   0","   1","   0","   7","   2","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   9","   0","   1"
"4606","5200","3984"," 300","   0","   3","   5","   6","   0"," 100","   0","   0","  11","   0","   0","   3","  12","   9","   0","   0","   0","   2","   3","   1","   2","   4","   0","  24","   0","   0","   0","   0","   0","   0","   1","   0","   0","  21","   2","   6","   0"," 163","  16","   2","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","  10","   4","   0","   0","   0","   0","  29","   0","   0"
"4793","5317","4251"," 325","   0","   9","   9","  15","   3","  19","   0","   0"," 138","   0","   0","   0","   1","   0","   0","   1","   1","   3","  65","   0","   9","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   7","   0","  26","   0","  11","  22","   0","   0","   0","   0","   0","   0","   2","  12","   0","   0","   0","   0","   0","  24","   0","   0","   0","   0","   0","  11","   0","   0"
"4979","5460","4489"," 350","   0","   0","   0","  12","   3","  65","   0","   2","   9","   0","   0","   0","   0","   3","   0","   0","   0","   4","  12","   0","   3","   1","   0","  58","   0","   0","   0","   0","   0","   0","   0","   0","   0","  54","   2","  10","   0"," 176","  26","  10","   0","   0","   0","   0","   0","   0","   3","   0","   0","   1","   1","   0","   3","  15","   0","   0","   0","   0","  31","   0","   0"
"5166","5620","4689"," 375","   0","  14","   0","   8","   9","  20","   2","   0"," 227","   0","   0","   0","   0","   0","   0","   0","   1","  10","  93","   4","   4","   3","   0","   1","   0","   0","   0","   2","   0","   0","   0","   1","   0","   3","   0","  36","   0","   7","  33","   0","   0","   0","   0","   0","   0","  21","  19","   0","   0","   0","   0","   0","  17","   0","   0","   0","   3","   0","   6","   0","   0"
"5353","5833","4869"," 400","   0","   0","   1","   7","   2","  56","   0","   6","   1","   0","   0","   2","   0","   2","   0","   0","   0","   2","   2","   1","   0","   6","   0","  18","   4","   0","   0","   0","   0","   0","   0","   0","   0","  17","   2","  16","   0"," 109","  34","   6","   3","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   2","   5","   2","   0","   0","   1","  46","   0","   0"
"5540","6073","5014"," 425","   0","   5","   3","  23","   4","  15","   0","   0"," 219","   4","   0","   0","   0","   0","   0","   0","   1","   6","  31","   0","   1","   3","   1","   1","   0","   0","   0","   6","   0","   0","   0","   0","   0","   3","   0","  16","   1","   6","  13","   1","   0","   0","   0","   0","   0","   9","  14","   1","   0","   0","   0","   0","  85","   1","   1","   1","   9","   1","   9","   0","   0"
"5727","6326","5103"," 450","   0","   5","   2","  18","   1","  23","   0","   0"," 201","   1","   1","   0","   0","   0","   0","   0","   0","  19","  76","   3","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   7","   0","  14","   0","  15","  33","   1","   0","   0","   0","   0","   0","  15","  19","   1","   0","   0","   0","   0","  18","   0","   1","   0","   5","   1","   7","   0","   0"
"5814","6399","5208"," 475","   0","   6","   3","  23","   3","  51","   0","   0"," 222","   3","   0","   0","   0","   0","   0","   0","   1","  10","  77","   2","   8","   3","   0","   0","   3","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   9","   1","  12","   9","   1","   0","   0","   0","   0","   0","  10","   9","   0","   0","   0","   0","   0","  36","   1","   1","   1","   2","   0","   9","   0","   0"
"5901","6472","5312"," 500","   0","   7","  15","  17","   4","  45","   1","   0","   1","   0","   0","   0","   0","   8","   0","   0","   0","   5","   0","  81","   2","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","  81","   3","   6","   0","  25","  63","   3","   1","   0","   3","   0","   3","   0","  17","   0","   0","   1","   0","   0","  17","   5","   0","   0","   0","   0","  16","   1","   0"
"5970","6531","5396"," 520","   0","   0","  47","  18","   8","  12","   0","   1","   0","   0","   0","   0","   0","  56","   0","   0","   1","   2","   3","  36","   0","   9","   0","   7","   1","   0","   0","   2","   0","   0","   0","   0","   0","  33","   2","  11","   0","  50","  29","   7","   0","   0","   0","   0","   4","   5","   6","   0","   0","   0","   1","   0","   2","   0","   1","   0","   0","   0","   5","   0","   0"
"6040","6589","5478"," 540","   0","   9","   4","  11","   1","  34","   1","   0"," 164","   0","   0","   0","   0","   0","   0","   0","   0","   8","  97","   4","   0","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0","   1","   0","   2","   0","  11","   3","   1","  45","   2","   0","   0","   0","   0","   0","  12","   8","   1","   0","   1","   2","   0","  18","   0","   0","   0","   0","   0","  10","   0","   0"
"6109","6647","5560"," 560","   0","   1","   4","  23","   3","  37","   0","   0"," 281","   3","   0","   1","   0","   0","   0","   0","   0","  22","  79","   1","   5","   1","   0","   1","   0","   0","   0","   7","   0","   0","   0","   7","   0","   6","   1","  22","   6","   9","  22","   1","   0","   0","   0","   0","   0","  15","  17","   2","   0","   0","   0","   0","  55","   0","   0","   0","   5","   0","  13","   0","   0"
"6179","6705","5642"," 580","   0","   0","   3","  18","   2","  15","   0","   0"," 193","   0","   0","   0","   0","   0","   0","   0","   0","   6","  65","   4","   4","   1","   0","   1","   0","   0","   0","   6","   0","   0","   1","   8","   0","   2","   1","  15","   3","  12","  34","   0","   0","   0","   1","   0","   0","  13","   9","   0","   0","   1","   3","   0","  23","   1","   1","   0","   9","   0","   9","   0","   0"
"6249","6764","5726"," 600","   0","   2","   1","  17","   1","  11","   0","   1"," 182","   0","   0","   3","   0","   2","   0","   0","   0","   4","  65","   5","   5","   0","   0","   0","   1","   0","   0","   9","   0","   0","   0","   0","   0","   1","   0","  15","   0","   6","  15","   0","   0","   0","   0","   1","   0","   7","   9","   1","   0","   0","   0","   0","  42","   0","   1","   0","   0","   0","  11","   0","   0"
"6318","6824","5810"," 620","   0","   4","   2","  20","   2","  16","   0","   0"," 160","   2","   0","   0","   0","   3","   3","   0","   0","  20","  53","   3","   1","   5","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   5","   2","   0","  19","   0","   0","   0","   0","   0","   0","  14","  15","   0","   0","   0","   0","   0","  47","   0","   0","   0","   2","   0","   6","   0","   0"
