"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Hagenia","Acacia t.","Acalypha","Acanthaceae undif.","Adenia","Alchemilla t.","Algae","Allophylus t.","Amaranthaceae undif.","Anacardiaceae undiff.","Apiaceae undif.","Apodytes","Artemisia","Asteroideae undif.","Blepharis","Brassicaceae","Canthium","Capparaceae undif.","Carissa","Caryophyllaceae undif.","Casuarina","Celtis","Cichorieae","Cissampelos","Clematis-type","Combretaceae","Commelina","Commiphora","Convolvulaceae","Cordia","Cucurbitaceae undif.","Cupressaceae","Cyperaceae","Diospyros/Euclea t.","Dodonaea","Dombeya","Ekebergia","Erica t.","Eucalyptus","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Ficus","Gentianaceae undif.","Hypoestes t.","Indeterminable","Indigofera","Jatropha/Croton","Justicia t.","Lamiaceae undif.","Lemnaceae","Maesa","Malva undif.","Maytenus","Monoletes","Morella","Myriophyllum undif.","Nuxia t.","Nymphaea","Olea t.","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Plantago","Poaceae","Podocarpus","Polygala","Polygonum t.","Potamogeton","Prunus t.","Pterolobium","Ranunculaceae undif.","Rapanea","Ricinus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sapotaceae undif.","Schefflera","Scrophulariaceae undif.","Searsia","Senna","Solanum","Tapinanthus","Teclea","Tilia","Tribulus","Trilepisium","Triletes","Typha","Unknown","Urtica t.","Vitaceae undif.","Ximenia","Zanthoxylum","Ziziphus/Paliurus"
" 1041.832","   84.000","    2.000","    1.000","    2.000","    1.000","    2.000","    1.000","34701.000","    0.000","   30.000","    0.000","    0.000","    0.000","    0.000","   11.000","    1.000","    0.000","    0.000","    2.000","    0.000","    0.000","    0.000","   10.000","    2.000","    0.000","    1.000","    3.000","    1.000","    1.000","    0.000","    0.000","    0.000","    8.000","   69.000","    1.000","   41.000","    0.000","    0.000","    0.000","    0.000","    1.000","    2.000","    2.000","    0.000","    0.000","    1.000","   20.000","    1.000","    0.000","    2.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    7.000","    0.000","    4.000","    0.000","   16.000","    0.000","    0.000","    0.000","    4.000","  258.000","   18.000","    0.000","    0.000","    2.000","    0.000","    1.000","    2.000","    0.000","    7.000","    0.000","    2.000","   46.000","    0.000","    0.000","    0.000","    0.000","    3.000","    0.000","    1.000","    0.000","    0.000","    0.000","    0.000","    0.000","    2.000","   16.000","    8.000","    0.000","    0.000","    0.000","    1.000","    0.000"
"  1118.539","    90.000",NA,"     3.000","     1.000","     0.000","     0.000","     0.000","110460.000","     0.000","    26.000","     0.000","     0.000","     0.000","     0.000","     8.000","     0.000","     0.000","     0.000","     1.000","     0.000","     0.000","     0.000","    13.000","     1.000","     0.000","     4.000","     6.000","     0.000","     0.000","     0.000","     0.000","     0.000","    16.000","    33.000","     2.000","    43.000","     0.000","     0.000","     3.000","     0.000","     1.000","     1.000","     2.000","     0.000","     0.000","     0.000","    14.000","     0.000","     1.000","     1.000","     0.000","     0.000","     0.000","     0.000","     0.000","     3.000","    15.000","     0.000","     2.000","     0.000","    15.000","     0.000","     0.000","     0.000","     9.000","   260.000","    21.000","     0.000","     0.000","     1.000","     0.000","     0.000","     0.000","     0.000","     5.000","     0.000","     3.000","    26.000","     0.000","     0.000","     0.000","     0.000","     4.000","     0.000","     3.000","     0.000","     1.000","     1.000","     0.000","     0.000","     2.000","    14.000","    12.000","     0.000","     2.000","     0.000","     0.000","     0.000"
" 1182.5","   96.0",NA,"    3.0","    0.0","    0.0","    0.0","    0.0","19031.0","    1.0","   21.0","    0.0","    1.0","    0.0","    1.0","    3.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","   40.0","    1.0","    0.0","    3.0","    7.0","    0.0","    0.0","    0.0","    0.0","    0.0","   37.0","   19.0","    1.0","   83.0","    0.0","    0.0","    2.0","    0.0","    1.0","    0.0","    2.0","    0.0","    0.0","    0.0","    9.0","    3.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    1.0","    9.0","    0.0","    1.0","    1.0","   26.0","    0.0","    0.0","    0.0","    5.0","  199.0","   16.0","    0.0","    0.0","    1.0","    0.0","    1.0","    1.0","    0.0","    2.0","    0.0","    4.0","   23.0","    0.0","    0.0","    0.0","    0.0","    4.0","    0.0","    1.0","    0.0","    1.0","    0.0","    1.0","    0.0","    0.0","    0.0","    7.0","    0.0","    0.0","    0.0","    0.0","    0.0"
" 1237.357","  102.000",NA,"    3.000","    1.000","    0.000","    0.000","    0.000","15008.000","    0.000","   22.000","    0.000","    1.000","    0.000","    0.000","    4.000","    0.000","    0.000","    0.000","    1.000","    0.000","    0.000","    0.000","   18.000","    2.000","    0.000","    2.000","    5.000","    0.000","    0.000","    0.000","    0.000","    0.000","   15.000","   30.000","    4.000","   53.000","    0.000","    0.000","    0.000","    0.000","    3.000","    1.000","    1.000","    0.000","    0.000","    0.000","   13.000","    0.000","    0.000","    0.000","    1.000","    0.000","    0.000","    0.000","    0.000","    0.000","   17.000","    0.000","    3.000","    0.000","   34.000","    0.000","    1.000","    0.000","    5.000","  250.000","   13.000","    1.000","    0.000","    4.000","    0.000","    1.000","    0.000","    0.000","    2.000","    0.000","    7.000","   26.000","    1.000","    0.000","    0.000","    0.000","    6.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    1.000","    2.000","   11.000","    0.000","    0.000","    2.000","    0.000","    0.000"
"1292.214"," 108.000",NA,"   4.000","   2.000","   0.000","   1.000","   0.000","5950.000","   2.000","  28.000","   0.000","   2.000","   0.000","   0.000","   4.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","  15.000","   0.000","   0.000","   2.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","  30.000","   0.000","  81.000","   0.000","   0.000","   1.000","   0.000","   2.000","   1.000","   2.000","   1.000","   1.000","   0.000","  13.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","  17.000","   0.000","   6.000","   0.000","  36.000","   0.000","   0.000","   1.000","   0.000"," 232.000","  20.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  13.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   1.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","  22.000","   1.000","   0.000","   0.000","   0.000","   0.000"
" 1347.071","  114.000",NA,"    3.000","    2.000","    0.000","    0.000","    0.000","13373.000","    0.000","   22.000","    0.000","    1.000","    0.000","    0.000","    8.000","    0.000","    0.000","    0.000","    2.000","    0.000","    0.000","    0.000","    8.000","    1.000","    0.000","    0.000","    5.000","    0.000","    0.000","    0.000","    0.000","    0.000","    4.000","   29.000","    4.000","   65.000","    0.000","    0.000","    0.000","    0.000","    0.000","    1.000","    4.000","    0.000","    1.000","    3.000","   13.000","    1.000","    0.000","    0.000","    3.000","    0.000","    0.000","    0.000","    0.000","    3.000","    5.000","    0.000","    0.000","    2.000","   17.000","    0.000","    0.000","    0.000","    2.000","  264.000","   24.000","    0.000","    0.000","    1.000","    0.000","    0.000","    0.000","    0.000","    7.000","    0.000","    1.000","   46.000","    0.000","    0.000","    0.000","    0.000","    4.000","    0.000","    4.000","    0.000","    0.000","    0.000","    1.000","    0.000","    2.000","    0.000","   11.000","    2.000","    0.000","    0.000","    0.000","    1.000"
"  1429.357","   123.000",NA,"     2.000","     4.000","     0.000","     0.000","     0.000","117321.000","     0.000","    25.000","     0.000","     0.000","     2.000","     0.000","     5.000","     1.000","     0.000","     0.000","     1.000","     0.000","     0.000","     0.000","    15.000","     1.000","     0.000","     2.000","     5.000","     0.000","     1.000","     0.000","     1.000","     0.000","    13.000","    29.000","     1.000","    77.000","     0.000","     0.000","     1.000","     0.000","     0.000","     1.000","     3.000","     0.000","     0.000","     2.000","    10.000","     0.000","     0.000","     0.000","     0.000","     0.000","     0.000","     0.000","     0.000","     0.000","     8.000","     0.000","     4.000","     0.000","    24.000","     0.000","     0.000","     0.000","     4.000","   253.000","    32.000","     0.000","     0.000","     0.000","     0.000","     0.000","     0.000","     0.000","     1.000","     0.000","     3.000","    30.000","     0.000","     0.000","     0.000","     0.000","     2.000","     2.000","     0.000","     0.000","     1.000","     0.000","     1.000","     0.000","     1.000","     1.000","     7.000","     2.000","     0.000","     1.000","     0.000","     0.000"
" 1593.844","  132.000",NA,"    3.000","    3.000","    0.000","    0.000","    0.000","14400.000","    0.000","   33.000","    0.000","    0.000","    0.000","    1.000","   11.000","    2.000","    0.000","    0.000","    1.000","    0.000","    0.000","    0.000","   11.000","    0.000","    0.000","    0.000","   16.000","    1.000","    1.000","    0.000","    0.000","    0.000","    9.000","   30.000","    0.000","   77.000","    0.000","    0.000","    2.000","    0.000","    0.000","    1.000","    0.000","    1.000","    0.000","    3.000","   10.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    1.000","    5.000","    0.000","    3.000","    0.000","   17.000","    0.000","    1.000","    0.000","    0.000","  218.000","   27.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    2.000","    0.000","    1.000","   46.000","    1.000","    1.000","    0.000","    0.000","    2.000","    0.000","    2.000","    0.000","    0.000","    0.000","    0.000","    0.000","    1.000","    3.000","    7.000","    1.000","    0.000","    0.000","    0.000","    0.000"
" 1977.582","  146.000","    2.000","    0.000","    1.000","    0.000","    0.000","    0.000","21380.000","    0.000","   27.000","    1.000","    0.000","    0.000","    0.000","    6.000","    3.000","    1.000","    0.000","    2.000","    1.000","    0.000","    0.000","   12.000","    1.000","    0.000","    4.000","    8.000","    0.000","    1.000","    0.000","    0.000","    0.000","   18.000","   26.000","    2.000","   66.000","    0.000","    0.000","    1.000","    0.000","    0.000","    1.000","    1.000","    1.000","    0.000","    1.000","    3.000","    0.000","    0.000","    0.000","    1.000","    0.000","    0.000","    0.000","    0.000","    1.000","    6.000","    0.000","    3.000","    0.000","   21.000","    0.000","    0.000","    0.000","    0.000","  264.000","   21.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    1.000","    4.000","   37.000","    0.000","    1.000","    0.000","    0.000","    7.000","    1.000","    1.000","    0.000","    1.000","    0.000","    0.000","    0.000","    0.000","    1.000","   11.000","    0.000","    0.000","    0.000","    0.000","    0.000"
"  2361.32","   160.00",NA,"     2.00","     0.00","     0.00","     0.00","     0.00","114322.00","     0.00","    22.00","     0.00","     0.00","     0.00","     0.00","     7.00","     1.00","     2.00","     0.00","     3.00","     0.00","     0.00","     0.00","    10.00","     0.00","     0.00","     1.00","    10.00","     0.00","     0.00","     0.00","     0.00","     0.00","    10.00","    16.00","     3.00","    82.00","     0.00","     0.00","     0.00","     0.00","     0.00","     2.00","     1.00","     0.00","     0.00","     0.00","     9.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     1.00","     6.00","     0.00","     0.00","     1.00","    15.00","     0.00","     0.00","     0.00","     1.00","   259.00","    23.00","     0.00","     0.00","     0.00","     1.00","     0.00","     1.00","     0.00","     2.00","     0.00","     4.00","    31.00","     0.00","     0.00","     1.00","     0.00","     4.00","     2.00","     2.00","     0.00","     0.00","     1.00","     1.00","     0.00","     1.00","     0.00","     7.00","     0.00","     0.00","     0.00","     0.00","     1.00"
