"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Hagenia","Acacia t.","Acalypha","Acanthaceae undif.","Adenia","Alchemilla t.","Algae","Allophylus t.","Amaranthaceae undif.","Anacardiaceae undiff.","Apiaceae undif.","Apodytes","Artemisia","Asteroideae undif.","Blepharis","Brassicaceae","Canthium","Capparaceae undif.","Carissa","Caryophyllaceae undif.","Casuarina","Celtis","Cichorieae","Cissampelos","Clematis-type","Combretaceae","Commelina","Commiphora","Convolvulaceae","Cordia","Cucurbitaceae undif.","Cupressaceae","Cyperaceae","Diospyros/Euclea t.","Dodonaea","Dombeya","Ekebergia","Erica t.","Eucalyptus","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Ficus","Gentianaceae undif.","Hypoestes t.","Indeterminable","Indigofera","Jatropha/Croton","Justicia t.","Lamiaceae undif.","Lemnaceae","Maesa","Malva undif.","Maytenus","Monoletes","Morella","Myriophyllum undif.","Nuxia t.","Nymphaea","Olea t.","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Plantago","Poaceae","Podocarpus","Polygala","Polygonum t.","Potamogeton","Prunus t.","Pterolobium","Ranunculaceae undif.","Rapanea","Ricinus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sapotaceae undif.","Schefflera","Scrophulariaceae undif.","Searsia","Senna","Solanum","Tapinanthus","Teclea","Tilia","Tribulus","Trilepisium","Triletes","Typha","Unknown","Urtica t.","Vitaceae undif.","Ximenia","Zanthoxylum","Ziziphus/Paliurus"
" 479.3174","  40.0000",NA,"   2.0000","   1.0000","   0.0000","   0.0000","   0.0000","6929.0000","   0.0000","  23.0000","   0.0000","   0.0000","   0.0000","   0.0000","   2.0000","   0.0000","   0.0000","   1.0000","   1.0000","   1.0000","   0.0000","   0.0000","  10.0000","   1.0000","   0.0000","   4.0000","   7.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","  84.0000","  72.0000","   4.0000","  14.0000","   0.0000","   0.0000","   1.0000","   0.0000","   0.0000","   1.0000","   4.0000","   1.0000","   0.0000","   2.0000","  18.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   3.0000","   5.0000","   0.0000","   5.0000","   0.0000","  66.0000","   0.0000","   0.0000","   0.0000","   0.0000"," 258.0000","   6.0000","   0.0000","   0.0000","   3.0000","   0.0000","   0.0000","   0.0000","   1.0000","   0.0000","   0.0000","   1.0000","   4.0000","   0.0000","   0.0000","   0.0000","   0.0000","   1.0000","   0.0000","   0.0000","   0.0000","   1.0000","   0.0000","   0.0000","   0.0000","   0.0000","   8.0000","  13.0000","   1.0000","   0.0000","   0.0000","   0.0000","   0.0000"
" 530.4551","  44.0000",NA,"   3.0000","   1.0000","   0.0000","   0.0000","   0.0000","4661.0000","   0.0000","  17.0000","   0.0000","   0.0000","   0.0000","   1.0000","   8.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   3.0000","   1.0000","   0.0000","   2.0000","   4.0000","   1.0000","   0.0000","   0.0000","   0.0000","   0.0000","  46.0000","  96.0000","   0.0000","  30.0000","   0.0000","   1.0000","   0.0000","   0.0000","   0.0000","   1.0000","   2.0000","   1.0000","   0.0000","   0.0000","  16.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   1.0000","   6.0000","   0.0000","   1.0000","   1.0000","  41.0000","   0.0000","   0.0000","   0.0000","   2.0000"," 306.0000","   9.0000","   0.0000","   1.0000","   4.0000","   0.0000","   0.0000","   0.0000","   1.0000","   3.0000","   1.0000","   0.0000","   8.0000","   0.0000","   0.0000","   0.0000","   0.0000","   2.0000","   0.0000","   1.0000","   0.0000","   0.0000","   0.0000","   1.0000","   0.0000","   1.0000","   6.0000","   7.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000"
" 581.5928","  48.0000","   1.0000","   3.0000","   0.0000","   0.0000","   0.0000","   0.0000","6144.0000","   0.0000","  30.0000","   0.0000","   0.0000","   0.0000","   0.0000","   8.0000","   0.0000","   1.0000","   0.0000","   1.0000","   2.0000","   0.0000","   0.0000","   4.0000","   3.0000","   0.0000","   2.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","  17.0000"," 200.0000","   0.0000","  17.0000","   1.0000","   0.0000","   0.0000","   0.0000","   1.0000","   0.0000","   1.0000","   0.0000","   0.0000","   1.0000","  30.0000","   0.0000","   1.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   2.0000","   9.0000","   0.0000","   0.0000","   0.0000","  36.0000","   0.0000","   0.0000","   0.0000","   5.0000"," 346.0000","   5.0000","   0.0000","   0.0000","   3.0000","   0.0000","   0.0000","   1.0000","   0.0000","   1.0000","   1.0000","   0.0000","  14.0000","   0.0000","   0.0000","   0.0000","   0.0000","   2.0000","   0.0000","   1.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   1.0000","   5.0000","   6.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000"
"  632.7305","   52.0000",NA,"    3.0000","    1.0000","    1.0000","    0.0000","    0.0000","12984.0000","    0.0000","   32.0000","    0.0000","    1.0000","    0.0000","    0.0000","   11.0000","    0.0000","    2.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    4.0000","    2.0000","    0.0000","    1.0000","    2.0000","    1.0000","    0.0000","    0.0000","    0.0000","    0.0000","   16.0000","  138.0000","    1.0000","   20.0000","    0.0000","    0.0000","    2.0000","    0.0000","    0.0000","    1.0000","   13.0000","    0.0000","    0.0000","    2.0000","   22.0000","    1.0000","    0.0000","    1.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000","    2.0000","    4.0000","    0.0000","    1.0000","    1.0000","   30.0000","    0.0000","    0.0000","    0.0000","    5.0000","  327.0000","    2.0000","    0.0000","    0.0000","   11.0000","    0.0000","    0.0000","    1.0000","    0.0000","    1.0000","    0.0000","    2.0000","   10.0000","    0.0000","    0.0000","    0.0000","    1.0000","    2.0000","    1.0000","    3.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    1.0000","    5.0000","    7.0000","    2.0000","    0.0000","    0.0000","    0.0000","    0.0000"
"  683.8683","   56.0000","    1.0000","    2.0000","    2.0000","    1.0000","    0.0000","    0.0000","16680.0000","    0.0000","   23.0000","    0.0000","    0.0000","    0.0000","    1.0000","   13.0000","    0.0000","    0.0000","    1.0000","    1.0000","    0.0000","    0.0000","    0.0000","    4.0000","    1.0000","    0.0000","    1.0000","    1.0000","    2.0000","    0.0000","    0.0000","    0.0000","    0.0000","   12.0000","   99.0000","    1.0000","   22.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000","    1.0000","   16.0000","    0.0000","    1.0000","    0.0000","   15.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    1.0000","    2.0000","    3.0000","    0.0000","    0.0000","    1.0000","   26.0000","    0.0000","    0.0000","    0.0000","    2.0000","  335.0000","    7.0000","    0.0000","    0.0000","    7.0000","    1.0000","    0.0000","    2.0000","    0.0000","    2.0000","    0.0000","    0.0000","    9.0000","    0.0000","    0.0000","    0.0000","    0.0000","    5.0000","    0.0000","    2.0000","    1.0000","    0.0000","    1.0000","    1.0000","    0.0000","    3.0000","    2.0000","    5.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000"
" 735.006","  60.000",NA,"   1.000","   0.000","   1.000","   0.000","   0.000","9048.000","   0.000","  30.000","   0.000","   1.000","   0.000","   0.000","  27.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   5.000","   6.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  19.000"," 172.000","   1.000","  79.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   8.000","   0.000","   0.000","   1.000","  29.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   3.000","   0.000","   2.000","   0.000","  18.000","   1.000","   0.000","   0.000","   5.000"," 253.000","   5.000","   0.000","   2.000","   5.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   1.000","  22.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  12.000","  11.000","   2.000","   0.000","   0.000","   0.000","   0.000"
"  786.1437","   64.0000","    1.0000","    2.0000","    2.0000","    0.0000","    0.0000","    0.0000","11611.0000","    0.0000","   43.0000","    0.0000","    0.0000","    0.0000","    1.0000","   16.0000","    0.0000","    0.0000","    0.0000","    3.0000","    0.0000","    0.0000","    0.0000","    6.0000","    0.0000","    0.0000","    1.0000","    5.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","   17.0000","   80.0000","    4.0000","   76.0000","    0.0000","    0.0000","    1.0000","    0.0000","    1.0000","    0.0000","    3.0000","    0.0000","    0.0000","    2.0000","   20.0000","    1.0000","    0.0000","    3.0000","    3.0000","    0.0000","    1.0000","    0.0000","    0.0000","    3.0000","    6.0000","    0.0000","    1.0000","    0.0000","   20.0000","    0.0000","    0.0000","    0.0000","    5.0000","  218.0000","    4.0000","    0.0000","    1.0000","    1.0000","    0.0000","    0.0000","    0.0000","    0.0000","    9.0000","    1.0000","    1.0000","   34.0000","    0.0000","    0.0000","    0.0000","    0.0000","    8.0000","    0.0000","    1.0000","    0.0000","    0.0000","    1.0000","    1.0000","    0.0000","    2.0000","   10.0000","    8.0000","    2.0000","    0.0000","    0.0000","    0.0000","    1.0000"
"   837.2814","    68.0000","     2.0000","     2.0000","     1.0000","     0.0000","     0.0000","     0.0000","274807.0000","     0.0000","    54.0000","     0.0000","     0.0000","     0.0000","     2.0000","    20.0000","     0.0000","     3.0000","     0.0000","     1.0000","     0.0000","     0.0000","     0.0000","    12.0000","     2.0000","     0.0000","     4.0000","     3.0000","     2.0000","     0.0000","     0.0000","     0.0000","     0.0000","    13.0000","    98.0000","     2.0000","    51.0000","     0.0000","     2.0000","     1.0000","     0.0000","     1.0000","     1.0000","     1.0000","     0.0000","     0.0000","     1.0000","    14.0000","     1.0000","     0.0000","     1.0000","     0.0000","     0.0000","     1.0000","     0.0000","     0.0000","     2.0000","     5.0000","     0.0000","     1.0000","     0.0000","    13.0000","     1.0000","     0.0000","     0.0000","     6.0000","   217.0000","     5.0000","     0.0000","     0.0000","     2.0000","     0.0000","     1.0000","     2.0000","     1.0000","    10.0000","     0.0000","     7.0000","    44.0000","     0.0000","     0.0000","     0.0000","     0.0000","     2.0000","     1.0000","     2.0000","     0.0000","     0.0000","     1.0000","     0.0000","     0.0000","     0.0000","    35.0000","     8.0000","     0.0000","     0.0000","     0.0000","     0.0000","     1.0000"
"  888.4192","   72.0000","    1.0000","    1.0000","    0.0000","    0.0000","    0.0000","    0.0000","45149.0000","    0.0000","   29.0000","    0.0000","    0.0000","    0.0000","    0.0000","    4.0000","    0.0000","    0.0000","    0.0000","    2.0000","    1.0000","    0.0000","    0.0000","    7.0000","    3.0000","    0.0000","    0.0000","    3.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","   10.0000","   35.0000","    2.0000","   88.0000","    0.0000","    0.0000","    2.0000","    0.0000","    2.0000","    2.0000","    4.0000","    0.0000","    0.0000","    2.0000","    7.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    2.0000","    2.0000","    0.0000","    0.0000","    0.0000","   13.0000","    0.0000","    0.0000","    0.0000","    5.0000","  261.0000","    6.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    1.0000","    0.0000","    7.0000","    0.0000","    6.0000","   44.0000","    0.0000","    0.0000","    0.0000","    0.0000","    2.0000","    0.0000","    4.0000","    0.0000","    1.0000","    1.0000","    1.0000","    0.0000","    0.0000","   20.0000","   12.0000","    1.0000","    0.0000","    0.0000","    0.0000","    0.0000"
"  965.1257","   78.0000","    1.0000","    3.0000","    2.0000","    0.0000","    0.0000","    0.0000","44435.0000","    0.0000","   29.0000","    0.0000","    1.0000","    0.0000","    0.0000","   10.0000","    0.0000","    1.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    4.0000","    2.0000","    0.0000","    5.0000","    4.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    6.0000","   25.0000","    1.0000","   38.0000","    0.0000","    0.0000","    0.0000","    0.0000","    1.0000","    1.0000","    2.0000","    0.0000","    0.0000","    1.0000","   13.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    1.0000","    0.0000","    1.0000","    0.0000","   15.0000","    0.0000","    0.0000","    0.0000","    5.0000","  281.0000","    2.0000","    0.0000","    0.0000","    2.0000","    0.0000","    0.0000","    2.0000","    0.0000","    8.0000","    1.0000","    2.0000","   70.0000","    0.0000","    0.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000","    0.0000","    0.0000","    1.0000","    1.0000","    0.0000","    1.0000","    5.0000","    5.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000"
