"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Algae","Alnus","Amaranthaceae undif.","Animalia","Animalia ","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Coniochaeta xylariispora (type 6, HdV)","Copepoda (type 179, HdV)","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fern","Ficus","Filipendula t.","Fraxinus","Fungi","Fungi (cf. type 1107, UG)","Fungi (type 1109, UG)","Fungi (type 12, UAB)","Fungi (type 14, UAB)","Fungi (type 2, UAB)","Fungi (type 20, UAB)","Fungi (type 21, UAB)","Fungi (type 30A, UAB)","Fungi (type 30B, UAB)","Fungi (type 32, UAB)","Fungi (type 33, UAB)","Fungi (type 35, UAB)","Fungi (type 361, HdV)","Fungi (type 38, UAB)","Fungi (type 39, UAB)","Fungi (type 4, UAB)","Fungi (type 40, UAB)","Fungi (type 42, UAB)","Fungi (type 46, UAB)","Fungi (type 48, UAB)","Fungi (type 8, UAB)","Fungi (type 9, UAB)","Fungi (type1, UAB)","Galium t.","Indeterminable","Invertebrata (type 52, HdV)","IsoÃ«tes","IsoÃ«tes boryana","Lamiaceae undif.","Monoletes","Myriophyllum undif.","Olea t.","Oribatida (type 36B, HdV)","Oribatida (type 36C, HdV)","Oribatida (type 36D, HdV)","Paronychieae","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Primula","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Sordariaceae/Sordaria (type 55B, HdV)","Spirogyra species (type 210, HdV )","Tamarix","Thymelaeaceae undif.","Tilia","Triletes","Triletes (>30 Âµm)","Typha","Ulmus t.","Unknown","Unknown (type 128, HdV)","Unknown (type 182, HdV)","Unknown (type 224, HdV)","Urtica t.","Verbena t.","Viburnum","Vitis"
"2073",NA,NA," 48","20","2","11","0","0","4","0","13","1","0","0","0","5","0","0","0","0","3","2","0","0","0","0","6","0","0","1","4","0","0","0","0","0","0","11","18","2","0","2","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","1","79","0","0","2","15","0","0","0","0","0","0","6","0","0","0","0","23","1","50","0","4","37","0","0","0","0","0","0","12","44","1","0","0","0","0","0","2","0","5","0","0","1","0","0","0","0","50","1","13","4","0","0","0","0","0","0"
"2174",NA,NA," 52","12","1","4","0","0","5","0","9","0","1","0","0","1","0","0","0","0","2","1","0","0","1","1","2","0","0","0","7","0","0","0","0","0","0","7","0","0","1","0","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","19","0","3","0","6","0","0","0","0","0","0","2","0","0","0","0","5","2","30","0","1","16","0","0","0","0","0","0","10","40","0","0","0","0","0","1","0","0","8","0","1","0","0","0","0","0","11","0","3","7","0","0","0","0","0","0"
"2264",NA,NA," 56","34","0","10","0","0","7","0","11","2","2","0","0","1","0","0","0","0","3","0","0","0","0","0","3","0","0","1","12","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","17","0","0","0","5","0","0","0","1","0","0","7","0","2","0","0","11","0","45","0","1","38","1","0","0","0","1","0","10","62","0","0","0","0","2","0","0","0","12","0","1","0","0","0","0","0","18","0","2","4","0","0","0","0","0","0"
"2346",NA,NA," 60","18","0","8","0","0","6","0","7","0","8","0","0","0","0","1","0","0","7","2","0","0","0","1","3","0","0","0","10","0","0","0","0","1","1","11","3","1","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","2","0","0","1","6","0","0","0","0","1","0","1","0","0","0","0","1","2","38","0","1","69","1","2","0","0","0","4","8","49","0","0","1","0","0","0","0","0","6","0","1","0","0","1","0","0","26","0","12","9","0","0","0","0","0","0"
"2474",NA,NA,"102","28","1","14","0","0","4","0","11","1","2","0","0","2","0","0","0","0","3","0","0","0","0","0","3","0","0","0","2","0","0","1","0","1","0","5","6","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","6","0","0","0","12","0","0","0","1","0","1","4","0","0","0","1","21","2","32","2","3","32","1","1","0","0","0","2","11","61","0","0","0","0","2","1","0","0","4","0","0","1","0","0","0","0","59","0","6","6","0","0","0","1","0","0"
"2540",NA,NA,"106","14","0","1","0","0","3","0","3","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","11","1","0","0","0","0","0","1","0","0","0","0","5","0","0","1","0","0","0","0","9","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0","16","0","23","1","1","23","2","0","0","0","1","0","0","12","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","38","0","1","4","0","0","0","0","0","0"
"2604",NA,NA,"110","18","0","7","0","1","3","0","15","0","1","0","0","2","0","0","0","0","3","2","0","1","0","0","3","0","0","0","4","0","0","0","0","1","1","10","13","1","0","0","0","0","0","1","4","0","0","0","13","0","0","0","0","0","0","0","25","0","1","0","3","0","0","0","0","0","0","8","0","0","0","0","18","3","34","1","3","21","0","0","0","0","0","1","3","29","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","68","0","1","5","0","0","0","0","0","0"
"2665",NA,NA,"114","3","0","1","0","0","2","0","3","0","2","0","0","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","1","0","0","0","0","0","0","1","1","0","0","0","2","0","0","0","1","0","0","0","5","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","18","0","13","0","0","9","0","0","0","0","0","0","2","12","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","9","0","2","1","0","0","0","0","0","0"
"2724",NA,NA,"118","0","2","5","0","0","4","0","8","0","2","0","0","3","0","0","0","0","5","0","0","0","0","0","3","0","0","0","11","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","6","1","0","1","4","0","0","0","0","0","0","6","0","0","0","0","24","1","45","0","1","0","0","0","0","0","0","0","7","36","1","0","0","0","0","0","0","0","4","0","1","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0"
"2782",NA,NA,"122","11","1","1","0","0","5","0","4","0","0","0","0","2","0","0","0","0","5","4","1","0","0","2","1","0","1","0","11","0","0","2","0","1","2","24","4","0","1","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","3","0","0","1","1","0","0","0","1","0","0","7","0","1","1","0","5","1","35","0","0","41","0","1","0","1","0","0","7","53","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","16","0","9","8","1","1","0","0","0","1"
