"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acanthaceae undif.","Aerva type","Aizoaceae t.","Allophylus t.","Amaranthaceae undif.","Annonaceae","Arecaceae undif.","Asteroideae undif.","Balanites","Barleria","Blepharis","Borreria t.","Boscia","Capparis","Cassia","Celosia type","Celtis","Cichorieae","Clematis-type","Cleome","Cocculus","Combretaceae","Commelina","Commiphora","Convolvulaceae","Cordia","Crossopteryx","Cucumis","Cucurbitaceae undif.","Cyperaceae","Dichrostachys","Diospyros/Euclea t.","Euphorbia t.","Faboideae Undif.","Fern","Ficus","Grewioideae","Hydrocharitaceae","Hyphaene t.","Indeterminable","Indigofera","Ipomoea","Justicia t.","Lamiaceae undif.","Lannea","Lythraceae undif.","Maerua","Malva undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Nyctaginaceae","Nymphaea","Onagraceae","Petaloid monocot","Phyllanthus undif.","Piliostigma","Poaceae","Polygala","Polygonum t.","Portulacaceae t.","Salvadora","Sapindaceae undif.","Sida","Solanaceae undif.","Spergularia t.","Tephrosia","Tribulus","Triletes","Typha","Vernonieae","Ziziphus/Paliurus"
"3034.974"," 161.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  49.000","   0.000","   0.000","   1.000","   4.000","   0.000","   1.000","   0.000","   0.000","   0.000","   8.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   1.000","   0.000","   1.000","   4.000","   0.000","   0.000","   0.000","   0.000"," 112.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"3101.921"," 165.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  55.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   8.000","   0.000","   1.000","   0.000","   0.000"," 104.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"3185.605"," 170.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  31.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   5.000","   1.000","   3.000","   1.000","   0.000"," 117.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"3269.29"," 175.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","  12.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   1.00","   0.00"," 109.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"  0","181","  1","  0","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 15","  0","  0","  1","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  1","  0","  0","113","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  1","  0"
"  0","185","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 24","  0","  0","  0","  1","  0","  0","  0","  0","  0","  4","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","196","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"  0","190","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  1","  0","  1","  0","  0","  0","  0","  0","  4","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","119","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
"  0","195","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  2","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  5","  0","  3","  0","  0","136","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0"
"  0","201","  0","  1","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  1","  0","  1","  0","  0","  0","  0","  1","  0","  0"," 19","  0","  0","  0","  2","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  1","  4","  0","  2","  0","  0","109","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"  0","205","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 18","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  5","  0","  2","  0","  0"," 79","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"
"  0","215","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  0","  0","  1","  1","  0","  0","  0","  0"," 16","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  3","  0","  1","  0","  0"," 88","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"  0","221","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  1","  1","  0","  1","  0","  0","  0","  0","  1","  1","  0","  1","  0","  0","  0","  1"," 12","  0","  0","  0","  2","  0","  0","  0","  0","  0","  8","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  1","  0","  0","  0"," 85","  1","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"
"  0","225","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 18","  0","  0","  0","  1","  1","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  7","  0","  0","  0","  0","121","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"
"  0","231","  1","  1","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  1","  0","  0"," 12","  0","  1","  0","  2","  1","  0","  0","  0","  0","  4","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0"," 95","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"
"  0","235","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 35","  0","  0","  0","  2","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","141","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"
"  0","241","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 31","  0","  0","  0","  1","  0","  0","  0","  0","  0","  4","  1","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  0","101","  0","  1","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0"
"  0","245","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 32","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0"," 78","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
"  0","251","  1","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 25","  0","  0","  0","  1","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  2","  0","  1","  0","  0"," 96","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"  0","255","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  1","  0","  1","  0","  1","  0","  0"," 18","  1","  0","  0","  2","  1","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  1","  0","  0"," 62","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"
"  0","265","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 64","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"  0","275","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 21","  0","  0","  0","  1","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0"," 67","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
