"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acanthaceae undif.","Aerva type","Aizoaceae t.","Allophylus t.","Amaranthaceae undif.","Annonaceae","Arecaceae undif.","Asteroideae undif.","Balanites","Barleria","Blepharis","Borreria t.","Boscia","Capparis","Cassia","Celosia type","Celtis","Cichorieae","Clematis-type","Cleome","Cocculus","Combretaceae","Commelina","Commiphora","Convolvulaceae","Cordia","Crossopteryx","Cucumis","Cucurbitaceae undif.","Cyperaceae","Dichrostachys","Diospyros/Euclea t.","Euphorbia t.","Faboideae Undif.","Fern","Ficus","Grewioideae","Hydrocharitaceae","Hyphaene t.","Indeterminable","Indigofera","Ipomoea","Justicia t.","Lamiaceae undif.","Lannea","Lythraceae undif.","Maerua","Malva undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Nyctaginaceae","Nymphaea","Onagraceae","Petaloid monocot","Phyllanthus undif.","Piliostigma","Poaceae","Polygala","Polygonum t.","Portulacaceae t.","Salvadora","Sapindaceae undif.","Sida","Solanaceae undif.","Spergularia t.","Tephrosia","Tribulus","Triletes","Typha","Vernonieae","Ziziphus/Paliurus"
"528.0259"," 51.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  2.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  4.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  1.0000"," 31.0000","  0.0000","  0.0000","  1.0000","  5.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  8.0000","  1.0000","  1.0000","  1.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  3.0000","  0.0000","  0.0000","119.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"569.4396"," 55.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  3.0000","  0.0000","  0.0000","  1.0000","  1.0000","  0.0000","  0.0000","  0.0000"," 36.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000"," 12.0000","  1.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  5.0000","  0.0000","  3.0000","  0.0000","  0.0000","110.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"671.8168"," 61.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  6.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  1.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  4.0000","  0.0000","  1.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000"," 41.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  6.0000","  1.0000","  0.0000","  0.0000","  4.0000","  0.0000","  0.0000","  0.0000","  1.0000","  2.0000","  1.0000","  0.0000","  0.0000","  3.0000","  0.0000","  3.0000","  0.0000","  0.0000","109.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  2.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000"
"766.9059"," 65.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  1.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 31.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  4.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","128.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"909.5396"," 71.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000"," 31.0000","  0.0000","  0.0000","  1.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  6.0000","  1.0000","  0.0000","  0.0000","  3.0000","  0.0000","  1.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  4.0000","  0.0000","  1.0000","  0.0000","  0.0000"," 96.0000","  1.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"1004.629","  75.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  36.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   7.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   6.000","   0.000","   1.000","   0.000","   0.000"," 129.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"1147.262","  81.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  33.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   7.000","   0.000","   1.000","   0.000","   1.000"," 102.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"1242.351","  85.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  39.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000","   5.000","   0.000","   1.000","   0.000","   0.000"," 105.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"1384.985","  91.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","  54.000","   0.000","   0.000","   1.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   6.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   8.000","   0.000","   3.000","   0.000","   0.000"," 123.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000"
"1480.074","  95.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  41.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   6.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000"," 114.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
