"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Calligonum","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Ceratonia","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fern","Fraxinus","Geranium","Hedera","Heliotropium","Indeterminable","Juglans","Lamiaceae undif.","Ligustrum","Lycopodium spike","Lythrum","Malva undif.","Mercurialis","Olea t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Poaceae (Cerealia-type, indeterminable)","Polygonum t.","Populus","Quercus deciduous","Quercus evergreen","Quercus pro parte","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Sarcopoterium","Saxifragaceae","Sparganium","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Triletes","Ulmus t.","Urtica t.","Vitis"
" 496",NA,NA,"235.0","1","0","1","53","1","0","2","0","3","0","1","0","0","0","0","2","0","0","0","30","8","2","0","3","4","1","0","0","14","0","1","0","0","22","0","2","0","0","0","0","0","0","157","0","0","1","0","0","19","0","0","70","7","0","0","16","1","0","0","0","7","20","0","0","0","0","6","10","0","0","0","0","0","0","4","0","0","0"
" 544",NA,NA,"238.0","2","0","1","57","0","1","3","0","11","0","7","0","0","0","0","1","0","0","1","29","1","0","1","1","0","3","0","0","20","2","1","0","4","9","1","1","0","0","1","2","0","0","106","0","0","0","18","2","6","0","360","61","3","0","0","23","0","3","0","0","10","17","0","1","0","0","1","17","0","0","0","0","0","0","1","0","0","1"
" 621",NA,NA,"242.0","5","0","0","62","0","0","2","0","15","0","1","1","0","0","0","0","0","0","0","20","5","3","0","3","1","3","0","0","14","0","0","1","3","25","1","3","1","0","2","0","0","0","184","0","0","0","3","0","6","0","478","70","4","1","3","7","0","1","0","0","11","9","0","0","0","0","1","7","0","2","1","0","0","0","3","0","0","0"
" 641",NA,NA,"243.0","1","0","0","81","0","0","3","1","38","0","4","1","0","0","0","1","0","0","0","33","11","5","0","4","1","7","0","0","21","0","2","0","0","32","0","0","0","0","0","2","0","0","283","0","0","0","1","0","7","0","302","54","2","0","0","16","0","1","0","0","20","7","0","0","0","0","0","20","0","0","1","0","0","0","4","1","0","0"
" 699",NA,NA,"246.0","1","0","0","69","0","0","2","0","15","0","10","1","0","0","0","2","0","0","0","47","12","12","0","1","0","5","0","0","25","0","0","1","5","42","0","3","0","0","2","1","0","0","184","0","0","1","8","0","21","0","414","105","7","1","1","27","0","2","0","0","17","23","0","0","0","0","0","28","0","0","0","2","0","0","3","1","0","0"
"1473",NA,NA,"286.0","0","0","0","57","0","0","2","0","3","0","9","0","0","0","0","0","0","0","0","21","3","1","0","0","0","2","0","0","19","1","0","0","4","8","0","0","0","0","0","2","0","0","161","0","0","0","6","1","5","1","396","36","7","0","2","25","0","0","0","0","31","3","1","0","0","0","0","9","0","0","0","0","0","0","0","2","0","0"
"1569",NA,NA,"291.0","0","0","1","62","0","0","8","0","18","0","13","0","0","2","1","1","0","2","0","29","4","1","0","2","1","2","0","0","25","0","0","0","5","13","3","1","0","0","0","2","1","0","126","1","0","2","26","1","57","1","360","60","10","0","0","45","3","2","0","0","61","33","0","1","0","0","2","21","0","2","0","0","2","0","1","2","0","1"
"1696",NA,NA,"299.0","0","0","0","20","0","0","1","1","13","2","11","1","0","0","0","1","0","0","0","21","5","0","0","3","1","0","0","0","10","0","0","0","2","10","0","0","0","0","0","0","1","0","85","0","0","2","15","0","16","1","354","43","6","0","0","21","0","1","0","0","44","14","0","1","0","1","2","15","0","1","0","0","0","0","1","0","0","0"
"1752",NA,NA,"304.0","1","0","5","63","0","0","6","0","20","0","23","0","0","1","1","2","0","1","1","36","9","5","0","2","1","2","0","0","35","0","0","0","9","13","1","2","0","0","0","2","0","0","158","0","0","1","21","0","52","0","342","88","12","1","1","56","0","3","0","0","60","54","0","0","0","0","3","19","0","0","0","1","0","0","4","2","0","1"
"1809",NA,NA,"309.0","1","0","1","25","0","0","0","1","13","0","6","3","0","0","0","2","0","0","0","20","6","0","0","2","0","1","0","0","10","0","2","0","2","13","1","0","0","0","0","1","0","0","108","0","0","0","16","0","9","0","413","26","11","0","1","19","0","0","1","0","50","15","0","0","0","1","1","18","0","0","0","0","0","0","0","0","0","0"
