"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Centranthus t.","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Fraxinus","Galium t.","Geranium","Haplophyllum","Heliotropium","HippophaÃ«","Hippuris","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Lotus t.","Lysimachia","Lythrum","Matthiola","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Olea t.","Onagraceae","Ononis t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Prosopis t.","Prunus t.","Pseudopediastrum kawraiskyi","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Sparganium","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Tribulus","Trifolium t.","Typha","Ulmus t.","Unknown","Valerianella","Verbena t.","Vitis"
"609","886","333"," 45","  0","  0","  0","  0","  7","  0","  0","  0","  0","  9","  0","  0","  0","  0","  4","  0","  0","  0","  1","  0","  6","  3","  0","  0","  0","  0","  0","  2"," 39","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","246","  0","  0","  2","  0"," 92","  0","  0","  0","  0","  0","  0","  3","  3","  2","  0","  0","  0","  0","  0","  0"," 23","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
" 878","1062"," 691","  65","   0","   1","   0","   0","  74","   0","   2","   4","   0","  17","   0","   1","   0","   0","   1","   0","   0","   2","   1","   0","   0","   4","   0","   1","   0","   0","   0","   5","1336","   0","   0","   0","   0","   2","   1","   0","   3","   0","   0","   4","   0","   0","   0","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 209","   0","   1","   0","   0"," 265","   0","   1","   0","   0","   0","   1","  19","  19","   0","   1","   0","   0","   1","   0","   0","  44","   0","   1","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0"
"1080","1217"," 937","  80","   0","   5","   0","   0","  14","   0","   4","   2","   0","  26","   0","   0","   0","   0","   1","   0","   0","   1","   0","   1","   1","   4","   0","   2","   0","   0","   0","   2"," 200","   0","   1","   0","   0","   0","   0","   3","   7","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1"," 180","   0","   4","   1","   0","  86","   0","   0","   3","   0","   1","   1","  16","  13","   1","   0","   1","   0","   0","   0","   0","  99","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1214","1337","1078","  90","   1","   2","   0","   0","   9","   0","   4","   1","   0","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0","   7"," 117","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","  64","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"," 151","   0","   1","   1","   0"," 552","   2","   0","   0","   0","   0","   1","  18","  19","   0","   0","   0","   0","   0","   0","   0"," 222","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1434","1564","1294"," 100","   0","   0","   1","   1","   6","   0","   2","   3","   1","  11","   1","   0","   0","   0","   2","   0","   0","   0","   5","   1","   3","   4","   0","   1","   1","   0","   1","   0","1689","   0","   0","   0","   0","   1","   1","   3","   0","   0","   1","   5","   0","   0","   0","  12","   1","   0","   2","   0","  11","   0","   2","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   1","   0"," 250","   1","   3","   3","   0","1016","   2","   0","   1","   0","   0","   0","  63","  35","   1","   1","   0","   0","   2","   0","   0"," 454","   0","   1","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0"
"2042","2236","1844"," 120","   0","   1","   1","   4","  42","   3","  11","   9","   1","  38","   3","   0","   1","   0","  13","   0","   0","   3","   0","   0","  16","  20","   0","   7","   0","   2","   0","   5","1053","   3","   0","   0","   0","   0","   0","   1","   7","   0","   4","   6","   0","   0","   0","   0","  14","   1","   3","   1","   1","   0","   1","   0","   0","   0","   0","   0","   2","  12","   0","   0","   0","   0","   0"," 116","   0","   2","   0","   1","  52","   4","   2","   0","   0","   0","   0","  23","  29","   0","   0","   0","   1","   2","   0","   0"," 268","   0","   0","   0","   0","   0","   1","   0","   0","   4","   0","   0","   1"
"2346","2582","2094"," 130","   0","   1","   0","   2","  27","   0","   7","  11","   3","  20","   0","   1","   0","   0","   6","   0","   1","   2","   1","   0","   4","  14","   0","  11","   0","   0","   0","   1"," 819","   0","   0","   0","   1","   0","   0","   1","   6","   0","   1","   4","   0","   0","   0","   0","  24","   0","   4","   1","   2","   0","   0","   0","   0","   0","   0","   0","   1","  14","   1","   0","   0","   1","   0","  95","   1","   4","   0","   0"," 110","   5","   2","   0","   0","   0","   0","  26","  20","   0","   0","   0","   0","   5","   0","   0"," 180","   0","   1","   0","   0","   0","   0","   0","   2","   4","   0","   0","   1"
"2650","2936","2342"," 140","   0","   0","   0","   0","  22","   0","  11","   7","   3","  18","   0","   0","   0","   1","  12","   0","   0","   2","   5","   3","   7","  20","   0","  10","   0","   0","   0","   0"," 317","   1","   0","   0","   0","   0","   0","   2","   5","   0","   2","   1","   1","   0","   0","   0","   4","   0","   5","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","  10","   0","   0","   1","   0","   0"," 123","   1","   1","   0","   0","  40","   2","   1","   0","   0","   0","   0","  14","  14","   2","   1","   0","   0","   1","   0","   0"," 144","   0","   1","   0","   0","   1","   2","   0","   0","   0","   0","   0","   1"
"2955","3297","2588"," 150","   0","   0","   0","   0","  36","   0","  21","   5","   2","  16","   0","   0","   0","   0","   7","   0","   0","   0","   2","   0","   9","  21","   0","  26","   0","   0","   0","   0"," 259","   3","   0","   1","   0","   0","   0","   1","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0"," 160","   0","   0","   0","   0","  21","   1","   0","   1","   0","   0","   0","   6","  11","   1","   0","   0","   0","   1","   0","   1"," 272","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   1"
"3259","3658","2829"," 160","   0","   0","   0","   0","  28","   0","   8","   1","   0","   9","   0","   0","   0","   0","  10","   0","   0","  12","   2","   0","  28","  16","   0","  29","   0","   0","   0","   0"," 155","   8","   0","   1","   0","   0","   0","   1","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 377","   3","   0","   0","   0","   7","   2","   3","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","  68","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0"
