"Sample Age (cal yr BP) [cal yr BP]","depth","Sample name []","Abies","Acacia t.","Acer","Aizoaceae t.","Alnus","Amaranthaceae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boscia","Brassicaceae","Cadaba","Calligonum","Campanulaceae","Capparis","Cassia","Centaurea","Chorchorus","Cistaceae","Convolvulaceae","Cordia","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagonia","Fagus","Fern","Lamiaceae undif.","Lythraceae undif.","Monoletes","Myrtus","Nerium","Nyctaginaceae","Olea t.","Peganum","Petaloid monocot","Pinus bis","Pinus nigra/sylvestris t.","Pistacia","Plumbaginaceae","Poaceae","Polygala","Polygonum t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Rubiaceae undif.","Rumex t.","Ruta","Salix","Searsia","Solanaceae undif.","Sparganium","Spergularia t.","Tamarix","Thalictrum","Tilia","Trichodesma","Triletes","Typha","Ulmus t.","Urtica t.","Ziziphus/Paliurus","t. cereales","t.Anchusa","t.Gladiolus","t.Lathyrus/Vicia","t.Lavandula","t.Muscari","t.Peplis","t.Potentilla","t.Silene"
NA,NA,"Va","1","0","3","0","1","32","0","24","59","22","0","0","9","0","0","2","0","0","0","0","0","0","0","28","1","11","21","0","0","0","0","0","0","1","0","10","0","0","0","0","0","0","0","0","0","1","11","0","0","2","0","4","2","2","0","0","0","0","3","0","0","1","11","11","0","0","6","0","2","1","0","3","0","1","0","1","1","6"
NA,NA,"Vb","0","0","0","2","5","7","0","7","5","5","2","0","7","0","0","0","0","0","1","0","0","1","0","0","0","12","0","2","0","0","2","2","0","2","1","10","0","0","0","3","0","0","2","0","2","0","29","0","0","2","3","0","2","0","0","1","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","0","0","0"
NA,NA,"Vc","0","0","0","0","0","21","0","34","77","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","6","2","0","0","0","0","0","0","0","0","0","0","0","29","0","0","0","8","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","154","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
NA,NA,"Vd","0","2","0","3","17","0","2","25","6","16","0","0","17","2","2","0","2","2","0","1","2","0","2","0","0","15","0","2","0","0","5","0","0","2","0","11","0","0","1","4","0","0","2","0","4","2","82","0","2","0","3","0","2","3","0","0","0","0","0","0","3","0","0","0","2","3","0","2","2","0","0","0","0","2","2","0","0","0"
NA,NA,"Ve","0","0","0","0","0","8","2","2","8","2","0","0","2","0","0","2","0","0","2","0","0","2","0","0","0","8","0","16","0","0","0","0","1","0","0","2","0","0","0","83","0","0","0","0","220","0","51","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","2","0","0","0","0","2","0","1","0","0","2","2","0","0","0"
"5367","V","TOTAL V","1","2","3","5","23","68","4","92","155","45","2","0","37","2","2","4","2","2","3","1","2","3","2","28","1","49","27","22","0","0","7","2","1","5","1","33","0","0","1","119","0","0","4","8","226","3","179","0","2","4","6","4","6","7","0","1","0","2","3","2","3","1","11","167","2","5","6","2","8","1","1","3","0","5","7","1","1","6"
NA,NA,"IV","0","1","0","0","0","40","1","2","40","15","0","0","14","0","1","0","0","0","2","0","0","2","0","0","1","20","1","10","2","1","0","0","0","0","0","1","0","0","0","631","0","0","0","0","284","0","226","0","2","0","0","0","2","1","0","0","0","2","0","0","0","0","0","2","0","2","0","0","0","0","0","0","1","2","0","0","0","2"
NA,NA,"III","0","0","0","0","0","25","4","3","3","4","0","0","19","0","0","0","0","0","3","0","0","4","0","0","0","16","8","20","0","3","0","0","0","0","0","3","0","0","0","1282","3","4","0","0","326","0","165","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","3","0","0","0","0","4"
NA,NA,"II","0","0","0","0","0","36","1","10","32","25","0","0","8","0","1","0","0","0","1","0","0","0","0","0","0","20","1","1","1","1","1","0","0","0","0","6","1","0","0","658","1","0","0","0","304","0","274","1","1","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","0","7"
"5655","I","I","0","0","0","0","0","46","1","8","41","18","0","2","54","0","2","1","0","1","8","0","0","0","0","0","0","30","2","16","2","1","1","0","0","2","0","1","0","1","0","466","0","0","0","0","517","0","204","1","1","0","0","0","0","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","22","0","0","0","1"
