"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Butomus","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Cercis","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fagopyrum","Fern-Equisetophyta","Fraxinus","Fumaria","Galium t.","Humulus","Hydrocharitaceae","Hypericum undif.","Juglans","Lamiaceae undif.","Lemnaceae","Ligustrum","Malva undif.","Matthiola","Myriophyllum undif.","Nymphaea","Olea t.","Papaver t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Potamogeton","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae t.","Scrophulariaceae undif.","Thalictrum","Tilia","Typha","Ulmus t.","Urtica t.","Valerianaceae undif.","Vitis"
"1859.929",NA,NA," 364.000","   3.000","   0.000","   4.000","   4.000","   4.000","   0.000","   0.000","   4.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   1.000","   2.000","   0.000","  22.000","   0.000","   4.000","   1.000","   1.000","   6.000","  52.000","   4.000","   3.000","   0.000","   0.000","   0.000","  32.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   2.000","  12.000","   0.000","   4.000","   0.000","   0.000","  18.000","  13.000","   0.000","   2.000","  20.000","   6.000","  25.000","   0.000","  72.000","  12.000","   0.000","   9.000","   0.000","   0.000","  20.000","   9.000","  20.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   4.000","   6.000","   2.000","   5.000"
"1860.214",NA,NA," 366.000","   4.000","   1.000","   1.000","   6.000","   2.000","   0.000","   0.000","   5.000","   4.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   1.000","   0.000","  16.000","   0.000","   4.000","   1.000","   4.000","   4.000","  15.000","   2.000","   1.000","   0.000","   0.000","   0.000","  18.000","  18.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   2.000","   4.000","   0.000","   2.000","   0.000","   0.000","   8.000","  10.000","   0.000","   6.000","  42.000","   4.000","  15.000","   0.000","  35.000","  15.000","   0.000","  12.000","   1.000","   0.000","  10.000","  12.000","  32.000","   0.000","   0.000","   4.000","   1.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","  41.000","   6.000","   4.000","   2.000","   1.000"
"1860.499",NA,NA," 368.000","   0.000","   0.000","   0.000","   0.000","  20.000","   4.000","   0.000","  32.000","  20.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   0.000","  15.000","   0.000","  15.000","   6.000","   2.000","  12.000","  11.000","   5.000","  11.000","   0.000","   0.000","   0.000","  28.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   4.000","   2.000","   0.000","   0.000","   0.000","   0.000","   2.000","  16.000","   0.000","   4.000","  12.000","   6.000","  19.000","   0.000"," 110.000","   8.000","   0.000","   3.000","   0.000","   0.000","  22.000","   4.000","  10.000","   0.000","   0.000","   3.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   6.000","   6.000","   6.000"
"1860.784",NA,NA," 370.000","   1.000","   0.000","   1.000","   4.000","   6.000","   0.000","   0.000","  12.000","   5.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   1.000","   0.000","   0.000","  25.000","   0.000","   4.000","   1.000","   4.000","   5.000","  32.000","   3.000","   2.000","   0.000","   0.000","   0.000","  15.000","  19.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   2.000","   4.000","   0.000","   0.000","   0.000","   0.000","   1.000","   5.000","   0.000","   6.000","  45.000","   5.000","  25.000","   0.000","  69.000","  12.000","   0.000","   8.000","   0.000","   0.000","  12.000","  13.000","  23.000","   0.000","   0.000","   4.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","  25.000","   1.000","   4.000","   7.000","   5.000"
"1861.069",NA,NA," 373.000","   2.000","   0.000","   0.000","   2.000","  12.000","   0.000","   0.000","  22.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","   0.000","   0.000","   0.000","  20.000","   0.000","   7.000","   4.000","   1.000","   6.000","  36.000","   4.000","   3.000","   0.000","   0.000","   0.000","  18.000","  18.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   4.000","   2.000","   0.000","   0.000","   0.000","   2.000","   1.000","   6.000","   0.000","   5.000","  22.000","   5.000","  15.000","   0.000"," 100.000","  15.000","   0.000","   6.000","   0.000","   0.000","  26.000","   7.000","   9.000","   0.000","   0.000","   4.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   4.000","   8.000","   4.000"
"1861.355",NA,NA," 374.000","   2.000","   0.000","   0.000","   2.000","  26.000","   0.000","   0.000","  36.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","   0.000","  13.000","   0.000","  11.000","   4.000","   2.000","  10.000","  22.000","   0.000","   3.000","   0.000","   0.000","   0.000","  11.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   2.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   3.000","  21.000","   8.000","  13.000","   0.000","  82.000","   7.000","   0.000","   5.000","   0.000","   0.000","  20.000","   5.000","   8.000","   0.000","   0.000","   2.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   4.000","   9.000","   5.000"
"1861.64",NA,NA," 377.00","   4.00","   0.00","   5.00","   7.00","   5.00","   0.00","   0.00","   6.00","  10.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   4.00","   0.00","  14.00","   0.00","   6.00","   0.00","   5.00","   5.00","  51.00","   0.00","   0.00","   0.00","   0.00","   0.00","  18.00","  18.00","   0.00","   0.00","   0.00","   0.00","   0.00","  12.00","   1.00","   6.00","   0.00","   0.00","   0.00","   0.00","   5.00","  10.00","   0.00","   4.00","  75.00","   6.00","  10.00","   0.00","  41.00","  11.00","   0.00","   6.00","   0.00","   0.00","  12.00","   9.00","  15.00","   0.00","   0.00","   3.00","   2.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","  32.00","   7.00","   0.00","   1.00","   6.00"
"1861.925",NA,NA," 378.000","   5.000","   0.000","   6.000","   6.000","   3.000","   0.000","   0.000","   4.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   4.000","   0.000","  10.000","   0.000","   4.000","   1.000","   4.000","   4.000","  42.000","   0.000","   1.000","   0.000","   0.000","   0.000","  31.000","  20.000","   0.000","   0.000","   0.000","   0.000","   0.000","  17.000","   3.000","   5.000","   0.000","   0.000","   0.000","   0.000","   4.000","  12.000","   0.000","   4.000","  82.000","   5.000","   9.000","   0.000","  32.000","  10.000","   0.000","   5.000","   0.000","   0.000","  11.000","  10.000","  16.000","   0.000","   0.000","   4.000","   4.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","  95.000","   5.000","   0.000","   0.000","   5.000"
"1862.21",NA,NA," 381.00","   3.00","   0.00","   6.00","   7.00","   4.00","   0.00","   0.00","   5.00","   5.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   4.00","   0.00","  15.00","   0.00","   4.00","   0.00","   7.00","   5.00","  61.00","   0.00","   0.00","   0.00","   0.00","   0.00","  20.00","  17.00","   0.00","   0.00","   0.00","   0.00","   0.00","  15.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   4.00","  10.00","   0.00","   5.00","  61.00","   6.00","   9.00","   0.00","  52.00","  12.00","   0.00","   6.00","   0.00","   0.00","  10.00","   8.00","  18.00","   0.00","   0.00","   2.00","   2.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","  15.00","   6.00","   4.00","   0.00","   6.00"
"1862.781",NA,NA," 386.000","   2.000","   0.000","   4.000","   5.000","   2.000","   0.000","   0.000","   6.000","   5.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   2.000","  16.000","   0.000","   3.000","   0.000","   6.000","   4.000","  58.000","   1.000","   0.000","   0.000","   0.000","   0.000","  23.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   4.000","   9.000","   0.000","   4.000","  59.000","   5.000","  10.000","   0.000","  55.000","  10.000","   0.000","   5.000","   0.000","   0.000","   9.000","   7.000","  16.000","   0.000","   0.000","   2.000","   2.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","  22.000","   5.000","   5.000","   0.000","   5.000"
"1864.92",NA,NA," 391.00","   2.00","   0.00","   6.00","   6.00","   5.00","   2.00","   0.00","   6.00","   5.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   3.00","   0.00","  14.00","   0.00","   4.00","   4.00","   8.00","   5.00","  41.00","   0.00","   0.00","   2.00","   0.00","   0.00","  14.00","  22.00","   0.00","   0.00","   0.00","   0.00","   0.00","  15.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","  11.00","   0.00","   4.00","  42.00","   6.00","  13.00","   0.00","  78.00","  11.00","   0.00","   6.00","   0.00","   0.00","   6.00","  10.00","  18.00","   0.00","   0.00","   0.00","   6.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   6.00","   2.00","   1.00","   6.00"
"1867.487",NA,NA," 397.000","   1.000","   0.000","   8.000","   5.000","   4.000","   3.000","   0.000","   3.000","   3.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   1.000","   0.000","  14.000","   0.000","   2.000","   2.000","  10.000","   4.000","  56.000","   0.000","   0.000","   2.000","   0.000","   0.000","  12.000","  20.000","   0.000","   0.000","   0.000","   4.000","   0.000","  17.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   5.000","  45.000","   4.000","  12.000","   0.000","  81.000","  10.000","   0.000","   7.000","   0.000","   0.000","   5.000","   8.000","  15.000","   0.000","   0.000","   2.000","   4.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","  20.000","   5.000","   3.000","   1.000","   5.000"
