"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Butomus","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Cercis","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fagopyrum","Fern-Equisetophyta","Fraxinus","Fumaria","Galium t.","Humulus","Hydrocharitaceae","Hypericum undif.","Juglans","Lamiaceae undif.","Lemnaceae","Ligustrum","Malva undif.","Matthiola","Myriophyllum undif.","Nymphaea","Olea t.","Papaver t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Potamogeton","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae t.","Scrophulariaceae undif.","Thalictrum","Tilia","Typha","Ulmus t.","Urtica t.","Valerianaceae undif.","Vitis"
"1869.626",NA,NA," 402.000","   4.000","   0.000","   8.000","  10.000","   1.000","   2.000","   0.000","   4.000","   6.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   3.000","   0.000","  18.000","   0.000","   4.000","   0.000","   5.000","   7.000","  58.000","   2.000","   1.000","   4.000","   0.000","   0.000","  16.000","  26.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","   1.000","   5.000","   0.000","   0.000","   0.000","   0.000","   1.000","  15.000","   0.000","   5.000","  37.000","   6.000","  11.000","   0.000","  71.000","  13.000","   0.000","   6.000","   0.000","   0.000","   8.000","  15.000","  22.000","   0.000","   0.000","   2.000","   5.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   1.000","  42.000","   5.000","   3.000","   1.000","   4.000"
"1871.765",NA,NA," 407.000","   0.000","   0.000","   0.000","   0.000","  27.000","   4.000","   0.000","  29.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   7.000","   0.000","   0.000","   0.000","  16.000","   0.000","  12.000","   9.000","   2.000","  16.000","  11.000","   9.000","  12.000","   6.000","   0.000","   0.000","   8.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  14.000","   0.000","   2.000","  10.000","   5.000","  20.000","   0.000"," 110.000","   5.000","   0.000","   6.000","   0.000","   0.000","  22.000","   5.000","   4.000","   0.000","   0.000","   4.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  10.000","   6.000"
"1874.759",NA,NA," 414.000","   0.000","   0.000","   0.000","   0.000","  18.000","   5.000","   0.000","  34.000","  20.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   5.000","   0.000","   0.000","   0.000","  13.000","   0.000","  12.000","   4.000","   3.000","  10.000","  12.000","   5.000","   7.000","   4.000","   0.000","   0.000","  11.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  20.000","   0.000","   3.000","  20.000","   9.000","  16.000","   0.000","  91.000","   9.000","   0.000","   5.000","   0.000","   0.000","  20.000","   5.000","   6.000","   0.000","   0.000","   5.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   8.000","   5.000"
"1877.754",NA,NA," 421.000","   0.000","   0.000","   1.000","   0.000","  15.000","   4.000","   0.000","  22.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","  12.000","   0.000","   0.000","   0.000","  24.000","   0.000","  10.000","   6.000","   4.000","  14.000","  19.000","   7.000","  10.000","   4.000","   0.000","   0.000","   5.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  17.000","   0.000","   4.000","  10.000","   8.000","  20.000","   0.000"," 145.000","   9.000","   0.000","   8.000","   0.000","   0.000","  25.000","   6.000","   5.000","   0.000","   2.000","   4.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   9.000","   7.000"
"1879.893",NA,NA," 426.000","   0.000","   0.000","   0.000","   0.000","  20.000","   7.000","   0.000","  35.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","  13.000","   1.000","   0.000","   0.000","  22.000","   0.000","   5.000","  12.000","   2.000","   8.000","  11.000","   8.000","   6.000","   7.000","   0.000","   0.000","  20.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","   0.000","   2.000","  26.000","   5.000","  19.000","   0.000"," 115.000","   8.000","   0.000","   8.000","   0.000","   0.000","  20.000","   5.000","   4.000","   0.000","   4.000","   6.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","  10.000","   6.000"
"1882.46",NA,NA," 432.00","   0.00","   0.00","   0.00","   0.00","  35.00","   8.00","   0.00","  82.00","  10.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","  18.00","   0.00","  10.00","   9.00","   1.00","  10.00","   4.00","   8.00","   8.00","   9.00","   0.00","   0.00","  19.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  20.00","   0.00","   0.00","  22.00","   7.00","  22.00","   0.00","  90.00","   7.00","   0.00","   8.00","   0.00","   0.00","  25.00","   4.00","   4.00","   0.00","   2.00","   5.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   8.00","   6.00"
"1885.027",NA,NA," 438.000","   2.000","   0.000","   1.000","   0.000","  20.000","   6.000","   0.000","  45.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   1.000","   0.000","  19.000","   0.000","   9.000","  10.000","   0.000","   4.000","   1.000","   4.000","   3.000","   8.000","   0.000","   0.000","  24.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","   0.000","   2.000","  32.000","   6.000","  16.000","   0.000","  75.000","   9.000","   0.000","   5.000","   0.000","   0.000","  18.000","   4.000","   3.000","   0.000","   0.000","   6.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   4.000","   6.000"
"1887.594",NA,NA," 444.000","   4.000","   0.000","   5.000","   8.000","   3.000","   3.000","   0.000","   3.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   3.000","   4.000","   0.000","  25.000","   0.000","   3.000","   1.000","   2.000","   2.000","  32.000","   0.000","   0.000","   4.000","   0.000","   0.000","  12.000","  20.000","   0.000","   0.000","   0.000","   5.000","   0.000","  12.000","   4.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   6.000","   0.000","   8.000","  72.000","   4.000","  14.000","   0.000","  25.000","  13.000","   0.000","  12.000","   5.000","   0.000","   9.000","  15.000","  32.000","   0.000","   0.000","   4.000","   3.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","  72.000","   6.000","   0.000","   0.000","   5.000"
"1890.16",NA,NA," 450.00","   4.00","   0.00","   6.00","   9.00","   3.00","   3.00","   0.00","   1.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   2.00","   4.00","   0.00","  16.00","   0.00","   2.00","   1.00","   2.00","   4.00","  20.00","   0.00","   0.00","   3.00","   0.00","   0.00","  15.00","  16.00","   0.00","   0.00","   0.00","   6.00","   0.00","   7.00","   5.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   8.00","   0.00","   7.00","  98.00","   4.00","  12.00","   0.00","  35.00","  10.00","   0.00","   8.00","   5.00","   0.00","   7.00","  12.00","  13.00","   0.00","   0.00","   2.00","   3.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 112.00","   5.00","   0.00","   0.00","   5.00"
"1892.299",NA,NA," 455.000","   1.000","   0.000","   4.000","   5.000","   4.000","   4.000","   0.000","   4.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   2.000","   6.000","   0.000","  19.000","   0.000","   2.000","   1.000","   0.000","   4.000","  22.000","   2.000","   0.000","   5.000","   0.000","   0.000","  26.000","  18.000","   0.000","   0.000","   0.000","   6.000","   0.000","   9.000","   2.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   8.000","   0.000","   8.000","  44.000","   5.000","  13.000","   0.000","  52.000","  12.000","   0.000","  12.000","   4.000","   0.000","   9.000","  14.000","  14.000","   0.000","   2.000","   2.000","   1.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","  71.000","   4.000","   0.000","   0.000","   4.000"
"1894.438",NA,NA," 460.000","   1.000","   0.000","   2.000","   3.000","   5.000","   5.000","   0.000","   4.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   1.000","   1.000","   0.000","  25.000","   0.000","   3.000","   2.000","   0.000","   1.000","  25.000","   2.000","   0.000","   4.000","   0.000","   0.000","  19.000","  20.000","   0.000","   0.000","   0.000","   4.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  10.000","   0.000","   8.000","  62.000","   3.000","   9.000","   0.000","  49.000","  11.000","   0.000","  11.000","   2.000","   0.000","  12.000","   9.000","  15.000","   0.000","   2.000","   1.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","  82.000","   3.000","   0.000","   1.000","   5.000"
"1897.005",NA,NA," 466.000","   0.000","   0.000","   1.000","   0.000","  25.000","   8.000","   0.000","  36.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   7.000","   1.000","   0.000","   0.000","  15.000","   0.000","   8.000","   9.000","   0.000","   9.000","   5.000","   6.000","   6.000","  12.000","   0.000","   0.000","   9.000","   8.000","   0.000","   0.000","   0.000","   1.000","   3.000","   7.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  17.000","   0.000","   4.000","  35.000","   5.000","  16.000","   0.000"," 122.000","   7.000","   0.000","   5.000","   0.000","   0.000","  25.000","   5.000","   4.000","   0.000","   4.000","   3.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   6.000","   8.000"
"1900",NA,NA," 473","   0","   0","   5","   2","   9","   2","   0","  15","   4","   0","   0","   0","   0","   0","   1","  10","   1","   1","   0","  19","   0","   2","   4","   1","   4","  15","   6","   0","   8","   0","   0","  10","  11","   0","   0","   0","   4","   0","   9","   1","   5","   0","   0","   0","   0","   0","  15","   0","   5","  85","   4","  13","   0","  82","  11","   0","  10","   0","   0","  19","   6","   9","   0","   3","   4","   3","   0","   5","   0","   0","   0","   0","   0","   5","   4","   0","   2","   7"
"1910.912",NA,NA," 480.000","   2.000","   0.000","   4.000","   2.000","   4.000","   0.000","   0.000","   4.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  13.000","   0.000","   2.000","   0.000","  25.000","   0.000","   5.000","   0.000","   1.000","   5.000","  30.000","   8.000","   0.000","   8.000","   0.000","   0.000","   7.000","  15.000","   0.000","   0.000","   0.000","   5.000","   0.000","  14.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","  10.000"," 105.000","   4.000","  23.000","   0.000","  37.000","  13.000","   0.000","   9.000","   0.000","   0.000","  10.000","  10.000","  16.000","   0.000","   4.000","   6.000","   0.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","  22.000","   2.000","   0.000","   5.000","   6.000"
"1921.825",NA,NA," 486.000","   3.000","   0.000","   1.000","   3.000","   4.000","   0.000","   0.000","   5.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","  17.000","   0.000","   2.000","   0.000","  23.000","   0.000","   5.000","   1.000","   1.000","   4.000","  32.000","   7.000","   0.000","   7.000","   0.000","   0.000","   8.000","  17.000","   0.000","   0.000","   0.000","   4.000","   0.000","  15.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","  10.000","  92.000","   4.000","  22.000","   0.000","  41.000","  15.000","   2.000","   6.000","   0.000","   0.000","  11.000","   5.000","  13.000","   0.000","   5.000","   4.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","  19.000","   2.000","   0.000","   2.000","   5.000"
"1932.737",NA,NA," 493.000","   2.000","   0.000","   0.000","   0.000","  24.000","   6.000","   0.000","  36.000","  18.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","  12.000","   0.000","   1.000","   0.000","  13.000","   0.000","  13.000","  13.000","   2.000","  17.000","   2.000","   9.000","   9.000","  12.000","   0.000","   0.000","   5.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","   0.000","   0.000","  12.000","   7.000","  12.000","   0.000","  91.000","   8.000","   0.000","   7.000","   0.000","   0.000","  26.000","   6.000","   2.000","   0.000","   0.000","   9.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   4.000","   7.000"
"1947.007",NA,NA," 501.000","   2.000","   0.000","   0.000","   0.000","  26.000","   5.000","   0.000","  37.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","  15.000","   0.000","   2.000","   0.000","  14.000","   0.000","  12.000","  12.000","   1.000","  16.000","   4.000","   6.000","   4.000","  13.000","   0.000","   0.000","   5.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","   0.000","   2.000","  14.000","   7.000","  17.000","   0.000"," 104.000","   8.000","   0.000","   6.000","   0.000","   0.000","  24.000","   7.000","   5.000","   0.000","   2.000","  12.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   8.000","   7.000"
"1958.759",NA,NA," 508.000","   2.000","   0.000","   0.000","   0.000","  21.000","   3.000","   0.000","  32.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","  16.000","   1.000","   3.000","   0.000","  15.000","   0.000","  11.000","  11.000","   1.000","  15.000","   5.000","   6.000","   3.000","  11.000","   0.000","   0.000","   8.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","   0.000","   2.000","  15.000","   6.000","  18.000","   0.000"," 101.000","   9.000","   0.000","   5.000","   0.000","   0.000","  12.000","   5.000","   6.000","   0.000","   1.000","  11.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   8.000","   5.000"
"1966.314",NA,NA," 513.000","   4.000","   0.000","   2.000","   0.000","  10.000","   0.000","   0.000","  15.000","  25.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","  20.000","   4.000","   3.000","   0.000","  45.000","   0.000","  22.000","   6.000","   1.000","   5.000","  25.000","   2.000","   0.000","  17.000","   0.000","   0.000","  32.000","   6.000","   0.000","   0.000","   0.000","   0.000","   5.000","   6.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   5.000","  32.000","   1.000","  25.000","   0.000"," 130.000","   7.000","   0.000","   6.000","   0.000","   0.000","   5.000","   5.000","  12.000","   0.000","   1.000","  22.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   6.000","   6.000","   6.000"
"1973.869",NA,NA," 517.000","   5.000","   0.000","   6.000","   0.000","   9.000","   0.000","   0.000","   8.000","  22.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","  23.000","   6.000","   2.000","   0.000","  42.000","   0.000","  20.000","   0.000","   0.000","   3.000","  30.000","   0.000","   0.000","  15.000","   0.000","   0.000","  42.000","   7.000","   0.000","   0.000","   0.000","   2.000","   3.000","   5.000","   3.000","   2.000","   0.000","   0.000","   0.000","   1.000","   2.000","   1.000","   0.000","   7.000","  30.000","   0.000","  28.000","   0.000"," 150.000","   7.000","   0.000","   4.000","   0.000","   2.000","   5.000","   4.000","  11.000","   0.000","   0.000","  20.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   6.000","  12.000","   4.000"
"1980.584",NA,NA," 521.000","   6.000","   0.000","  12.000","   0.000","   0.000","   0.000","   0.000","   4.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   5.000","   0.000","   6.000","   0.000","   4.000","   0.000","   0.000","   3.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","  19.000","   0.000","   1.000","   0.000","  16.000","   8.000","  12.000","   0.000","  12.000","   0.000","   0.000","   0.000","   6.000","   8.000","   1.000","   0.000","   0.000"," 120.000","   0.000","  21.000","   0.000","  22.000","  13.000","   0.000","   0.000","   0.000","  10.000","   3.000","   3.000","  15.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  43.000","   0.000","   0.000","   3.000","  25.000"
"1988.139",NA,NA," 526.000","   0.000","   1.000","   0.000","   0.000","   4.000","   1.000","   0.000","  10.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","  30.000","   0.000","   5.000","   0.000","   0.000","   6.000","  32.000","   0.000","   5.000","   0.000","   0.000","   0.000","   8.000","   9.000","   0.000","   1.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   5.000","   4.000","   0.000","   3.000","  45.000","   0.000","   9.000","   0.000","  50.000","   2.000","   0.000","   0.000","   1.000","   1.000","  45.000","  85.000","  55.000","   1.000","   0.000","   5.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   1.000","   0.000","   0.000","   3.000"
"1995.693",NA,NA," 530.000","   0.000","   1.000","   0.000","  10.000","  20.000","   7.000","   0.000","  18.000","  10.000","   0.000","   0.000","   0.000","   1.000","   0.000","   6.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   2.000","  10.000","   0.000","  33.000","  88.000","   0.000","  19.000","   0.000","   0.000","   0.000","  14.000","  21.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   6.000","   0.000","   1.000","  10.000","   5.000","   2.000","   0.000","  87.000","   1.000","   0.000","   0.000","  20.000","   0.000","  42.000","  82.000","  30.000","   1.000","   0.000","   0.000","  15.000","   6.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","  16.000","   0.000","   4.000","   1.000"
"2002.409",NA,NA," 534.000","   1.000","   0.000","   0.000","  12.000","  25.000","   8.000","   0.000","  22.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   1.000","   0.000","   0.000","   0.000","   6.000","   0.000","   6.000","  13.000","   0.000","  32.000","  90.000","   1.000","  16.000","   2.000","   0.000","   0.000","  18.000","  26.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   6.000","   0.000","   1.000","   9.000","   5.000","   0.000","   0.000"," 102.000","   2.000","   0.000","   0.000","  18.000","   0.000","  30.000","  65.000","  35.000","   0.000","   0.000","   0.000","  19.000","   6.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   1.000","  20.000","   0.000","   6.000","   1.000"
"2009.124",NA,NA," 538.000","   0.000","   0.000","   0.000","  10.000","  22.000","   8.000","   0.000","  25.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   1.000","   0.000","   0.000","   5.000","   0.000","   8.000","  14.000","   0.000","  33.000","  42.000","   0.000","  15.000","   0.000","   0.000","   1.000","   8.000","  35.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   9.000","  14.000","   5.000","   3.000","   0.000","  95.000","   3.000","   0.000","   0.000","  21.000","   0.000","  22.000","  55.000","  30.000","   0.000","   0.000","   0.000","  22.000","   4.000","   0.000","   1.000","   0.000","   0.000","   8.000","   0.000","   0.000","  25.000","   0.000","   8.000","   1.000"
"2016.679",NA,NA," 543.000","   0.000","   0.000","   0.000","  12.000","  15.000","  12.000","   0.000","  13.000","  16.000","   0.000","   0.000","   0.000","   1.000","   0.000","   5.000","   1.000","   1.000","   0.000","   0.000","   2.000","   0.000","  16.000","  10.000","   0.000","  35.000","  88.000","   1.000","  15.000","   6.000","   0.000","   1.000","  22.000","  28.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   5.000","  11.000","   1.000","  10.000","   0.000","  81.000","   2.000","   0.000","   0.000","  12.000","   0.000","  15.000","  46.000","  38.000","   1.000","   0.000","   5.000","  15.000","   4.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   9.000","   0.000","   8.000","   7.000"
"2024.234",NA,NA," 547.000","   2.000","   0.000","   3.000","   6.000","  12.000","   8.000","   0.000","  12.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   5.000","   0.000","   0.000","  35.000","   0.000","   8.000","   5.000","   0.000","  12.000","  98.000","   5.000","  13.000","   5.000","   0.000","   5.000","  30.000","  16.000","   0.000","   2.000","   0.000","   2.000","   0.000","   7.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   7.000","  30.000","   1.000","  35.000","   0.000","  60.000","   4.000","   0.000","   0.000","   6.000","   0.000","   3.000","   5.000","  40.000","   0.000","   0.000","  16.000","  12.000","   1.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   6.000","   0.000","   6.000","  33.000"
"2031.788",NA,NA," 552.000","   3.000","   0.000","   9.000","   6.000","  11.000","   3.000","   0.000","   9.000","  10.000","   0.000","   0.000","   0.000","   2.000","   0.000","   3.000","   1.000","   6.000","   0.000","   0.000","  23.000","   0.000","  12.000","   9.000","   0.000","  10.000","  77.000","   6.000","   6.000","   8.000","   0.000","   2.000","  15.000","  14.000","   0.000","   2.000","   0.000","   5.000","   0.000","   8.000","   0.000","   3.000","   0.000","   0.000","   0.000","   5.000","   2.000","   3.000","   0.000","   4.000","  34.000","   1.000","  27.000","   0.000","  50.000","   7.000","   0.000","   0.000","   6.000","   3.000","   5.000","   5.000","  33.000","   0.000","   0.000","  16.000","   3.000","   0.000","   0.000","   2.000","   0.000","   0.000","   5.000","   0.000","  11.000","   6.000","   0.000","   6.000","  26.000"
"2032.628",NA,NA," 552.000","   2.000","   0.000","   0.000","   4.000","   4.000","   3.000","   0.000","  21.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   8.000","   3.000","   0.000","   0.000","  20.000","   0.000","   7.000","   5.000","   3.000","  10.000","  17.000","   0.000","   4.000","   4.000","   0.000","   0.000","  48.000","  18.000","   0.000","   0.000","   0.000","   2.000","   0.000","  12.000","   0.000","   3.000","   0.000","   0.000","   0.000","   2.000","   0.000","   5.000","   0.000","   6.000","  95.000","   0.000","  16.000","   0.000"," 118.000","  21.000","   0.000","   0.000","   1.000","   0.000","   9.000","   5.000","   7.000","   0.000","   0.000","   7.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   4.000","   3.000","   0.000","   8.000"
"2035.354",NA,NA," 554.000","   2.000","   0.000","   0.000","   0.000","  10.000","   5.000","   0.000","  34.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  12.000","   1.000","   0.000","   0.000","  15.000","   0.000","   6.000","   8.000","   1.000","  19.000","   4.000","   0.000","   4.000","   1.000","   0.000","   0.000","  10.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","  81.000","   0.000","  13.000","   0.000"," 110.000","  13.000","   0.000","   1.000","   1.000","   0.000","   7.000","   3.000","   3.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   5.000"
"2039.168",NA,NA," 556.000","   2.000","   0.000","   0.000","   0.000","  12.000","   5.000","   0.000","  36.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  11.000","   1.000","   0.000","   0.000","  12.000","   0.000","   5.000","   7.000","   2.000","  22.000","   3.000","   0.000","   2.000","   1.000","   0.000","   0.000","   8.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","  78.000","   0.000","   8.000","   0.000"," 115.000","  11.000","   0.000","   0.000","   1.000","   0.000","   9.000","   5.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   6.000"
"2042.701",NA,NA," 558.000","   0.000","   0.000","   0.000","   0.000","   1.000","   3.000","   0.000","   7.000","  10.000","   1.000","   0.000","   0.000","   0.000","   7.000","   0.000","   5.000","   8.000","   0.000","   0.000","   5.000","   0.000","   2.000","   2.000","  10.000","   8.000","  25.000","   0.000","   0.000","   0.000","   1.000","   0.000","  23.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   6.000","  15.000","   0.000","  40.000","   0.000"," 140.000","  21.000","   0.000","   8.000","   0.000","   0.000","   7.000","   4.000","   8.000","   0.000","   1.000","   0.000","   1.000","   0.000","  10.000","   0.000","   0.000","   0.000","   2.000","   0.000","  10.000","   0.000","   0.000","   0.000","   2.000"
"2046.058",NA,NA," 560.000","   0.000","   0.000","   0.000","   0.000","   4.000","   5.000","   0.000","   9.000","  15.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   4.000","   7.000","   0.000","   0.000","   6.000","   0.000","   8.000","   4.000","  12.000","   8.000","  15.000","   0.000","   1.000","   0.000","   1.000","   0.000","  22.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   5.000","  13.000","   0.000","  41.000","   0.000"," 155.000","  18.000","   0.000","   7.000","   0.000","   0.000","   9.000","   6.000","   5.000","   0.000","   1.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","   0.000","   2.000","   0.000","   8.000","   0.000","   0.000","   0.000","   4.000"
