"depth","Age BP","Acacia t.","Acanthaceae undif.","Acer","Alchornea","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthoceros","Antidesma t.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boscia","Brassicaceae","Bridelia","Canthium","Capparis","Carpinus","Caryophyllaceae undif.","Cassia","Cedrus","Celastraceae undif.","Celtis","Centaurea","Ceratonia","Cichorieae","Cistaceae","Cleome","Commiphora","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Erodium","Euphorbia t.","Fagus","Fern","Galium t.","Indeterminable","Juglans","Ligustrum","Morella","Myrtaceae undif.","Olea t.","Onagraceae","Phillyrea","Phyllanthus undif.","Picconia","Picea","Pilea","Pinus undif.","Pistacia","Pityrogramma","Plantago","Poaceae","Polygonum t.","Portulacaceae t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rumex t.","Salix","Searsia","Sideroxylon t.","Thymelaeaceae undif.","Tilia","Tribulus","Ulmus t.","Vigna","Ziziphus/Paliurus","Zygophyllum t."
"332.25",NA,"  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  3.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00"," 23.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","233.00","  0.00","  1.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"341.75",NA,"  0.00","  0.00","  0.00","  0.00","  1.00"," 11.00","  0.00","  1.00","  0.00","  0.00"," 57.00","  0.00"," 20.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  2.00","  0.00","  1.00","  1.00","  0.00"," 40.00","  0.00","  0.00","  0.00","  3.00","  0.00","  2.00","  8.00"," 46.00","  0.00","  0.00","  0.00"," 11.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","445.00","  2.00","  0.00","  2.00"," 26.00","  0.00","  0.00","  1.00","  8.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00"
"371.75",NA,"  0.00","  0.00","  0.00","  0.00","  2.00","  3.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 26.00","  1.00","  0.00","  0.00","  4.00","  0.00","  1.00","  2.00","  8.00","  1.00","  0.00","  0.00"," 37.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","278.00","  0.00","  0.00","  1.00","  3.00","  0.00","  0.00","  4.00","  7.00","  0.00","  2.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00"
"  381.25","80000.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   10.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    2.00","    5.00","    0.00","    0.00","    0.00","   36.00","    0.00","    1.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","  526.00","    0.00","    0.00","    1.00","    1.00","    0.00","    0.00","    6.00","    2.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"391.75",NA,"  0.00","  0.00","  0.00","  0.00","  4.00","  8.00","  0.00","  0.00","  1.00","  0.00"," 10.00","  0.00"," 10.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 21.00","  0.00","  0.00","  0.00","  2.00","  1.00","  6.00","  7.00","  1.00","  0.00","  0.00","  0.00"," 27.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","352.00","  1.00","  0.00","  0.00","  6.00","  0.00","  0.00"," 12.00"," 26.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"  402.75","87000.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    1.00","    0.00","    1.00","    1.00","    1.00","    0.00","    0.00","    0.00","   11.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   33.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"412.75",NA,"  0.00","  0.00","  0.00","  0.00","  4.00","  2.00","  0.00","  2.00","  5.00","  0.00"," 15.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00"," 27.00","  0.00","  0.00","  0.00","  4.00","  1.00","  9.00"," 13.00"," 31.00","  0.00","  0.00","  0.00","113.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","159.00","  2.00","  0.00","  1.00"," 13.00","  0.00","  0.00"," 22.00"," 17.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"  421.75","99000.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   11.00","    0.00","    0.00","    0.00","    2.00","    0.00","    1.00","    3.00","    6.00","    0.00","    0.00","    0.00","   40.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   38.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    5.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"432.25",NA,"  0.00","  0.00","  0.00","  0.00","  1.00","  3.00","  0.00","  1.00","  0.00","  0.00","  5.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  2.00","  2.00","  0.00","  0.00","  0.00"," 16.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 90.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"   442.75","107000.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     1.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     7.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","    28.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","   427.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00"
"451.75",NA,"  0.00","  0.00","  0.00","  0.00","  1.00","  3.00","  0.00","  0.00","  1.00","  0.00","  3.00","  0.00","  6.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00"," 20.00","  0.00","  0.00","  0.00","  4.00","  0.00","  6.00","  7.00","  3.00","  0.00","  0.00","  0.00"," 46.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","280.00","  0.00","  0.00","  0.00","  7.00","  0.00","  0.00","  6.00"," 10.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"462.25",NA,"  0.00","  0.00","  0.00","  0.00","  5.00","  1.00","  0.00","  1.00","  0.00","  0.00"," 17.00","  0.00","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00"," 28.00","  0.00","  0.00","  0.00","  5.00","  0.00","  4.00","  2.00"," 25.00","  0.00","  0.00","  1.00"," 30.00","  0.00","  2.00","  0.00","  0.00","  0.00","  1.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","130.00","  0.00","  0.00","  6.00","  9.00","  0.00","  0.00"," 14.00","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"472.25",NA,"  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 22.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"   478.25","122000.00","     0.00","     0.00","     0.00","     0.00","     3.00","     5.00","     0.00","     3.00","     0.00","     0.00","     6.00","     0.00","    17.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00","    56.00","     0.00","     0.00","     0.00","     3.00","     0.00","     1.00","     3.00","    31.00","     0.00","     0.00","     0.00","    22.00","     0.00","     7.00","     0.00","     0.00","     0.00","     0.00","     5.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","   173.00","     1.00","     0.00","     5.00","     2.00","     0.00","     0.00","    15.00","    17.00","     0.00","     0.00","     0.00","     1.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     1.00","     0.00"
NA,NA," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
