"depth","Age BP","Acacia t.","Acanthaceae undif.","Acer","Alchornea","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthoceros","Antidesma t.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boscia","Brassicaceae","Bridelia","Canthium","Capparis","Carpinus","Caryophyllaceae undif.","Cassia","Cedrus","Celastraceae undif.","Celtis","Centaurea","Ceratonia","Cichorieae","Cistaceae","Cleome","Commiphora","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Erodium","Euphorbia t.","Fagus","Fern","Galium t.","Indeterminable","Juglans","Ligustrum","Morella","Myrtaceae undif.","Olea t.","Onagraceae","Phillyrea","Phyllanthus undif.","Picconia","Picea","Pilea","Pinus undif.","Pistacia","Pityrogramma","Plantago","Poaceae","Polygonum t.","Portulacaceae t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rumex t.","Salix","Searsia","Sideroxylon t.","Thymelaeaceae undif.","Tilia","Tribulus","Ulmus t.","Vigna","Ziziphus/Paliurus","Zygophyllum t."
"   96.75","19000.00","    0.00","    0.00","    3.00","    0.00","    2.00","    9.00","    0.00","    1.00","    0.00","    1.00","   66.00","    0.00","   16.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","   34.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    9.00","   31.00","    0.00","    0.00","    0.00","   11.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","  458.00","    0.00","    0.00","    0.00","   20.00","    0.00","    0.00","    3.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00"
"114.25",NA,"  0.00","  0.00","  3.00","  0.00","  1.00"," 16.00","  1.00","  0.00","  0.00","  0.00"," 40.00","  0.00","  8.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00"," 23.00","  0.00","  0.00","  0.00"," 12.00","  0.00","  0.00"," 11.00","  1.00","  0.00","  0.00","  0.00"," 54.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","491.00","  0.00","  0.00","  2.00"," 12.00","  1.00","  0.00","  4.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"  124.25","24000.00","    0.00","    0.00","    2.00","    0.00","    1.00","   17.00","    0.00","    1.00","    1.00","    0.00","   80.00","    0.00","   15.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    1.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","   19.00","    0.00","    0.00","    0.00","    3.00","    2.00","    1.00","    9.00","   15.00","    1.00","    0.00","    0.00","   17.00","    0.00","    5.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","  445.00","    0.00","    0.00","    2.00","   12.00","    0.00","    0.00","    3.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"134.25",NA,"  0.00","  0.00","  0.00","  0.00","  3.00"," 28.00","  0.00","  0.00","  0.00","  0.00"," 60.00","  0.00"," 15.00","  0.00","  0.00","  2.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00"," 17.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00"," 13.00","  0.00","  0.00","  0.00","  7.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","564.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"144.25",NA,"  0.00","  0.00","  0.00","  0.00","  1.00"," 13.00","  0.00","  0.00","  0.00","  0.00"," 34.00","  0.00","  7.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  7.00","  0.00","  0.00","  0.00","  2.00","  1.00","  1.00","  4.00","  8.00","  0.00","  1.00","  0.00","  5.00","  0.00","  7.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","310.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00"
"154.75",NA,"  1.00","  1.00","  1.00","  0.00","  4.00"," 15.00","  0.00","  0.00","  0.00","  0.00","239.00","  0.00","  9.00","  1.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00","  1.00"," 27.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  8.00","  2.00","  0.00","  0.00","  0.00"," 16.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 57.00","  0.00","  0.00","  0.00"," 11.00","  0.00","  0.00","  3.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"174.25",NA,"  0.00","  0.00","  0.00","  0.00","  1.00","  5.00","  0.00","  0.00","  0.00","  0.00"," 16.00","  1.00","  5.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  6.00","  3.00","  0.00","  0.00","  0.00"," 41.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","339.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  5.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"184.25",NA,"  0.00","  0.00","  0.00","  0.00","  2.00","  6.00","  0.00","  1.00","  0.00","  0.00"," 21.00","  0.00","  8.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  2.00","  0.00","  9.00","  2.00","  0.00","  0.00","  0.00","  2.00","  3.00","  3.00","  5.00","  0.00","  2.00","  0.00","  9.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","405.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  8.00"," 18.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"  194.25","53000.00","    0.00","    0.00","    0.00","    0.00","    1.00","   10.00","    0.00","    0.00","    0.00","    0.00","   24.00","    0.00","    7.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    1.00","    3.00","    0.00","   10.00","    5.00","    0.00","    0.00","    0.00","   10.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  444.00","    0.00","    0.00","    2.00","    2.00","    1.00","    0.00","    2.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"194.25",NA,"  0.00","  0.00","  0.00","  0.00","  3.00"," 11.00","  0.00","  0.00","  0.00","  1.00"," 42.00","  1.00","  7.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  1.00","  0.00","  9.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  8.00","  8.00","  0.00","  0.00","  0.00"," 16.00","  0.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","449.00","  0.00","  0.00","  0.00"," 11.00","  0.00","  0.00","  8.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00"
