"depth","Site name","Acacia t.","Acanthaceae undif.","Amaranthaceae undif.","Anacardiaceae undiff.","Apiaceae undif.","Araliaceae undif.","Artemisia","Asclepiadaceae undif.","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Caesalpiniaceae undif.","Calligonum","Capparaceae undif.","Capparis","Caryophyllaceae undif.","Cassia","Celtis","Cichorieae","Cistaceae","Concentration (p/g)","Cucurbitaceae undif.","Cupressaceae","Cyperaceae","Echium t.","Ephedra","Euphorbiaceae undif.","Fabaceae Undif.","Fagonia","Ficus","Fraxinus","Hypericum undif.","Indeterminable","Juncaceae","Lamiaceae undif.","Lemnaceae","Lotus t.","Maerua","Moltkiopsis","Myrtus","Olea t.","Other herb plants","Other woody plants","Paronychieae","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Poaceae","Pollen sum (from Grandi, Lippi & Mercuri 1998)","Populus","Potamogeton","Quercus deciduous","Quercus evergreen","Rhamnaceae undif.","Ricinus","Rumex t.","Salvadora","Searsia","Tamarix","Trees","Tribulus","Trichodesma","Typha","Ulmus t.","Urtica t.","Vitaceae undif.","Ziziphus/Paliurus","Zygophyllum t.","herbs","shrubs"
"TH113-1","TH113-1","3","0","20","0","1","0","18","0","31","4","31","2","27","0","9","80","1","0","3","0","193800","1","0","3","10","1","1","8","0","0","0","0","0","0","17","0","9","4","26","0","1","16","3","2","1","0","0","0","8","362","0","0","0","0","0","1","1","2","9","6","11","1","3","3","0","1","0","0","0","214","138"
"TH113-2","TH113-2","1","0","3","7","0","0","0","0","29","2","10","0","0","0","1","0","0","0","2","0","56612","2","0","2","0","1","1","1","0","0","0","0","0","0","2","0","0","0","1","0","0","13","1","0","2","0","0","0","396","517","0","0","0","0","0","0","2","0","3","28","31","2","6","0","1","0","0","0","0","465","21"
"TH113-3","TH113-3","5","0","35","0","1","0","1","0","196","0","10","2","1","0","10","1","0","0","0","0","102952","1","0","11","12","4","2","7","0","13","0","0","19","0","2","0","0","0","3","0","0","30","2","22","0","1","0","0","103","532","0","0","0","0","0","0","3","0","7","24","43","0","0","0","0","0","4","0","0","410","74"
"TH113-4","TH113-4","1","0","3","0","0","0","7","0","30","0","18","0","0","0","0","2","5","0","3","0","109473","2","0","18","31","0","1","6","0","0","2","0","25","0","1","0","1","2","0","0","0","27","0","3","1","0","0","0","230","454","0","0","0","1","0","0","0","0","4","4","9","1","18","0","0","1","6","0","0","418","27"
