"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Abutilon t.","Acacia t.","Aerva type","Aizoaceae t.","Amaranthaceae undif.","Ambrosia t.","Anthoceros t.","Arecaceae undif.","Artemisia","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Bridelia","Calligonum","Caryophyllaceae undif.","Cassia","Celtis","Centaurea","Cichorieae","Combretaceae","Commiphora","Convolvulaceae","Crudia","Cupressaceae","Cyperaceae","Dipterygium glaucum","Dodonaea","Echinops","Echium t.","Ephedra","Erica t.","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Faboideae Undif.","Fagonia","Fern","Galium t.","Gentianaceae undif.","Geraniaceae undif.","Heliotropium","Hibiscus","Hypoestes t.","Indeterminable","Ipomoea","Jacquemontia t.","Justicia t.","Lamiaceae undif.","Lotus t.","Maerua","Monoletes","Morella","Myriophyllum undif.","Ocimum","Olea t.","Paronychieae","Plantago","Poaceae","Podocarpus","Polygala","Polygonum t.","Psilotrichum t.","Resedaceae undiff.","Rubiaceae undif.","Rumex t.","Salix","Salvadora","Sapotaceae undif.","Scrophulariaceae undif.","Searsia","Solanum","Spergularia t.","Tamarix","Tribulus","Triletes","Typha","Unknown","Urtica t.","Ziziphus/Paliurus","Zygophyllum t."
"8245.207"," 236.000","   1.000","   4.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   1.000","   9.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  25.000","   0.000","   1.000","   0.000","   0.000","   0.000","  28.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   1.000","   0.000","   0.000","  31.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","  90.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","  16.000","  21.000","   8.000","   4.000","   0.000","   2.000"
"8259.839"," 242.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  37.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   6.000","   1.000","   0.000","   2.000","   0.000","   0.000"
"8284.224"," 252.000","   0.000","   1.000","   0.000","   0.000","  13.000","   0.000","  43.000","   0.000","   0.000","   6.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  28.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 193.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","  24.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   7.000","   3.000","   0.000","   1.000","   0.000","   0.000","   0.000"," 164.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  12.000","  44.000","   5.000","   0.000","   0.000","   2.000"
"8296.417"," 257.000","   1.000","   1.000","   0.000","   0.000","  33.000","   1.000","  58.000","   0.000","   1.000","  10.000","   4.000","   3.000","   1.000","   0.000","   0.000","   0.000","   2.000","   1.000","  59.000","   0.000","   3.000","   0.000","   0.000","   0.000"," 149.000","   1.000","   0.000","   0.000","   1.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","  37.000","   1.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   1.000","   1.000","   2.000","   0.000","   0.000","   9.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 541.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   3.000","  53.000","  72.000","   2.000","   0.000","   0.000","   0.000"
"8308.609"," 262.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   8.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  34.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   6.000","   3.000","   0.000","   0.000","   0.000"
"8332.995"," 272.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","  38.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  32.000","   0.000","   0.000","   0.000","   0.000","   0.000","  42.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 102.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","  36.000","   1.000","   0.000","   0.000","   0.000"
"8345.188"," 277.000","   0.000","   2.000","   0.000","   0.000","  34.000","   0.000","  52.000","   0.000","   0.000","  16.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  32.000","   0.000","   0.000","   0.000","   0.000","   1.000"," 179.000","   1.000","   0.000","   0.000","   0.000","   1.000","   2.000","   1.000","   0.000","   0.000","   1.000","   0.000","   6.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 125.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   6.000","  33.000","   8.000","   0.000","   0.000","   1.000"
"8357.38"," 282.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","  27.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","  31.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  31.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  19.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  11.00","   7.00","   1.00","   0.00","   0.00","   0.00"
"8384.204"," 293.000","   0.000","   1.000","   0.000","   0.000","  21.000","   0.000","  36.000","   0.000","   1.000","   4.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 163.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   2.000","   0.000","   0.000","   0.000","   0.000","  19.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  15.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  98.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  17.000","  20.000","   2.000","   0.000","   0.000","   2.000"
"8393.958"," 297.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","  16.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  22.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  17.000","  37.000","   0.000","   1.000","   0.000","   0.000"
