"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthoceros t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Callitriche","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Ceratonia","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Hedera","Indeterminable","Juglans","Lamiaceae undif.","Linum t.","Lycopodium spike","Lythrum","Matthiola","Myriophyllum spicatum/verticillatum t.","Myrtus","Nymphaea","Olea t.","Onagraceae","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Poaceae (Cerealia-type, indeterminable)","Polygonum t.","Primula","Protist","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sarcopoterium","Scrophulariaceae undif.","Secale","Sparganium","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Vitis","Zea"
"  98",NA,NA,"  4","2.5","1","0","0","5000","9","16","1","0","0","1","1","0","1","2","4","5","0","1","0","0","0","1","0","0","0","1","0","0","0","8","0","0","17","0","0","1","6","0","3","0","0","1","1","4","0","0","0","0","0","1","0","0","1","0","0","0","118","0","35","14","3","20","0","155","1","5","0","0","0","213","17","0","0","0","0","1","0","1","6","0","1","0","0","2","0","0","0","0","0","1","3","0","0","1","0"
" 158",NA,NA," 12","2.5","2","0","0","5000","6","8","2","0","0","0","0","0","2","12","2","1","0","0","1","0","0","0","0","2","0","0","1","0","0","3","0","0","10","0","0","2","3","0","3","0","0","0","0","4","0","0","0","0","0","1","0","0","1","0","0","0","113","0","41","17","1","26","0","143","3","1","0","0","0","245","8","0","1","0","0","3","0","1","2","0","0","0","0","6","0","0","0","0","0","0","0","0","0","2","0"
" 219",NA,NA," 20","2.5","0","0","0","48","2","5","0","0","1","1","1","0","5","0","0","3","0","0","3","0","2","0","0","9","3","0","3","0","1","3","0","0","53","0","0","0","50","0","0","0","0","1","0","1","1","0","0","0","1","0","0","0","2","0","0","0","27","3","56","5","4","11","0","27","0","0","5","0","0","158","4","0","0","0","0","2","0","4","0","0","7","1","0","3","0","0","0","0","0","0","0","0","0","0","0"
" 293",NA,NA," 30","2.5","0","0","0","156","4","13","5","0","0","0","7","0","2","0","0","0","1","0","2","0","3","3","1","5","1","0","3","0","0","16","0","0","43","0","4","2","34","0","2","0","0","0","1","0","0","0","0","0","0","4","0","0","1","0","0","0","142","1","79","16","6","20","0","176","0","2","1","0","0","148","3","0","0","0","0","0","0","6","0","0","27","0","0","7","0","0","0","0","0","1","3","0","1","2","0"
" 436",NA,NA," 50","2.0","0","1","0","92","10","8","8","0","0","0","7","0","8","0","2","3","0","0","2","0","3","2","0","7","2","0","5","0","1","10","0","0","40","0","1","4","14","0","2","0","0","0","4","1","0","0","0","0","0","0","0","0","1","0","0","0","126","2","93","46","6","17","0","79","0","1","0","0","0","177","2","0","0","0","0","1","0","6","0","0","13","0","0","10","0","0","0","0","0","2","0","0","0","0","0"
" 563",NA,NA," 69","2.0","0","0","0","101","24","6","1","0","1","0","1","0","0","0","0","3","0","0","0","0","0","5","0","6","1","0","4","0","1","8","0","1","26","0","0","8","19","0","4","0","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","59","3","61","43","6","2","0","63","4","1","0","0","0","247","7","0","0","0","0","0","0","5","0","0","10","0","1","24","0","0","0","0","0","2","0","0","0","0","0"
" 690",NA,NA," 90","2.0","0","1","0","85","21","3","0","1","0","0","0","0","3","9","0","1","0","0","5","0","2","5","0","6","0","0","11","0","0","18","0","0","26","1","0","2","19","0","2","0","0","1","2","1","1","0","0","0","0","1","0","0","3","0","0","0","26","2","97","27","3","11","0","64","3","2","0","0","0","257","9","0","2","0","0","0","0","2","0","0","14","0","1","2","0","0","1","2","0","2","5","1","0","0","1"
" 783",NA,NA,"108","1.8","1","0","1","1300","55","2","1","0","0","0","3","0","3","0","7","3","0","0","2","0","0","2","0","1","0","0","2","0","0","6","0","0","15","0","0","0","9","0","12","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","28","0","34","25","3","13","0","70","0","1","0","0","0","299","9","1","1","0","0","0","0","4","6","0","5","0","0","13","0","0","0","0","0","1","10","0","0","3","0"
" 819",NA,NA,"116","2.0","0","0","0","76","99","7","0","1","0","0","6","0","3","1","8","3","0","0","0","0","2","1","0","2","0","0","0","0","2","12","0","2","6","0","0","1","8","0","13","0","0","0","3","1","0","1","0","1","0","1","0","1","2","0","0","0","24","0","7","12","5","25","1","82","0","1","1","1","0","284","18","0","1","0","0","1","0","8","14","1","1","0","0","0","1","0","0","0","0","6","10","0","0","14","0"
" 880",NA,NA,"132","1.6","0","0","0","106","34","2","0","0","0","0","5","0","1","4","16","7","1","0","2","0","1","1","0","6","0","0","1","0","0","22","0","0","17","1","0","1","22","0","9","0","0","3","1","1","0","0","0","0","0","1","1","0","1","0","0","0","22","2","27","40","13","5","0","88","3","1","1","0","0","306","10","3","1","0","0","0","0","2","2","0","3","3","0","20","0","0","0","0","1","0","8","0","0","8","0"
