"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acanthus","Alnus","Amaranthaceae undif.","Animalia","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Calligonum","Cardueae undif.","Caryophyllaceae undif.","Celtis","Centaurea","Centranthus t.","Cichorieae","Convolvulaceae","Corylus","Cuscuta","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Fraxinus","Fungi","Galium t.","Gentianaceae undif.","Geranium","Ilex","Indeterminable","Lamiaceae undif.","Linum t.","Littorella","Lotus t.","Lysimachia","Malva","Nuphar","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Ruta","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Theligonum","Typha","Ulmus t.","Unknown","Urtica t.","Valerianaceae undif.","Valerianella","Vitis","charcoal"
"5554",NA,NA," 900",NA,"0","0","0","16","1","4","3","1","0","5","38","0","2","0","1","0","14","2","0","1","0","31","0","0","0","13","0","0","7","0","0","0","0","0","0","0","0","378","0","3","0","0","1","0","10","0","0","0","0","0","0","0","0","4","0","3","102","42","0","49","9","0","59","11","5","3","8","1","0","2","0","1","0","0","9","0","0","0","0","0","0","0","146"
"5617",NA,NA," 910",NA,"1","0","0","19","1","4","3","1","0","12","67","1","0","0","2","0","37","1","0","1","0","32","2","0","0","5","0","1","5","0","1","0","0","0","0","0","0","137","0","1","0","0","1","0","13","0","0","0","0","0","0","0","0","1","0","3","75","38","0","41","13","0","42","14","7","2","11","6","0","1","0","0","0","0","10","0","0","6","0","0","1","0","84"
"5680",NA,NA," 920",NA,"0","0","0","16","2","5","1","0","0","7","46","0","0","0","9","0","15","0","0","0","0","28","0","0","0","7","0","0","2","0","0","0","1","0","1","0","0","148","0","1","0","0","0","0","20","0","0","0","0","0","0","0","1","0","1","0","100","66","0","34","15","0","36","10","5","5","10","4","0","7","0","0","0","0","4","0","2","0","1","1","0","0","101"
"5743",NA,NA," 930",NA,"0","0","1","5","0","0","1","1","0","6","40","0","0","1","5","0","16","0","1","4","0","39","1","1","0","10","0","0","5","0","0","0","0","0","0","0","0","94","0","8","0","0","0","0","21","0","0","0","0","0","0","0","0","2","0","0","72","77","0","51","15","1","20","8","1","4","5","5","0","7","0","0","2","5","10","0","0","2","0","0","1","0","81"
"5806",NA,NA," 940",NA,"0","0","0","1","1","4","1","1","0","6","42","0","1","0","5","1","12","0","0","2","0","35","2","0","0","7","0","2","4","1","0","0","1","0","0","0","0","107","0","1","0","0","0","1","5","0","0","0","0","0","4","0","0","0","0","2","128","50","0","24","4","0","39","30","4","1","5","6","0","2","0","0","0","0","13","0","0","0","0","0","2","0","91"
"5868",NA,NA," 950",NA,"0","0","1","25","1","4","4","4","0","3","26","0","1","0","1","0","9","1","0","10","0","40","4","0","1","13","0","0","5","0","1","0","1","0","0","0","0","94","0","0","0","0","0","0","16","0","1","0","0","0","2","0","0","0","1","4","83","50","0","40","4","0","22","18","9","1","13","4","0","13","0","2","0","0","8","0","0","4","0","0","0","0","23"
"5931",NA,NA," 960",NA,"0","0","0","6","2","6","2","0","0","8","52","0","1","0","3","0","18","0","0","4","0","40","1","0","0","8","0","0","2","0","3","0","0","0","0","0","0","90","0","0","0","0","2","0","7","0","0","1","0","0","1","0","0","0","0","1","145","54","0","30","7","0","32","7","3","0","3","5","0","3","0","0","0","1","7","0","0","1","0","0","1","0","49"
"5994",NA,NA," 970",NA,"0","0","0","7","0","2","1","0","0","9","35","0","1","0","7","0","14","2","0","0","1","26","2","2","0","13","0","0","7","0","0","0","1","0","0","0","0","80","1","2","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","5","132","54","0","39","7","0","40","22","3","2","5","4","0","7","0","0","2","0","8","0","0","2","0","0","0","0","90"
"6057",NA,NA," 980",NA,"0","0","1","7","3","3","0","1","0","5","43","0","0","2","8","0","13","0","0","1","0","31","1","0","0","8","0","0","8","0","0","0","0","0","0","0","0","65","0","2","0","0","0","0","2","0","0","0","0","0","3","0","0","1","0","1","146","0","0","21","10","0","25","2","1","0","2","3","0","1","0","0","3","0","8","0","0","1","0","0","1","0","62"
"6120",NA,NA," 990",NA,"0","0","0","2","0","0","0","0","0","10","30","0","2","0","3","0","0","2","0","2","1","19","1","1","0","9","0","0","5","0","0","0","0","0","0","0","0","60","0","0","0","0","0","0","11","0","1","0","0","0","0","0","3","0","0","2","175","50","0","24","7","0","129","16","3","1","5","2","0","1","0","1","0","1","10","0","0","0","0","0","0","0","32"
"6183",NA,NA,"1000","  6.6","0","0","0","1","0","5","0","0","0","9","25","0","1","0","1","0","9","1","0","0","0","16","1","0","0","10","2","0","5","0","1","0","0","0","0","3","0","43","1","1","0","0","0","0","11","0","0","0","0","0","1","0","0","3","0","3","190","48","1","11","3","0","36","1","3","1","7","0","0","1","0","0","0","1","9","0","0","0","0","0","0","0","4"
