"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cathaya","Cedrus","Celtis","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Hedera","HippophaÃ«","Humulus","Ilex","Indeterminable","IsoÃ«tes","Juglans","Lamiaceae undif.","Ligustrum","Lythrum","Menyanthes","Mercurialis","Morella","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Olea t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus subg. Strobus","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (>37 Âµm)","Polemonium","Pollen concentration","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pteridium aquilinum-type","Pterocarya","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rhododendron","Riccia","Rosaceae undif.","Rubiaceae undif.","Rumex subg. Emex","Rumex t.","Salix","Sambucus","Sanguisorba t.","Searsia","Secale","Solanaceae undif.","Solanum","Tamarix","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Unknown (monolete, non-psilate)","Unknown (monolete, psilate)","Unknown (trilete, non-psilate)","Unknown (trilete, psilate)","Urtica t.","Viburnum","Vitis","Zea"
NA,NA,NA,"  37.13","   0.00","   0.00","   3.00","   8.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   1.00","   3.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   7.00","  11.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   3.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  17.00","   0.00","   3.00","   0.00","   9.00","   0.00","   0.00","3638.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   3.00","   2.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  18.00","   5.00","  23.00","   1.00","   9.00","   1.00","   0.00","   0.00","   0.00"
NA,NA,NA,"    0.38","    0.00","    0.00","   20.00","    6.00","    0.00","    2.00","    1.00","    4.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","   12.00","    0.00","   10.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   22.00","   25.00","    4.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","   15.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    0.00","   88.00","    1.00","    4.00","    6.00","   39.00","    0.00","    0.00","41982.00","    0.00","    0.00","    1.00","    0.00","    0.00","    1.00","   40.00","    3.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    1.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    3.00","    3.00","    8.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00"
NA,NA,NA,"    1.88","    0.00","    0.00","   15.00","    9.00","    0.00","    1.00","    1.00","   15.00","    3.00","    2.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","   14.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","   14.00","   27.00","    2.00","    0.00","    0.00","    0.00","    6.00","    0.00","    0.00","   14.00","    0.00","    0.00","    0.00","    6.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","   10.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","   72.00","    0.00","    2.00","   12.00","   38.00","    2.00","    0.00","19245.56","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","   68.00","    5.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    9.00","    1.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","   10.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
NA,NA,NA,"    6.63","    0.00","    0.00","   19.00","    7.00","    0.00","    0.00","    1.00","    7.00","    0.00","    2.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","   23.00","    0.00","    6.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   15.00","   24.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","   11.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","  102.00","    2.00","    3.00","    8.00","   47.00","    2.00","    0.00","35986.35","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","   21.00","    9.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.00","    6.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   12.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
NA,NA,NA,"  36.12","   2.00","   0.00","   6.00","   9.00","   1.00","   0.00","   0.00","   4.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   5.00","   5.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","  10.00","  18.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  16.00","   0.00","   0.00","   1.00","   6.00","   0.00","   0.00","2875.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   8.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   1.00","   0.00","   3.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","  12.00","   0.00","  21.00","   0.00","  10.00","   2.00","   0.00","   1.00","   0.00"
NA,NA,NA,"  22.13","   0.00","   0.00","   3.00","   9.00","   0.00","   0.00","   2.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","  15.00","   0.00","   0.00","   0.00","   1.00","   3.00","   1.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   2.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   3.00","   2.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","  77.00","   0.00","   2.00","   1.00","  10.00","   2.00","   0.00","4072.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   7.00","   2.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   6.00","   0.00","   3.00","   0.00","   6.00","   0.00","   1.00","   0.00","   0.00"
NA,NA,NA,"    0.88","    0.00","    0.00","   31.00","    5.00","    0.00","    1.00","    2.00","   10.00","    1.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","   19.00","    0.00","    6.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","   12.00","   20.00","    1.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","   17.00","    1.00","    0.00","    0.00","    8.00","    1.00","    0.00","    0.00","    0.00","    4.00","    0.00","    6.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    7.00","    0.00","    1.00","    0.00","    0.00","    0.00","   53.00","    0.00","    1.00","   16.00","   32.00","    0.00","    0.00","27355.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","   38.00","    1.00","    3.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","   11.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    2.00","   16.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00"
NA,NA,NA,"    6.38","    0.00","    0.00","   24.00","    8.00","    0.00","    0.00","    3.00","    3.00","    0.00","    1.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","   22.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","   18.00","   11.00","    1.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","   14.00","    0.00","    0.00","    0.00","    7.00","    2.00","    0.00","    0.00","    0.00","    1.00","    0.00","   13.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    0.00","  102.00","    0.00","    6.00","    6.00","   55.00","    2.00","    0.00","25462.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","   31.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    1.00","    1.00","   20.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    1.00","    0.00"
NA,NA,NA,"    4.38","    1.00","    0.00","   23.00","    2.00","    0.00","    3.00","    1.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   20.00","    0.00","    8.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","   11.00","   20.00","    2.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    9.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    1.00","    0.00","    0.00","    7.00","    1.00","    0.00","    0.00","    0.00","    0.00","   97.00","    1.00","    4.00","    4.00","   40.00","    0.00","    0.00","18387.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","   24.00","    8.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    2.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","   14.00","    5.00","    2.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00"
NA,NA,NA,"    5.38","    1.00","    0.00","   14.00","    4.00","    0.00","    0.00","    7.00","    9.00","    0.00","    0.00","    0.00","    1.00","    1.00","    0.00","    0.00","    0.00","   13.00","    0.00","   27.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   11.00","    9.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   16.00","    1.00","    0.00","    0.00","    6.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    6.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","   77.00","    2.00","    2.00","    3.00","   27.00","    0.00","    0.00","25747.00","    1.00","    0.00","    0.00","    0.00","    1.00","    0.00","   29.00","    2.00","    1.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    2.00","    7.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    1.00","    1.00","   18.00","    2.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
