"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Calligonum","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Cedrus","Centaurea","Centranthus t.","Cichorieae","Cistaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Genisteae","Gentiana t.","Geranium","Hedera","HippophaÃ«","Hypericum undif.","IsoÃ«tes","Lamiaceae undif.","Lemnaceae","Linum t.","Lotus t.","Lythrum","Matthiola","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nymphaea","Olea t.","Ononis t.","Paronychieae","Petaloid monocot","Phillyrea","Pinus pinaster","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Primula","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Spergularia t.","Thalictrum","Theligonum","Thelypteris palustris-type","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Unknown","Valerianaceae undif.","Viburnum","Vitex","Vitis"
"303",NA,NA,"  5","  0","  0","  0"," 11","  4","  9","103","  0"," 20","  0","  2","  0","  0","  0","  1","  0","  0","  0","  0"," 30","  0","  0","  0","  5","  2","  0","  0","  0","  2","  0","456","  0","  0","  0"," 84","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 50","  0","  0","  0","  1","  0","  1","  0","  1","  0","  3","  2","  3","  0"," 12"," 66","  5","  0","  0","  0","  0","  7"," 20"," 16","  7","  0","138","  6","  3","  0","  0","  0","  7","  4","  0","  0","  1","  1","  1","  0","  2","  0","  1","  0","  0"
"1006",NA,NA,"  15","   0","   0","   0","   0","   0","   0","   8","   0","   7","  10","   3","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   1","   6","   1","   0"," 142","   0","   0","   0","  67","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","  12","   0","   0","   0","   3","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","   0","   5","   0","  12","  65","   8","   1","  12","   0","   0","  14","  40","  27","   0","   0","  69","   3","  10","   0","   0","   0","   0","   1","   0","   0","   1","   0","   8","   2","   3","   0","   0","   0","   1"
"1708",NA,NA,"  25","   0","   0","   0","   8","   1","   0","   9","   0","  12","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","   0"," 280","   0","   0","   4","  35","   0","   0","   5","   0","   0","   0","   2","   0","   0","   0","   2","   0","  16","   3","  10","   0","   0","   5","   4","   0","   2","   0","   0","   0","   1","   0","   0","   0","   1","   0","   3","   1","  12","  54","   0","   0","   5","   0","   0","  10","  39","  14","   0","   0","  67","   3","  11","   0","   4","   0","   0","   0","   0","   0","   0","   0","  13","   2","   0","   0","   0","   0","   0"
"2410",NA,NA,"  35","   0","   0","   0","  18","   6","   0","  31","   0","   8","   3","   7","   0","   0","   5","   0","   0","   0","   0","   0","   1","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","  44","   0","   2","   3"," 119","   0","   0","   4","   1","   0","   0","   3","   0","   0","   0","   0","   0","  33","   4","   4","   0","   0","   8","   1","   0","  33","   5","   0","   4","   5","   3","   2","   6","   0","   4","  10","  12","   2","  57","   5","   4","  16","   0","   0","  24","  24","  35","   2","   0","  24","   1","   8","   0","   9","   0","   0","   0","   0","   2","   0","   0","  12","   6","   3","   0","   0","   0","   3"
"3077",NA,NA,"  45","   0","   0","   3","   9","   3","   0","  40","   0","   4","   0","   3","   0","   0","   1","   0","   0","   0","   0","   0","   5","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","  50","   0","   0","   1","  43","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   1","   0","   2","   0","  16","   0","  14","   0","   3","   8","   6","   0","   0","   1","   0","   3","   0","   1","   2","  76","   0","   0","   2","   0","   0","   7","   4","  62","  20","   0","  51","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0"
"3779",NA,NA,"  55","   0","   1","   4","  25","   5","   0","  24","   0","   2","   5","   2","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   7","   0","   0","   0","  35","   0","   0","   4","  38","   0","   0","  10","   4","   0","   0","   0","   0","   0","   0","   0","   0","  15","   2","  13","   2","   0","  12","  22","   0","   0","   0","   0","   0","   0","   1","   0","   7","   0","  24","  33","   0","   5","  78","   0","   4","  20","   0","   0","  23","  44","  31","  20","   3"," 123","  17","  18","   0","   3","   0","   0","   0","   0","   0","   0","   0","  21","  10","   1","   0","   0","   0","   0"
"4481",NA,NA,"  65","   0","   0","   0","  28","   4","   2","  35","   0","  14","   0","   1","   3","   0","   1","   0","   0","   0","   0","   1","   1","   1","   0","   0","   2","   2","   0","   7","   0","   8","   0"," 272","   0","   0","   1","  27","   0","   0","   0","   1","   0","   1","   1","   2","   0","   0","   1","   0","   0","   0","   1","   0","   0","   2"," 352","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1"," 230","  30","   0","   2"," 184","   2","   0","   1","   0","   0","   8"," 138","  96","  44","   0","  86","   3","  84","   0","   1","   0","   0","   0","   0","   0","   0","   0","  35","   0","   5","   0","   0","   0","   0"
"12340",NA,NA,"   75","    0","    2","    7","   10","   11","    0","   27","    0","   29","    7","    5","    0","    0","   12","    0","    0","    0","    0","    0","    4","   16","    0","    0","    7","    0","    0","    2","    0","    0","    0","  297","    0","    0","    4","    4","    0","    0","   14","    4","    0","    0","    0","    0","    0","    0","    2","    0","   16","   22","   27","   27","    0","    8","   37","    0","    0","    0","    0","    0","    0","    0","    0","    9","    0","  172","  103","    0","    4","   64","    0","    3","   22","    0","    0","    3","   17","    4","   14","    0","   58","   13","    7","    0","    6","    0","    0","    0","    0","    0","    0","    0","   36","    5","    8","    0","    0","    0","    0"
"12515",NA,NA,"   85","    2","    0","    1","    3","    1","    0","    6","    0","   11","    2","    0","    0","    0","   18","    0","    0","    0","    0","    0","    1","   11","    0","    0","    2","    0","    0","    0","    0","    2","    0","  135","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    5","    2","   18","    0","    1","    6","    0","    0","    0","    0","    0","    4","    0","    4","    2","    0","  122","  112","    0","    4","   94","    0","    0","    4","    0","    0","    0","    0","    4","    5","    1","    6","    9","    1","    0","    0","    0","    0","    3","    0","    0","    0","   14","   19","    0","    0","    0","    0","    0","    0"
"12700",NA,NA,"   95","    1","    0","    0","    0","    1","    0","    1","    1","    6","    0","    1","    0","    1","    1","    0","    0","    0","    0","    0","    1","    9","    1","    0","    1","    1","    0","    0","    0","    0","    9","   90","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    4","    0","    0","   34","    0","    0","    0","    1","    0","    0","    0","    1","    2","    0","   60","   30","    0","    5","  110","    0","    0","    0","    0","    0","    0","    0","   11","    4","    0","    3","    1","    8","    0","    0","    0","    0","    3","    0","    0","    0","   27","    0","    0","    0","    0","    0","    0","    0"
