"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Calluna","Campanulaceae","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Erica t.","Erodium","Fabaceae Undif.","Fern","Fraxinus","Fungi","Fungi (type 18, HdV)","Genisteae","Geranium","Ilex","Lamiaceae undif.","Olea t.","Petaloid monocot","Pinus nigra/sylvestris t.","Pinus pinaster","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhytidospora cf. R. tetraspora (type 171, HdV)","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Saxifragaceae","Taxus","Thymelaeaceae undif.","Ulmus t.","Unknown (type 181, HdV)","Urtica t.","Viburnum"
"  0",NA,NA," 15","  6","  0","  2","  4","  1","  2","  0"," 20","  0","  1","  0","  0","  2","  3","  1","  0","  5","  1","  0","  3","  7","  0","  4","  2","  1"," 10","  0"," 13","  0","  8","  0","  0","  0","  1","  0","123"," 49"," 19","224","  1","  3","  0"," 23","  3","  1","  0","  1","  0","  0"," 47","  0","  7","  0","  1","  0","  0","  0","  2","  0"
"186",NA,NA," 20"," 11","  0","  2","  6","  0","  4","  0"," 13","  0","  1","  0","  0","  0","  4","  3","  0","  5","  4","  0","  5","  7","  0","  7","  0","  2","  5","  5","  8","  2","  5","  0","  0","  0","  7","  0"," 34","  8","  8","353","  1","  0","  1"," 32","  8","  0","  0","  0","  0","  0"," 38","  2","  0","  0","  1","  0","  1","  0","  2","  0"
"355",NA,NA," 25"," 11","  0","  1","  5","  1","  6","  0","  7","  1","  4","  0","  3","  0","  9","  5","  0","  6","  0","  0","  1"," 13","  1","  0","  0","  2","  8","  0"," 31","  2"," 11","  0","  1","  0","  4","  0"," 44"," 22","  6","300","  2","  1","  0"," 29","  6","  1","  0","  0","  1","  1"," 57","  2","  0","  0","  0","  0","  1","  1","  4","  0"
"491",NA,NA," 30","  2","  0","  5","  2","  0","  2","  0"," 14","  0","  1","  0","  1"," 10"," 14","  2","  2"," 23","  2","  0","  3"," 11","  0","  3","  0","  3","  5","  2"," 19","  0","  2","  0","  0","  0","  1","  0"," 10","  3"," 11","385","  0","  0","  0"," 17","  1","  0","  0","  5","  0","  0"," 29","  0","  0","  0","  0","  0","  0","  0","  6","  0"
"600",NA,NA," 35","  9","  0","  1","  5","  0","  9","  0"," 12","  0","  1","  0","  0","  3","  6","  4","  1","  5","  1","  0","  3","  6","  0","  4","  0","  3"," 10","  0"," 50","  0","  7","  0","  0","  0","  1","  0"," 32","  7"," 14","289","  0","  0","  0"," 22","  8","  0","  0"," 59","  0","  0"," 46","  2","  2","  0","  1","  1","  1","  2","  4","  0"
"686",NA,NA," 40"," 10","  0","  5","  4","  0","  5","  1","  8","  2","  2","  0","  1","  3","  3","  0","  0","  9","  3","  0","  0","  9","  0","  5","  0","  6"," 10","  1"," 24","  2","  4","  0","  0","  1","  1","  1"," 17"," 11","  6","371","  2","  0","  0"," 18","  3","  0","  0"," 14","  0","  0"," 26","  1","  0","  0","  0","  0","  0","  0","  0","  0"
"716",NA,NA," 42","  7","  1","  1","  3","  0","  3","  0","  7","  0","  5","  0","  0","  2","  5","  8","  0","  5","  9","  0","  6","  4","  0","  5","  0","  1"," 14","  0"," 55","  0","  4","  0","  0","  0","  1","  0"," 41"," 15"," 30","345","  1","  0","  0"," 13","  5","  1","  1","  0","  0","  1"," 62","  2","  0","  0","  0","  1","  1","  1"," 19","  0"
"755",NA,NA," 45","  4","  0","  3","  5","  0"," 10","  0","  5","  0","  2","  0","  2","  3","  8","  1","  0","  7","  0","  0","  1","  8","  0","  4","  0","  4","  4","  1"," 30","  0","  3","  0","  0","  1","  0","  0"," 10","  9","  9","365","  2","  0","  0"," 15","  5","  0","  0","  1","  0","  1"," 40","  1","  0","  0","  0","  1","  1","  0","  2","  0"
"810",NA,NA," 50"," 14","  0","  1","  5","  0"," 10","  0"," 15","  1","  2","  0","  0","  1","  7","  1","  0","  6","  1","  0","  3"," 23","  0","  4","  0","  1"," 16","  0"," 56","  0","  2","  0","  0","  0","  4","  0"," 11"," 25"," 14","300","  1","  0","  0"," 29","  7","  0","  0","  7","  0","  1"," 44","  1","  2","  0","  0","  4","  0","  1","  2","  0"
"839",NA,NA," 53"," 13","  1","  0","  4","  1","  9","  0","  8","  1","  1","  0","  1","  4","  6","  1","  0","  4","  1","  0","  0"," 15","  0","  7","  0","  5"," 12","  3"," 14","  0","  3","  0","  0","  0","  0","  0"," 29"," 15","  9","307","  0","  0","  0"," 37","  4","  0","  0","  0","  0","  1"," 34","  2","  0","  0","  1","  1","  0","  0","  2","  0"
