"Depth (cm)","Acacia t.","Acanthaceae undif.","Alchornea","Allophylus t.","Alnus","Amaranthaceae undif.","Anacardiaceae undiff.","Antidesma t.","Apiaceae undif.","Arecaceae undif.","Artemisia","Asteroideae undif.","Betula","Borreria t.","Brassicaceae","Burseraceae","Caesalpinioideae","Calligonum","Campylostemon","Canthium","Cassia","Celastraceae undif.","Celtis","Centaurea","Combretaceae","Corylus","Crudia","Cyperaceae","Echium t.","Elaeis","Ephedra","Eugenia","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Flacourtiaceae","Gaertnera","Galium t.","Gentianaceae undif.","Haloragaceae","Hygrophila","Hymenocardia","Hypericaceae","Hyphaene t.","Ilex","Indeterminable","Indigofera","Iodes","Isoberlinia","Lannea","Linum t.","Macaranga","Maerua","Manilkara","Meliaceae undif.","Mendocia","Mitracarpus","Moltkia","Morelia","Morella","Myrtaceae undif.","Nymphaea","Nypa","Ochnaceae","Olea t.","Ouratea","Paramacrolobium","Periploca","Petaloid monocot","Phyllanthus undif.","Picconia-type","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Polygala","Polygonum t.","Proteaceae","Ranunculaceae undif.","Rhizophora","Rosaceae undif.","Rubiaceae undif.","Rutaceae undif.","Santalaceae undif.","Sapindaceae undif.","Sapotaceae undif.","Sebacea","Sideroxylon t.","Sterculia","Sterculia undif.","Symphonia","Syzygium t.","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Urtica t.","Vigna","Vitaceae undif."
"  7.5","  0.0","  0.0"," 29.0","  0.0","  0.0","  3.0","  0.0","  1.0","  0.0","  2.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0"," 12.0","  0.0","  0.0"," 13.0","  0.0","  4.0","  2.0","  2.0","  1.0","  6.0"," 28.0","  5.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 49.0","  0.0","  0.0","  1.0","  2.0"," 15.0","  3.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  4.0","  0.0","  7.0","  0.0","  0.0","  4.0","  0.0","  0.0","  1.0","  3.0","  0.0"," 57.0","  0.0","  1.0","  0.0","  0.0","213.0","  5.0"," 14.0","  2.0","  4.0"," 22.0","  3.0","  0.0","  0.0","  0.0","  8.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0"
"27.5"," 2.0"," 0.0","26.0"," 0.0"," 0.0"," 7.0"," 0.0"," 0.0"," 0.0"," 7.0"," 5.0"," 0.0"," 0.0"," 1.0"," 6.0"," 0.0"," 7.0"," 1.0"," 0.0"," 0.0"," 0.0"," 2.0"," 4.0"," 0.0","26.0"," 0.0"," 0.0","23.0"," 1.0"," 3.0"," 5.0","10.0"," 6.0","23.0","33.0"," 3.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0","29.0"," 0.0"," 0.0"," 0.0"," 3.0","15.0"," 5.0"," 0.0"," 0.0"," 9.0"," 0.0"," 0.0"," 0.0"," 1.0"," 3.0"," 0.0"," 0.0"," 1.0"," 3.0"," 0.0"," 0.0"," 1.0"," 0.0"," 4.0"," 4.0"," 0.0"," 1.0"," 3.0"," 2.0","59.0"," 0.0"," 0.0"," 0.0"," 0.0","89.0"," 0.0","14.0"," 4.0"," 7.0"," 0.0","14.0"," 0.0"," 0.0"," 0.0"," 4.0"," 3.0"," 7.0"," 0.0"," 1.0"," 0.0"," 0.0"," 7.0"," 0.0"," 0.0"
"47.5"," 7.0"," 2.0"," 8.0"," 0.0"," 0.0"," 8.0"," 0.0"," 0.0"," 0.0"," 0.0"," 3.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 7.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 4.0"," 1.0","25.0"," 0.0"," 0.0","21.0"," 0.0"," 5.0"," 2.0"," 0.0"," 1.0","11.0","19.0"," 6.0"," 1.0"," 0.0"," 1.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0","46.0"," 0.0"," 0.0"," 2.0"," 1.0","12.0"," 8.0"," 0.0"," 0.0","10.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 8.0"," 0.0"," 0.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 5.0"," 0.0","13.0"," 1.0"," 2.0"," 0.0","44.0"," 0.0"," 0.0"," 1.0"," 0.0","71.0"," 0.0","23.0"," 6.0"," 3.0"," 1.0","25.0"," 0.0"," 0.0"," 7.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 5.0"," 1.0"," 0.0"," 0.0"
"67.5"," 3.0"," 0.0","31.0"," 0.0"," 0.0"," 6.0"," 0.0"," 5.0"," 0.0"," 0.0"," 0.0"," 3.0"," 1.0"," 0.0"," 0.0"," 0.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 2.0"," 0.0","29.0"," 0.0"," 0.0","18.0"," 0.0"," 2.0"," 7.0"," 7.0"," 0.0","17.0","11.0"," 1.0"," 2.0"," 1.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0","59.0"," 0.0"," 0.0"," 2.0"," 6.0","17.0"," 4.0"," 1.0"," 0.0","10.0"," 0.0"," 0.0"," 0.0"," 0.0"," 6.0"," 0.0"," 0.0"," 0.0"," 3.0"," 0.0"," 0.0"," 2.0"," 0.0"," 3.0"," 3.0"," 4.0"," 0.0"," 0.0"," 0.0","38.0"," 0.0"," 0.0"," 1.0"," 0.0","95.0"," 1.0"," 6.0"," 5.0"," 0.0"," 0.0","27.0","19.0"," 0.0","13.0"," 2.0"," 3.0"," 5.0"," 0.0"," 0.0"," 1.0"," 1.0"," 0.0"," 0.0"," 0.0"
"87.5"," 1.0"," 2.0","11.0"," 2.0"," 3.0","10.0"," 1.0"," 3.0"," 0.0"," 5.0"," 3.0"," 1.0"," 0.0"," 0.0"," 0.0"," 3.0"," 9.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0","17.0"," 0.0"," 0.0","26.0"," 0.0"," 6.0"," 6.0"," 0.0"," 0.0","25.0","35.0"," 0.0"," 4.0"," 0.0","10.0"," 0.0"," 0.0"," 3.0"," 0.0"," 1.0"," 0.0","41.0"," 0.0"," 0.0"," 1.0"," 0.0","11.0"," 9.0"," 0.0"," 7.0"," 3.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 2.0"," 1.0"," 0.0"," 5.0"," 0.0"," 0.0"," 3.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0","71.0"," 1.0"," 0.0"," 0.0"," 2.0","71.0"," 0.0","17.0"," 0.0"," 0.0"," 5.0","11.0","16.0","17.0","14.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 2.0"," 4.0"," 0.0"," 1.0"," 2.0"
"103.5","  1.0","  1.0"," 13.0","  6.0","  0.0"," 10.0","  3.0","  3.0","  0.0","  2.0","  0.0","  0.0","  0.0","  3.0"," 13.0","  3.0","  6.0","  0.0","  0.0","  1.0","  0.0","  1.0","  4.0","  0.0"," 29.0","  0.0","  0.0"," 36.0","  0.0","  2.0","  3.0","  0.0","  0.0","  4.0"," 38.0","  4.0"," 10.0","  0.0"," 15.0","  1.0","  0.0","  2.0","  3.0","  0.0","  0.0"," 63.0","  0.0","  0.0","  1.0","  0.0"," 26.0","  5.0","  0.0"," 10.0","  4.0","  3.0","  0.0","  0.0","  2.0","  2.0","  4.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0"," 35.0","  0.0","  0.0","  0.0","  0.0"," 74.0","  1.0"," 14.0","  0.0","  0.0","  8.0","  9.0"," 21.0"," 21.0","  9.0","  1.0","  4.0","  0.0","  0.0","  0.0","  3.0","  2.0","  0.0","  0.0","  8.0"
"122","  3","  0"," 31","  0","  1","  6","  1","  0","  0","  1","  0","  0","  0","  0","  2","  4"," 12","  0","  0","  2","  0","  0","  0","  0"," 39","  0","  0"," 28","  0","  4","  6","  1","  2"," 20"," 28","  1","  6","  0","  5","  0","  0","  1","  0","  1","  0"," 39","  0","  0","  1","  1"," 25","  7","  0","  9","  0","  3","  3","  0","  4","  2","  3","  0","  0","  1","  0","  1","  1","  0","  0","  0","  2","  0","  0","  0"," 65","  0","  0","  0","  1"," 90","  0"," 14","  5","  0","  5"," 12"," 21","  7","  3","  4","  3","  0","  1","  1","  2","  0","  0","  0","  0"
"142","  2","  0","  8","  0","  0","  9","  2","  1","  0","  1","  0","  1","  0","  1","  4","  1"," 10","  0","  0","  0","  0","  4","  0","  0"," 21","  0","  0"," 32","  0","  4"," 14","  0","  0"," 15"," 24","  0","  0","  0","  4","  1","  0","  1","  1","  0","  0"," 37","  0","  0","  2","  1"," 11","  5","  0"," 10","  2","  3","  2","  0","  0","  0","  2","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 62","  0","  0","  0","  1"," 57","  0"," 12","  1","  0","  2","  9"," 11","  5"," 10","  2","  0","  0","  0","  1","  1","  0","  0","  0","  0"
"157.5","  4.0","  3.0"," 10.0","  0.0","  6.0"," 11.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0"," 37.0","  0.0","  0.0","  0.0","  4.0","  2.0","  1.0","  0.0"," 37.0","  0.0","  0.0"," 37.0","  0.0","  3.0"," 10.0","  3.0","  0.0"," 14.0"," 32.0","  0.0","  4.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 49.0","  0.0","  0.0","  0.0","  2.0"," 14.0","  8.0","  0.0","  4.0","  5.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  9.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 63.0","  0.0","  0.0","  0.0","  1.0"," 89.0","  0.0"," 16.0","  9.0","  0.0","  1.0"," 29.0"," 12.0"," 14.0","  6.0","  0.0","  3.0","  1.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0"
"180","  0","  1"," 18","  1","  2","  2","  4","  0","  0","  2","  0","  1","  0","  0","  8","  1"," 10","  0","  0","  0","  0","  7","  2","  0"," 32","  0","  0"," 32","  0","  6","  6","  2","  6"," 12"," 37","  0","  0","  0","  8","  0","  0","  3","  0","  1","  0"," 45","  0","  0","  0","  0","  9","  4","  0","  6","  5","  2","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  2","  0","  0"," 66","  0","  0","  1","  2"," 99","  0","  8","  4","  0","  1"," 13","  9"," 17","  6","  2","  0","  1","  0","  0","  4","  1","  1","  0","  0"
