"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Algae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Byssothecium circinans (type 16A, HdV)","Byssothecium circinans (type 16C, HdV)","Calluna","Cannabaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Entorrhiza sp. (type HdV-527)","Erica t.","Fabaceae Undif.","Fern","Fraxinus","Fungi","Fungi (type 18, HdV)","Genisteae","Hymenophyllum","Juglans","Lamiaceae undif.","Lonicera","Lycopodium spike","Lycopodium tablets","Myrtus","Olea t.","Oribatida (type 36, HdV)","Petaloid monocot","Phillyrea","Pinus mediterranea","Pinus nigra/sylvestris t.","Pinus pinaster","Plantago","Poaceae","Poaceae (Cerealia-type)","Populus","Potamogeton","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Saxifragaceae","Taxus","Thymelaeaceae undif.","Total count rate","Transeauina","Tripterospora","Typha","Urtica t."
" -60",NA,NA," 2","0.97","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","17","0","2","27","0","126","3","6","2","9","1","0","0","0","0","0","0","1","0","9","0","1","0","8","1","36","3","19","0","0","0","0","10","7","0","1","0","0","7","0","0","1","0","293","0","1","0","0"
" -50",NA,NA," 4","1.28","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","3","29","0","0","58","0","172","5","7","0","24","1","1","0","0","0","0","0","1","0","14","0","0","0","2","1","49","5","95","0","0","0","2","35","11","0","1","0","0","0","0","3","0","2","499","0","0","0","0"
" -42",NA,NA," 6","1.43","0","0","0","0","2","0","0","0","8","0","0","1","0","1","0","0","0","1","0","2","21","0","2","40","0","111","1","3","1","9","2","0","0","0","0","0","0","1","0","5","0","0","0","2","0","8","1","48","0","0","0","0","13","8","0","1","0","1","1","0","0","0","3","284","0","2","0","0"
" -33",NA,NA," 8","1.24","2","1","0","2","0","0","1","0","7","0","0","1","1","1","1","0","1","0","0","3","33","1","0","53","0","215","5","4","1","16","2","0","0","0","1","0","0","1","0","12","0","1","2","0","0","10","4","97","0","0","0","1","17","7","0","1","3","4","3","1","2","0","1","495","0","3","0","0"
" -25",NA,NA,"10","1.29","0","1","4","1","1","0","3","0","7","0","0","0","0","1","0","0","0","1","0","2","35","0","0","17","0","155","2","2","4","8","0","0","0","0","0","0","0","1","0","15","0","0","0","2","1","6","0","55","2","0","0","2","11","7","0","0","0","0","1","0","0","0","1","337","0","1","0","0"
" -16",NA,NA,"12","1.48","0","0","1","4","2","0","0","0","7","0","0","0","0","0","1","0","2","0","2","11","24","2","0","83","1","209","6","5","1","13","1","3","1","0","3","0","0","1","0","18","1","2","2","0","0","6","3","111","1","0","0","1","32","7","1","0","2","1","5","2","1","0","0","561","0","2","0","0"
"  -8",NA,NA,"14","1.58","0","0","0","0","0","0","2","0","2","0","1","0","0","1","0","0","0","0","0","3","41","0","3","50","0","130","1","6","1","3","0","0","0","0","0","0","0","1","0","18","0","0","1","0","0","3","0","37","0","0","0","0","19","9","0","0","0","0","2","0","0","0","0","330","0","0","0","0"
"   0",NA,NA,"16","1.46","0","0","1","2","0","0","1","0","3","0","0","0","0","0","0","0","1","1","0","4","48","0","0","72","0","289","1","7","2","6","1","0","0","1","2","0","0","1","0","8","2","0","0","1","0","2","2","90","2","1","0","1","20","3","0","3","1","1","4","0","1","1","3","578","0","1","0","0"
"  68",NA,NA,"18","1.42","0","1","1","1","1","0","0","0","1","0","2","2","0","1","0","0","0","0","0","3","32","0","3","19","0","126","1","3","3","4","0","2","0","0","1","0","0","1","0","5","0","1","2","1","1","2","0","13","0","0","0","0","11","4","1","0","0","0","1","0","0","0","2","247","0","0","0","2"
" 136",NA,NA,"20","1.48","1","0","2","2","2","1","2","3","5","0","0","0","0","1","1","0","0","0","0","5","72","0","0","22","0","299","2","10","0","2","0","3","1","0","1","0","0","1","0","3","1","1","0","1","1","0","5","67","0","1","0","3","35","4","0","0","1","1","3","1","1","1","3","565","0","0","0","2"
" 204",NA,NA,"22","1.54","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","57","1","2","5","0","151","1","1","1","0","0","0","1","0","1","0","0","1","0","3","0","0","0","0","1","1","0","16","0","0","0","3","8","1","0","0","0","0","0","0","0","0","4","258","0","0","0","1"
" 272",NA,NA,"24","1.51","4","1","0","0","1","0","2","0","0","0","0","0","0","0","0","1","1","0","0","1","35","0","0","22","0","365","4","2","0","2","2","0","0","0","3","0","0","1","0","0","0","3","2","1","0","1","2","55","0","0","1","2","26","5","0","0","1","0","1","0","0","2","4","542","0","0","0","0"
" 340",NA,NA,"26","1.43","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","170","0","1","4","0","172","1","3","0","0","2","0","1","0","0","0","0","1","0","2","0","0","0","0","0","0","0","20","0","0","0","4","5","1","0","0","0","0","1","0","0","0","0","384","3","0","0","1"
" 408",NA,NA,"28","1.50","5","2","0","1","2","1","1","0","0","0","0","0","1","0","1","1","0","0","0","8","52","0","0","38","0","385","5","10","2","0","1","0","0","0","3","0","0","1","0","1","3","0","0","0","2","1","3","74","0","0","0","2","33","0","0","0","2","0","2","0","1","0","5","637","0","0","0","1"
" 476",NA,NA,"30","1.73","0","1","0","0","0","0","3","3","0","0","0","2","1","0","0","0","0","0","1","0","54","2","0","5","0","142","1","5","2","12","19","0","0","0","0","0","0","1","0","6","1","0","0","0","2","0","0","13","0","0","0","0","10","2","1","0","0","0","0","0","0","0","5","259","0","0","0","1"
" 770",NA,NA,"32","1.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","60","3","0","9","0","148","1","3","0","1","1","0","0","0","0","0","0","1","0","2","0","0","0","2","0","0","0","28","3","0","0","3","1","1","0","0","0","0","0","0","0","0","0","263","0","0","0","0"
"1064",NA,NA,"34","1.87","0","0","0","3","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","37","2","0","7","0","137","4","12","1","5","2","0","0","1","2","0","0","1","0","0","0","0","0","2","0","0","0","20","0","0","0","1","4","1","0","0","0","0","1","0","0","0","0","236","0","0","0","0"
"1358",NA,NA,"36","2.10","0","0","2","0","1","0","0","0","4","0","0","0","0","0","0","0","0","2","0","0","46","0","6","50","0","182","8","2","2","0","2","0","0","0","0","0","0","1","0","8","0","0","0","0","0","0","2","54","4","0","10","0","6","6","0","0","0","0","6","0","0","0","0","401","0","0","0","0"
"1652",NA,NA,"38","1.90","0","4","0","0","0","4","0","0","2","0","0","0","0","2","0","0","0","0","0","0","22","0","0","22","0","310","0","2","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","10","0","4","0","16","0","0","0","2","2","2","0","0","0","0","2","0","0","0","0","406","0","0","0","0"
"1946",NA,NA,"40","1.90","0","3","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","20","1","1","10","0","213","0","6","1","1","0","0","0","0","1","0","0","1","0","1","0","0","0","12","0","0","0","13","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","285","0","0","0","0"
"2007",NA,NA,"42","1.90","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","26","0","0","16","0","255","1","8","1","8","0","0","0","0","0","0","0","1","0","1","0","0","0","22","0","3","0","20","0","0","2","3","7","1","0","0","0","0","0","0","0","0","2","367","2","0","0","0"
"2068",NA,NA,"44","1.80","0","2","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","22","4","0","30","0","310","2","6","0","2","0","0","0","0","0","0","0","1","0","2","0","0","0","10","0","0","0","24","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","432","2","0","12","0"
"2130",NA,NA,"46","1.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","5","1","63","0","285","3","8","0","2","0","0","0","0","0","0","0","1","0","2","0","0","0","18","0","0","0","25","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","442","2","0","12","0"
"2191",NA,NA,"48","1.90","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","14","6","2","96","0","220","4","10","0","2","0","0","0","0","0","0","0","1","2","2","0","0","0","26","0","0","0","26","0","0","0","4","2","2","0","0","0","0","0","0","0","0","0","430","2","0","12","2"
"2252",NA,NA,"50","2.10","0","2","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","22","6","0","64","0","245","2","7","4","0","0","0","0","0","2","2","0","1","0","0","0","0","0","12","0","0","0","66","0","0","4","5","4","2","0","0","0","0","4","0","0","0","0","476","0","0","24","0"
"2313",NA,NA,"52","3.40","0","3","2","0","0","0","0","0","1","9","0","0","0","0","0","0","0","0","0","0","17","15","0","90","0","260","1","7","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","14","0","0","0","66","0","0","2","2","6","3","0","0","0","0","2","0","0","0","0","536","0","0","37","1"
