"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Aerva type","Aizoaceae t.","Amaranthaceae undif.","Ambrosia t.","Andrachne","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Asystasia","Avicennia","Blepharis","Boraginaceae undif.","Brassicaceae","Calligonum","Capparaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Cassia","Celosia type","Centaurea","Cichorieae","Cistaceae","Cleome","Cocculus","Combretaceae","Convolvulaceae","Cupressaceae","Cyperaceae","Dipterygium glaucum","Dodonaea","Enicostema","Ephedra","Erica t.","Euphorbia t.","Faboideae Undif.","Fagonia","Fern","Galium t.","Grewioideae","Heliotropium","Hygrophila","Indeterminable","Ipomoea","Kedrostis","Kohautia","Lamiaceae undif.","Lotus t.","Monoletes","Monsonia","Morella","Nyctaginaceae","Olea t.","Paronychieae","Petaloid monocot","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Podocarpus","Polygala","Polygonum t.","Prosopis t.","Psilotrichum t.","Resedaceae undiff.","Rumex t.","Ruppia","Salix","Salvadora","Scrophulariaceae undif.","Spergularia t.","Tamarix","Tribulus","Trichodesma","Triletes","Typha","Urtica t.","Verbena t.","Vernonieae","Ziziphus/Paliurus","Zygophyllum t."
"5525.864"," 132.500","   0.000","   0.000","   0.000","  14.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  37.000","   1.000","   2.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","  75.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"5596.591"," 143.000","   2.000","   4.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   3.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   1.000","   0.000","  60.000","  14.000","   2.000","   0.000","   0.000","   7.000","   0.000","   3.000","   3.000","   1.000","   0.000","   0.000"," 132.000","   3.000","   1.000","   5.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"5653.846"," 151.500","   1.000","   5.000","   1.000","  13.000","   0.000","   0.000","   0.000","   0.000","   2.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000"," 104.000","  40.000","   2.000","   1.000","   0.000","   5.000","   0.000","   8.000","   6.000","   2.000","   0.000","   4.000","  72.000","   0.000","   4.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   6.000","   1.000","   0.000","   0.000","   0.000","   0.000"
"5700.998"," 158.500","   1.000","   1.000","   0.000","  20.000","   0.000","   0.000","   0.000","   2.000","   2.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   2.000","   0.000","   1.000","   0.000","   9.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000"," 110.000","  43.000","   1.000","   6.000","   0.000","  12.000","   0.000","   7.000","   2.000","   4.000","   0.000","   1.000"," 110.000","   0.000","   1.000","   3.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"5741.414"," 164.500","   0.000","   2.000","   0.000","   6.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   4.000","   0.000","   2.000","   0.000","   0.000","   0.000","   3.000","   0.000","   6.000","   4.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   4.000","  54.000"," 138.000","   0.000","   8.000","   0.000","  10.000","   0.000","  10.000","  19.000","   2.000","   0.000","   0.000","  61.000","   0.000","   1.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"5761.621"," 167.500","   1.000","  11.000","   1.000","   6.000","   0.000","   1.000","   1.000","   0.000","   0.000","   1.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   1.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   7.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   2.000","  84.000","  57.000","   3.000","  12.000","   1.000","  10.000","   0.000","  10.000","  25.000","   2.000","   0.000","   2.000","  66.000","   0.000","   1.000","   2.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   1.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"5785.197"," 171.000","   1.000","   1.000","   1.000","   5.000","   0.000","   2.000","   2.000","   1.000","   0.000","   2.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   1.000","   4.000","   0.000","   0.000","   0.000","   2.000","   1.000","   8.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   4.000","  28.000","  63.000","   2.000","  35.000","   0.000","  11.000","   0.000","   4.000","  15.000","   3.000","   2.000","   1.000","  56.000","   0.000","   3.000","   6.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   3.000","   1.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"5808.773"," 174.500","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   2.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   1.000","  20.000","  69.000","   4.000","  13.000","   0.000","   7.000","   2.000","   2.000","  10.000","   1.000","   0.000","   2.000","  58.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   1.000","   0.000","   0.000","   0.000"
"5842.452"," 179.500","   2.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   5.000","   2.000","   3.000","   1.000","   1.000","   0.000","   1.000","   0.000","   0.000","  11.000","   0.000","   4.000","   0.000","   0.000","   0.000","   4.000","   0.000","   7.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   4.000","   0.000","   5.000","  44.000"," 108.000","   4.000","  17.000","   0.000","  15.000","   0.000","   3.000","  14.000","   0.000","   0.000","   0.000","  60.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"5879.5"," 185.0","   0.0","   1.0","   3.0","   0.0","   1.0","   0.0","   4.0","   1.0","   0.0","   1.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","   2.0","  10.0","   0.0","  10.0","   1.0","   0.0","   0.0","   3.0","   2.0","   0.0","   3.0","   0.0","   3.0","  40.0"," 121.0","   1.0","  16.0","   0.0","  18.0","   0.0","   6.0","   3.0","   1.0","   0.0","   0.0","  74.0","   0.0","   1.0","  12.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   6.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0"
