"age_NA","ageolder_BP","ageyounger_BP","depth","Amaranthaceae undif.","Apiaceae undif.","Asphodelus t.","Asteroideae undif.","Campanulaceae","Caryophyllaceae undif.","Cichorieae","Cistaceae","Cyperaceae","Ephedra","Erica t.","Fraxinus","Hypericum undif.","Lythrum","Myriophyllum undif.","Olea t.","Phillyrea","Pinus pinaster","Plantago","Poaceae","Quercus deciduous","Salix","Unknown"
NA,NA,NA," 45","  0","  0","  4"," 26","  0","  0"," 27"," 18"," 12","  0","  8","  0","  0","  0","  0","  0","  0","  0","  4"," 18"," 29","  0","370"
NA,NA,NA," 80","  0","  0","  0"," 60","  0","  4"," 14","  9"," 16","  0","  2","  0","  0","  0","  0","  0","  0","  5","  0"," 20"," 50","  2","448"
NA,NA,NA," 40","  0"," 20","  0"," 28","  0","  0"," 20","  0"," 10","  0","  8","  0","  0","  0","  0","  4","  0","  4","  0"," 20"," 40","  5","426"
NA,NA,NA," 75","  0","  0","  0"," 69","  0","  9"," 24","  0"," 12","  0"," 12","  0","  0","  6","  0","  0","  3","  7","  0"," 21"," 60","  3","599"
NA,NA,NA," 65","  0","  9"," 12"," 33","  0","  0"," 15","  0","  9","  0"," 11","  0","  0","  0","  5","  0","  0","  5","  9"," 15"," 51","  0","444"
NA,NA,NA," 85","  0","  0","  3"," 45","  0","  2"," 12","  5"," 15","  2","  4","  0","  0","  0","  0","  0","  0","  6","  0","116"," 63","  4","599"
NA,NA,NA," 70","  0"," 12"," 12"," 45","  0","  0"," 18","  6"," 10","  3"," 10","  0","  0","  0","  0","  0","  0","  9"," 12"," 21"," 60","  3","523"
NA,NA,NA," 15","  2"," 24","  3"," 43","  0","  9"," 36","  5"," 51","  0","  3","  0","  0","  0","  0","  0","  0","  4"," 19"," 24"," 57","  0","593"
NA,NA,NA," 30","  1"," 10","  1"," 33","  1","  4"," 18","  0"," 50","  0","  1","  0","  0","  0","  0","  1","  0","  2"," 18"," 21"," 60","  4","462"
NA,NA,NA," 60","  6"," 12","  8"," 32","  0","  4"," 40","  0"," 40","  0"," 10","  0","  4","  0","  0","  2","  0","  8"," 12"," 16"," 60","  0","625"
NA,NA,NA," 20","  0","  3","  6"," 42","  0","  3"," 21","  3"," 45","  0","  3","  3","  0","  3","  0","  0","  0","  3"," 15"," 12"," 54","  3","456"
NA,NA,NA," 50","  1","  8","  3"," 25","  0","  0"," 16"," 15"," 41","  1","  3","  0","  1","  0","  1","  0","  0","  2","  9"," 15"," 52","  4","475"
NA,NA,NA," 55","  1"," 10","  4"," 23","  0","  2"," 15"," 12"," 39","  0","  6","  0","  1","  0","  3","  0","  0","  5","  6"," 13"," 50","  5","459"
NA,NA,NA," 10","  1","  8","  3"," 53","  0"," 10"," 43","  2"," 40","  2","  2","  0","  0","  0","  0","  2","  1","  3"," 16"," 18"," 41","  0","511"
NA,NA,NA," 35","  2"," 14","  6"," 40","  0","  4"," 28","  0"," 28","  4","  6","  0","  2","  0","  2","  0","  0","  6"," 14"," 20"," 44","  4","508"
NA,NA,NA,"  0","  4"," 10","  4"," 35","  0"," 10"," 24","  0"," 64","  1","  9","  3","  2","  0","  0","  0","  6","  3"," 30"," 12"," 75"," 12","626"
NA,NA,NA," 25","  0","  4","  2"," 20","  0"," 10"," 16","  2"," 40","  0","  2","  2","  2","  2","  2","  2","  0","  0"," 20"," 20","106"," 18","564"
NA,NA,NA,"  5","  4"," 10","  2"," 39","  1","  8"," 29","  2"," 55","  1","  6","  0","  1","  0","  1","  0","  2","  3"," 17"," 10"," 67","  9","567"
