"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Alismataceae","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Centaurea","Cercis","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Ficus","Fraxinus","Hedera","HippophaÃ«","Juglans","Lamiaceae undif.","Lauraceae","Lemnaceae","Lonicera","Malva undif.","Myrtus","Nerium","Olea t.","Papaver t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Primulaceae undif.","Protist","Prunus t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sarcopoterium","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Styrax","Tamarix","Thymelaeaceae undif.","Typha","Ulmus t.","Urtica t.","Vitis","Ziziphus/Paliurus","Zygophyllaceae undif."
"50",NA,NA,"70"," 0","13","29"," 7"," 0","22","19"," 4"," 4"," 3","12"," 5"," 0","19"," 5","15","13"," 0"," 0"," 5"," 0"," 3"," 1"," 0"," 0"," 0"," 0"," 9"," 0"," 6","17"," 4","16"," 0"," 6"," 4","22","19"," 5","30"," 6"," 0"," 7","22","15"," 3"," 4"," 0"," 3"," 0"," 8"," 0","28"," 4"," 0"," 0","10","12"," 3"," 0"," 6"," 0"," 2"," 0"," 0","10"," 2","13"," 0"," 3"," 0"," 1"," 0"
"82.15054",NA,NA,"75.00000"," 0.00000"," 8.00000","29.00000"," 3.00000"," 0.00000","22.00000","19.00000"," 2.00000"," 2.00000"," 2.00000","12.00000"," 4.00000"," 0.00000","15.00000"," 5.00000","10.00000","16.00000"," 0.00000"," 4.00000"," 0.00000"," 4.00000"," 1.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 4.00000","15.00000"," 2.00000","13.00000"," 0.00000"," 4.00000"," 3.00000","17.00000","17.00000"," 5.00000","26.00000"," 4.00000"," 0.00000"," 3.00000","15.00000","13.00000"," 2.00000"," 2.00000"," 0.00000"," 2.00000"," 0.00000"," 8.00000"," 0.00000","24.00000"," 0.00000"," 0.00000"," 0.00000","10.00000","10.00000"," 2.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","10.00000"," 1.00000"," 8.00000"," 0.00000"," 1.00000"," 0.00000"," 4.00000"," 4.00000"
"170",NA,NA," 80","  0","  6"," 22","  3","  0"," 15"," 13","  2","  2","  2","  9","  4","  0"," 10","  5","  8"," 15","  0","  5","  0","  5","  1","  0","  0","  0","  0","  0","  0","  0","  2"," 15","  2"," 13","  0","  2","  3"," 17"," 17","  5"," 26","  4","  0","  3"," 15"," 13","  2","  2","  0","  2","  0","  7","  0"," 24","  0","  0","  0","  7"," 10","  2","  0","  0","  0","  0","  0","  0","  8","  1","  6","  0","  1","  0","  5","  5"
"327.1429",NA,NA," 83.0000","  0.0000","  2.0000"," 22.0000","  2.0000","  0.0000"," 15.0000"," 13.0000","  1.0000","  1.0000","  1.0000","  9.0000","  2.0000","  0.0000"," 10.0000","  4.0000","  2.0000"," 16.0000","  0.0000","  6.0000","  0.0000","  6.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000"," 12.0000","  1.0000"," 10.0000","  0.0000","  1.0000","  2.0000"," 10.0000"," 12.0000","  2.0000"," 17.0000","  2.0000","  0.0000","  2.0000"," 11.0000"," 11.0000","  1.0000","  1.0000","  0.0000","  1.0000","  0.0000","  7.0000","  0.0000"," 15.0000","  0.0000","  0.0000","  0.0000","  7.0000","  7.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  6.0000","  6.0000"
"431.9048",NA,NA," 85.0000","  0.0000","  6.0000"," 24.0000","  3.0000","  0.0000"," 17.0000"," 15.0000","  2.0000","  2.0000","  2.0000"," 11.0000","  4.0000","  0.0000"," 12.0000","  5.0000","  8.0000"," 17.0000","  0.0000","  5.0000","  0.0000","  5.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000"," 15.0000","  2.0000"," 13.0000","  0.0000","  2.0000","  3.0000"," 17.0000"," 17.0000","  5.0000"," 26.0000","  4.0000","  0.0000","  3.0000"," 15.0000"," 13.0000","  2.0000","  2.0000","  0.0000","  2.0000","  0.0000","  8.0000","  0.0000"," 24.0000","  0.0000","  0.0000","  0.0000","  9.0000"," 10.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 10.0000","  1.0000","  6.0000","  0.0000","  1.0000","  0.0000","  5.0000","  5.0000"
"536.6667",NA,NA," 87.0000","  0.0000","  8.0000"," 22.0000","  3.0000","  0.0000"," 15.0000"," 13.0000","  2.0000","  2.0000","  2.0000","  9.0000","  4.0000","  0.0000"," 10.0000","  5.0000"," 10.0000"," 14.0000","  0.0000","  4.0000","  0.0000","  4.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  4.0000"," 15.0000","  2.0000"," 13.0000","  0.0000","  4.0000","  3.0000"," 17.0000"," 17.0000","  5.0000"," 26.0000","  4.0000","  0.0000","  3.0000"," 15.0000"," 13.0000","  2.0000","  2.0000","  0.0000","  2.0000","  0.0000","  6.0000","  0.0000"," 24.0000","  0.0000","  0.0000","  0.0000","  7.0000"," 10.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  1.0000","  8.0000","  0.0000","  1.0000","  0.0000","  4.0000","  4.0000"
"641.4286",NA,NA," 89.0000","  2.0000"," 12.0000"," 17.0000","  5.0000","  1.0000"," 13.0000"," 11.0000","  4.0000","  4.0000","  6.0000","  7.0000","  8.0000","  1.0000","  9.0000","  8.0000"," 15.0000","  9.0000","  0.0000","  1.0000","  3.0000","  2.0000","  3.0000","  2.0000","  4.0000","  0.0000","  0.0000","  3.0000","  5.0000","  0.0000","  8.0000"," 27.0000","  3.0000"," 17.0000","  0.0000"," 11.0000","  5.0000"," 27.0000"," 27.0000","  6.0000"," 42.0000","  9.0000","  0.0000","  5.0000"," 22.0000"," 22.0000","  4.0000","  6.0000","  0.0000","  4.0000","  0.0000","  5.0000","  0.0000"," 42.0000","  2.0000","  1.0000","  1.0000","  6.0000"," 19.0000","  5.0000","  0.0000","  3.0000","  0.0000","  2.0000","  1.0000","  0.0000","  7.0000","  4.0000"," 11.0000","  0.0000","  4.0000","  4.0000","  2.0000","  2.0000"
"746.1905",NA,NA," 91.0000","  3.0000"," 18.0000"," 26.0000","  7.0000","  3.0000"," 16.0000"," 15.0000","  8.0000"," 16.0000","  8.0000"," 12.0000"," 18.0000","  2.0000"," 17.0000","  9.0000"," 26.0000"," 13.0000","  0.0000","  0.0000","  5.0000","  0.0000"," 16.0000"," 15.0000"," 14.0000","  2.0000","  2.0000"," 15.0000","  9.0000","  2.0000"," 11.0000"," 25.0000","  6.0000"," 15.0000","  2.0000"," 46.0000","  7.0000"," 25.0000"," 25.0000","  8.0000"," 39.0000"," 20.0000","  1.0000","  7.0000"," 29.0000"," 42.0000","  5.0000"," 11.0000","  1.0000","  5.0000","  0.0000"," 10.0000","  0.0000"," 39.0000","  5.0000","  3.0000","  3.0000"," 11.0000"," 17.0000"," 11.0000","  2.0000","  6.0000","  0.0000","  6.0000","  3.0000","  0.0000"," 15.0000","  6.0000"," 15.0000","  2.0000","  6.0000"," 16.0000","  0.0000","  0.0000"
"850.9524",NA,NA," 93.0000","  6.0000"," 16.0000"," 32.0000","  5.0000","  4.0000"," 26.0000"," 22.0000","  6.0000"," 13.0000","  6.0000"," 16.0000"," 15.0000","  3.0000"," 18.0000"," 11.0000"," 22.0000"," 18.0000","  2.0000","  0.0000","  0.0000","  0.0000"," 14.0000"," 11.0000"," 14.0000","  4.0000","  3.0000"," 13.0000","  0.0000","  3.0000","  9.0000"," 23.0000","  6.0000"," 13.0000","  3.0000"," 42.0000","  6.0000"," 22.0000"," 22.0000","  9.0000"," 38.0000"," 15.0000","  2.0000","  5.0000"," 22.0000"," 35.0000","  4.0000","  8.0000","  3.0000","  4.0000","  0.0000"," 13.0000","  4.0000"," 34.0000","  8.0000","  6.0000","  4.0000"," 14.0000"," 16.0000","  7.0000","  3.0000","  0.0000","  2.0000","  4.0000","  4.0000","  2.0000"," 18.0000","  5.0000"," 13.0000","  4.0000","  5.0000"," 13.0000","  0.0000","  0.0000"
"955.7143",NA,NA," 95.0000","  3.0000"," 15.0000"," 22.0000","  4.0000","  3.0000"," 13.0000"," 11.0000","  4.0000","  4.0000","  4.0000","  5.0000"," 10.0000","  2.0000"," 11.0000","  9.0000"," 13.0000"," 11.0000","  1.0000","  1.0000","  0.0000","  1.0000","  4.0000","  2.0000","  5.0000","  2.0000","  2.0000","  8.0000","  0.0000","  2.0000","  5.0000"," 13.0000","  4.0000","  8.0000","  2.0000"," 28.0000","  4.0000","  8.0000"," 12.0000","  8.0000"," 28.0000"," 10.0000","  1.0000","  4.0000","  8.0000"," 18.0000","  3.0000","  3.0000","  1.0000","  3.0000","  0.0000","  4.0000","  1.0000"," 25.0000","  4.0000","  3.0000","  3.0000","  8.0000"," 11.0000","  2.0000","  1.0000","  0.0000","  1.0000","  3.0000","  3.0000","  1.0000","  8.0000","  4.0000"," 11.0000","  2.0000","  3.0000","  5.0000","  1.0000","  1.0000"
