"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Erica t.","Erodium","Fabaceae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Frangula","Fraxinus","Fungi","Genisteae","Gentianaceae undif.","Ilex","Lamiaceae undif.","Lotus t.","Lycopodium for charcoal","Lycopodium tablets","Musci","Olea t.","Paronychieae","Petaloid monocot","Pinus undif.","Plantago","Poaceae","Poaceae (Cerealia-type)","Pollen concentration","Polygonum t.","Populus","Potentilla t.","Prunus t.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Secale","Trifolium t.","Ulmus t.","Unknown","Urtica t.","Valeriana","Viscum","Vitis","charcoal"
" -57",NA,NA,"  1","0.40","0","0","2","2","0","0","2","0","0","2","2","0","0","0","0","3","0","0","1","2","25","0","0","0","0","0","0","0","26","0","0","0","1","0","0","0","0","0","85","0","0","2","0","0","0","1","14","0","600580.69","0","1","1","0","0","3","1","2","0","0","0","0","2","2","0","0","0","0","0","0","4","0","0","0","0","0"
" -37",NA,NA,"  4","0.50","0","2","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","2","0","26","0","0","0","1","0","0","1","40","0","0","1","0","1","0","0","0","0","79","0","0","0","0","0","0","0","15","0","297695.41","0","0","1","0","0","2","3","0","0","0","0","0","1","0","0","0","2","0","0","0","2","0","0","1","0","0"
"  -9",NA,NA,"  8","0.50","0","0","1","0","1","0","0","0","0","3","1","1","0","3","0","1","0","0","10","0","31","0","0","0","0","0","0","0","33","0","0","0","0","2","1","0","0","0","94","0","0","3","0","1","0","0","11","0","349882.72","0","0","0","0","0","3","2","0","0","0","1","3","2","0","0","0","0","0","1","2","0","1","0","0","0","0"
"  18",NA,NA," 12","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","12","0","0","0","0","0","0","0","23","3","0","0","5","0","0","0","0","0","54","0","0","1","0","0","0","0","24","0","520150.44","0","0","0","0","0","5","4","2","0","0","0","1","3","0","0","0","1","2","0","1","0","0","0","0","0","0"
"  45",NA,NA," 16","0.50","0","1","0","0","2","0","0","0","0","1","0","0","0","1","0","1","0","0","1","1","26","0","0","1","0","0","0","0","22","0","0","0","1","1","1","0","0","0","77","0","0","0","0","0","0","1","14","0","483091.09","0","0","4","0","1","5","0","2","0","0","0","1","0","1","0","0","3","0","0","0","3","1","0","0","0","0"
"  73",NA,NA," 20","0.50","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","2","21","0","0","0","0","0","0","0","42","0","0","0","1","1","1","0","0","0","106","0","0","3","0","1","0","1","11","0","248410.72","0","0","0","0","0","4","2","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
" 114",NA,NA," 26","0.40","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","1","15","1","0","0","2","0","1","0","1","0","38","0","0","1","0","0","0","2","18","0","644400","0","0","1","0","0","8","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 155",NA,NA," 32","0.40","1","1","1","2","0","0","1","0","0","0","0","0","0","1","0","3","0","0","0","1","21","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","47","0","0","6","0","0","0","0","13","0","577275","0","2","1","1","1","3","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
" 182",NA,NA," 36","0.50","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","3","4","26","1","0","1","0","0","0","1","11","0","0","1","3","2","0","0","0","1","10","0","0","1","0","0","0","0","9","0","571172.75","0","0","1","0","0","3","0","0","0","0","0","0","5","0","0","0","0","0","0","0","2","0","0","0","0","0"
" 209",NA,NA," 40","0.40","0","0","1","1","2","0","0","1","0","1","0","0","0","1","0","1","0","0","11","1","27","0","0","1","0","0","0","0","20","0","0","0","1","0","0","0","0","0","20","0","0","2","0","1","0","1","12","0","492966","0","0","0","0","0","4","2","2","0","0","0","0","1","0","0","0","0","0","0","0","10","0","0","0","0","0"
