"Depth (cm) [cm]","Sample Age (cal yr BP) [cal yr BP]","Acacia t.","Acalypha","Adansonia digitata","Aerva type","Aeschynomene","Alchornea","Algae","Allophylus t.","Alternanthera t.","Amaranthaceae undif.","Anacardiaceae undiff.","Anthostema","Antidesma t.","Apiaceae undif.","Apocynaceae undif.","Asteroideae undif.","Bridelia","Capparis","Caryophyllaceae undif.","Casuarina","Celastraceae undif.","Celosia type","Celtis","Centaurea","Cichorieae","Cissampelos","Clematis-type","Cleome","Cocculus","Combretaceae","Commelina","Commiphora","Convolvulaceae","Cyperaceae","Detarium","Dictyandra","Diospyros/Euclea t.","Dombeya","Elaeis","Ephedra","Erythrococca/Micrococca","Fern","Ficus","Fungi","Gomphrena t.","Grewioideae","Hibiscus","Hygrophila","Hymenocardia","Hymenodictyon","Indeterminable","Ipomoea","Ixora","Justicia t.","Lannea","Lophira","Macaranga","Mallotus","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","MonolÃ¨tes Ã  Ã©pines et non lisses autres","Morelia","Musanga","Musanga/Myrianthus","Myriophyllum alterniflorum t.","Nymphaea","Ocimum","Onagraceae","Pavetta","Periploca","Phoenix t.","Poaceae","Polygala","Polygonum t.","Potamogeton","Prosopis t.","Rubiaceae undif.","Salvadora","Sapindaceae undif.","Sapotaceae undif.","Sideroxylon t.","Solanum","Spergularia t.","Spermacoce","Syzygium t.","Tabernaemontana","Tamarix","Tapinanthus","Tetracera alnifolia","Tinospora","Tribulus","Triletes","Typha","Uapaca","Zanthoxylum"
" 10.5","-48.0","  1.0","  0.0","  0.0","  0.0","  0.0","  9.0"," 65.0","  0.0","  0.0"," 31.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0"," 61.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0"," 48.0","  4.0","  0.0","  0.0","  0.0"," 26.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  9.0","  1.0"," 46.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","239.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0"," 14.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","210.0","  1.0","  0.0"
" 15.5","-36.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 16.0"," 81.0","  0.0","  0.0"," 32.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  1.0","  0.0","  0.0"," 50.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 46.0","  0.0","  0.0","  0.0","  0.0"," 23.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  6.0","  1.0"," 30.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","196.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","214.0","  2.0","  0.0"
" 20.5","-24.0","  0.0","  0.0","  0.0","  4.0","  0.0"," 37.0","131.0","  0.0","  0.0"," 27.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  1.0","  0.0"," 72.0","  1.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0"," 55.0","  5.0","  0.0","  0.0","  0.0"," 42.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0"," 11.0","  2.0"," 54.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","297.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0"," 12.0","  7.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","301.0","  0.0","  3.0"
" 25.5","-14.0","  1.0","  0.0","  0.0","  1.0","  0.0"," 19.0","547.0","  0.0","  0.0"," 35.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0"," 91.0","  0.0","  0.0","  2.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 59.0","  2.0","  0.0","  0.0","  0.0"," 39.0","  0.0","  0.0","  8.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  7.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","332.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","300.0","  0.0","  3.0"
" 30.5"," -2.0","  0.0","  0.0","  0.0","  3.0","  0.0"," 18.0","440.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  3.0","  1.0","  0.0","  0.0","  3.0","  9.0","  1.0","  0.0","  0.0","  0.0","  7.0","  1.0","  1.0","  0.0"," 83.0","  0.0","  0.0","  0.0","  0.0"," 30.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  2.0","  0.0","  4.0","  0.0","  0.0"," 14.0","  0.0"," 38.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","323.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  2.0"," 18.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","294.0","  2.0","  1.0"
" 35.5"," 26.0","  0.0","  0.0","  1.0","  1.0","  0.0"," 23.0","257.0","  0.0","  1.0","  9.0","  0.0","  1.0","  0.0","  0.0","  0.0","  5.0","  2.0","  0.0","  2.0","  0.0","  0.0","  0.0","  2.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 48.0","  2.0","  0.0","  0.0","  0.0"," 30.0","  0.0","  0.0","  6.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 13.0","  0.0"," 15.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","367.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  4.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","181.0","  1.0","  0.0"
" 40.5"," 50.0","  0.0","  0.0","  1.0","  4.0","  0.0"," 12.0"," 78.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0"," 33.0","  0.0","  0.0","  0.0","  0.0"," 21.0","  0.0","  0.0","  2.0","  0.0","  4.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  5.0","  0.0"," 15.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","504.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0","165.0","  0.0","  0.0"
" 45.5"," 94.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0"," 19.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 12.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","173.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 41.0","  0.0","  0.0"
" 50.5","129.0","  0.0","  0.0","  0.0","  4.0","  0.0"," 13.0","390.0","  0.0","  1.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  3.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 36.0","  2.0","  1.0","  0.0","  0.0"," 17.0","  0.0","  0.0","  3.0","  0.0","  4.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  5.0","  1.0","  9.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","210.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  3.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","173.0","  0.0","  0.0"
"  55.5"," 179.0","   0.0","   0.0","   1.0","   7.0","   0.0","  23.0","1427.0","   1.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0","  10.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   3.0","   1.0","   1.0","   2.0","   0.0","   1.0","   0.0","   4.0","   3.0","   1.0","   0.0","  51.0","   1.0","   0.0","   0.0","   0.0","  17.0","   0.0","   0.0","   0.0","   1.0","   6.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   3.0","   3.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   1.0","   1.0","  20.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 213.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","  10.0","   1.0","   2.0","   0.0","   1.0","   0.0","   0.0","   3.0"," 238.0","   2.0","   2.0"
