"Sample Age (cal yr BP) [cal yr BP]","depth","Sample name [undefined]","Acalypha","Aerva type","Alnus","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Artemisia","Asclepiadaceae undif.","Asteroideae undif.","Betula","Boraginaceae undif.","Boscia","Brassicaceae","Burial label [undefined]","Cadaba","Cadia","Callitriche","Capparis","Carpinus","Caryophyllaceae undif.","Cassia","Cedrus","Celosia type","Celtis","Centaurea","Cichorieae","Cleome","Combretaceae","Commiphora","Corylus","Cupressaceae","Cyperaceae","Dialium","Ephedra","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fern","Ficus","Galium t.","Heliotropium","Hydrocharitaceae","Hyphaene t.","Indeterminable","Indigofera","Juncaceae","Lamiaceae undif.","Laportea","Lemnaceae","Lotus t.","Maerua","Morella","Myrtus","Nerium","Nuphar","Nyctaginaceae","Nymphaea","Olea t.","Ormocarpum t.","Petaloid monocot","Phoenix t.","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Polygonum t.","Populus","Potamogeton","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Salvadora","Searsia","Solanum","Spergularia t.","Tamarix","Thymelaeaceae undif.","Tribulus","Typha","Vernonieae","Ziziphus/Paliurus","Zygophyllum t."
"5712","P-540","1a","0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1","0","0","0","0","0","0","0","18","0","1","2","3","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","4","0","121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5712","P-540","1b","0","0","0","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","3"
NA,NA,"2a","1","0","0","41","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0","0","1","17","0","0","0","0","0","0","1","0","0","0","2","0","23","0","0","2","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
NA,NA,"2b","0","0","0","50","0","0","0","0","1","0","0","0","0","0","0","0","0","13","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1","0","0","0","0","7.017544","0","0","0","0","0","5.010101","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
NA,NA,"2c","0","0","0","5","0","0","1","0","1","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","0","2","0","0","1","0","0","0","0","13","0","1","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","2","0","2","0","26","0","0","3","0","0","1","0","0","0","0","0","0","0","2","0","1","0"
NA,NA,"2d","0","0","0","8","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","2","1","0","0","0","0","0","5","0","0","0","0","0","0","0","2","128","0","0","0","0","0","0","0","0","0","0","6","0","46","0","0","0","0","0","1","2","0","0","0","0","0","1","3","0","0","0"
"4956","P-594","3a","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","1.004","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","25.1","0","0","0","1.004","0","0","1.004","0","0","0","0","14.052","0","6.777","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","182","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"4956","P-589","3b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.12","1","0","0","0","0","0","6","0","0","0","1","3.12","0","3.64","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","2","0","224","0","0","0","0","1.12","1.96","0","0","0","10","0","0","0","0","0","0","1"
"4956",NA,"3c","0","0","0","35","0","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0","105","0","1","1","0","0","0","0","0","23.004","0","0","0","3","0","0","1","0","0","0","0","14","0","2.916","1","12","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","118.944","0","1.723404","0","0","0","0","5","0","0","0","0","0","0","0","0","0","1"
NA,NA,"4a","0","0","0","14","0","0","0","0","0","0","0","0","0","0","1","0.975","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","27.95","0","0","0","0","0","5","2.925","0","0","0","0","3","0","3.25","0","3","0","0","0","0","0","0","0","10","0","0","0","1","0","0","0","4","0","246","0","1.533019","0","2","0","0","0","0","0","3","0","0","3","0","0","0","0"
NA,NA,"4b","0","0","0","7","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","52.8","0","0","0","0","0","0","4","1","0","0","0","13.928","0","6.336","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","7","1","253","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2"
NA,NA,"4c","0","0","0","23","1","0","0","2","0","0","0","0","0","0","0","0.912","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","26.144","0","0","0","0","0","3","5.168","0","0","0","0","11","0","6.992","0","0","1","0.912","0","1","0","0","0","1","0","0","0","0","0","2","0","5","0","216","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3","2"
NA,NA,"4d","0","3","0","193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","25","0","1","0","0","0","0","1.94","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","154","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
NA,NA,"4e","0","0","0","145","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.098","0","0","0","0","0","15.006","0","0","0","0","0","0","1.098","0","0","0","0","6","0","2.928","2.928","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","3","0","185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
NA,NA,"5","0","0","0","53","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","1","0","0","0","14","0","0","0","0","0","0","1","0","0","0","0","29","0","1","1","0","0","0","0","0","0","1","0","1","0","0","1","3","0","0","0","2","0","99","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
NA,NA,"6","0","0","0","9","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","32","0","0","0","0","0","0","2","0","0","0","0","10","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","2","0","185","0","0","2","0","0","0","0","0","0","0","0","0","1","4","0","0","0"
"5418","P-543","7a","0","0.903","0","12.04","0","0","0","0.903","0.903","0","0.903","0","0","0","0","0","0","0","0","0","0","0","2.107","0","0","2.107","0","0","0","0","0","31.003","0","0","0","0.903","0","0","3.01","0","0","0","0","9.117","0","3.311","0","2.107","0","0","0","0","0","0","0","0","0","0","0","0.903","0","2.107","0","0.903","0","229.964","0","0","0","0","0","0","0.903","0","0","0","0","0","0","0","0","0.903","0"
"5418","P-543","7b","0","0","0","45.844","1.884","0","0.942","0","0","0","1.884","0","0","0","0","0","0","0","0","0","0.942","0","0","0","0","0","0","0.942","0","0","0","16.014","0","0","0","0","0","0","1.884","0","0","0","1.884","13.734","0","1.884","0","1.884","0","0","0","0","0","0","0","0","0","0","0","0.942","1.884","0.942","0.942","0","0","214.776","0","0","0.942","0","0","0","0","0","0","0","0","0","0","3.14","0","1.884","0"
"5418","P-543","7c","0","6.156","0","56.052","0","0","0","0.972","0","0","0","0","0","0","0","0.972","0","2.916","0","0","0.972","0","2.916","0.972","0","0","0","0","0","0","0","17.172","0","0","0","0.972","0","0","1.944","0","0","0","0","9.86","0","1.944","0","38.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.972","0","185.004","0","0","0.972","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5418","P-543","7d","0","1.872","0","6.864","0","0","0","0","1.872","0","0.936","0","0","0","0","0","0","1.872","0","0","0","0","0","0","0","0.936","0","0","0","0","0","34.008","0","0.936","0","3.12","0","0","2.808","0.936","0","0","0","10.984","0","1.872","0","4.992","0.936","0","0","2.808","0","0","0","0","0","0","0","0","0","0.936","0","4.056","0","225.888","0","0","0","0","0","0","0.936","0","0","0","0","0","0","0","0","0.936","1.872"
"5418","P-543","7e","0","0","0","4.965","0","0","0","0.993","0","0.993","1.986","0","0","0","0","0.993","0","0.993","0","0","0","0","0","0","0","0.993","0","0","0","0","0","65.869","0","0","0","0.993","0","0","0.993","0","0","0","0","9.944","0","2.979","0","1.986","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","236.996","0","0","0","0","0","0","0","0","0","0.993","0","0","0","0","0","0","0.993"
"5592","P-545","8","0","0","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","1","1","1","0","0","9","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","59","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
NA,"P-545","9","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","6","0","0","0","0","0","19","0","0","0","0","0","0","1","0","1","0","0","12","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","3","0","125","0","0","1","0","0","0","0","0","0","1","0","1","0","2","0","1","0"
"9379","P-582","10a","0","0","1.009174","78.047523","0","0","0","1.009174","2.018349","0","1.009174","0","1.009174","0","0","0","0","0","1.009174","0","0","0","2.018349","0","0","1.009174","0","0","0","0","0","31.9","0","0","0","2.018349","0","0","1.009174","0","0","0","0","8.009174","1.009174","2.018349","0","0","0","0","0","1.009174","0","0","1.009174","0","0","0","0","1.009174","0","0","0","1.009174","0","82.72","0","0","2.018349","0","0","0","0","0","0","0","1.009174","0","0","3.027523","0","0","0"
"9379","P-584","10b","0","3","0","53","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","26","0","0","0","1","0","1","2","1","0","2","1","19","0","1","0","0","0","0","0","0","1","0","3","1","0","0","0","1","0","0","0","2","0","137","0","0","0","0","0","0","2","0","0","0","4","0","0","3","0","1","1"
