"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Arbutus","Artemisia","Aspiromitus punctatus","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fern","Ficus","Fraxinus","Hedera","Indeterminable","Lamiaceae undif.","Mercurialis","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Olea t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Protist","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Taxus","Tilia","Ulmus t.","Unknown","Urtica t.","Vitis"
NA,NA,NA,"500","  0","  0","  0","  2","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 10","  0","  0","  2","  0","  0","  0","  2","  0","  2","  0","  8","  0","  2","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  3","  1","  0","  3","  0","  0","  0","  0"," 38"," 31","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  2","  0","  0"
NA,NA,NA,"510","  1","  0","  7","  6","  9","  0","  0","  0","  0","  5","  0","  1","  0"," 33","  2","  0","  1","  2","  0","  0"," 18","  0","  3","  0","  6","  0"," 10"," 11","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  1","  3","  1"," 12","  0","  0","  0","  0"," 69"," 96","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  3"," 12","  0","  2"
NA,NA,NA,"526","  0","  0"," 53","  7","  1","  0","  0","  1","  0","  3","  0","  0","  0"," 47","  1","  0","  4","  2","  2","  0"," 16","  0","  6","  0","  5","  1"," 16"," 12","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  1","  3","  4"," 31","  0","  0","  0","  2","106","100","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3"," 18","  1","  1"
NA,NA,NA,"520","  1","  1"," 65","  6","  3","  0","  0","  1","  0","  7","  0","  2","  0"," 44","  0","  0"," 12","  2","  1","  0"," 16","  1"," 10","  0"," 19","  0"," 17","  9","  0","  4","  0","  1","  0","  0","  0","  1","  0","  0","  1","  0","  1","  0","  5","  0","  3"," 29","  0","  0","  0","  0","130"," 76","  2","  2","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2"," 24","  0","  1"
NA,NA,NA,"554","  1","  0"," 53"," 11","  2","  2","  0","  1","  1","  8","  0","  3","  0"," 43","  0","  0","  3","  2","  0","  0","  6","  0","  0","  0"," 12","  0","  8"," 23","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  1","  1","  2","  0","  4","  0","  2"," 47","  0","  0","  1","  0"," 59"," 32","  0","  0","  1","  0","  6","  1","  0","  0","  0","  0","  0","  3","  2","  0","  1"
NA,NA,NA,"450","  0","  0"," 33","  5","  4","  0","  0","  0","  0","  5","  1","  1","  0"," 45"," 20","  0","  3","  5","  1","  0"," 17","  1","  6","  0","  1","  0"," 17","  8","  1","  3","  2","  4","  0","  3","  0","  0","  0","  1","  8","  0"," 11","  0","  1","  7","  1"," 20","  0","  0","  0"," 10","110","166","  0","  1","  1","  0","  8","  0","  0","  0","  4","  0","  0"," 11"," 12","  0","  4"
NA,NA,NA,"536","  2","  0"," 35","  7","  3","  3","  0","  2","  0","  4","  0","  3","  0"," 85","  7","  0","  5","  2","  1","  0","  5","  2","  2","  0","  7","  0"," 22","  5","  0","  2","  1","  2","  0","  0","  0","  0","  0","  0","  1","  0","  3","  1","  0","  3","  1"," 30","  1","  0","  0","  0","206"," 96","  1","  1","  0","  1","  4","  0","  0","  0","  0","  0","  0","  4","  2","  0","  1"
NA,NA,NA,"470","  1","  0","303"," 16","  3","  1","  1","  2","  0","  6","  0","  0","  1"," 41","  6","  0"," 15","  8","  0","  0","  9","  2"," 10","  0","  6","  0"," 38"," 24","  0","  4","  0","  2","  0","  5","  0","  0","  0","  0","  1","  0"," 15","  0","  4"," 23","  5"," 55","  3","  0","  0","133","104","169","  1","  0","  0","  1","  7","  0","  0","  1","  9","  0","  0","  9"," 24","  0","  5"
NA,NA,NA,"490","  0","  0"," 91"," 21","  9","  2","  0","  7","  0","  3","  0","  2","  1"," 58","  8","  0","  4","  2","  3","  1"," 39","  0","  6","  0"," 10","  0"," 18"," 43","  0","  4","  2","  4","  0","  4","  0","  0","  0","  0","  0","  0","  6","  0","  2"," 14","  5"," 47","  3","  0","  0","149","163","156","  0","  0","  0","  0","  8","  1","  0","  0"," 10","  2","  0"," 14"," 24","  0","  3"
NA,NA,NA,"460","  0","  0"," 28","  4","  4","  1","  0","  0","  0","  7","  0","  0","  3"," 39"," 30","  0"," 10","  5","  1","  0"," 27","  1","  6","  0","  7","  0"," 21"," 11","  0","  1","  2","  5","  1","  8","  1","  0","  0","  0","  9","  0"," 14","  0","  1"," 21","  7"," 32","  0","  0","  0"," 11","127","277","  0","  0","  0","  1","  5","  1","  1","  0","  2","  0","  0"," 23"," 38","  2","  5"
