"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alnus","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betulaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Ceratonia","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Gentianaceae undif.","Geranium","Indeterminable","Jasminum","Juglans","Lamiaceae undif.","Ligustrum","Lonicera","Lycopodium tablets","Lythrum","Malva undif.","Mercurialis","Monoletes","Myrtus","Olea t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polypodiophyta (trilete, reticulate)","Polypodiophyta (trilete, verrucate)","Populus","Potamogeton","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sarcopoterium","Sparganium","Staphylea","Taxus","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Utricularia","Viburnum","Vitis"
" 355",NA,NA," 55"," 9.5","2","0","1","90","0","0","0","9","0","28","4","3","1","0","0","0","1","1","0","1","1","16","2","0","0","3","1","59","15","0","2","0","1","0","2","6","0","3","0","6","4","0","1","0","0","0","0","0","0","2","0","1","32","0","13","0","298","91","3","0","3","98","1","1","0","0","0","0","25","37","1","0","0","0","3","0","2","2","0","0","0","0","0","0","0","0","0","0","0"
" 444",NA,NA," 61"," 5.0","1","0","0","35","0","1","0","3","0","54","3","0","0","0","0","0","0","0","0","0","1","91","6","0","0","0","0","0","7","0","9","5","3","1","1","10","0","3","0","26","0","0","1","0","0","0","0","0","0","1","0","0","4","0","53","0","0","106","1","0","15","37","0","0","0","1","0","0","12","28","0","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","2"
" 503",NA,NA," 65","10.0","2","0","0","11","1","0","1","8","0","45","3","0","0","0","0","0","2","0","0","0","11","59","82","2","0","0","0","2","13","0","5","0","6","3","4","9","0","0","1","1","2","1","0","0","0","0","0","1","1","2","0","0","2","0","2","0","351","33","2","0","0","19","0","0","0","0","0","0","42","26","1","3","2","0","0","0","3","0","4","0","0","0","0","0","0","0","0","0","0"
" 710",NA,NA," 79"," 5.5","0","0","0","41","0","2","0","11","0","42","1","0","1","1","0","0","1","1","0","1","1","98","10","0","0","0","0","21","7","0","6","0","1","1","2","7","0","2","1","7","1","0","0","0","1","0","0","0","0","3","0","0","7","0","16","0","0","74","5","0","3","19","0","0","0","0","0","1","38","28","2","2","0","1","0","0","1","0","0","0","0","0","1","0","0","2","0","1","0"
" 784",NA,NA," 84"," 6.0","2","0","0","26","0","0","0","6","0","40","1","0","0","0","0","0","3","0","0","2","2","75","6","0","0","1","0","1","3","2","8","0","1","1","0","8","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","2","0","7","0","198","45","0","0","6","12","0","0","0","0","1","0","13","27","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","1"
"1036",NA,NA,"101"," 3.0","0","0","0","22","0","0","0","2","0","59","1","0","0","0","0","0","0","0","0","1","3","36","26","0","0","0","0","2","8","1","5","1","0","0","0","12","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","248","17","1","1","1","13","0","0","0","1","0","0","24","13","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"1347",NA,NA,"122"," 3.5","1","0","0","0","0","0","0","1","0","24","11","2","0","1","0","0","1","0","0","0","5","9","10","3","0","1","0","2","566","0","7","0","1","0","0","13","0","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","13","0","83","0","317","44","2","1","0","22","2","1","0","1","0","0","16","21","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0"
"1406",NA,NA,"126"," 2.0","1","0","1","4","0","0","1","2","0","54","3","0","0","0","0","0","2","0","0","0","1","21","10","0","0","1","0","0","378","0","10","0","0","1","0","18","1","2","0","2","2","0","1","0","0","0","0","0","0","1","0","0","12","0","101","0","267","54","4","0","3","36","2","0","0","3","0","0","24","35","0","0","0","1","2","0","3","2","0","0","2","1","0","1","0","0","0","0","0"
"1761",NA,NA,"150"," 8.0","1","0","0","9","0","0","0","1","0","13","8","2","0","0","1","0","2","0","0","0","6","23","0","0","0","0","0","0","4413","0","5","0","4","0","4","4","0","4","0","0","1","0","1","0","0","0","0","0","0","3","0","0","5","0","97","0","129","169","4","0","0","238","0","0","0","1","0","0","22","58","2","1","0","0","5","0","5","0","0","0","0","0","0","2","0","0","0","0","0"
"1872",NA,NA,"158"," 8.0","0","0","0","5","0","0","1","5","0","23","6","0","0","1","0","1","2","0","1","2","3","26","6","0","0","2","1","1","1216","1","10","0","1","2","1","4","0","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","21","0","121","0","80","164","7","0","0","82","1","0","0","0","0","2","24","62","4","1","0","0","0","0","2","0","0","0","0","0","0","2","1","0","1","1","1"
"2005",NA,NA,"167"," 4.0","2","0","2","10","0","1","0","0","0","6","8","1","0","0","0","0","0","0","0","0","0","9","4","0","0","1","0","1","2046","0","6","0","0","0","2","8","0","1","0","0","1","0","0","1","0","0","0","0","0","4","0","0","17","2","121","0","161","113","6","0","0","115","1","0","0","0","0","0","28","48","4","0","0","0","1","0","3","7","0","0","2","0","0","0","0","0","0","0","1"
