"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Cercis","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fraxinus","Hydrocharitaceae","Juglans","Lamiaceae undif.","Lauraceae","Lemnaceae","Nerium","Nuphar","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sarcopoterium","Scrophulariaceae t.","Searsia","Styrax","Tamarix","Thalictrum","Typha","Ulmus t.","Urtica t.","Vitis","Ziziphus/Paliurus"
"2897",NA,NA," 593","   0","   3","   0","  13","   7","   0","   6","  27","   0","   0","   4","  17","   0","  20","   0","   0","   4","  30","   0","   0","   7","  25","   0","  11","   0","   0","  11","   0","   0","   8","   0","   0","   6","   6","  24","   0"," 107","  20","   3","   0","   4","   6","  44","  31","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   6","  13","   0","   8","   0"
"2903",NA,NA," 600","   0","   2","   1","  17","   5","   0","   5","  26","   0","   0","   6","  12","   0","  20","   0","   0","   6","  35","   0","   0","   3","  26","   1","  12","   0","   0","  18","   0","   0","   5","   0","   0","   6","   5","  29","   0"," 110","  17","   2","   0","   6","   3","  54","  34","   0","   0","   2","   0","   0","   2","   0","   0","   0","   0","   0","   8","  16","   2","  14","   0"
"2905",NA,NA," 605","   0","   5","   1","  18","   6","   0","   3","  23","   0","   0","   8","  15","   0","  18","   0","   0","   5","  35","   0","   0","   3","  26","   1","  14","   0","   0","  23","   0","   0","   5","   0","   0","   6","   5","  23","   0"," 111","  17","   2","   0","   5","   5","  63","  32","   0","   0","   3","   2","   0","   3","   0","   0","   0","   0","   0","  15","  17","   2","  15","   0"
"2919",NA,NA," 615","   0","   4","   1","  16","   4","   0","   6","  26","   0","   0","   6","  18","   0","  22","   0","   0","   6","  35","   0","   0","   1","  28","   1","  11","   0","   0","  20","   0","   1","   6","   0","   0","   7","   6","  18","   1"," 110","  11","   1","   0","   6","   4","  57","  34","   0","   0","   1","   1","   0","   3","   0","   0","   0","   0","   0","  13","  18","   1","  11","   0"
"2936",NA,NA," 620","   0","   3","   0","  11","   4","   0","   6","  34","   0","   0","   4","  11","   0","  16","   0","   0","   3","  28","   0","   0","   3","  27","   0","  10","   0","   0","  24","   0","   0","   6","   0","   0","   4","   7","  24","   0"," 109","  11","   1","   0","   4","   6","  65","  29","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","  12","  14","   0","   8","   0"
"2952",NA,NA," 625","   0","   4","   1","  14","   6","   0","  12","  46","   0","   0","   6","  12","   0","  17","   0","   0","  14","  27","   0","   0","   0","  20","   0","  11","   0","   0","  17","   0","   0","   7","   3","   0","   4","   7","  17","   0","  93","  12","   1","   1","   4","   3","  61","  32","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  10","  12","   0","   9","   0"
"2968",NA,NA," 630","   0","   3","   0","  13","  14","   0","  13","  47","   0","   0","   8","  14","   0","  21","   0","   0","  17","  22","   0","   0","   0","  18","   0","  13","   0","   0","  16","   0","   0","   8","   4","   0","   7","   8","  16","   0","  88","  13","   3","   1","   3","   3","  41","  32","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","  11","   0","  10","   0"
"3000",NA,NA," 635","   0","   3","   0","   9","  28","   0","  16","  50","   0","   0","  15","  22","   0","  22","   0","   0","  21","  19","   0","   0","   0","   7","   0","   8","   0","   0","  10","   0","   0","   9","   7","   0","  11","   9","   7","   0","  83","  15","   1","   1","   3","   3","  34","  26","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   8","   7","   0","   8","   0"
"3010",NA,NA," 640","   0","   4","   0","  17","   7","   0","  12","  20","   0","   0","   0","  11","   4","  30","   0","   0","  11","  19","   0","   0","   3","  25","   0","   8","   0","   0","  27","   0","   0","   5","   9","   0","   4","   7","  25","   0","  82","  15","   0","   0","   5","   5","  54","  25","   0","   0","   5","   3","   0","   3","   0","   1","   0","   0","   0","  14","  16","   0","   9","   0"
"3021",NA,NA," 645","   0","   5","   0","  14","  10","   0","  10","  20","   0","   0","   0","  15","   1","  34","   0","   0","   8","  16","   0","   0","   1","  24","   0","   8","   0","   0","  22","   0","   0","   4","  10","   0","   4","   6","  20","   0","  85","  16","   0","   0","   5","   4","  59","  23","   0","   0","   4","   4","   0","   3","   0","   1","   0","   0","   0","  14","  14","   0","  10","   0"
"3035",NA,NA," 650","   0","   4","   0","  17","   8","   0","   6","  21","   0","   0","   0","  18","   0","  38","   0","   0","   3","  35","   0","   0","   0","  27","   0","   6","   0","   0","  33","   0","   0","   6","   7","   0","   7","   6","  27","   0","  71","  18","   0","   0","   6","   7","  60","  28","   0","   0","   0","   0","   0","   8","   0","   1","   4","   0","   0","  11","  14","   0","  11","   0"
"3042",NA,NA," 655","   0","   4","   0","  16","  10","   0","   7","  27","   0","   0","   0","  16","   0","  38","   0","   0","   3","  33","   0","   0","   0","  20","   0","  11","   0","   0","  38","   0","   0","   4","  14","   0","  11","   1","  31","   0","  67","  19","   0","   0","   3","   4","  54","  32","   0","   0","   0","   0","   0","   9","   0","   1","   3","   0","   0","  12","  16","   0","  10","   0"
"3053",NA,NA," 660","   0","   0","   0","  24","   7","   0","   7","  17","   0","   0","   0","   8","   0","  30","   0","   0","   7","  36","   0","   0","   0","  31","   0","  10","   0","   0","  37","   0","   0","   0","  17","   0","   8","   5","  27","   0","  72","  13","   7","   0","  10","  12","  45","  27","   0","   0","   0","   0","   5","   0","   0","   0","   7","   0","   0","  21","  18","   0","  12","   0"
"3064",NA,NA," 665","   0","   0","   0","  27","  10","   0","   5","  13","   0","   0","   0","   7","   0","  18","   0","   0","   7","  35","   0","   0","   0","  32","   0","  13","   0","   0","  39","   0","   0","   0","  20","   0","   7","   5","  18","   0","  63","  17","  10","   0","  12","  10","  63","  40","   0","   0","   0","   0","   8","   0","   0","   0","   7","   0","   0","  28","  20","   0","   8","   0"
"3107",NA,NA," 670","   0","   0","   0","  23","   8","   0","   6","  23","   0","   0","   0","  15","   0","  21","   0","   0","   6","  39","   0","   0","   0","  32","   0","  10","   0","   0","  36","   0","   0","   3","  18","   0","   8","   5","  18","   0","  52","  19","   0","   0","   8","  10","  68","  33","   0","   0","   0","   0","  11","   0","   0","   0","  10","   0","   0","  25","  13","   0","  11","   0"
"3117",NA,NA," 675","   0","   0","   0","  27","   5","   0","   7","  12","   0","   0","   2","  17","   0","  25","   0","   0","   5","  37","   0","   0","   0","  33","   0","   5","   0","   0","  41","   0","   0","   2","  25","   0","   2","   5","  10","   3","  59","  24","   0","   0","   8","  15","  56","  35","   0","   0","   0","   0","  14","   0","   0","   0","   7","   0","   0","  24","  17","   0","   8","   0"
"3128",NA,NA," 680","   0","   3","   0","  21","   7","   0","  10","  18","   0","   0","   0","  13","   0","  13","   0","   0","   7","  43","   0","   0","   0","  46","   0","   8","   0","   0","  34","   0","   0","   5","  15","   0","   5","   7","  34","   2","  52","  16","   0","   0","   3","  10","  52","  42","   0","   0","   0","   0","   7","   0","   0","   0","   8","   0","   0","  28","  20","   0","  13","   0"
"3139",NA,NA," 685","   0","   5","   0","  24","   5","   0","   5","  20","   0","   0","   2","  17","   0","  17","   0","   0","   6","  32","   0","   0","   0","  38","   0","   9","   0","   0","  35","   0","   0","   3","   6","   0","   3","   8","  28","   2","  58","  19","   0","   2","   3","   8","  60","  38","   0","   0","   0","   0","   8","   0","   0","   0","   6","   0","   0","  20","  22","   0","   9","   0"
"3149",NA,NA," 695","   0","   3","   0","  17","   6","   0","  11","  30","   0","   0","   4","  18","   0","  20","   0","   0","   7","  35","   0","   0","   0","  23","   0","   7","   0","   0","  23","   0","   0","  10","   7","   0","   8","  11","  18","   0","  79","  11","   0","   0","   6","   6","  65","  29","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","  13","  17","   0","  10","   0"
"3160",NA,NA," 705","   0","   0","   0","   9","  26","   0","  14","  52","   0","   0","   4","  15","   0","  14","   0","   6","  15","  13","   4","   5","   9","  11","   0","   6","   0","   0","   0","   0","   0","  11","   2","   0","   5","   8","  21","   0","  51","   8","   0","   0","   0","   4","  57","  12","   6","   0","   0","   0","   0","   0","   0","   4","   2","   8","   0","   0","   5","   0","   9","   6"
"3279",NA,NA," 720","   0","   0","   0","   0","  25","   0","   9","  40","   7","   0","   4","   8","   0","  16","   6","   0","  18","  17","   0","   0","   0","   0","   6","   7","   4","   0","   0","   0","   0","  21","   0","   0","  21","  12","  12","   0","  48","  13","   7","   0","   0","   8","  38","  11","  19","   0","   8","   0","   0","   7","   4","   0","   0","   7","  12","   0","   0","   0","  15","   6"
"3456",NA,NA," 735","   0","   0","   0","   0","  21","   0","  10","  42","   8","   0","   1","   7","   0","  15","   5","   0","  20","  15","   0","   0","   0","   0","   7","   6","   2","   0","   0","   0","   0","  19","   0","   0","  25","  11","  10","   0","  44","  15","  10","   0","   0","   7","  49","   9","  15","   0","   8","   0","   0","  10","   2","   0","   0","   8","  13","   0","   0","   0","  10","   5"
"3634",NA,NA," 755","   0","   0","   0","   0","  29","   0","   5","  31","   5","   0","   0","   9","   5","   8","   5","   0","  16","  38","   0","   0","   0","   0","   9","   8","   0","   0","   0","   0","   8","  14","  16","   0","  20","  14","  12","   0","  45","  15","  26","   0","   0","   8","  40","  24","  14","   0","   5","   0","   0","   6","   5","   0","   0","  11","   6","   0","   0","   0","  17","   6"
"3812",NA,NA," 770","   0","   0","   4","   0","  31","   0","   2","  26","   2","   0","   0","   9","   7","   5","   2","   0","  12","  38","   0","   0","   0","   0","  12","   8","   0","   0","   0","   0","  19","  19","  22","   0","  22","  10","  10","   0","  53","  12","  36","   0","   0","   9","  36","  27","  14","   0","   5","   0","   0","   5","   5","   0","   5","   9","   7","   0","   0","   0","  17","   3"
"3990",NA,NA," 785","   0","   0","   8","   0","  23","   0","   5","  16","   0","   0","   0","   9","   5","   9","   3","   0","  10","  42","   0","   0","   0","   0","  13","  10","   0","   0","   0","   0","  19","  24","  17","   0","  17","   7","  10","   0","  40","  19","  40","   0","   0","  14","  54","  29","   5","   0","   5","   0","   0","   7","   5","   0","  12","   5","   5","   0","   0","   0","  15","   5"
"4041",NA,NA," 785","   0","   0","   2","   0","  22","   0","  11","  29","   0","   0","   0","  14","   4","  11","   8","   0","  21","  22","   0","   0","   0","   0","   7","   4","   0","   5","   0","   0","   8","  26","   5","   0","  13","  11","  14","   0","  49","  13","  17","   0","   0","   4","  29","  15","  16","   0","   7","   0","   0","  12","   7","   0","   4","  11","  11","   0","   0","   0","  14","   9"
"4080",NA,NA," 795","   0","   0","   5","  12","  17","   0","   5","  18","   5","   0","   2","  10","   8","  32","   2","   0","  13","  47","   0","   0","   0","   0","   6","   0","   0","   2","   0","   5","  12","  12","  22","   0","  27","  10","  35","   0","  42","  23","  20","   0","   0","   7","  27","  35","   5","   0","   0","   0","   7","  10","   0","   0","   7","   3","   3","   0","   3","   0","   7","   0"
"4119",NA,NA," 800","   0","   0","   9","  17","  11","   0","   6","  14","   6","   0","   0","  10","   6","  40","   0","   0","   7","  41","   0","   0","   0","   0","   6","   0","   0","   4","   0","  10","  13","  11","  33","   0","  31","   7","  26","   0","  33","  18","  18","   0","   0","   9","  33","  31","   0","   0","   0","   0","   9","   6","   0","   0","   7","   0","   0","   0","   9","   0","   3","   0"
