"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Afraegle","Alchornea","Alnus","Amaranthaceae undif.","Antidesma t.","Apocynaceae undif.","Araliaceae undif.","Artemisia","Asteraceae","Balanites","Betula","Bombax","Borreria t.","Caesalpinioideae","Capparis","Caryophyllaceae undif.","Cassia","Celtis","Chrozophora","Cichorieae","Cissampelos","Clematis-type","Combretaceae","Commelina","Connaraceae","Corylus","Cucurbitaceae undif.","Cyperaceae","Detarium","Diospyros/Euclea t.","Elaeis","Ephedra","Erica t.","Euphorbiaceae undif.","Faboideae Undif.","Fern-Lycopodiaceae","Ficus","Hymenocardia","Hyphaene t.","Ilex","Indeterminable","Indigofera","Ipomoea","Kohautia","Lamiaceae undif.","Lannea","Macaranga","Menispermaceae undif.","Mitragyna/Hallea","Monoletes","Moraceae undif.","Morelia","Myriophyllum alterniflorum t.","Nymphaea","Oldenlandia","Phoenix t.","Phyllanthus undif.","Piliostigma","Pinus undif.","Poaceae","Podocarpus","Polygala","Polygonum t.","Quercus undif.","Rubiaceae undif.","Salvadora","Securinega  t.","Sesbania","Solanum","Spergularia t.","Syzygium t.","Tephrosia","Triletes","Typha","Uapaca","Vitex","Ziziphus/Paliurus"
"341.371","  1.000","  0.000","  0.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","313.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","147.000","  0.000","  0.000"," 26.000","  0.000"," 13.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","140.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000"," 30.000","  0.000","  0.000","  0.000"
"354.6935","  8.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","318.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 73.0000","  0.0000","  0.0000"," 21.0000","  0.0000"," 14.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","131.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 38.0000","  0.0000","  0.0000","  0.0000"
"368.0161"," 15.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","266.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 73.0000","  0.0000","  0.0000","  8.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","199.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 52.0000","  0.0000","  0.0000","  0.0000"
"383.2419"," 23.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","256.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 84.0000","  0.0000","  0.0000","  2.0000","  0.0000","  4.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","195.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 61.0000","  0.0000","  0.0000","  0.0000"
"422.2328"," 31.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","247.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 75.0000","  0.0000","  0.0000","  2.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","162.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","121.0000","  0.0000","  0.0000","  0.0000"
"478.25"," 40.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","239.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  2.00"," 43.00","  0.00","  0.00","  1.00","  0.00","  2.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","190.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 78.00","  0.00","  0.00","  0.00"
"528.0431"," 48.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","206.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000"," 58.0000","  0.0000","  0.0000","  1.0000","  0.0000","  5.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","192.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","123.0000","  0.0000","  0.0000","  0.0000"
"593.175"," 55.000","  1.000","  0.000","  0.000","  0.000","  3.000","  0.000","  0.000","  0.000","  0.000","  0.000","  1.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000","  0.000","145.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  1.000"," 70.000","  0.000","  0.000","  1.000","  0.000","  1.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","254.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000"," 97.000","  0.000","  0.000","  0.000"
"987.975"," 63.000","  0.000","  0.000","  0.000","  0.000","  6.000","  0.000","  0.000","  0.000","  0.000","  0.000","  2.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000","  0.000","  2.000","  0.000","  0.000","  0.000","  0.000","  2.000","  0.000","  0.000","  0.000","  0.000","120.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000","  0.000"," 64.000","  0.000","  0.000"," 13.000","  0.000","  2.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","317.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000"," 26.000","  0.000","  0.000","  0.000"
"1432.125","  72.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 118.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 145.000","   0.000","   0.000","  24.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 346.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   0.000","   0.000","   0.000"
