"depth","Hagenia","Acacia t.","Acalypha","Acanthus","Aerva type","Alchemilla t.","Alchornea","Allophylus t.","Aloe","Amaranthaceae undif.","Ambrosieae","Anagallis t.","Anthoceros t.","Anthospermum","Apiaceae undif.","Apodytes dimidiata","Artemisia","Asteroideae undif.","Begonia","Boscia","Brassicaceae","Buddleia","Calpurnia-type aurea","Campanulaceae","Canthium","Capitanya-type otostegioides","Capparaceae undif.","Capparis","Cardueae undif.","Caryophyllaceae undif.","Cassia","Celastraceae/Hippocrateaceae","Celosia type","Celtis","Cichorieae","Cissus t.","Clematis-type","Clutia","Combretaceae","Commelina","Commiphora","Crassocephalum-type montuosum","Crateva","Cupressaceae","Cussonia","Cyperaceae","Cyphostemma-type","Diospyros/Euclea t.","Dipsacaceae","Dodonaea","Dombeya","Echinops","Ekebergia","Ephedra","Erica t.","Erythrococca/Micrococca","Euphorbia t.","Faboideae Undif.","Ficus","Fleurya-type aestuans","Galiniera","Gardenia","Geranium","Grewioideae","Gunnera perpensa","Harungana","Hebenstreitia dentata","Hydrocotyle","Hypericum undif.","Hyphaene t.","Hypoestes t.","Ilex","Impatiens","Indeterminable","Jasminum","Jatropha/Croton","Lamiaceae undif.","Lannea","Leonotis-type","Linum t.","Lythraceae undif.","Lythrum","Macaranga","Maerua","Manilkara","Maytenus","Mellera-type","Mimulopsis-type","Mimusops","Mitragyna/Hallea","Monoletes","Morella","Myrsine africana","Myrtaceae undif.","Nuxia t.","Ocimum","Oldenlandia","Olea t.","Ormocarpum t.","Pappea-type capensis","Pavetta","Petaloid monocot","Phoenix t.","Pilea-type bambuseti","Pittosporum abyssinicum-type","Plantago","Poaceae","Podocarpus","Polygala","Polygonum t.","Polyscias","Potamogeton","Proteaceae","Prunus t.","Psilotrichum t.","Pterolobium","Ranunculaceae undif.","Rapanea","Resedaceae undiff.","Rhamnaceae undif.","Ricinus","Rosa t.","Rubia-type","Rubiaceae undif.","Rumex t.","Salix","Sapium","Schefflera","Scrophulariaceae undif.","Searsia","Sebaea-type brachyphylla","Solanaceae undif.","Solanum","Spermacoce","Spiniluma-type oxyacantha","Steganotaenia-type","Stephania-type abyssinica","Stoebe kilimandscharica-type","Swertia usambarensis-type","Swertia-type kilimandscharica","Syzygium t.","Tapithus-type","Tarenna-type graveolens","Teclea","Thalictrum","Thymelaeaceae undif.","Trema","Tribulus","Triletes","Typha","Uebelinia-type abyssinica","Urtica t.","Vangueria","Vernonieae","Vitaceae undif.","Ximenia","Zanthoxylum"
" 0","23"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 2"," 0"," 0"," 5"," 4"," 4"," 0"," 0","18"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 4"," 0"," 0"," 0"," 1"," 7"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","19"," 0","17"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0","75"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 5"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0","88","12"," 0"," 0"," 0"," 1"," 0","10"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 6","35","13"," 0"," 0"," 1"," 0"," 0"," 2"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 2"," 6","12"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","10"," 1"," 0"," 1"," 0"," 0"," 0"," 0"," 1"
" 7.5","29.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 3.0"," 0.0"," 0.0"," 7.0"," 0.0"," 2.0"," 0.0"," 0.0","19.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 6.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0","48.0"," 0.0","24.0"," 0.0"," 1.0"," 2.0"," 3.0"," 0.0"," 0.0"," 0.0"," 0.0","69.0"," 0.0"," 0.0"," 2.0"," 0.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0","10.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0","96.0","27.0"," 1.0"," 1.0"," 1.0"," 1.0"," 0.0","12.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0","20.0","72.0","26.0"," 0.0"," 0.0"," 1.0"," 4.0"," 0.0"," 2.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0","15.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 8.0"," 3.0"," 1.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"
"17.5","25.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 5.0"," 0.0"," 0.0"," 4.0"," 6.0"," 2.0"," 0.0"," 0.0","18.0"," 0.0"," 0.0"," 3.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 7.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0","54.0"," 0.0","32.0"," 1.0"," 1.0"," 1.0"," 5.0"," 0.0"," 0.0"," 0.0"," 0.0","69.0"," 0.0"," 0.0"," 3.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 2.0"," 0.0"," 0.0"," 0.0","16.0"," 0.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 4.0"," 0.0"," 0.0"," 1.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0","71.0","19.0"," 4.0"," 1.0"," 3.0"," 1.0"," 0.0"," 7.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 2.0"," 0.0","18.0","55.0","10.0"," 0.0"," 1.0"," 0.0"," 2.0"," 1.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0","35.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 3.0"," 0.0"," 1.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0","10.0"," 3.0"," 0.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"
" 37.5"," 44.0","  0.0","  3.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  1.0","  0.0","  0.0","  5.0"," 10.0","  1.0","  0.0","  0.0"," 23.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  4.0"," 10.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 79.0","  0.0"," 39.0","  0.0","  2.0","  1.0","  6.0","  0.0","  0.0","  0.0","  0.0"," 73.0","  0.0","  0.0","  4.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  1.0","114.0"," 24.0","  3.0","  0.0","  2.0","  2.0","  0.0","  6.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 26.0"," 70.0"," 35.0","  0.0","  0.0","  2.0","  3.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  3.0"," 36.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 27.0","  2.0","  1.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0"
" 57.5"," 41.0","  1.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  4.0","  6.0","  3.0","  0.0","  0.0"," 12.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  1.0","  2.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 54.0","  1.0"," 27.0","  0.0","  2.0","  0.0","  4.0","  0.0","  1.0","  0.0","  0.0"," 61.0","  2.0","  0.0","  1.0","  0.0","  3.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 11.0","  0.0","  3.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  4.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","102.0"," 18.0","  3.0","  0.0","  3.0","  2.0","  0.0"," 20.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 10.0"," 64.0"," 21.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0"," 33.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  2.0","  0.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0"
" 77.5"," 30.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  7.0","  5.0","  0.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  2.0","  0.0","  2.0","  5.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0"," 67.0","  0.0"," 33.0","  0.0","  2.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0"," 59.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  9.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","122.0"," 19.0","  0.0","  0.0","  2.0","  4.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  9.0"," 58.0"," 19.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  3.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 43.0","  0.0","  0.0","  1.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0"
" 97.5"," 25.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  9.0","  2.0","  1.0","  0.0","  0.0"," 14.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  1.0","  3.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 33.0","  0.0"," 30.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0"," 74.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  6.0","  0.0","  1.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","133.0"," 15.0","  0.0","  0.0","  0.0","  1.0","  0.0"," 12.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  9.0"," 71.0"," 23.0","  0.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0"," 13.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"117.5"," 28.0","  1.0","  1.0","  1.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0"," 11.0","  1.0","  0.0","  0.0"," 13.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  9.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 18.0","  0.0"," 14.0","  0.0","  3.0","  0.0","  5.0","  1.0","  0.0","  1.0","  0.0"," 78.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  3.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","165.0"," 14.0","  5.0","  0.0","  0.0","  1.0","  0.0"," 14.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  4.0"," 64.0"," 35.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0"," 18.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 16.0","  1.0","  1.0","  2.0","  0.0","  2.0","  0.0","  0.0","  0.0"
"137.5"," 26.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  5.0"," 14.0","  2.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  0.0","  9.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0"," 39.0","  0.0"," 11.0","  0.0","  1.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 78.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","104.0"," 19.0","  1.0","  0.0","  1.0","  1.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0"," 13.0"," 71.0"," 16.0","  0.0","  1.0","  2.0","  0.0","  2.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0"," 26.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"157.5"," 43.0","  1.0","  0.0","  0.0","  3.0","  5.0","  0.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  1.0","  3.0","  0.0","  1.0"," 13.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  1.0","  0.0","  3.0","  0.0","  0.0","  1.0","  0.0"," 54.0","  0.0"," 31.0","  0.0","  4.0","  1.0","  5.0","  0.0","  0.0","  0.0","  0.0"," 85.0","  0.0","  0.0","  3.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 11.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 50.0"," 46.0","  6.0","  0.0","  2.0","  2.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  9.0"," 63.0"," 20.0","  0.0","  0.0","  0.0","  0.0","  1.0","  9.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  1.0","  4.0","  2.0","  0.0"," 18.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0"
