"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Hagenia","Acacia t.","Acalypha","Alchemilla t.","Alnus","Amaranthaceae undif.","Anthospermum","Apiaceae undif.","Araliaceae undif.","Artemisia","Asteroideae undif.","Bosqueia","Caryophyllaceae undif.","Celtis","Cichorieae","Combretaceae","Commiphora","Cupressaceae","Cyperaceae","Dendrosenecio","Dodonaea","Dombeya","Erica t.","Lamiaceae undif.","Lobelia","Macaranga","Mimulopsis","Monoletes","Morella","Myrsine","Myrtaceae undif.","Olea t.","Paronychieae","Petaloid monocot","Plantago","Poaceae","Podocarpus","Prunus t.","Ranunculaceae undif.","Rapanea","Rubia","Rumex t.","Salix","Stoebe","Thalictrum","Triletes","Typha","Unknown","Urtica t.","Zanthoxylum"
"-13.0","  7.0","-32.0","  0.5","  8.0","  0.0","  0.0"," 33.0","  0.0","  1.0","  0.0","  7.0","  0.0","  0.0","  9.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 16.0","609.0","  0.0","  3.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  1.0"," 87.0"," 47.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0"," 24.0","  0.0","  0.0"
"380.0","555.0","195.0"," 25.5","  9.0","  0.0","  1.0","108.0","  0.0","  6.0","  0.0"," 27.0","  0.0","  1.0"," 25.0","  0.0","  1.0","  8.0","  0.0","  1.0","  0.0"," 18.0","471.0","  0.0","  3.0","  0.0"," 24.0","  0.0","  0.0","  0.0","  0.0","  7.0","  1.0","  0.0","  0.0"," 12.0","  6.0","  1.0","  4.0","114.0"," 34.0","  3.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0"," 14.0","  3.0","  0.0"
"587.0","681.0","435.0"," 38.5"," 12.0","  0.0","  2.0"," 85.0","  0.0","  3.0","  0.0"," 14.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  8.0","108.0","  0.0","  7.0","  0.0"," 15.0","  0.0","  0.0","  2.0","  0.0","  2.0","  1.0","  0.0","  0.0","  9.0","  3.0","  5.0","  4.0"," 62.0"," 17.0","  4.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0"," 24.0","  0.0","  0.0"
"798.0","975.0","705.0"," 50.5"," 10.0","  0.0","  6.0"," 77.0","  0.0","  6.0","  2.0"," 27.0","  2.0","  0.0"," 18.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  9.0","258.0","  0.0","  8.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0"," 15.0","  3.0","  2.0","  0.0"," 66.0"," 26.0","  0.0","  1.0","  0.0","  0.0","  9.0","  0.0","  0.0","  1.0","  1.0","  0.0"," 24.0","  2.0","  0.0"
"1045.0","1350.0"," 822.0","  62.5","  11.0","   0.0","   2.0","  93.0","   0.0","   4.0","   0.0","  26.0","   0.0","   0.0","   9.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","  22.0"," 128.0","   0.0","   2.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","  16.0","   1.0","   0.0","   0.0","  43.0","  30.0","   5.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","  20.0","   3.0","   0.0"
"1312.0","1703.0"," 998.0","  75.5","  11.0","   0.0","   3.0"," 106.0","   0.0","   6.0","   0.0","  14.0","   1.0","   1.0","   7.0","   0.0","   2.0","   0.0","   0.0","   2.0","   0.0","  13.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   1.0","   8.0","   3.0","   1.0","   1.0","  61.0","  48.0","   1.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","  18.0","   0.0","   1.0"
"1557.0","1987.0","1196.0","  87.5","  10.0","   0.0","   2.0"," 213.0","   0.0","   4.0","   0.0","   6.0","   0.0","   0.0","  11.0","   0.0","   0.0","   1.0","   0.0","   2.0","   0.0","  12.0"," 384.0","   0.0","   4.0","   0.0","  23.0","   0.0","   0.0","   9.0","   0.0","   9.0","   1.0","   1.0","   0.0","  10.0","   1.0","   2.0","   0.0"," 142.0","  44.0","   5.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","  38.0","   0.0","   0.0"
"1837.0","2307.0","1432.0"," 101.5","   6.0","   1.0","   1.0"," 179.0","   0.0","   4.0","   0.0","   7.0","   0.0","   0.0","  15.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  12.0"," 723.0","   0.0","   3.0","   0.0","  25.0","   0.0","   0.0","   5.0","   0.0","   4.0","   0.0","   0.0","   0.0","  12.0","   8.0","   7.0","   0.0"," 133.0","  55.0","   2.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","  28.0","   2.0","   0.0"
"2058.0","2541.0","1637.0"," 112.5","   2.0","   0.0","   0.0","  77.0","   0.0","   0.0","   0.0","   5.0","   2.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  10.0"," 228.0","   0.0","   1.0","   0.0","   5.0","   0.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","  15.0","   0.0","   0.0","   0.0","  58.0","  46.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  16.0","   0.0","   0.0"
"2321.0","2813.0","1912.0"," 125.5","   2.0","   0.0","   1.0","  88.0","   0.0","   0.0","   0.0","   2.0","   0.0","   1.0","   6.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  21.0"," 410.0","   0.0","   1.0","   0.0","   7.0","   0.0","   0.0","   6.0","   0.0","   3.0","   0.0","   0.0","   0.0","  14.0","   3.0","   1.0","   0.0","  71.0","  52.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","  22.0","   4.0","   0.0"
"2564.0","3070.0","2198.0"," 137.5","   4.0","   0.0","   2.0"," 197.0","   0.0","   3.0","   0.0","   3.0","   0.0","   0.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  23.0"," 496.0","   0.0","   1.0","   0.0","  11.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   6.0","   0.0","   1.0","   0.0"," 110.0","  51.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0"
"2864.0","3404.0","2513.0"," 150.5","   5.0","   0.0","   1.0"," 185.0","   1.0","   4.0","   1.0","  20.0","   0.0","   2.0","  11.0","   0.0","   3.0","   1.0","   0.0","   4.0","   0.0","   4.0"," 472.0","   0.0","   0.0","   1.0","  11.0","   0.0","   0.0","  16.0","   0.0","   3.0","   0.0","   0.0","   0.0","  17.0","   1.0","   1.0","   0.0"," 159.0","  50.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  52.0","   2.0","   1.0"
"3259.0","3967.0","2786.0"," 162.5","   3.0","   0.0","   0.0"," 127.0","   0.0","   1.0","   0.0","  13.0","   0.0","   1.0","  15.0","   0.0","   3.0","   1.0","   0.0","   1.0","   0.0","   7.0"," 261.0","   0.0","  20.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   6.0","   0.0","   0.0","   0.0","   7.0","   1.0","   1.0","   0.0","  95.0","  38.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0"
"3686.0","4565.0","3124.0"," 175.5","   2.0","   0.0","   3.0"," 100.0","   0.0","   6.0","   4.0","   8.0","   0.0","   0.0","   8.0","   0.0","   4.0","   3.0","   0.0","   1.0","   0.0","  12.0"," 693.0","   0.0","   1.0","   0.0","  11.0","   0.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   8.0","   2.0","   1.0","   0.0"," 146.0","  55.0","   1.0","   0.0","   0.0","   1.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","  16.0","   4.0","   1.0"
"4077.0","5070.0","3473.0"," 187.5","   4.0","   1.0","   2.0","  62.0","   0.0","   0.0","   2.0","   5.0","   1.0","   0.0","  37.0","   0.0","  10.0","   2.0","   0.0","   2.0","   0.0","  10.0"," 228.0","   0.0","   0.0","   0.0","  10.0","   0.0","   0.0","   2.0","   0.0","   6.0","   0.0","   0.0","   2.0","   4.0","   0.0","   0.0","   0.0"," 145.0","  49.0","   4.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","  14.0","   2.0","   0.0"
"4805.0","5901.0","3992.0"," 200.5","   2.0","   0.0","   1.0","  46.0","   0.0","   3.0","   0.0","   6.0","   1.0","   0.0","  11.0","   0.0","   6.0","   0.0","   0.0","   1.0","   0.0","   2.0"," 337.0","   0.0","   1.0","   0.0","   8.0","   0.0","   0.0","   3.0","   0.0","   3.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0"," 189.0","  42.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","  16.0","   3.0","   0.0"
"5380.0","6489.0","4406.0"," 207.5","   1.0","   5.0","   0.0","  57.0","   0.0","   3.0","   1.0","  20.0","   0.0","   1.0","  17.0","   0.0","   9.0","   0.0","   0.0","   3.0","   0.0","   5.0"," 274.0","   0.0","   0.0","   0.0","  24.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","  78.0","  41.0","   1.0","   0.0","   1.0","   3.0","   0.0","   0.0","   0.0","   0.0","   2.0","   1.0","  20.0","   1.0","   0.0"
"5786.0","6883.0","4731.0"," 212.5","   1.0","  11.0","   3.0","  34.0","   0.0","   7.0","   3.0","  14.0","   2.0","   0.0","  15.0","   0.0","   4.0","   0.0","   1.0","   0.0","   1.0","   5.0","  55.0","   0.0","   0.0","   0.0","  20.0","   0.0","   3.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   5.0","   3.0","   0.0","   0.0"," 175.0","   9.0","   3.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  38.0","   9.0","   0.0"
"6278.0","7346.0","5165.0"," 218.5","   2.0","   1.0","   0.0","  77.0","   0.0","   9.0","   1.0","  11.0","   0.0","   0.0","  11.0","   0.0","  10.0","   1.0","   0.0","   0.0","   0.0","   4.0"," 545.0","   0.0","   1.0","   0.0","  19.0","   0.0","   0.0","   1.0","   0.0","   3.0","   0.0","   1.0","   0.0","  13.0","   0.0","   4.0","   0.0"," 180.0","  69.0","   0.0","   0.0","   2.0","   4.0","   0.0","   0.0","   0.0","   0.0","   5.0","   2.0","  40.0","  14.0","   1.0"
"6859.0","7853.0","5693.0"," 225.5",NA,"   0.0","   0.0","  17.0","   0.0","   2.0","   1.0","   4.0","   0.0","   0.0","   4.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   4.0"," 254.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   1.0","   0.0","   3.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0"," 137.0","  21.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   8.0","  15.0","   0.0"
"7369.0","8187.0","6332.0"," 231.5","   2.0","   0.0","   0.0","  36.0","   0.0","  15.0","   0.0","   4.0","   3.0","   2.0","  53.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","  12.0"," 422.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   8.0","   3.0","   0.0","   0.0"," 120.0","  28.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   4.0","   1.0","   0.0","  20.0","   0.0","   0.0"
"7864.0","8518.0","7025.0"," 237.5","   2.0","   0.0","   0.0","  12.0","   0.0","  10.0","   2.0"," 103.0","   0.0","   7.0","  44.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","  10.0"," 214.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   4.0","   1.0","   0.0","   2.0","   6.0","   1.0","   0.0"," 141.0","  30.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   1.0","  18.0","   0.0","   1.0"
"8340.0","8875.0","7921.0"," 243.5","   3.0","   0.0","   0.0","   8.0","   0.0","  22.0","   0.0","  15.0","   0.0","   3.0","  22.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","  27.0"," 480.0","   0.0","   3.0","   0.0","   3.0","   1.0","   0.0","   1.0","   0.0","   1.0","   1.0","   0.0","   0.0","  13.0","   5.0","   1.0","   0.0"," 144.0","  66.0","   1.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   3.0","   1.0","   0.0","  42.0","   2.0","   0.0"
"8949.0","9856.0","8325.0"," 250.5","   1.0","   2.0","   2.0","  22.0","   0.0","  10.0","   2.0","  17.0","   0.0","   2.0","  15.0","   0.0","   2.0","   1.0","   0.0","   2.0","   1.0","   5.0"," 490.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0","   0.0","   0.0","   9.0","   1.0","   0.0","   1.0","   9.0","   1.0","   0.0","   0.0"," 181.0","  47.0","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  14.0","   3.0","   0.0"
" 9494.0","10614.0"," 8658.0","  256.5","    6.0","    1.0","    3.0","   64.0","    0.0","   27.0","    0.0","   53.0","    0.0","    0.0","   50.0","    0.0","    8.0","    1.0","    1.0","    3.0","    0.0","   12.0","  169.0","    0.0","    2.0","    0.0","   15.0","    0.0","    0.0","    0.0","    0.0","    4.0","    0.0","    0.0","    0.0","   14.0","    4.0","    0.0","    0.0","   99.0","   12.0","    1.0","    0.0","    3.0","    1.0","    1.0","    0.0","    1.0","    0.0","    1.0","    0.0","   20.0","    1.0","    0.0"
" 9953.0","11141.0"," 8950.0","  261.5","    2.0","    1.0","    0.0","   32.0","    0.0","   17.0","    0.0","   12.0","    0.0","    3.0","   51.0","    0.0","    2.0","    0.0","    1.0","    0.0","    0.0","    7.0","   77.0","    0.0","    2.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    1.0","    1.0","    0.0","    0.0","    8.0","    2.0","    0.0","    0.0","   89.0","   11.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","   10.0","    0.0","    0.0"
"11216.0","12405.0"," 9924.0","  275.5","    2.0","    0.0","    0.0","   18.0","    0.0","   41.0","    0.0","   20.0","    0.0","    2.0","   31.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   14.0","  279.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    8.0","    0.0","    0.0","  101.0","   22.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    1.0","    6.0","    0.0","    0.0"
"11765.0","12835.0","10478.0","  281.5",NA,"    1.0","    0.0","    3.0","    0.0","   12.0","    0.0","    5.0","    0.0","    2.0","   18.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    4.0","  120.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    1.0","    0.0","    0.0","    5.0","    3.0","    0.0","    0.0","   38.0","    5.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    1.0","    0.0","    0.0","    0.0"
