"depth","age CAL BP","Sample","Acacia t.","Aizoaceae t.","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Balanites","Betula","Betulaceae undif.","Blepharis","Boraginaceae undif.","Boscia","Brassicaceae","Cadaba","Calligonum","Capparaceae undif.","Capparis","Cardueae undif.","Caryophyllaceae undif.","Celtis","Centaurea","Chrozophora","Cichorieae","Cissus t.","Cistaceae","Cocculus","Combretaceae","Commiphora","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Delonix","Dipsacaceae","Dodonaea","Drymaria-type","Echinops","Echium t.","Ephedra","Erica t.","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Faboideae Undif.","Fagonia","Fern","Fern-Equisetophyta","Ficus","Frankenia","Fraxinus","Fumaria","Fungi","Geranium","Haplophyllum","Heliotropium","Indeterminable","Indigofera","Lamiaceae undif.","Lannea","Leonotis-type","Linum t.","Lotus t.","Maerua","Malva","Matthiola","Mikania-type","Moltkiopsis","Monsonia","Moraceae/Urticaceae (Mikrom)_17.5","Moraceae/Urticaceae (Mikrom)_20.0","Moraceae/Urticaceae (Mikrom)_22.5","Moraceae/Urticaceae (Mikrom)_25.0","Moraceae/Urticaceae (Mikrom)_27.5","Morella","Neurada","Ochradenus-type","Ocimum","Olea t.","Onagraceae","Papaver t.","Persicaria t.","Petaloid monocot","Piliostigma","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polemonium","Polygala","Polygonum t.","Populus","Potamogeton","Quercus undif.","Ranunculaceae undif.","Resedaceae undiff.","Ricinus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruppia","Salvadora","Saxifragaceae","Scrophulariaceae undif.","Searsia","Secale","Senna-type","Sesbania","Solanum","Spergularia t.","Spermacoce","Spores","Syzygium t.","Tamarix","Tetraena","Thymelaeaceae undif.","Tilia","Tribulus","Trichodesma","Trifolium t.","Triletes","Typha","Ulmus t.","Urtica t.","Verbenaceae undif.","Viola","Vitis","Ziziphus/Paliurus","charcoal","marker spores counted"
" 146","4749","TAY22_0086","4","0","254","0","0","111","15","3","3","30","0","7","0","0","0","0","0","0","1","0","4","9","0","1","0","0","25","1","5","0","1","0","0","0","0","0","0","57","0","0","7","0","0","0","7","4","0","0","0","0","1","0","0","1","0","0","0","0","4","0","3","14","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","4","1","8","115","77","0","0","0","1","0","1","0","1","0","1","0","2","0","2","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","137","0","1","0","0","5","0","505","217"
" 157","4860","TAY22_0129","4","0","0","0","1","452","4","0","7","20","0","13","0","0","1","0","0","2","13","0","21","38","5","0","1","0","9","1","12","0","0","0","0","0","0","1","0","34","0","0","9","0","0","0","2","2","0","0","2","0","3","0","0","0","1","0","0","0","0","0","0","31","0","1","0","0","0","0","7","0","0","0","3","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","1","13","46","32","0","0","0","0","0","2","0","4","0","0","0","0","0","3","0","0","0","0","0","0","1","3","0","2","0","0","1","0","1","0","0","0","1","16","0","1","0","0","11","0","73","73"
" 163","4912","TAY22_0135","1","0","94","0","1","345","3","0","8","10","0","14","0","0","1","0","1","1","5","0","3","11","8","0","0","0","4","0","4","0","0","0","0","0","0","0","0","16","0","0","4","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","27","34","47","0","0","0","0","0","2","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","137","73"
" 169","4961","TAY22_0141","1","0","300","0","0","589","5","0","7","6","0","28","0","0","0","0","1","0","6","0","12","8","12","0","0","0","7","0","9","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","3","1","0","0","1","0","12","0","0","0","0","0","0","0","1","0","0","49","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","57","45","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","5","0","150","18"
" 178","5037","TAY22_0150","1","0","0","0","0","424","1","0","4","6","0","7","0","1","0","0","0","0","6","0","7","3","2","1","2","0","33","0","29","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","14","19","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","3","0","0","1","0","0","0","0","0","0","0","0","10","0","702","140"
" 179","5049","TAY22_0151","2","0","0","0","0","693","3","0","2","17","0","10","0","0","0","0","0","0","3","8","9","17","0","0","3","0","19","0","13","0","0","0","0","0","0","0","0","11","0","0","1","0","0","0","5","3","0","0","1","0","7","0","0","1","0","0","0","0","1","0","0","29","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","3","1","33","50","49","0","0","0","0","0","2","0","2","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","3","0","79","160"
" 189","5193","TAY22_0161","1","0","470","0","0","699","4","0","3","28","0","9","0","0","0","0","0","0","17","0","21","0","15","0","0","0","11","0","8","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","18","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","2","0","21","62","40","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","11","0","690","138"
" 201","5318","TAY22_0216","0","0","132","0","0","1531","8","0","2","28","0","34","0","0","0","0","0","0","16","2","5","34","3","0","0","0","25","0","52","0","0","0","0","0","0","0","0","20","0","1","1","0","0","0","4","0","1","0","2","0","0","0","0","0","0","0","0","53","0","0","0","39","0","0","0","0","0","0","0","0","0","1","1","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","56","165","105","0","0","0","0","0","2","0","5","0","0","0","10","0","1","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","3","0","2","0","0","4","2","218","106"
" 223","5494","TAY22_0238","0","0","82","0","0","1236","3","2","13","16","0","36","0","0","0","0","0","0","14","0","5","9","0","0","2","1","17","0","41","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","4","0","0","0","1","0","14","0","0","0","0","0","0","0","1","0","0","52","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","39","107","88","0","0","0","0","0","0","0","4","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","9","8","1","0","0","0","0","0","0","0","0","0","0","2","0","225","161"
" 234","5596","TAY22_0250","0","0","44","0","0","1375","6","0","5","21","0","22","0","0","0","0","0","0","20","8","32","14","5","0","0","1","33","0","68","0","0","0","1","0","0","0","0","21","0","0","3","0","0","0","9","2","0","0","5","0","1","0","0","1","0","0","0","56","0","0","0","31","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","8","0","1","0","0","0","1","2","61","110","67","0","0","0","0","0","0","0","7","0","0","0","3","0","5","0","0","0","0","0","0","0","0","0","1","1","4","1","0","0","0","0","0","0","1","0","2","0","0","1","1","384","86"
" 258","5800","TAY22_0272","1","0","206","0","0","1424","10","0","12","72","0","26","0","1","0","0","0","0","21","4","12","17","7","0","3","1","15","0","48","1","0","0","3","0","0","0","0","39","0","0","6","0","0","0","20","0","0","0","6","0","0","0","0","1","0","0","0","80","1","0","0","17","0","0","0","0","0","0","0","0","0","2","1","0","1","9","0","0","0","0","0","0","0","10","1","0","0","0","0","1","1","75","315","237","0","2","0","0","0","4","0","3","0","0","0","11","1","1","0","0","0","0","0","0","0","0","0","0","1","4","1","0","0","0","0","0","1","8","0","10","0","0","3","2","4320","247"
" 260","5816","TAY22_0274","0","0","22","0","0","427","17","1","9","79","0","23","0","0","0","2","0","0","38","0","15","4","0","2","3","0","21","0","21","0","1","0","2","0","1","0","0","19","0","0","0","0","0","0","16","4","0","0","1","0","0","0","0","3","0","0","0","21","0","0","0","13","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","1","4","81","179","158","0","0","0","0","0","2","0","0","0","0","1","6","0","0","0","2","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","4","0","0","0","0","6","0","3515","261"
" 262","5834","TAY22_0276","2","0","144","0","0","843","14","0","25","87","1","40","0","0","0","1","0","0","32","0","13","12","3","0","1","2","46","0","42","0","0","0","1","0","0","0","0","57","0","0","3","0","0","2","27","0","1","0","1","0","0","0","0","5","0","0","0","42","1","0","0","17","1","0","0","0","0","0","0","0","2","0","0","0","2","1","0","0","0","1","0","0","0","13","0","1","0","0","0","1","6","210","397","296","0","0","0","0","0","4","0","1","0","0","0","17","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","0","0","1","7","0","3","1","0","7","0","3456","204"
" 271","5912","TAY22_N124","0","0","46","0","0","849","6","0","6","17","0","25","0","0","0","0","0","0","14","0","10","9","1","0","0","2","23","0","40","0","0","0","4","0","0","0","0","11","0","0","1","0","0","0","12","0","0","0","2","0","1","0","0","1","0","0","0","10","0","0","0","17","0","0","0","0","0","1","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0","1","2","42","178","101","0","0","0","0","0","3","0","0","0","0","0","10","0","0","0","0","2","0","0","0","0","0","0","0","0","3","3","0","0","1","0","0","0","0","0","3","0","0","1","1","580","51"
" 280","5996","TAY22_N133","0","1","72","1","0","578","6","0","5","42","0","14","0","0","0","1","0","0","17","1","5","2","2","0","2","0","18","0","23","1","0","0","2","0","0","1","0","27","0","0","1","0","0","1","4","1","2","0","0","0","0","0","0","2","0","0","0","12","0","0","0","10","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","4","0","1","0","0","1","81","176","145","0","0","1","0","0","3","0","2","0","0","0","7","0","0","0","1","0","0","0","0","0","1","0","0","0","5","1","0","0","0","0","0","0","3","0","0","0","0","2","0","952","161"
" 285","6050","TAY22_N071","1","0","41","0","0","736","3","0","5","35","0","32","0","0","0","0","0","0","24","0","5","2","0","1","0","0","14","0","18","0","0","0","2","0","0","0","0","16","0","0","0","0","0","0","4","1","0","0","2","0","0","0","0","1","0","0","0","16","0","0","0","13","0","2","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","1","0","8","0","0","0","0","0","2","1","91","123","87","0","0","0","0","1","3","0","5","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","0","2","1","0","0","0","1108","81"
" 289","6092","TAY22_N075","1","0","153","0","0","1047","4","0","3","63","0","33","0","0","0","0","0","0","48","0","7","6","1","0","2","1","13","0","63","0","0","0","0","0","0","0","0","60","0","0","0","0","0","0","11","0","0","0","0","0","1","0","0","1","0","0","0","16","1","0","0","22","0","0","0","0","0","0","0","0","0","0","1","0","3","3","1","0","0","0","0","0","0","6","0","0","0","0","0","2","0","174","454","245","0","0","0","0","0","7","0","3","1","0","0","17","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","2","0","7","0","0","1","0","4305","197"
" 292","6127","TAY22_N078","0","0","85","0","0","561","6","0","11","29","0","24","0","0","0","3","0","0","11","0","8","5","7","0","0","0","19","0","13","0","0","0","0","0","0","1","0","15","0","0","0","0","0","0","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","8","0","0","0","0","0","1","1","49","108","66","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","3","0","0","0","0","9","0","331","117"
" 296","6179","TAY22_0321","0","0","68","0","0","514","10","0","6","38","0","16","0","0","0","1","0","0","7","0","3","0","4","2","0","2","6","0","8","0","0","0","1","0","0","0","0","24","0","0","2","0","0","0","9","2","0","0","0","0","0","0","0","6","0","0","0","3","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","1","0","29","128","97","0","0","0","0","0","1","0","0","0","0","0","9","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","11","0","331","29"
