"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthoceris/Isotoma","Apiaceae undif.","Araliaceae undif.","Arceuthobium","Artemisia","Asparagales","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cathaya","Cedrus","Celtis","Centaurea","Centranthus t.","Cicatricosisporites","Cissus t.","Cistaceae","Coriaria","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Drosera","Ephedra","Erica t.","Erodium","Eucommia","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Fungi","Geranium","Hamamelidaceae","HippophaÃ«","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Lythrum","Malva undif.","Morella","Musci","Olea t.","Onagraceae","Parrotia","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Polygala","Polygonum t.","Populus","Potamogeton","Protist","Pterocarya","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Riccia","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Sigmopollis","Solanaceae undif.","Sparganium","Tamarix","Thalictrum","Thymelaeaceae undif.","Tsuga","Typha","Ulmus t.","Unknown","Unknown (monolete, psilate)","Unknown (trilete, psilate)","Valeriana t.","Verbenaceae undif.","Viscum","Zelkova"
NA,NA,NA," 15.9"," 15.0","  0.0"," 18.0","  0.0","  0.0"," 22.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0"," 13.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  4.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","662.0","  0.0","  1.0","  0.0","169.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 47.0"," 45.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
NA,NA,NA," 16.54"," 25.00","  0.00"," 32.00","  0.00","  2.00"," 28.00","  1.00","  0.00","  0.00","  0.00","  7.00","  0.00"," 17.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  8.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  4.00","540.00","  0.00","  0.00","  5.00","169.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 48.00"," 20.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
NA,NA,NA," 22.47","  0.00","  0.00","  9.00","  0.00","  0.00"," 89.00","  0.00","  0.00","  0.00","  0.00"," 46.00","  0.00"," 34.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  3.00","  3.00","  0.00","  0.00","  2.00","  7.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  7.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 69.00","  0.00","  0.00","  6.00"," 46.00","  0.00","  0.00","  0.00","  0.00","157.00","  0.00"," 32.00"," 54.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
NA,NA,NA," 37.9","  0.0","  0.0","  2.0","  0.0","  0.0"," 59.0","  0.0","  0.0","  0.0","  0.0","123.0","  0.0"," 35.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  4.0","  3.0","  0.0","  0.0","  3.0"," 13.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 15.0","325.0","  0.0","  1.0","  2.0"," 49.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
NA,NA,NA," 88.99","  1.00","  2.00"," 47.00","  0.00","  0.00"," 63.00","  0.00","  0.00","  0.00","  0.00"," 46.00","  0.00"," 35.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  1.00"," 48.00","  1.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 49.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","104.00","  0.00","  1.00","  0.00"," 67.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  5.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00"," 39.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  9.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
NA,NA,NA," 44.47","  1.00","  0.00"," 30.00","  0.00","  0.00"," 87.00","  0.00","  0.00","  0.00","  0.00","108.00","  0.00"," 29.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  2.00","  1.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00"," 36.00","  0.00","  0.00"," 30.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","102.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","177.00","  0.00","  1.00","  0.00"," 26.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 43.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
NA,NA,NA,"27.33"," 4.00"," 0.00","83.00"," 0.00"," 0.00","68.00"," 0.00"," 0.00"," 0.00"," 0.00","50.00"," 0.00","36.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 2.00"," 3.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 3.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00"," 3.00"," 0.00"," 0.00"," 0.00"," 0.00"," 5.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 3.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 0.00","79.00"," 0.00"," 0.00"," 3.00","70.00"," 0.00"," 0.00"," 0.00"," 0.00","20.00"," 0.00","16.00"," 8.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
NA,NA,NA," 20.08","  0.00","  0.00","109.00","  0.00","  4.00"," 48.00","  0.00","  0.00","  0.00","  0.00"," 33.00","  0.00"," 15.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  3.00","  3.00","  4.00","  0.00","  0.00","  1.00","  8.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  6.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","132.00","  0.00","  0.00","  1.00"," 35.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 25.00"," 37.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
NA,NA,NA," 13.01"," 19.00","  0.00"," 26.00","  0.00","  0.00"," 32.00","  0.00","  0.00","  0.00","  0.00"," 20.00","  0.00","  7.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00"," 31.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","899.00","  0.00","  1.00","  5.00"," 86.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00"," 29.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  6.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
NA,NA,NA," 67.04","  1.00","  2.00","  0.00","  0.00","  0.00"," 32.00","  0.00","  0.00","  0.00","  0.00","120.00","  0.00"," 11.00","  0.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00"," 25.00","  2.00","  0.00","  0.00"," 26.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00"," 56.00","  0.00","  0.00","  1.00"," 66.00","  0.00","  0.00","  0.00","  0.00","  6.00","  0.00"," 24.00"," 26.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
NA,NA,NA," 76.58","  1.00","  0.00","  6.00","  0.00","  0.00"," 55.00","  0.00","  0.00","  0.00","  0.00"," 97.00","  0.00"," 18.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  7.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  6.00"," 12.00","  0.00","  0.00"," 18.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  7.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 12.00","165.00","  0.00","  2.00","  1.00"," 66.00","  0.00","  0.00","  0.00","  0.00"," 96.00","  0.00"," 11.00"," 12.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 29.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00"
NA,NA,NA," 66.24"," 11.00","  0.00","208.00","  0.00","  0.00"," 96.00","  0.00","  0.00","  0.00","  0.00"," 62.00","  0.00"," 12.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  3.00"," 15.00","  0.00","  0.00"," 19.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  9.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","224.00","  0.00","  1.00","  0.00"," 53.00","  0.00","  0.00","  0.00","  0.00","851.00","  0.00"," 18.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
NA,NA,NA,"101.79","  3.00","  0.00","  3.00","  0.00","  0.00"," 45.00","  0.00","  0.00","  0.00","  0.00"," 93.00","  0.00"," 35.00","  1.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  6.00","  1.00","  0.00","  0.00","  0.00"," 40.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 13.00","360.00","  0.00","  1.00","  3.00"," 43.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 12.00"," 29.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00"
NA,NA,NA," 21.43","  2.00","  0.00"," 77.00","  0.00","  0.00"," 45.00","  0.00","  0.00","  0.00","  0.00"," 60.00","  0.00"," 30.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  1.00","  3.00","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  1.00","  0.00"," 37.00","  0.00","  1.00","  3.00"," 85.00","  0.00","  0.00","  0.00","  0.00"," 55.00","  0.00"," 29.00","100.00","  1.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
NA,NA,NA," 24.22","  3.00","  0.00"," 49.00","  0.00","  1.00"," 71.00","  0.00","  0.00","  0.00","  0.00"," 16.00","  0.00"," 24.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  5.00","  5.00","  1.00","  0.00","  2.00","  6.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 10.00","  0.00","  0.00","  0.00","  0.00","  1.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","317.00","  0.00","  0.00","  1.00"," 50.00","  0.00","  0.00","  0.00","  0.00","148.00","  0.00"," 24.00"," 31.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
NA,NA,NA," 17.8"," 23.0","  0.0"," 26.0","  0.0","  0.0"," 25.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0"," 46.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  6.0","395.0","  0.0","  0.0","  8.0"," 59.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 91.0"," 62.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"
NA,NA,NA," 91.09","  0.00","  0.00","  7.00","  0.00","  0.00"," 47.00","  0.00","  0.00","  2.00","  0.00","174.00","  0.00"," 19.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  8.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  2.00","  0.00","  0.00","  1.00","  3.00"," 64.00","  0.00","  1.00","  2.00"," 71.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
NA,NA,NA," 19.07","  1.00","  0.00","196.00","  0.00","  0.00"," 29.00","  0.00","  0.00","  0.00","  0.00"," 27.00","  0.00"," 14.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  1.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  1.00","  7.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","139.00","  1.00","  0.00","  1.00"," 50.00","  0.00","  0.00","  0.00","  0.00","338.00","  0.00"," 19.00"," 55.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"
