"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alchemilla t.","Alnus","Amaranthaceae undif.","Artemisia","Asteroideae undif.","Berberis t.","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fraxinus","Galium t.","Geranium","HippophaÃ«","Humulus","Hypericum undif.","Juglans","Lamiaceae undif.","Linum t.","Malva","Myrtus","Papaver t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Primula","Quercus deciduous","Ranunculaceae undif.","Rhamnus","Rosa t.","Rumex t.","Rutaceae undif.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Solanum","Spergularia t.","Thymelaeaceae undif.","Tilia","Ulmus t.","Urtica t.","Valeriana t.","Viola"
" 25","133","-19","  2","  7","  1","  0","  1","  0","  2"," 17","  0","  3","  3","  2","  0","  5"," 34","  1","  0","  0","  1","  1","  3","  2","  0","  1","  0","  2","  0","  0","  0","  0","  7","  0","  1","  0","  0","  2","  0","  0","  1","  2","  1","142","  0","  3"," 13","  3","  0","  4","  2","  0","  0","  2","  0","  2","  0","  3","  1","  0","  0","  1","  1","  0","  1","  0","  1","  0"
"163","306"," 95","  6","  5","  0","  0","  0","  3","  1"," 16","  0","  3","  0","  3","  0"," 17"," 22","  0","  2","  1","  2","  0","  2","  0","  0","  3","  0","  0","  2","  0","  1","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","198","  1","  0"," 30"," 12","  0","  9","  3","  0","  1","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"
"301","482","207"," 10","  7","  1","  0","  2","  2","  0","  7","  0","  5","  0","  2","  0","  5"," 41","  1","  0","  1","  2","  3","  3","  4","  0","  1","  0","  2","  0","  0","  1","  0","  1","  0","  0","  0","  5","  2","  0","  0","  0","  0","  0","121","  0","  0"," 14","  5","  0"," 13","  3","  2","  0","  5","  0","  1","  0"," 17","  0","  3","  0","  6","  0","  0","  0","  2","  0","  0"
"440","661","316"," 14","  3","  3","  0","  1","  1","  0","  0","  0","  5","  0"," 14","  0","  0"," 37","  0","  0","  0","  1","  8","  7","  0","  0","  0","  1","  0","  8","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  1","  0"," 67","  2","  5"," 67","  9","  0"," 31","  2","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  7","  0","  0","  1","  0","  1","  0"
"544","796","398"," 17","  1","  0","  0","  0"," 32","  0","  1","  0","  9","  0","  3","  0","  7"," 11","  1"," 23","  0","  1","  1","  0","  2","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1"," 86","  1","  3"," 45","  1","  0"," 34","  3","  0","  0","  8","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"
"649","930","476"," 20","  3","  1","  0","  0"," 29","  7","  4","  0","  2","  0"," 27","  0","  7"," 29","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  1","  1","  0","  0","  0","  0"," 41","  0"," 13","103","  0","  0"," 14","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  0"
" 897","1251"," 674","  27","   0","   0","   0","   0","   3","   0","   8","   0","   5","   0","   5","   0","   8","   9","   0","   0","   0","   1","   1","   1","   0","   0","   1","   0","   1","   0","   0","   5","   0","   1","   0","   1","   1","   0","   1","   0","   0","   0","   0","   0","  46","   1","   3"," 156","   9","   0","  11","   3","   3","   0","   0","   1","   1","   0","   6","   0","   2","   1","   0","   0","   0","   0","   0","   0","   1"
"1005","1389"," 767","  30","   9","   0","   1","   0","   4","   1","   7","   0","   3","   0","   0","   3","   3","  37","   0","   0","   0","   2","   5","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   3","   0"," 107","   0","   1","  49","   4","   0","  21","   3","   0","   0","   3","   0","   0","   0","  16","   0","   0","   2","   3","   0","   0","   4","   2","   0","   2"
"1151","1571"," 892","  34","   1","   0","   0","   0","   5","   5","   3","   0","   1","   0","   3","   0","  13","  31","   1","   6","   0","   1","   0","   0","   2","   0","   0","   0","   2","   2","   1","   0","   0","   0","   0","   1","   0","   2","   2","   0","   0","   0","   1","   0"," 152","   0","   1","  21","  11","   0","   6","   3","   0","   1","   6","   1","   0","   0","   3","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0"
"1261","1707"," 986","  37","   3","   0","   0","   0","   4","   1","   4","   0","   2","   1","   1","   1","  12","  36","   1","   1","   0","   0","   2","   1","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","  89","   0","   2","  51","   7","   0","   0","  35","   0","   0","   5","   0","   0","   0","  28","   0","   1","   0","   0","   1","   0","   0","   1","   0","   0"
