"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Callitriche","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Drosera","Echium t.","Erica t.","Fabaceae Undif.","Fern","Fern-Equisetophyta","Filipendula t.","Frangula","Fraxinus","Genisteae","Gentiana t.","Geranium","Hedera","Humulus","Hypecoum","Hypericum undif.","Ilex","Juncaceae","Lamiaceae undif.","Linum t.","Lonicera","Lotus t.","Lycopodium spike","Lycopodium tablets","Menyanthes","Myriophyllum spicatum/verticillatum t.","Olea t.","Onagraceae","Paronychieae","Pedicularis","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Pollen concentration","Populus","Portulacaceae t.","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Spergularia t.","Thesium","Thymelaeaceae undif.","Typha","Unknown","Urtica t.","Valeriana","Valerianella","Viburnum","Viscum","Vitis"
"10007",NA,NA,"109","0.6","0","0","0","0","3","0","1","0","0","173","0","2","0","1","2","0","1","0","0","0","6","0","0","0","0","3","0","0","0","15","0","3","0","1","7","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","102","1","0","16","0","191700.36","0","0","2","1","66","18","0","0","0","4","11","0","0","0","0","0","0","0","0","54","0","0","0","0","2","0"
"10164",NA,NA,"111","0.8","0","0","0","0","4","0","2","0","0","76","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","8","0","0","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","62","0","0","13","0","17991.07","0","0","0","0","36","13","0","0","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","0","0","0"
"10181",NA,NA,"112","0.6","0","0","0","0","1","0","2","0","0","202","0","1","1","3","0","0","0","0","0","0","5","0","0","0","0","3","0","0","0","17","0","1","0","0","4","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","106","0","0","8","0","158064.16","0","0","0","0","72","13","0","2","0","3","1","0","0","2","0","0","0","0","0","32","0","0","0","0","0","0"
"10215",NA,NA,"114","0.8","0","1","0","1","2","0","2","0","0","222","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","5","0","0","0","13","0","1","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","1","0","100","0","0","14","0","688304.69","2","0","0","0","53","28","3","0","0","1","4","0","0","3","0","0","0","0","0","52","0","0","0","0","0","0"
"10249",NA,NA,"116","0.6","0","0","0","3","6","0","0","0","0","235","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0","0","0","4","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","144","0","0","26","0","740470.94","3","0","0","0","58","11","0","1","1","1","6","0","0","0","0","0","0","0","0","22","0","0","0","0","1","0"
"10282",NA,NA,"118","0.7","0","2","0","2","3","0","1","0","0","193","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","5","0","0","0","12","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","1","0","116","0","2","27","0","333864","0","0","0","0","68","8","0","0","0","1","3","0","0","6","0","0","0","0","0","21","0","0","0","0","0","0"
"10299",NA,NA,"119","0.8","0","1","1","0","2","0","2","0","0","207","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","9","0","0","0","4","0","0","0","0","6","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","111","0","1","22","0","543248.56","1","0","0","0","69","11","0","0","0","1","2","0","0","2","0","0","0","0","0","22","0","0","1","0","0","0"
"10333",NA,NA,"121","0.5","0","0","0","0","2","0","0","0","0","231","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","12","0","0","0","12","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","3","0","114","0","0","26","0","232338.11","0","0","0","1","47","17","0","0","0","0","5","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0"
"10350",NA,NA,"122","0.8","0","1","1","2","2","0","3","0","0","188","0","0","0","1","0","0","0","0","0","0","1","0","0","0","2","4","0","0","0","6","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","105","0","0","32","0","139432.02","0","0","0","0","55","16","0","0","1","1","4","1","0","1","0","0","0","0","0","12","0","0","0","0","0","0"
"10384",NA,NA,"124","0.9","0","5","2","1","0","0","3","0","0","197","0","1","0","0","0","0","1","0","0","0","0","0","0","0","3","10","0","0","0","3","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","2","0","0","1","0","2","0","0","0","0","0","0","0","0","0","135","0","0","20","0","126389.02","1","0","0","0","57","18","0","0","2","0","4","0","0","1","0","0","0","0","0","17","0","0","0","0","0","0"
"10418",NA,NA,"126","0.8","0","0","0","0","1","0","0","0","0","356","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","1","0","1","0","173","0","0","20","0","627982.31","2","0","0","0","62","6","0","0","1","0","0","0","0","1","0","0","0","0","0","20","1","0","0","0","0","0"
"10451",NA,NA,"128","0.8","0","0","1","0","6","0","1","0","0","305","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","3","2","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","186","0","0","31","0","1043325","0","0","0","0","127","10","1","0","2","1","0","0","0","3","0","0","0","0","0","7","0","0","0","0","2","0"
"10485",NA,NA,"130","0.9","0","2","1","1","3","0","2","0","0","249","0","0","0","0","0","0","2","0","0","1","0","0","0","0","3","11","0","0","0","8","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","1","0","184","0","2","27","0","764769","3","0","0","0","45","17","0","0","3","0","3","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0"
"10519",NA,NA,"132","0.8","0","1","0","2","1","0","2","0","1","169","0","1","1","1","0","0","1","0","0","0","2","0","0","0","0","10","0","0","0","11","0","2","0","3","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","1","0","124","0","1","31","0","357480.34","0","0","0","1","63","3","1","1","0","0","2","0","0","2","0","0","0","0","0","12","0","0","0","0","2","0"
"10553",NA,NA,"134","0.8","0","3","0","1","2","0","0","1","0","186","0","0","0","1","2","0","0","0","0","0","2","0","0","0","0","8","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","3","0","172","0","2","17","0","497752.97","0","0","0","0","40","7","0","1","1","1","3","0","0","5","0","0","0","0","0","9","0","0","0","0","0","0"
