"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Callitriche","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Drosera","Echium t.","Erica t.","Fabaceae Undif.","Fern","Fern-Equisetophyta","Filipendula t.","Frangula","Fraxinus","Genisteae","Gentiana t.","Geranium","Hedera","Humulus","Hypecoum","Hypericum undif.","Ilex","Juncaceae","Lamiaceae undif.","Linum t.","Lonicera","Lotus t.","Lycopodium spike","Lycopodium tablets","Menyanthes","Myriophyllum spicatum/verticillatum t.","Olea t.","Onagraceae","Paronychieae","Pedicularis","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Pollen concentration","Populus","Portulacaceae t.","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Spergularia t.","Thesium","Thymelaeaceae undif.","Typha","Unknown","Urtica t.","Valeriana","Valerianella","Viburnum","Viscum","Vitis"
" 1432",NA,NA," 31","0.8","0","3","0","1","2","1","0","0","0","240","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","14","0","0","0","61","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","3","0","0","0","0","1","0","0","0","0","4","0","1","78","0","383575.38","0","0","0","0","24","8","0","0","0","0","8","0","0","1","0","0","0","0","0","16","0","0","0","0","0","0"
" 1496",NA,NA," 32","0.6","0","1","0","0","4","0","0","0","0","140","0","1","0","4","0","0","0","0","0","0","2","0","0","0","0","17","0","0","0","91","0","0","0","1","0","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","1","0","16","0","1","88","0","294053.66","2","0","0","0","44","14","0","1","1","0","5","0","0","3","0","0","0","0","0","28","0","0","0","1","0","0"
" 1557",NA,NA," 33","0.7","0","4","0","2","7","0","2","0","0","189","0","0","0","10","2","0","0","0","0","0","2","0","0","0","0","20","0","0","0","75","0","0","0","0","0","4","2","0","0","0","0","0","0","2","0","0","0","0","1","0","3","0","0","0","1","0","0","0","0","0","17","0","1","52","0","410269.91","0","0","0","1","47","12","0","0","0","1","2","1","0","0","0","0","0","1","0","33","0","0","1","0","0","0"
" 1618",NA,NA," 34","0.5","0","2","0","2","6","0","0","0","0","172","0","3","0","6","2","0","1","0","0","0","1","0","0","0","0","13","0","0","0","77","0","0","1","1","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","2","0","16","0","0","54","1","326099.72","1","0","0","1","47","14","1","0","0","2","2","1","0","1","0","0","0","0","0","32","0","0","0","0","0","0"
" 1680",NA,NA," 35","0.6","0","1","0","1","3","0","0","0","1","128","0","0","0","10","0","0","0","0","1","0","0","0","0","0","0","11","0","0","0","68","1","0","0","0","0","1","1","2","0","0","0","0","0","1","0","1","0","0","0","0","3","0","0","0","0","0","0","0","2","0","15","0","0","49","0","282084.16","0","0","0","2","55","12","1","0","0","1","3","0","0","1","0","0","0","0","0","16","0","0","0","0","0","0"
" 1741",NA,NA," 36","0.5","0","1","1","0","5","0","1","1","0","122","0","1","0","33","0","0","0","0","0","0","2","0","0","0","0","13","0","0","0","102","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","27","0","1","76","0","272386.34","1","0","0","0","56","31","0","0","3","0","4","0","0","0","0","0","1","0","0","41","0","0","0","0","0","0"
" 1802",NA,NA," 37","0.6","0","1","0","2","3","0","0","0","0","146","0","0","0","73","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","90","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","22","0","0","33","1","844206.75","0","0","0","1","52","19","0","0","0","0","4","0","0","0","0","0","0","1","0","14","0","0","0","1","0","0"
" 1863",NA,NA," 38","0.7","0","4","1","1","3","2","0","0","0","120","0","2","0","50","0","1","1","0","0","0","0","0","0","0","0","9","0","0","0","111","0","0","0","0","1","1","3","0","0","0","0","0","0","3","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","2","23","0","1","74","1","547331.62","0","0","0","0","54","29","1","0","0","3","3","0","0","1","0","2","0","0","0","20","0","0","0","0","0","0"
" 1925",NA,NA," 39","0.8","0","1","0","1","5","0","2","0","0","99","0","0","0","10","1","0","0","0","0","1","4","0","0","0","0","16","0","0","0","83","1","0","0","1","0","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","18","0","1","96","0","333061.44","0","1","0","0","54","10","1","1","0","1","5","1","1","1","0","0","0","0","0","24","1","0","0","0","0","0"
" 2147",NA,NA," 40","0.7","0","0","0","2","6","0","1","0","0","80","0","1","0","11","4","0","0","0","0","0","2","0","0","0","0","18","0","0","0","68","0","0","0","1","0","0","3","4","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","2","0","0","0","0","0","2","18","0","0","80","0","239568.2","0","0","0","1","47","20","0","0","0","2","2","0","0","1","0","0","0","0","0","18","0","0","0","0","0","0"
" 2422",NA,NA," 41","0.9","0","3","0","3","6","0","0","0","0","84","0","0","0","8","0","0","1","0","0","0","0","0","0","0","0","23","0","0","0","107","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","4","34","0","1","67","0","235901.75","0","0","0","3","59","10","1","1","0","5","4","1","0","1","0","1","0","0","0","32","2","0","0","0","0","0"
" 2697",NA,NA," 42","0.5","0","3","0","0","10","0","0","1","0","79","1","1","0","2","2","0","1","0","0","0","0","0","0","0","0","11","0","0","1","94","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","1","0","0","0","0","1","3","34","0","0","81","1","236487","1","0","0","1","70","12","0","1","0","5","3","0","0","2","0","0","0","0","0","26","1","0","0","0","0","0"
" 2973",NA,NA," 43","0.8","0","3","1","1","12","0","1","0","0","87","0","0","0","4","3","0","0","0","0","0","1","0","0","0","0","24","0","0","0","91","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","1","0","0","1","0","3","0","0","0","0","0","0","0","2","2","30","1","0","73","0","239294.72","0","0","0","0","64","17","0","0","0","1","4","1","0","0","0","0","0","0","0","20","0","0","0","0","0","0"
" 3248",NA,NA," 44","0.6","0","1","0","0","3","0","1","0","1","148","0","0","0","12","0","0","0","0","0","0","1","0","0","1","1","8","0","0","0","76","1","0","0","0","0","1","3","0","0","0","0","1","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","1","0","28","0","0","72","0","327623.56","0","0","0","0","40","18","1","0","0","3","1","0","0","0","0","0","0","0","0","12","1","0","0","0","0","0"
" 3523",NA,NA," 45","0.8","0","2","0","1","2","0","0","0","0","210","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","12","0","0","0","75","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","1","0","20","0","0","86","0","852048.75","0","0","0","10","36","6","0","0","0","2","5","0","0","1","0","0","0","0","0","8","1","0","0","0","0","0"
" 3799",NA,NA," 46","0.5","0","1","0","0","1","1","0","0","0","135","0","0","0","7","1","0","0","0","0","1","1","0","0","0","0","27","0","0","0","87","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","3","0","0","1","0","0","0","0","0","0","26","0","1","111","0","672786.56","2","0","0","9","29","12","0","3","0","0","3","0","0","0","0","0","0","0","0","10","1","0","0","0","0","0"
" 4074",NA,NA," 47","0.8","0","0","0","2","2","0","0","0","0","175","0","0","0","7","0","0","0","0","0","0","0","0","0","1","1","13","0","0","0","82","0","0","0","0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","1","28","0","2","95","0","932261.38","0","0","0","1","45","8","0","0","0","0","6","0","0","0","0","0","0","0","0","13","0","1","0","0","0","0"
" 4350",NA,NA," 48","0.6","2","1","0","1","1","0","0","0","0","158","0","0","0","6","0","0","1","0","0","0","1","0","0","1","0","19","0","0","0","78","0","0","0","0","0","2","2","0","0","0","0","0","0","2","0","0","0","0","0","0","3","0","0","0","0","0","0","0","3","0","23","0","0","86","0","821411.44","0","0","0","0","27","8","0","1","0","0","7","1","0","0","1","0","0","0","0","12","0","0","0","0","0","0"
" 4625",NA,NA," 49","0.8","0","0","0","0","0","0","0","0","0","212","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","158","0","0","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","27","0","2","45","0","1632058.38","0","0","0","1","34","6","0","0","0","1","3","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
" 4900",NA,NA," 50","0.6","0","4","0","0","3","0","0","0","0","225","0","0","0","6","1","0","2","0","0","0","10","0","0","0","0","19","0","0","0","193","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","27","0","0","55","0","978828.56","0","0","0","0","41","6","0","0","0","0","0","0","0","0","0","0","0","1","0","7","0","0","0","0","0","0"
" 5176",NA,NA," 51","0.9","0","0","0","1","2","0","2","0","0","297","0","0","0","5","1","0","2","0","0","0","2","0","0","0","1","6","0","0","0","164","0","0","0","0","0","0","2","0","0","0","0","0","0","4","0","0","0","0","1","0","3","0","0","1","0","0","0","0","0","1","53","0","0","14","0","671943.44","0","0","0","3","52","19","0","0","0","0","0","0","0","1","0","0","0","0","0","12","0","0","0","0","0","0"
" 5451",NA,NA," 52","0.6","0","2","0","1","1","0","2","0","0","228","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","19","1","0","0","130","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","89","0","0","40","0","506557.12","1","0","0","2","73","11","0","1","1","0","1","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0"
" 5537",NA,NA," 53","0.8","0","2","0","2","1","0","1","1","0","104","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","14","0","0","0","70","1","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","1","0","0","2","0","69","0","2","90","0","525921","0","0","0","0","50","17","0","0","0","0","0","0","0","2","0","0","0","0","0","85","0","0","0","0","0","0"
" 5560",NA,NA," 54","0.6","0","1","2","0","6","0","3","1","0","83","0","0","0","3","1","0","0","0","0","1","4","0","0","0","0","23","0","0","0","64","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","3","0","0","0","0","0","0","0","1","0","87","0","0","89","0","292247.91","0","0","0","0","45","22","2","1","0","2","1","0","0","5","0","0","5","0","0","81","2","0","0","0","0","0"
" 5583",NA,NA," 55","0.8","0","0","0","1","6","0","0","0","0","118","0","0","0","1","0","0","0","0","0","1","4","0","0","1","0","53","0","0","0","20","0","0","0","0","0","4","7","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","40","0","0","214","0","1115904.12","0","0","0","0","36","14","1","0","0","0","1","0","0","2","0","0","0","0","0","11","0","0","0","0","0","0"
" 5607",NA,NA," 56","0.7","0","3","0","0","8","0","0","0","2","124","0","1","0","6","0","0","0","0","0","0","3","0","0","0","0","30","0","0","0","47","0","0","0","0","0","0","10","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","61","0","0","123","0","580437.44","1","0","0","0","54","14","0","0","0","2","2","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0"
" 5630",NA,NA," 57","0.8","0","0","0","0","5","0","0","0","0","153","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","20","0","0","0","24","0","0","0","0","2","1","4","0","0","0","0","0","1","1","0","1","0","0","0","0","3","0","0","3","0","0","0","0","1","0","47","0","0","111","0","1551076.5","1","0","0","0","42","13","0","1","1","0","1","1","0","2","0","0","0","0","0","16","0","0","0","0","0","0"
" 5653",NA,NA," 58","0.7","0","1","0","1","4","0","0","0","0","167","0","0","0","2","0","0","0","0","0","0","1","0","0","3","0","13","0","0","0","55","1","0","0","1","1","1","5","0","0","0","0","0","0","0","0","2","0","0","0","0","3","0","0","1","0","0","0","0","1","0","63","0","0","113","0","604059.88","1","0","0","0","26","21","0","2","0","3","3","0","0","1","0","0","0","0","0","27","0","0","0","0","0","0"
" 5676",NA,NA," 59","0.6","0","2","0","0","0","0","0","0","1","163","0","0","0","3","2","0","1","0","0","0","2","0","0","3","0","18","0","0","1","52","1","0","0","0","0","0","8","0","0","0","0","0","1","1","0","0","0","0","0","0","3","0","0","1","1","0","0","0","3","0","84","0","0","111","0","690668.94","1","0","0","1","44","22","0","1","0","0","1","0","1","0","0","0","0","0","0","17","0","0","0","0","0","0"
" 5722",NA,NA," 61","0.9","0","0","0","2","4","0","1","0","0","186","1","1","0","0","0","0","2","0","0","2","1","0","0","0","1","18","0","1","0","52","0","1","0","2","0","0","7","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","1","0","0","0","0","0","1","84","0","0","92","0","539667.88","0","0","0","1","26","15","1","3","0","2","3","0","1","2","0","0","0","0","0","19","0","0","0","0","1","0"
" 5745",NA,NA," 62","0.6","0","3","0","1","2","0","1","1","0","173","0","1","0","3","1","0","0","0","0","0","3","0","0","0","0","21","0","0","0","78","1","2","0","0","0","1","2","0","0","0","1","0","0","0","0","3","0","0","0","0","3","0","0","1","0","0","0","0","1","0","77","0","1","69","0","549677.69","0","0","0","0","42","18","1","0","0","1","0","0","0","1","0","0","1","0","0","24","0","0","0","0","0","1"
" 5768",NA,NA," 63","0.7","0","2","0","0","0","0","0","0","0","165","0","0","0","3","2","0","1","0","0","0","1","0","0","1","0","22","0","0","0","49","1","0","0","0","0","2","3","0","0","0","0","0","0","1","0","2","0","0","0","0","3","0","0","0","0","0","0","0","2","0","50","0","0","120","0","973128.94","1","0","0","3","32","9","1","0","0","0","0","0","1","3","0","0","0","0","0","23","0","0","0","0","0","0"
" 5791",NA,NA," 64","0.6","0","0","0","1","4","0","1","0","0","174","0","0","0","2","0","1","0","0","0","0","1","1","0","1","0","23","0","1","0","116","0","0","0","0","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","72","0","0","67","0","1114663.5","0","0","0","1","42","15","0","0","0","2","1","0","0","1","0","0","0","0","0","15","0","0","0","0","0","0"
" 5814",NA,NA," 65","0.7","0","0","0","0","2","0","1","0","0","209","0","0","0","4","0","0","0","0","0","1","2","0","1","0","0","14","0","0","0","59","0","2","0","0","1","0","3","0","0","0","0","0","1","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","2","0","84","0","0","86","0","895807.25","1","0","0","3","43","14","0","0","0","0","5","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0"
" 5908",NA,NA," 66","0.6","0","2","0","0","1","0","0","0","0","200","0","0","0","1","0","0","0","0","0","1","1","0","0","0","2","24","0","0","0","95","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","1","0","3","0","0","0","0","0","0","0","0","0","108","0","0","69","0","691202.81","4","0","0","0","30","16","0","0","1","2","2","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0"
" 6026",NA,NA," 67","0.8","0","1","0","0","2","0","0","0","0","223","0","0","0","2","2","0","0","0","1","2","1","0","0","2","0","21","0","0","0","63","0","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","6","1","99","0","1","58","0","591886.31","0","0","0","0","43","9","0","0","0","0","0","0","0","6","0","0","0","0","0","23","0","0","0","0","0","0"
" 6143",NA,NA," 68","0.6","0","1","0","0","1","0","1","0","2","148","0","1","0","5","3","0","0","0","0","0","1","0","0","0","0","30","0","0","0","92","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","143","0","0","100","0","499427.72","0","0","0","0","39","13","0","0","1","3","1","1","1","0","0","0","0","0","1","9","0","0","0","0","0","0"
" 6261",NA,NA," 69","0.7","0","2","0","1","0","0","1","0","0","156","0","0","0","3","0","0","0","0","1","0","2","0","0","2","0","22","0","0","0","30","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","1","0","103","0","0","93","0","980622.69","0","0","0","0","29","8","0","0","0","2","1","0","0","2","0","0","1","0","0","14","0","0","0","0","0","0"
" 6378",NA,NA," 70","0.7","0","0","1","0","1","0","0","0","0","140","0","2","0","2","1","0","0","0","0","0","1","0","0","0","1","22","0","0","0","27","0","0","0","1","1","0","1","1","0","0","1","0","0","0","0","3","0","0","1","0","2","0","0","0","0","0","0","0","2","0","88","0","2","95","0","756758.38","2","0","0","0","45","18","1","1","0","4","0","1","0","4","0","0","0","0","0","9","0","0","0","0","0","0"
" 6496",NA,NA," 71","0.7","0","0","0","0","1","0","0","0","0","147","0","0","0","1","1","0","0","0","1","0","3","0","1","1","0","30","0","0","0","11","0","0","0","0","1","1","4","0","0","0","0","0","0","0","0","2","0","0","0","0","3","0","0","0","0","0","0","0","1","0","93","0","0","131","0","2389711","0","0","0","1","45","16","1","0","0","0","3","1","1","2","0","0","0","0","0","16","0","0","0","0","0","0"
" 6613",NA,NA," 72","0.7","0","1","0","2","2","0","0","1","0","152","0","1","0","1","1","0","0","0","2","0","2","0","0","1","0","43","0","0","0","2","3","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","99","0","0","131","0","751988.94","0","0","0","1","38","19","0","0","0","3","3","0","0","1","0","0","2","0","0","11","0","0","0","0","0","0"
" 6731",NA,NA," 73","0.7","0","1","0","10","1","0","1","0","0","133","0","0","0","1","3","0","0","0","0","1","4","0","1","1","0","32","0","0","0","11","2","2","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","1","0","0","0","0","2","0","126","0","1","118","0","481756.53","0","0","0","2","54","9","10","0","0","1","0","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0"
" 6848",NA,NA," 74","0.7","0","1","0","10","0","0","0","0","1","137","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","32","0","0","0","17","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","1","0","2","0","0","0","1","0","0","0","1","0","100","0","1","91","0","669788.88","3","0","0","0","36","24","9","0","0","0","3","0","2","3","0","0","0","0","0","18","0","0","0","0","0","0"
" 6966",NA,NA," 75","0.7","0","0","0","2","6","0","0","0","0","212","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","20","0","0","0","8","0","6","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","74","0","0","55","0","158361.83","0","0","0","0","39","13","1","0","0","1","1","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0"
" 7084",NA,NA," 76","0.8","1","2","0","2","3","0","1","0","0","257","0","2","0","0","0","0","0","0","0","0","3","0","0","1","0","28","0","0","0","13","0","0","0","1","0","1","4","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","102","0","0","190","0","725058.19","0","0","0","0","51","26","2","0","1","4","4","0","1","2","0","0","0","0","0","21","0","0","0","0","0","0"
" 7201",NA,NA," 77","0.6","0","0","0","0","1","0","0","0","0","168","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","19","0","0","0","9","0","0","0","0","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","1","0","1","0","0","0","0","61","0","1","179","0","1244537.62","0","0","0","0","41","13","0","0","0","2","3","1","0","1","0","0","0","0","0","54","0","0","0","0","0","0"
" 7319",NA,NA," 78","0.6","0","0","1","2","3","0","0","0","0","143","0","0","0","1","2","0","0","0","0","0","5","0","0","1","1","11","0","0","0","8","1","3","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","90","0","1","113","0","491301.19","0","0","0","0","38","18","0","0","0","0","1","1","0","1","0","0","0","0","0","22","2","1","0","0","0","0"
" 7436",NA,NA," 79","0.9","0","2","0","1","1","0","0","0","0","125","0","0","0","0","2","0","0","0","0","0","4","0","1","0","0","21","0","0","0","8","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","60","0","0","205","0","601556.75","0","0","0","0","39","13","0","0","2","2","4","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0"
" 7554",NA,NA," 80","0.8","0","0","0","2","0","0","1","0","0","260","0","2","0","1","1","0","0","0","0","1","3","0","0","0","0","16","0","0","0","6","0","0","0","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","60","0","0","133","0","663256.62","0","0","0","0","32","18","0","0","0","0","0","0","0","1","0","0","0","0","0","19","0","0","0","0","1","0"
" 7671",NA,NA," 81","0.8","0","4","0","1","1","0","0","0","0","215","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","20","0","0","0","13","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","2","1","70","0","0","64","0","205489.66","0","0","0","0","47","16","2","0","0","2","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0"
" 7767",NA,NA," 82","0.6","0","3","1","0","1","0","1","0","0","330","0","0","0","1","0","0","1","0","1","1","4","0","0","0","0","17","0","0","0","31","0","2","0","0","5","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","91","0","0","33","0","331459.62","1","0","0","0","22","16","0","0","0","1","0","0","0","1","0","0","0","0","0","29","0","0","0","0","0","0"
" 7842",NA,NA," 83","0.8","0","0","0","3","2","0","0","0","0","253","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","26","0","0","0","21","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","1","0","52","0","0","52","0","404288.44","0","0","0","2","43","27","2","0","0","0","5","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0"
" 7917",NA,NA," 84","0.9","0","1","0","0","2","0","2","0","0","274","0","1","0","0","2","0","0","0","0","1","2","0","0","1","0","17","0","0","0","24","0","3","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","56","1","0","34","0","218185.41","0","0","0","0","40","14","0","0","0","2","1","0","0","1","0","0","0","0","0","65","0","0","0","0","0","0"
" 7992",NA,NA," 85","0.9","0","1","0","0","0","0","0","0","0","208","0","0","0","2","2","0","0","0","0","0","1","0","0","0","0","9","0","0","0","14","0","0","0","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","94","0","0","24","0","406201.19","0","0","0","0","42","16","1","0","1","0","6","0","0","3","0","1","0","0","0","47","0","0","0","0","1","0"
" 8067",NA,NA," 86","0.8","0","4","0","0","1","0","0","0","0","223","0","0","0","5","5","0","1","0","0","0","4","0","0","0","0","10","0","0","0","20","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","1","1","0","72","0","0","16","0","213073.42","2","0","0","0","34","12","0","0","1","1","1","0","0","5","0","0","0","0","0","48","0","0","0","0","0","0"
" 8142",NA,NA," 87","0.8","0","1","0","3","1","0","1","0","0","197","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","56","0","2","0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","107","0","1","14","0","329765.22","1","0","0","0","63","11","0","0","0","5","1","0","0","1","0","0","0","0","0","27","0","0","0","0","1","0"
" 8217",NA,NA," 88","0.8","0","3","0","0","1","0","0","0","0","177","0","0","0","7","0","0","0","0","0","0","4","0","0","0","0","9","0","0","1","79","0","3","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","1","0","0","0","1","0","138","0","0","6","0","443968.09","1","0","0","0","55","25","0","0","0","3","2","0","1","1","0","0","0","0","0","38","0","0","0","0","2","0"
" 8292",NA,NA," 89","0.8","0","0","0","1","0","0","2","0","0","202","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","8","0","0","0","46","0","6","0","0","4","2","0","0","0","0","0","0","0","1","0","0","0","1","0","0","3","0","0","1","0","0","0","0","0","0","105","0","0","8","0","258274.08","0","0","0","0","56","18","0","0","0","1","1","0","0","3","0","0","0","0","0","25","0","0","0","0","0","0"
" 8366",NA,NA," 90","1.2","0","0","0","2","2","0","0","0","0","119","0","0","0","1","0","0","0","0","0","1","4","0","0","0","0","6","0","0","0","37","0","17","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","90","0","0","18","0","51308.82","2","0","0","0","40","15","1","0","0","0","2","0","0","1","0","0","0","0","0","27","0","0","0","0","0","0"
" 8441",NA,NA," 91","0.9","0","0","0","0","2","0","0","0","0","150","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","21","0","3","1","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","1","0","100","0","0","31","0","74010.16","0","0","1","0","52","20","1","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0"
